,Date,Open,High,Low,Close
1689,2021-12-31,14.09,14.265,13.98,14.01
1688,2021-12-30,13.8,14.17,13.72,14.09
1687,2021-12-29,13.75,13.79,13.58,13.77
1686,2021-12-28,13.44,13.805,13.38,13.72
1685,2021-12-27,13.31,13.41,13.18,13.41
1684,2021-12-23,13.3,13.42,13.175,13.29
1683,2021-12-22,13.13,13.24,13.02,13.22
1682,2021-12-21,12.75,13.1,12.75,13.09
1681,2021-12-20,12.69,12.75,12.47,12.71
1680,2021-12-17,12.74,13.115,12.64,12.85
1679,2021-12-16,12.7802,12.95,12.645,12.83
1678,2021-12-15,12.79,12.975,12.765,12.94
1677,2021-12-14,12.95,13.09,12.725,12.78
1676,2021-12-13,13.01,13.065,12.915,12.97
1675,2021-12-10,13.24,13.28,13.05,13.1
1674,2021-12-09,13.36,13.38,13.11,13.15
1673,2021-12-08,13.56,13.69,13.28,13.45
1672,2021-12-07,13.39,13.75,13.31,13.52
1671,2021-12-06,13.38,13.49,13.205,13.31
1670,2021-12-03,13.43,13.43,13.13,13.3
1669,2021-12-02,13.03,13.52,12.93,13.43
1668,2021-12-01,13.46,13.535,12.96,12.97
1667,2021-11-30,13.4,13.49,13.24,13.27
1666,2021-11-29,13.47,13.59,13.28,13.52
1665,2021-11-26,13.44,13.7,13.06,13.31
1664,2021-11-24,13.78,13.88,13.675,13.8
1663,2021-11-23,13.75,14.08,13.68,13.78
1662,2021-11-22,14.03,14.13,13.69,13.72
1661,2021-11-19,13.98,14.18,13.8,13.96
1660,2021-11-18,14.11,14.11,13.81,13.98
1659,2021-11-17,13.97,14.16,13.875,14.07
1658,2021-11-16,13.97,14.19,13.9,13.98
1657,2021-11-15,13.49,13.99,13.4,13.97
1656,2021-11-12,13.59,13.64,13.41,13.43
1655,2021-11-11,13.69,13.72,13.49,13.52
1654,2021-11-10,13.82,13.87,13.67,13.68
1653,2021-11-09,13.6,13.94,13.57,13.71
1652,2021-11-08,13.87,13.87,13.51,13.64
1651,2021-11-05,13.86,13.92,13.45,13.89
1650,2021-11-04,14.24,14.49,13.865,13.9
1649,2021-11-03,14.21,14.385,14.2,14.22
1648,2021-11-02,14.55,14.55,14.05,14.23
1647,2021-11-01,14.31,14.6,14.26,14.44
1646,2021-10-29,14.22,14.32,14.2,14.31
1645,2021-10-28,14.15,14.3105,14.13,14.23
1644,2021-10-27,14.24,14.41,14.11,14.12
1643,2021-10-26,14.4,14.4,14.17,14.22
1642,2021-10-25,14.33,14.57,14.105,14.36
1641,2021-10-22,14.2501,14.505,14.17,14.31
1640,2021-10-21,13.03,14.44,13.0,14.4
1639,2021-10-20,12.08,13.2,11.98,13.01
1638,2021-10-19,12.09,12.16,12.05,12.11
1637,2021-10-18,11.97,12.095,11.9,12.07
1636,2021-10-15,12.03,12.09,11.89,12.01
1635,2021-10-14,11.95,12.04,11.85,11.89
1634,2021-10-13,11.81,11.97,11.57,11.87
1633,2021-10-12,11.8,11.98,11.78,11.8
1632,2021-10-11,12.12,12.13,11.8,11.82
1631,2021-10-08,12.44,12.44,12.09,12.09
1630,2021-10-07,12.46,12.58,12.43,12.44
1629,2021-10-06,12.31,12.435,12.26,12.4
1628,2021-10-05,12.43,12.445,12.26,12.38
1627,2021-10-04,12.4,12.51,12.36,12.44
1626,2021-10-01,12.4,12.5,12.165,12.37
1625,2021-09-30,12.57,12.58,12.25,12.37
1624,2021-09-29,12.48,12.79,12.46,12.49
1623,2021-09-28,12.49,12.605,12.34,12.45
1622,2021-09-27,12.6,12.68,12.47,12.5
1621,2021-09-24,12.75,12.81,12.475,12.62
1620,2021-09-23,12.62,12.84,12.62,12.75
1619,2021-09-22,12.84,13.035,12.77,12.84
1618,2021-09-21,12.85,13.0,12.7,12.77
1617,2021-09-20,12.7,12.805,12.585,12.76
1616,2021-09-17,12.81,12.88,12.705,12.81
1615,2021-09-16,12.77,12.92,12.71,12.77
1614,2021-09-15,12.95,12.97,12.74,12.93
1613,2021-09-14,13.0,13.03,12.82,12.89
1612,2021-09-13,12.8,12.975,12.69,12.94
1611,2021-09-10,12.99,13.015,12.66,12.69
1610,2021-09-09,13.1283,13.1283,12.8667,12.95
1609,2021-09-08,13.0,13.15,12.9078,13.11
1608,2021-09-07,13.28,13.45,12.945,12.99
1607,2021-09-03,13.07,13.2,12.915,13.19
1606,2021-09-02,13.05,13.18,12.95,13.12
1605,2021-09-01,13.12,13.21,12.98,13.05
1604,2021-08-31,13.16,13.35,13.03,13.07
1603,2021-08-30,12.83,13.28,12.83,13.18
1602,2021-08-27,12.75,12.93,12.72,12.81
1601,2021-08-26,12.57,12.845,12.57,12.73
1600,2021-08-25,12.75,12.84,12.7,12.7
1599,2021-08-24,13.04,13.04,12.65,12.77
1598,2021-08-23,12.96,13.095,12.83,12.98
1597,2021-08-20,12.99,13.025,12.55,12.92
1596,2021-08-19,12.94,13.07,12.62,12.64
1595,2021-08-18,12.99,13.1,12.96,12.98
1594,2021-08-17,12.975,13.09,12.85,13.02
1593,2021-08-16,13.08,13.2,13.02,13.11
1592,2021-08-13,13.2,13.21,13.07,13.12
1591,2021-08-12,13.17,13.19,13.05,13.14
1590,2021-08-11,12.77,13.19,12.6508,13.11
1589,2021-08-10,13.14,13.42,13.01,13.01
1588,2021-08-09,12.83,13.27,12.79,13.11
1587,2021-08-06,12.04,13.26,11.85,13.16
1586,2021-08-05,12.0,12.17,11.84,12.04
1585,2021-08-04,11.89,12.05,11.75,12.04
1584,2021-08-03,11.61,11.91,11.58,11.9
1583,2021-08-02,11.71,11.75,11.6,11.62
1582,2021-07-30,11.47,11.74,11.47,11.71
1581,2021-07-29,11.39,11.51,11.32,11.45
1580,2021-07-28,11.15,11.38,11.15,11.29
1579,2021-07-27,11.04,11.22,11.0,11.16
1578,2021-07-26,11.095,11.17,11.01,11.1
1577,2021-07-23,11.24,11.28,11.105,11.12
1576,2021-07-22,11.27,11.3,11.16,11.22
1575,2021-07-21,11.39,11.55,11.28,11.33
1574,2021-07-20,10.86,11.45,10.85,11.38
1573,2021-07-19,10.755,11.055,10.67,10.86
1572,2021-07-16,10.9,11.22,10.88,11.06
1571,2021-07-15,10.77,10.84,10.605,10.84
1570,2021-07-14,10.7,10.78,10.58,10.77
1569,2021-07-13,10.76,10.82,10.66,10.7
1568,2021-07-12,10.64,10.85,10.55,10.83
1567,2021-07-09,10.54,10.69,10.54,10.67
1566,2021-07-08,10.5,10.585,10.455,10.54
1565,2021-07-07,10.61,10.665,10.53,10.63
1564,2021-07-06,10.5183,10.63,10.44,10.62
1563,2021-07-02,10.64,10.685,10.5,10.5
1562,2021-07-01,10.65,10.66,10.505,10.6
1561,2021-06-30,10.68,10.73,10.59,10.59
1560,2021-06-29,10.46,10.69,10.42,10.63
1559,2021-06-28,10.7,10.71,10.42,10.48
1558,2021-06-25,10.58,10.84,10.58,10.66
1557,2021-06-24,10.45,10.58,10.425,10.56
1556,2021-06-23,10.6,10.65,10.43,10.45
1555,2021-06-22,10.5,10.6319,10.405,10.58
