,Date,Open,High,Low,Close
891,2021-12-31,26.07,26.2,26.05,26.14
890,2021-12-30,26.02,26.19,26.02,26.05
889,2021-12-29,26.1,26.13,26.02,26.04
888,2021-12-28,26.29,26.29,25.99,26.08
887,2021-12-27,26.23,26.37,26.22,26.3
886,2021-12-23,26.24,26.25,26.17,26.23
885,2021-12-22,26.17,26.2701,26.155,26.19
884,2021-12-21,26.07,26.23,26.07,26.1172
883,2021-12-20,26.03,26.12,25.9786,26.01
882,2021-12-17,26.22,26.245,26.06,26.08
881,2021-12-16,26.07,26.24,26.06,26.19
880,2021-12-15,25.99,26.081,25.9,26.06
879,2021-12-14,25.98,25.98,25.86,25.9
878,2021-12-13,25.98,26.0,25.9,25.99
877,2021-12-10,26.13,26.14,25.97,25.97
876,2021-12-09,26.2,26.29,26.07,26.11
875,2021-12-08,26.28,26.34,26.18,26.25
874,2021-12-07,26.42,26.6777,26.24,26.24
873,2021-12-06,26.26,26.4627,26.23,26.34
872,2021-12-03,26.39,26.5,26.15,26.2
871,2021-12-02,26.31,26.48,26.21,26.38
870,2021-12-01,26.28,26.91,26.28,26.43
869,2021-11-30,26.53,26.55,26.19,26.21
868,2021-11-29,26.61,26.8231,26.61,26.73
867,2021-11-26,26.51,26.8247,26.51,26.55
866,2021-11-24,26.64,26.856,26.56,26.67
865,2021-11-23,26.49,26.66,26.31,26.66
864,2021-11-22,26.76,26.775,26.45,26.45
863,2021-11-19,26.74,26.749,26.66,26.71
862,2021-11-18,26.7,26.705,26.64,26.7
861,2021-11-17,26.6,26.685,26.6,26.65
860,2021-11-16,26.67,26.758,26.62,26.63
859,2021-11-15,26.74,26.74,26.55,26.61
858,2021-11-12,26.72,26.7959,26.71,26.74
857,2021-11-11,26.8,26.85,26.68,26.68
856,2021-11-10,26.91,26.99,26.72,26.77
855,2021-11-09,27.11,27.13,26.92,26.96
854,2021-11-08,27.68,27.68,27.04,27.04
853,2021-11-05,27.64,27.6758,27.4754,27.65
852,2021-11-04,27.45,27.67,27.45,27.67
851,2021-11-03,27.4,27.4458,27.29,27.4458
850,2021-11-02,27.39,27.44,27.3131,27.36
849,2021-11-01,27.3,27.44,27.0301,27.4
848,2021-10-29,27.34,27.34,27.18,27.3
847,2021-10-28,27.38,27.38,27.279,27.279
846,2021-10-27,27.37,27.37,27.25,27.29
845,2021-10-26,27.5,27.55,27.25,27.31
844,2021-10-25,27.31,27.51,27.31,27.51
843,2021-10-22,27.34,27.35,27.25,27.25
842,2021-10-21,27.25,27.34,27.25,27.34
841,2021-10-20,26.96,27.27,26.96,27.25
840,2021-10-19,27.01,27.208,26.95,27.01
839,2021-10-18,27.16,27.16,27.0224,27.085
838,2021-10-15,27.099,27.1329,27.0499,27.115
837,2021-10-14,27.0,27.26,26.94,27.2
836,2021-10-13,26.88,27.1448,26.82,26.84
835,2021-10-12,26.69,26.94,26.69,26.78
834,2021-10-11,26.74,26.74,26.63,26.7
833,2021-10-08,26.695,26.78,26.6,26.78
832,2021-10-07,26.71,26.8432,26.62,26.73
831,2021-10-06,26.52,26.6817,26.52,26.67
830,2021-10-05,26.655,26.67,26.5,26.64
829,2021-10-04,26.9,26.9,26.57,26.58
828,2021-10-01,26.91,27.04,26.86,26.94
827,2021-09-30,26.95,27.04,26.71,27.04
826,2021-09-29,26.8,26.97,26.7844,26.95
825,2021-09-28,26.82,26.82,26.51,26.74
824,2021-09-27,27.09,27.09,26.8106,26.94
823,2021-09-24,27.24,27.24,27.04,27.04
822,2021-09-23,27.2,27.31,27.1019,27.27
821,2021-09-22,27.11,27.3,27.0328,27.2
820,2021-09-21,27.17,27.17,27.0,27.0297
819,2021-09-20,27.14,27.26,27.0,27.05
818,2021-09-17,27.28,27.29,27.17,27.17
817,2021-09-16,27.25,27.29,27.1001,27.27
816,2021-09-15,27.14,27.33,27.03,27.14
815,2021-09-14,27.14,27.1699,27.0115,27.0889
814,2021-09-13,27.16,27.16,27.0817,27.09
813,2021-09-10,27.06,27.25,27.06,27.11
812,2021-09-09,27.04,27.14,27.0397,27.1
811,2021-09-08,26.92,27.0445,26.92,27.0445
810,2021-09-07,27.0,27.0499,26.95,26.99
809,2021-09-03,27.01,27.07,26.87,27.06
808,2021-09-02,27.09,27.09,26.99,27.03
807,2021-09-01,26.98,27.07,26.97,27.04
806,2021-08-31,26.87,27.0034,26.81,26.9
805,2021-08-30,27.2,27.33,27.19,27.26
804,2021-08-27,26.98,27.2,26.98,27.2
803,2021-08-26,27.08,27.08,27.0,27.0
802,2021-08-25,27.05,27.0897,26.96,27.01
801,2021-08-24,27.01,27.1,27.0,27.01
800,2021-08-23,27.18,27.2302,27.0102,27.04
799,2021-08-20,27.19,27.2635,27.1024,27.12
798,2021-08-19,27.08,27.19,27.01,27.1
797,2021-08-18,27.14,27.14,26.98,27.0124
796,2021-08-17,27.27,27.27,27.12,27.14
795,2021-08-16,27.36,27.37,27.27,27.27
794,2021-08-13,27.26,27.39,27.26,27.36
793,2021-08-12,27.04,27.44,27.04,27.16
792,2021-08-11,27.12,27.283,27.11,27.16
791,2021-08-10,27.51,27.59,27.0901,27.12
790,2021-08-09,27.58,27.58,27.42,27.51
789,2021-08-06,27.57,27.58,27.4201,27.58
788,2021-08-05,27.4,27.6,27.38,27.6
787,2021-08-04,27.29,27.41,27.2893,27.37
786,2021-08-03,27.3,27.4,27.29,27.35
785,2021-08-02,27.28,27.34,27.0882,27.3
784,2021-07-30,26.98,27.33,26.955,27.31
783,2021-07-29,26.91,27.02,26.91,26.99
782,2021-07-28,26.94,26.97,26.8,26.88
781,2021-07-27,26.94,27.0307,26.81,26.85
780,2021-07-26,27.07,27.07,26.94,26.97
779,2021-07-23,27.05,27.07,27.04,27.06
778,2021-07-22,27.04,27.1,27.0,27.05
777,2021-07-21,26.93,27.05,26.7696,27.02
776,2021-07-20,26.66,26.95,26.66,26.87
775,2021-07-19,26.73,26.7678,26.641,26.66
774,2021-07-16,26.99,26.99,26.84,26.863
773,2021-07-15,27.04,27.1,26.85,26.93
772,2021-07-14,27.06,27.08,26.86,26.99
771,2021-07-13,27.11,27.1931,26.85,26.96
770,2021-07-12,27.24,27.3,27.07,27.18
769,2021-07-09,27.3,27.3,27.1127,27.24
768,2021-07-08,27.25,27.3,27.167,27.29
767,2021-07-07,27.09,27.35,27.0523,27.23
766,2021-07-06,27.06,27.1,27.04,27.1
765,2021-07-02,27.0,27.09,27.0,27.04
764,2021-07-01,27.02,27.088,26.9,26.9179
763,2021-06-30,27.08,27.1,26.92,26.92
762,2021-06-29,27.09,27.09,26.93,27.08
761,2021-06-28,27.07,27.09,26.96,27.09
760,2021-06-25,27.06,27.06,26.935,27.03
759,2021-06-24,27.02,27.07,26.97,26.97
758,2021-06-23,26.95,27.05,26.95,27.02
757,2021-06-22,26.86,27.0111,26.86,26.96
756,2021-06-21,26.83,26.95,26.82,26.9
755,2021-06-18,26.98,26.98,26.78,26.84
754,2021-06-17,26.85,26.94,26.82,26.92
753,2021-06-16,26.82,26.93,26.7601,26.85
752,2021-06-15,26.83,26.84,26.72,26.75
751,2021-06-14,26.68,26.77,26.67,26.77
750,2021-06-11,26.71,26.77,26.621,26.7
749,2021-06-10,26.79,26.8,26.62,26.69
748,2021-06-09,26.79,26.88,26.7,26.76
747,2021-06-08,26.98,26.98,26.76,26.79
746,2021-06-07,26.98,27.1,26.89,26.923
745,2021-06-04,27.09,27.09,26.86,26.98
744,2021-06-03,27.07,27.0999,26.96,26.989
743,2021-06-02,27.19,27.302,26.97,27.07
742,2021-06-01,27.0,27.18,26.99,27.18
741,2021-05-28,26.83,27.04,26.82,27.04
740,2021-05-27,27.05,27.11,26.95,27.06
739,2021-05-26,27.01,27.04,26.86,27.02
738,2021-05-25,26.94,26.98,26.94,26.95
737,2021-05-24,27.14,27.2,26.92,26.96
736,2021-05-21,27.12,27.13,26.94,27.12
735,2021-05-20,27.11,27.13,26.91,27.04
734,2021-05-19,26.97,27.1031,26.779,26.9991
733,2021-05-18,26.92,27.07,26.78,27.0
732,2021-05-17,26.83,26.93,26.78,26.92
731,2021-05-14,26.72,26.86,26.71,26.76
730,2021-05-13,26.44,26.75,26.44,26.6
729,2021-05-12,26.68,26.68,26.33,26.4
728,2021-05-11,26.63,26.78,26.56,26.61
727,2021-05-10,26.91,26.91,26.68,26.68
726,2021-05-07,26.76,26.92,26.76,26.89
725,2021-05-06,26.77,26.82,26.63,26.8
724,2021-05-05,26.75,26.91,26.75,26.8
723,2021-05-04,26.63,26.83,26.63,26.78
722,2021-05-03,26.67,26.79,26.57,26.76
721,2021-04-30,26.73,26.83,26.51,26.61
720,2021-04-29,26.85,26.8863,26.71,26.805
719,2021-04-28,27.0,27.0,26.8,26.8748
718,2021-04-27,26.96,26.9716,26.91,26.97
717,2021-04-26,26.95,26.96,26.95,26.96
716,2021-04-23,26.84,26.97,26.82,26.94
715,2021-04-22,26.98,26.98,26.77,26.8956
714,2021-04-21,26.91,26.99,26.9,26.96
713,2021-04-20,27.0,27.0,26.76,26.812
712,2021-04-19,26.97,27.0,26.91,27.0
711,2021-04-16,27.0,27.0,26.82,26.95
710,2021-04-15,26.94,27.0,26.92,27.0
709,2021-04-14,26.91,26.9991,26.9,26.94
708,2021-04-13,27.0,27.0,26.84,26.95
707,2021-04-12,26.89,27.0,26.89,27.0
706,2021-04-09,27.14,27.14,26.84,26.99
705,2021-04-08,27.13,27.14,27.0592,27.14
704,2021-04-07,27.02,27.1396,27.02,27.05
