,Date,Open,High,Low,Close
5578,2021-12-31,24.56,24.86,24.54,24.57
5577,2021-12-30,24.76,25.03,24.65,24.66
5576,2021-12-29,24.68,24.855,24.56,24.69
5575,2021-12-28,24.59,24.995,24.54,24.68
5574,2021-12-27,24.47,24.69,24.26,24.59
5573,2021-12-23,24.29,24.69,24.23,24.47
5572,2021-12-22,23.87,24.225,23.75,24.09
5571,2021-12-21,22.905,24.0,22.905,23.84
5570,2021-12-20,23.24,23.31,22.25,22.68
5569,2021-12-17,24.13,24.22,23.48,23.7
5568,2021-12-16,24.44,24.67,24.01,24.18
5567,2021-12-15,23.92,24.175,23.3,24.1
5566,2021-12-14,23.44,24.11,23.42,23.8
5565,2021-12-13,23.87,23.97,23.35,23.41
5564,2021-12-10,24.4,24.42,23.85,24.01
5563,2021-12-09,23.86,24.235,23.77,24.14
5562,2021-12-08,24.21,24.46,24.03,24.03
5561,2021-12-07,23.88,24.39,23.71,24.1
5560,2021-12-06,23.57,24.08,23.38,23.64
5559,2021-12-03,23.48,23.65,22.985,23.21
5558,2021-12-02,22.65,23.3,22.485,23.03
5557,2021-12-01,23.68,23.85,22.37,22.38
5556,2021-11-30,23.59,23.67,22.92,23.1
5555,2021-11-29,24.82,24.91,23.805,23.95
5554,2021-11-26,24.31,24.58,23.47,24.45
5553,2021-11-24,25.65,25.81,25.435,25.5
5552,2021-11-23,25.68,25.93,25.63,25.82
5551,2021-11-22,25.4,25.81,25.135,25.47
5550,2021-11-19,25.34,25.52,25.005,25.27
5549,2021-11-18,26.34,26.535,25.57,25.78
5548,2021-11-17,25.93,26.5,25.91,26.38
5547,2021-11-16,26.54,26.635,26.1,26.11
5546,2021-11-15,26.63,26.81,26.36,26.54
5545,2021-11-12,26.13,26.54,26.05,26.49
5544,2021-11-11,25.8,26.385,25.665,26.24
5543,2021-11-10,25.81,26.19,25.51,25.63
5542,2021-11-09,25.87,26.11,25.54,25.71
5541,2021-11-08,26.54,26.86,25.96,26.1
5540,2021-11-05,26.32,27.12,26.3,26.36
5539,2021-11-04,26.2,26.44,25.54,25.95
5538,2021-11-03,25.47,26.76,24.79,26.25
5537,2021-11-02,26.18,26.275,25.83,26.09
5536,2021-11-01,25.71,26.34,25.7,26.26
5535,2021-10-29,26.77,26.82,25.33,25.47
5534,2021-10-28,26.8,27.0,26.41,26.81
5533,2021-10-27,27.5,27.655,27.0,27.0
5532,2021-10-26,28.21,28.55,27.72,27.72
5531,2021-10-25,28.0,28.13,27.67,27.69
5530,2021-10-22,27.99,28.11,27.7101,27.86
5529,2021-10-21,28.55,28.64,27.635,27.87
5528,2021-10-20,27.76,28.63,27.65,28.63
5527,2021-10-19,27.82,27.98,27.66,27.9
5526,2021-10-18,27.25,27.76,27.23,27.53
5525,2021-10-15,27.92,28.04,27.48,27.48
5524,2021-10-14,27.4,27.625,27.21,27.51
5523,2021-10-13,27.35,27.47,26.7,27.05
5522,2021-10-12,28.12,28.23,27.4,27.49
5521,2021-10-11,28.67,28.935,28.1131,28.18
5520,2021-10-08,27.25,28.605,27.15,28.32
5519,2021-10-07,26.88,27.45,26.86,27.25
5518,2021-10-06,26.28,26.88,26.105,26.65
5517,2021-10-05,26.09,26.74,25.88,26.68
5516,2021-10-04,25.85,26.49,25.78,26.0
5515,2021-10-01,25.2,26.01,24.97,25.85
5514,2021-09-30,25.22,25.455,24.99,25.06
5513,2021-09-29,24.93,25.08,24.58,25.05
5512,2021-09-28,25.51,25.565,24.75,24.78
5511,2021-09-27,24.69,25.605,24.68,25.32
5510,2021-09-24,24.18,24.755,24.07,24.34
5509,2021-09-23,23.84,24.47,23.77,24.11
5508,2021-09-22,23.76,24.03,23.6,23.61
5507,2021-09-21,23.99,24.07,23.42,23.42
5506,2021-09-20,23.87,23.98,23.295,23.85
5505,2021-09-17,25.89,26.37,24.07,24.27
5504,2021-09-16,26.13,26.26,25.705,25.83
5503,2021-09-15,26.02,26.31,25.675,26.03
5502,2021-09-14,26.32,26.48,25.8232,26.08
5501,2021-09-13,26.06,26.435,25.8,26.28
5500,2021-09-10,26.56,26.71,25.78,25.79
5499,2021-09-09,26.0,26.69,25.88,26.32
5498,2021-09-08,26.27,26.38,25.955,26.13
5497,2021-09-07,26.31,26.95,26.23,26.24
5496,2021-09-03,26.48,26.65,26.14,26.41
5495,2021-09-02,26.45,26.73,26.1813,26.51
5494,2021-09-01,26.83,26.84,26.31,26.39
5493,2021-08-31,26.41,26.96,26.38,26.62
5492,2021-08-30,27.17,27.17,26.5,26.51
5491,2021-08-27,26.68,27.1774,26.58,27.08
5490,2021-08-26,26.82,26.99,26.475,26.52
5489,2021-08-25,26.65,27.18,26.46,26.81
5488,2021-08-24,26.13,26.69,25.98,26.54
5487,2021-08-23,25.75,26.18,25.75,25.93
5486,2021-08-20,25.18,25.45,25.03,25.43
5485,2021-08-19,25.58,25.9,25.16,25.29
5484,2021-08-18,26.11,26.64,25.99,26.06
5483,2021-08-17,26.27,26.5601,25.97,26.36
5482,2021-08-16,26.86,27.08,26.48,26.65
5481,2021-08-13,27.38,27.52,27.0,27.05
5480,2021-08-12,27.43,27.56,27.02,27.35
5479,2021-08-11,27.04,27.53,26.675,27.38
5478,2021-08-10,26.47,27.24,26.32,26.91
5477,2021-08-09,26.5,26.88,26.12,26.58
5476,2021-08-06,25.98,26.78,25.98,26.63
5475,2021-08-05,25.08,25.77,24.97,25.5
5474,2021-08-04,25.7,26.35,24.77,24.84
5473,2021-08-03,27.37,27.44,26.35,27.25
5472,2021-08-02,27.6,28.28,27.145,27.2
5471,2021-07-30,27.54,27.88,27.26,27.4
5470,2021-07-29,27.85,28.135,27.525,27.66
5469,2021-07-28,27.96,28.06,27.26,27.72
5468,2021-07-27,27.56,28.065,27.35,27.8
5467,2021-07-26,27.6,28.25,27.59,27.96
5466,2021-07-23,27.69,27.95,27.37,27.53
5465,2021-07-22,27.81,27.81,27.25,27.37
5464,2021-07-21,27.55,28.43,27.4,27.88
5463,2021-07-20,26.05,27.4,26.0,27.06
5462,2021-07-19,26.3,26.45,25.71,26.1
5461,2021-07-16,27.81,27.81,26.95,27.04
5460,2021-07-15,27.18,27.81,27.16,27.59
5459,2021-07-14,27.72,28.24,27.295,27.58
5458,2021-07-13,28.07,28.24,27.53,27.64
5457,2021-07-12,27.77,28.37,27.33,28.2
5456,2021-07-09,27.46,27.935,27.28,27.91
5455,2021-07-08,26.9,27.14,26.34,26.7
5454,2021-07-07,27.3,27.75,27.17,27.53
5453,2021-07-06,28.56,28.6,27.485,27.68
5452,2021-07-02,28.74,28.78,28.52,28.69
5451,2021-07-01,28.66,28.92,28.44,28.83
5450,2021-06-30,28.0,28.42,27.99,28.4
5449,2021-06-29,28.75,29.09,28.05,28.18
5448,2021-06-28,29.15,29.195,28.255,28.41
5447,2021-06-25,28.65,29.455,28.41,29.33
5446,2021-06-24,28.0,28.52,27.76,28.43
5445,2021-06-23,28.01,28.185,27.84,27.86
5444,2021-06-22,28.14,28.23,27.59,27.86
5443,2021-06-21,27.34,28.2,27.34,28.2
5442,2021-06-18,27.77,28.06,26.97,27.03
5441,2021-06-17,30.61,30.63,28.18,28.27
5440,2021-06-16,30.11,30.65,29.76,30.43
5439,2021-06-15,30.23,30.66,30.0,30.31
5438,2021-06-14,30.48,30.7,30.11,30.19
5437,2021-06-11,30.48,30.6,30.26,30.43
5436,2021-06-10,31.47,31.6,30.31,30.32
5435,2021-06-09,31.68,31.68,30.96,30.97
5434,2021-06-08,31.52,31.95,31.01,31.9
5433,2021-06-07,31.56,31.825,31.305,31.72
5432,2021-06-04,31.55,31.59,31.08,31.43
5431,2021-06-03,31.35,31.8969,31.21,31.63
5430,2021-06-02,31.71,31.98,31.3,31.56
5429,2021-06-01,31.42,31.7,31.18,31.51
5428,2021-05-28,31.0,31.05,30.18,30.97
5427,2021-05-27,30.33,30.975,30.25,30.95
5426,2021-05-26,29.61,29.95,29.33,29.87
5425,2021-05-25,30.25,30.69,29.39,29.45
5424,2021-05-24,30.24,30.35,29.97,30.27
5423,2021-05-21,29.87,30.435,29.87,30.14
5422,2021-05-20,30.29,30.36,29.53,29.76
5421,2021-05-19,30.11,30.39,29.36,30.36
5420,2021-05-18,30.66,31.13,30.57,30.59
5419,2021-05-17,30.64,30.97,30.39,30.88
5418,2021-05-14,30.24,30.79,30.0592,30.74
5417,2021-05-13,28.8,30.25,28.76,30.06
5416,2021-05-12,30.27,30.38,28.94,29.02
5415,2021-05-11,30.05,30.39,29.655,29.88
5414,2021-05-10,30.0,30.82,29.94,30.31
5413,2021-05-07,29.44,29.91,29.36,29.89
5412,2021-05-06,29.52,30.23,28.99,30.05
5411,2021-05-05,29.04,29.73,28.6,29.48
5410,2021-05-04,28.8,29.0,28.23,28.77
5409,2021-05-03,28.79,29.216,28.57,28.84
5408,2021-04-30,28.68,28.88,28.19,28.26
5407,2021-04-29,28.91,29.2,28.57,28.88
5406,2021-04-28,28.95,29.15,28.73,28.91
5405,2021-04-27,28.58,28.82,28.45,28.78
5404,2021-04-26,28.94,29.21,28.39,28.55
5403,2021-04-23,28.28,28.92,28.1,28.77
5402,2021-04-22,28.82,28.82,28.11,28.28
5401,2021-04-21,28.13,28.85,27.85,28.83
5400,2021-04-20,28.79,28.825,27.87,28.2
5399,2021-04-19,29.23,29.4117,28.93,29.12
5398,2021-04-16,29.27,29.555,29.06,29.1
5397,2021-04-15,29.01,29.18,28.58,28.89
5396,2021-04-14,28.36,29.235,28.33,29.04
5395,2021-04-13,28.34,28.65,27.98,28.35
5394,2021-04-12,27.85,28.68,27.85,28.58
5393,2021-04-09,27.5,27.68,27.335,27.63
5392,2021-04-08,27.7,27.87,27.1,27.24
5391,2021-04-07,27.76,28.0201,27.6,27.97
5390,2021-04-06,27.87,28.055,27.56,27.65
5389,2021-04-05,28.52,28.69,27.8,27.82
5388,2021-04-01,27.59,28.15,27.59,28.14
5387,2021-03-31,27.74,28.19,27.68,27.83
5386,2021-03-30,27.36,27.99,27.36,27.93
5385,2021-03-29,27.2,27.53,26.76,27.1
5384,2021-03-26,27.39,27.97,27.11,27.72
5383,2021-03-25,26.04,27.1855,25.73,27.03
5382,2021-03-24,26.69,27.22,26.065,26.08
5381,2021-03-23,26.9,27.21,26.092,26.29
5380,2021-03-22,27.6,27.82,27.13,27.25
5379,2021-03-19,28.2,28.44,27.6,27.89
5378,2021-03-18,28.63,29.465,28.32,28.47
5377,2021-03-17,28.36,28.59,27.94,28.26
5376,2021-03-16,28.5,28.65,27.48,27.99
5375,2021-03-15,28.99,29.0,28.09,28.82
5374,2021-03-12,29.5,29.58,28.945,29.04
5373,2021-03-11,29.03,29.51,28.75,28.96
5372,2021-03-10,28.59,29.54,28.46,29.31
5371,2021-03-09,28.97,29.29,28.2799,28.5
5370,2021-03-08,29.23,30.34,29.04,29.44
5369,2021-03-05,27.87,28.9,26.96,28.79
5368,2021-03-04,28.18,28.35,26.7211,27.3
5367,2021-03-03,27.21,28.78,27.18,28.2
5366,2021-03-02,27.1,27.33,26.88,26.88
5365,2021-03-01,27.12,27.515,27.01,27.2
5364,2021-02-26,26.87,27.34,26.1,26.48
5363,2021-02-25,28.03,28.17,26.98,27.15
5362,2021-02-24,26.81,27.88,26.78,27.8
5361,2021-02-23,26.9,26.94,25.92,26.63
5360,2021-02-22,25.54,26.82,25.54,26.55
5359,2021-02-19,25.34,25.8,25.255,25.61
5358,2021-02-18,25.55,25.89,24.755,25.05
5357,2021-02-17,25.6,26.06,25.565,25.79
5356,2021-02-16,24.92,25.9,24.89,25.56
5355,2021-02-12,24.26,25.14,24.24,24.74
5354,2021-02-11,24.15,24.48,23.85,24.28
5353,2021-02-10,23.97,24.305,23.68,24.17
5352,2021-02-09,23.77,23.99,23.54,23.87
5351,2021-02-08,23.39,23.965,23.2,23.93
5350,2021-02-05,24.54,24.69,23.32,23.35
5349,2021-02-04,24.18,24.72,24.06,24.69
5348,2021-02-03,23.88,24.115,23.75,24.06
5347,2021-02-02,24.09,24.19,23.64,23.88
5346,2021-02-01,23.39,23.78,22.985,23.73
5345,2021-01-29,24.29,24.495,23.14,23.23
5344,2021-01-28,24.69,25.05,24.265,24.31
5343,2021-01-27,24.74,25.05,24.44,24.71
5342,2021-01-26,25.17,25.345,24.8,25.18
5341,2021-01-25,25.05,25.22,24.595,25.03
5340,2021-01-22,25.1,25.51,24.93,25.4
5339,2021-01-21,25.84,26.11,25.49,25.49
5338,2021-01-20,26.01,26.16,25.73,25.87
5337,2021-01-19,25.44,26.3,25.37,26.06
5336,2021-01-15,24.98,25.36,24.7,25.22
5335,2021-01-14,24.66,25.54,24.59,25.38
5334,2021-01-13,24.5,24.61,24.18,24.47
5333,2021-01-12,23.8,24.875,23.69,24.59
5332,2021-01-11,23.07,23.64,22.88,23.54
5331,2021-01-08,23.89,23.9,22.88,23.34
5330,2021-01-07,24.07,24.1,23.51,23.52
5329,2021-01-06,22.96,24.1,22.83,23.74
5328,2021-01-05,22.06,22.52,21.87,22.27
5327,2021-01-04,22.96,23.15,22.07,22.09
5326,2020-12-31,22.4,23.05,22.285,22.94
5325,2020-12-30,22.18,22.6,22.18,22.44
5324,2020-12-29,22.2,22.4,22.02,22.19
5323,2020-12-28,22.11,22.67,22.075,22.09
5322,2020-12-24,21.96,22.01,21.59,21.92
