,Date,Open,High,Low,Close
5578,2021-12-31,249.54,253.33,249.14,251.93
5577,2021-12-30,251.27,251.655,248.58,249.54
5576,2021-12-29,250.01,251.77,249.44,251.03
5575,2021-12-28,247.86,250.33,247.34,249.23
5574,2021-12-27,246.21,248.25,245.42,247.95
5573,2021-12-23,243.27,246.81,243.145,245.64
5572,2021-12-22,242.0,243.61,241.09,242.89
5571,2021-12-21,242.7,244.39,240.77,242.22
5570,2021-12-20,239.98,240.9,238.07,240.64
5569,2021-12-17,246.59,247.32,242.23,242.69
5568,2021-12-16,247.91,249.9,246.29,248.35
5567,2021-12-15,246.08,247.36,244.01,247.12
5566,2021-12-14,245.51,247.0,243.28,244.61
5565,2021-12-13,247.57,248.47,244.39,245.74
5564,2021-12-10,248.64,249.7,247.07,248.46
5563,2021-12-09,247.06,249.3912,246.06,247.25
5562,2021-12-08,247.3,248.68,245.2,247.6
5561,2021-12-07,247.26,249.94,246.81,247.47
5560,2021-12-06,243.31,247.6,241.77,246.06
5559,2021-12-03,241.17,243.03,238.05,240.43
5558,2021-12-02,235.32,241.44,234.09,240.08
5557,2021-12-01,237.63,239.71,233.21,233.25
5556,2021-11-30,237.84,239.43,235.3,235.64
5555,2021-11-29,241.5,243.01,239.34,239.46
5554,2021-11-26,240.38,241.68,237.66,239.79
5553,2021-11-24,246.63,247.15,245.22,246.6
5552,2021-11-23,243.38,247.76,242.77,247.37
5551,2021-11-22,241.7,247.12,240.82,243.91
5550,2021-11-19,241.19,243.0,238.23,241.31
5549,2021-11-18,239.54,241.53,238.03,240.24
5548,2021-11-17,241.36,241.96,238.68,239.75
5547,2021-11-16,242.01,244.34,240.98,241.48
5546,2021-11-15,242.52,243.03,240.87,241.46
5545,2021-11-12,241.01,244.04,239.86,242.44
5544,2021-11-11,241.0,241.13,239.01,240.56
5543,2021-11-10,241.63,242.5,240.47,241.54
5542,2021-11-09,239.02,241.1,238.36,241.0
5541,2021-11-08,240.0,240.0,237.5905,239.45
5540,2021-11-05,239.0,240.283,237.95,238.83
5539,2021-11-04,239.76,239.89,236.0,237.2
5538,2021-11-03,239.82,240.8,237.04,239.46
5537,2021-11-02,240.28,242.44,238.74,240.44
5536,2021-11-01,242.16,242.27,237.645,239.46
5535,2021-10-29,240.42,242.8942,239.4,241.4
5534,2021-10-28,240.35,242.44,240.1,242.3
5533,2021-10-27,240.56,243.27,239.32,239.38
5532,2021-10-26,241.91,243.91,239.77,240.72
5531,2021-10-25,238.3,241.18,237.18,240.28
5530,2021-10-22,233.1,239.65,232.46,237.59
5529,2021-10-21,229.5,232.09,226.94,231.28
5528,2021-10-20,226.15,228.405,224.22,228.01
5527,2021-10-19,227.3,227.49,224.87,225.76
5526,2021-10-18,224.0,226.55,222.9,225.93
5525,2021-10-15,222.94,225.7,221.94,225.16
5524,2021-10-14,217.78,221.59,217.51,221.34
5523,2021-10-13,213.76,216.575,213.25,215.85
5522,2021-10-12,214.65,215.36,213.0,213.41
5521,2021-10-11,216.86,218.07,214.87,214.91
5520,2021-10-08,215.17,216.72,214.47,216.48
5519,2021-10-07,214.55,215.45,211.295,211.88
5518,2021-10-06,207.84,212.95,206.55,212.44
5517,2021-10-05,205.13,211.97,205.13,209.97
5516,2021-10-04,203.95,206.62,203.6,205.51
5515,2021-10-01,197.79,202.92,197.29,201.74
5514,2021-09-30,202.25,202.305,195.93,196.01
5513,2021-09-29,201.3,202.63,200.93,201.68
5512,2021-09-28,201.55,202.76,199.71,201.12
5511,2021-09-27,203.59,206.49,203.55,203.96
5510,2021-09-24,201.16,204.87,201.1,203.8
5509,2021-09-23,199.3,203.31,199.18,201.72
5508,2021-09-22,198.4,200.17,197.69,198.07
5507,2021-09-21,199.12,199.58,196.17,196.61
5506,2021-09-20,198.86,199.9225,195.675,197.87
5505,2021-09-17,202.87,204.565,200.84,201.47
5504,2021-09-16,205.0,205.91,203.11,203.44
5503,2021-09-15,203.43,204.65,202.61,204.25
5502,2021-09-14,207.5,207.5,202.61,203.41
5501,2021-09-13,209.05,209.55,205.22,206.75
5500,2021-09-10,211.0,211.93,207.6,207.76
5499,2021-09-09,214.75,215.19,209.05,210.05
5498,2021-09-08,213.31,215.93,212.27,215.25
5497,2021-09-07,214.7,216.75,212.7,213.0
5496,2021-09-03,217.0,217.35,214.441,214.91
5495,2021-09-02,217.33,219.1,216.855,217.53
5494,2021-09-01,216.04,218.56,214.8,216.93
5493,2021-08-31,219.59,219.85,215.535,216.84
5492,2021-08-30,220.24,220.615,218.74,219.08
5491,2021-08-27,221.32,222.59,221.155,221.43
5490,2021-08-26,221.32,222.18,219.54,220.98
5489,2021-08-25,221.575,222.027,220.445,221.29
5488,2021-08-24,223.85,224.335,221.11,221.25
5487,2021-08-23,224.37,226.08,223.51,223.78
5486,2021-08-20,223.95,224.77,223.13,223.71
5485,2021-08-19,223.1,225.51,222.4,223.77
5484,2021-08-18,224.44,228.28,224.19,224.82
5483,2021-08-17,226.75,226.85,223.13,225.86
5482,2021-08-16,227.45,228.07,225.03,227.49
5481,2021-08-13,228.09,228.57,226.6,227.8
5480,2021-08-12,225.29,227.865,225.09,227.66
5479,2021-08-11,222.37,226.58,221.86,226.39
5478,2021-08-10,220.62,222.93,219.46,221.71
5477,2021-08-09,219.88,220.58,219.44,219.95
5476,2021-08-06,219.89,221.7,219.62,220.5
5475,2021-08-05,218.39,219.59,217.58,219.16
5474,2021-08-04,219.44,219.62,217.185,217.62
5473,2021-08-03,217.91,220.73,217.14,220.06
5472,2021-08-02,220.49,220.945,217.38,217.52
5471,2021-07-30,216.73,219.6,216.73,218.76
5470,2021-07-29,218.2,219.63,217.24,217.32
5469,2021-07-28,218.8,219.075,215.54,216.56
5468,2021-07-27,219.25,220.4,217.19,218.03
5467,2021-07-26,219.93,222.0,218.61,220.19
5466,2021-07-23,220.5,221.65,219.4652,220.15
5465,2021-07-22,223.18,224.5,219.05,219.54
5464,2021-07-21,216.45,219.215,216.22,217.19
5463,2021-07-20,213.99,217.64,213.99,215.48
5462,2021-07-19,215.16,215.89,212.94,214.34
5461,2021-07-16,219.89,220.82,217.81,218.42
5460,2021-07-15,218.84,220.88,217.91,219.94
5459,2021-07-14,219.92,221.41,219.25,220.05
5458,2021-07-13,220.87,221.3974,219.0,219.18
5457,2021-07-12,221.0,222.1264,219.66,221.22
5456,2021-07-09,220.0,222.65,219.73,221.69
5455,2021-07-08,222.1,223.22,217.41,218.34
5454,2021-07-07,222.82,228.74,222.51,228.35
5453,2021-07-06,225.23,225.495,221.31,223.81
5452,2021-07-02,224.1,225.93,223.42,224.72
5451,2021-07-01,221.52,223.67,221.31,223.55
5450,2021-06-30,218.54,220.73,217.77,219.93
5449,2021-06-29,219.89,220.38,217.95,218.65
5448,2021-06-28,221.25,221.52,218.12,219.13
5447,2021-06-25,219.0,221.5,218.29,221.27
5446,2021-06-24,219.55,219.845,216.98,218.47
5445,2021-06-23,219.84,221.4,218.74,219.11
5444,2021-06-22,216.72,219.37,216.03,218.99
5443,2021-06-21,216.03,218.8548,215.57,217.51
5442,2021-06-18,216.35,217.29,214.505,214.81
5441,2021-06-17,221.92,222.48,217.1601,219.07
5440,2021-06-16,223.58,223.58,220.38,222.06
5439,2021-06-15,223.47,223.89,222.175,222.84
5438,2021-06-14,220.58,222.75,220.2,222.62
5437,2021-06-11,220.83,222.21,220.69,221.33
5436,2021-06-10,222.33,223.17,219.4,219.59
5435,2021-06-09,221.58,222.52,220.31,221.5
5434,2021-06-08,222.18,223.4692,219.64,221.83
5433,2021-06-07,226.71,226.71,222.82,222.95
5432,2021-06-04,226.51,227.1,224.5315,226.17
5431,2021-06-03,223.47,226.81,222.88,224.95
5430,2021-06-02,224.24,226.345,223.69,224.45
5429,2021-06-01,226.35,227.38,224.94,225.03
