,Date,Open,High,Low,Close
1647,2021-12-31,28.04,28.51,27.93,28.35
1646,2021-12-30,28.31,28.59,28.02,28.1
1645,2021-12-29,28.13,28.51,28.09,28.44
1644,2021-12-28,27.7,28.265,27.7,28.1
1643,2021-12-27,27.5,27.915,27.22,27.77
1642,2021-12-23,27.37,27.595,27.35,27.4
1641,2021-12-22,26.9,27.44,26.82,27.25
1640,2021-12-21,26.63,26.99,26.58,26.76
1639,2021-12-20,25.95,26.37,25.2975,26.29
1638,2021-12-17,26.69,26.905,26.22,26.41
1637,2021-12-16,27.21,27.78,26.81,26.81
1636,2021-12-15,26.99,27.13,26.41,27.05
1635,2021-12-14,26.84,27.11,26.6556,26.77
1634,2021-12-13,27.47,27.69,26.9,26.94
1633,2021-12-10,28.19,28.39,27.555,27.77
1632,2021-12-09,27.8,28.28,27.74,27.95
1631,2021-12-08,28.16,28.56,28.04,28.04
1630,2021-12-07,27.76,28.68,27.76,28.22
1629,2021-12-06,26.77,27.41,26.53,27.29
1628,2021-12-03,26.82,27.03,26.07,26.32
1627,2021-12-02,26.01,26.85,26.01,26.67
1626,2021-12-01,26.62,27.09,25.8,25.8
1625,2021-11-30,26.76,26.835,25.91,25.91
1624,2021-11-29,27.34,27.4,26.92,27.05
1623,2021-11-26,27.27,27.33,26.462,26.99
1622,2021-11-24,28.24,28.47,28.03,28.14
1621,2021-11-23,28.4,28.8,28.37,28.49
1620,2021-11-22,28.32,28.68,28.11,28.42
1619,2021-11-19,28.18,28.405,28.04,28.09
1618,2021-11-18,29.23,29.3028,28.305,28.45
1617,2021-11-17,29.16,29.4,28.69,29.09
1616,2021-11-16,28.78,29.31,28.63,29.15
1615,2021-11-15,29.0,29.22,28.78,28.96
1614,2021-11-12,28.53,28.98,28.37,28.9
1613,2021-11-11,28.24,28.67,28.21,28.34
1612,2021-11-10,28.44,28.67,28.24,28.25
1611,2021-11-09,28.75,29.0,28.43,28.52
1610,2021-11-08,29.52,29.77,28.68,28.74
1609,2021-11-05,29.08,29.49,28.885,29.16
1608,2021-11-04,29.43,29.44,28.59,28.68
1607,2021-11-03,28.09,29.6,27.98,29.2
1606,2021-11-02,27.4,28.5,26.98,27.93
1605,2021-11-01,25.65,26.55,25.65,26.18
1604,2021-10-29,25.68,25.88,25.51,25.58
1603,2021-10-28,25.6,25.795,25.4,25.77
1602,2021-10-27,25.87,25.9311,25.53,25.54
1601,2021-10-26,26.08,26.21,25.93,26.02
1600,2021-10-25,25.96,26.22,25.8,26.04
1599,2021-10-22,25.79,25.97,25.68,25.81
1598,2021-10-21,25.91,25.98,25.63,25.75
1597,2021-10-20,25.64,26.07,25.61,25.99
1596,2021-10-19,25.92,26.02,25.66,25.75
1595,2021-10-18,25.58,25.8,25.4,25.79
1594,2021-10-15,26.37,26.44,25.73,25.74
1593,2021-10-14,25.82,26.12,25.63,26.11
1592,2021-10-13,25.51,25.72,25.15,25.51
1591,2021-10-12,25.26,25.455,25.18,25.45
1590,2021-10-11,25.43,25.58,25.19,25.24
1589,2021-10-08,25.08,25.59,24.98,25.3
1588,2021-10-07,24.82,25.24,24.64,25.1
1587,2021-10-06,24.44,24.59,24.1,24.58
1586,2021-10-05,24.7,24.92,24.46,24.84
1585,2021-10-04,24.6,24.98,24.42,24.49
1584,2021-10-01,23.82,24.75,23.82,24.51
1583,2021-09-30,24.21,24.36,23.76,23.82
1582,2021-09-29,24.12,24.28,23.62,24.17
1581,2021-09-28,24.55,24.7123,23.99,24.03
1580,2021-09-27,24.07,24.86,24.04,24.45
1579,2021-09-24,23.5,24.025,23.435,23.92
1578,2021-09-23,23.37,23.735,23.2,23.6
1577,2021-09-22,23.29,23.5,23.08,23.21
1576,2021-09-21,22.7,23.1,22.53,23.0
1575,2021-09-20,21.84,22.21,21.56,22.05
1574,2021-09-17,22.81,22.99,22.41,22.49
1573,2021-09-16,22.89,23.09,22.77,22.94
1572,2021-09-15,22.64,22.98,22.64,22.88
1571,2021-09-14,22.88,22.98,22.29,22.62
1570,2021-09-13,22.67,22.96,22.595,22.74
1569,2021-09-10,23.11,23.21,22.51,22.51
1568,2021-09-09,22.9,23.221,22.84,22.86
1567,2021-09-08,23.19,23.34,22.865,22.91
1566,2021-09-07,23.47,23.63,23.18,23.21
1565,2021-09-03,23.73,23.905,23.43,23.57
1564,2021-09-02,23.55,23.96,23.36,23.82
1563,2021-09-01,23.62,23.67,23.14,23.49
1562,2021-08-31,23.65,23.88,23.48,23.61
1561,2021-08-30,24.22,24.22,23.595,23.68
1560,2021-08-27,23.69,24.351,23.49,24.11
1559,2021-08-26,23.93,23.93,23.55,23.6
1558,2021-08-25,24.12,24.25,23.79,23.89
1557,2021-08-24,22.98,23.43,22.98,23.12
1556,2021-08-23,22.92,23.08,22.72,22.97
1555,2021-08-20,22.29,22.72,22.26,22.67
1554,2021-08-19,22.63,22.82,22.2,22.32
1553,2021-08-18,23.275,23.71,22.955,22.97
1552,2021-08-17,23.44,23.58,23.09,23.29
1551,2021-08-16,23.66,23.76,23.41,23.59
1550,2021-08-13,23.95,24.06,23.705,23.76
1549,2021-08-12,24.07,24.0925,23.68,23.91
1548,2021-08-11,24.14,24.22,23.85,24.12
1547,2021-08-10,23.82,24.16,23.72,24.02
1546,2021-08-09,23.84,23.945,23.57,23.8
1545,2021-08-06,23.775,24.44,23.775,24.01
1544,2021-08-05,23.73,23.97,23.5,23.51
1543,2021-08-04,24.01,24.08,23.4,23.49
1542,2021-08-03,23.67,24.24,22.62,24.0
1541,2021-08-02,24.64,25.22,24.47,24.61
1540,2021-07-30,24.43,24.9,24.36,24.54
1539,2021-07-29,24.41,24.72,24.12,24.54
1538,2021-07-28,23.74,24.26,23.61,24.08
1537,2021-07-27,23.7,23.85,23.44,23.79
1536,2021-07-26,23.69,24.05,23.59,23.97
1535,2021-07-23,23.36,23.6299,23.07,23.6
1534,2021-07-22,23.81,23.905,23.19,23.19
1533,2021-07-21,23.75,24.17,23.75,23.86
1532,2021-07-20,23.08,23.79,22.99,23.62
1531,2021-07-19,22.91,23.08,22.43,23.02
1530,2021-07-16,24.32,24.45,23.39,23.4
1529,2021-07-15,24.09,24.32,24.02,24.11
1528,2021-07-14,24.51,24.71,24.08,24.23
1527,2021-07-13,24.5,24.55,24.285,24.42
1526,2021-07-12,24.38,24.72,24.16,24.64
1525,2021-07-09,24.34,24.76,24.34,24.63
1524,2021-07-08,23.77,24.38,23.51,23.99
1523,2021-07-07,23.87,24.44,23.85,24.38
1522,2021-07-06,24.2,24.22,23.5,23.97
1521,2021-07-02,24.63,24.63,24.28,24.33
1520,2021-07-01,24.46,24.85,24.43,24.59
1519,2021-06-30,24.44,24.58,24.34,24.38
1518,2021-06-29,24.99,25.19,24.42,24.46
1517,2021-06-28,25.46,25.545,24.56,24.74
1516,2021-06-25,25.7,25.91,25.47,25.61
1515,2021-06-24,25.6,25.68,25.31,25.61
1514,2021-06-23,25.68,25.83,25.43,25.46
1513,2021-06-22,25.34,25.755,25.11,25.55
1512,2021-06-21,25.23,25.65,25.16,25.53
1511,2021-06-18,25.03,25.34,24.8,24.94
1510,2021-06-17,26.55,26.6,25.11,25.55
1509,2021-06-16,27.15,27.22,26.4,26.56
1508,2021-06-15,27.46,27.58,27.14,27.27
1507,2021-06-14,27.5,27.605,27.18,27.31
1506,2021-06-11,27.32,27.59,27.22,27.56
1505,2021-06-10,27.91,27.91,27.12,27.26
1504,2021-06-09,27.73,27.94,27.53,27.55
1503,2021-06-08,27.55,28.0,27.21,27.9
1502,2021-06-07,27.83,27.91,27.56,27.65
1501,2021-06-04,27.62,27.885,27.55,27.8
1500,2021-06-03,27.35,27.665,27.17,27.54
1499,2021-06-02,27.75,27.75,27.33,27.57
1498,2021-06-01,27.35,27.81,27.14,27.8
1497,2021-05-28,27.06,27.2,26.71,27.09
1496,2021-05-27,27.26,27.46,26.98,27.06
1495,2021-05-26,27.16,27.31,26.86,27.0
1494,2021-05-25,27.42,27.51,26.99,27.16
1493,2021-05-24,27.3,27.42,27.05,27.28
1492,2021-05-21,27.02,27.41,26.92,27.2
1491,2021-05-20,26.82,27.06,26.45,26.92
1490,2021-05-19,26.6,27.1,26.28,26.86
1489,2021-05-18,27.0,27.0,26.67,26.85
1488,2021-05-17,26.2,27.0,25.82,26.98
1487,2021-05-14,25.86,26.18,25.76,26.15
1486,2021-05-13,25.89,26.07,25.4301,25.58
1485,2021-05-12,26.0,26.09,25.17,25.29
1484,2021-05-11,25.48,26.29,25.08,26.13
1483,2021-05-10,24.66,25.7163,24.63,24.76
1482,2021-05-07,24.16,24.53,23.895,24.26
1481,2021-05-06,23.95,24.3,23.75,24.29
1480,2021-05-05,23.84,23.95,23.71,23.75
1479,2021-05-04,23.43,23.72,23.18,23.68
1478,2021-05-03,23.71,23.79,23.4,23.51
1477,2021-04-30,23.49,23.7,23.18,23.35
1476,2021-04-29,24.15,24.41,23.48,23.73
1475,2021-04-28,23.51,23.935,23.45,23.75
