,Date,Open,High,Low,Close
5427,2021-12-31,3.42,3.44,3.35,3.39
5426,2021-12-30,3.41,3.48,3.35,3.46
5425,2021-12-29,3.35,3.46,3.29,3.35
5424,2021-12-28,3.35,3.43,3.23,3.35
5423,2021-12-27,3.43,3.51,3.18,3.38
5422,2021-12-23,3.55,3.6,3.445,3.52
5421,2021-12-22,3.55,3.6209,3.39,3.52
5420,2021-12-21,3.38,3.6,3.36,3.57
5419,2021-12-20,3.28,3.37,3.2,3.37
5418,2021-12-17,3.39,3.64,3.29,3.34
5417,2021-12-16,3.54,3.57,3.26,3.44
5416,2021-12-15,3.31,3.49,3.2163,3.49
5415,2021-12-14,3.23,3.45,3.21,3.31
5414,2021-12-13,3.51,3.55,3.28,3.29
5413,2021-12-10,3.62,3.63,3.535,3.56
5412,2021-12-09,3.56,3.64,3.5127,3.58
5411,2021-12-08,3.53,3.71,3.45,3.63
5410,2021-12-07,3.43,3.6289,3.43,3.51
5409,2021-12-06,3.32,3.4599,3.15,3.38
5408,2021-12-03,3.39,3.409,3.2119,3.3
5407,2021-12-02,3.12,3.4,3.12,3.35
5406,2021-12-01,3.39,3.5,3.15,3.15
5405,2021-11-30,3.4,3.45,3.235,3.36
5404,2021-11-29,3.44,3.5,3.327,3.42
5403,2021-11-26,3.41,3.53,3.3001,3.45
5402,2021-11-24,3.52,3.6399,3.52,3.56
5401,2021-11-23,3.51,3.66,3.43,3.55
5400,2021-11-22,3.84,3.885,3.48,3.55
5399,2021-11-19,3.75,3.99,3.66,3.83
5398,2021-11-18,3.99,4.05,3.77,3.77
5397,2021-11-17,3.96,4.15,3.96,4.0
5396,2021-11-16,4.29,4.29,3.96,3.96
5395,2021-11-15,4.43,4.4417,4.28,4.3
5394,2021-11-12,4.42,4.55,4.36,4.45
5393,2021-11-11,4.42,4.56,4.355,4.39
5392,2021-11-10,4.44,4.54,4.3,4.39
5391,2021-11-09,4.44,4.49,4.33,4.46
5390,2021-11-08,4.42,4.558,4.381,4.49
5389,2021-11-05,4.41,4.5,4.15,4.42
5388,2021-11-04,5.1,5.14,4.41,4.45
5387,2021-11-03,4.41,4.84,3.77,4.58
5386,2021-11-02,7.41,7.44,7.1,7.34
5385,2021-11-01,7.07,7.59,7.07,7.32
5384,2021-10-29,7.08,7.1517,6.82,7.07
5383,2021-10-28,7.12,7.2299,7.0,7.1
5382,2021-10-27,6.86,7.19,6.76,7.1
5381,2021-10-26,6.8,6.93,6.62,6.9
5380,2021-10-25,6.87,7.0708,6.75,6.77
5379,2021-10-22,6.71,7.2401,6.605,6.86
5378,2021-10-21,6.74,6.96,6.49,6.71
5377,2021-10-20,6.78,6.9483,6.7,6.87
5376,2021-10-19,6.73,6.9899,6.68,6.75
5375,2021-10-18,6.51,6.8543,6.51,6.61
5374,2021-10-15,7.1,7.1,6.56,6.57
5373,2021-10-14,7.15,7.15,6.91,6.98
5372,2021-10-13,7.14,7.2,6.93,6.98
5371,2021-10-12,6.91,7.13,6.77,7.1
5370,2021-10-11,7.13,7.15,6.83,6.94
5369,2021-10-08,7.44,7.44,7.045,7.11
5368,2021-10-07,7.31,7.4562,7.2006,7.37
5367,2021-10-06,7.12,7.35,7.07,7.25
5366,2021-10-05,7.46,7.46,7.05,7.26
5365,2021-10-04,7.16,7.415,7.0,7.4
5364,2021-10-01,6.87,7.44,6.82,7.19
5363,2021-09-30,6.98,7.18,6.74,6.81
5362,2021-09-29,6.87,7.13,6.8,6.92
5361,2021-09-28,6.98,7.27,6.79,6.8
