,Date,Open,High,Low,Close
5578,2021-12-31,4.74,4.82,4.6,4.65
5577,2021-12-30,4.66,4.8298,4.63,4.64
5576,2021-12-29,4.77,4.84,4.6101,4.66
5575,2021-12-28,4.82,4.97,4.72,4.74
5574,2021-12-27,5.01,5.0823,4.83,4.85
5573,2021-12-23,4.9,5.06,4.81,4.98
5572,2021-12-22,4.83,5.07,4.8101,4.91
5571,2021-12-21,4.72,4.95,4.71,4.84
5570,2021-12-20,4.65,4.78,4.49,4.66
5569,2021-12-17,4.75,5.22,4.5521,4.81
5568,2021-12-16,5.19,5.19,4.7034,4.74
5567,2021-12-15,4.74,5.15,4.64,5.06
5566,2021-12-14,4.93,5.09,4.72,4.8
5565,2021-12-13,4.91,5.155,4.75,4.93
5564,2021-12-10,5.31,5.3252,4.96,4.99
5563,2021-12-09,5.2,5.43,5.1003,5.2
5562,2021-12-08,5.11,5.25,5.05,5.18
5561,2021-12-07,4.75,5.1,4.7439,5.05
5560,2021-12-06,4.49,4.7644,4.39,4.65
5559,2021-12-03,4.81,4.9332,4.46,4.47
5558,2021-12-02,4.6,5.0331,4.6,4.82
5557,2021-12-01,5.17,5.25,4.57,4.6
5556,2021-11-30,5.14,5.23,4.85,5.07
5555,2021-11-29,5.27,5.35,5.1069,5.2
5554,2021-11-26,5.25,5.2648,5.0,5.22
5553,2021-11-24,5.28,5.3814,5.21,5.26
5552,2021-11-23,5.44,5.54,5.26,5.31
5551,2021-11-22,5.79,5.79,5.47,5.52
5550,2021-11-19,5.62,6.07,5.57,5.75
5549,2021-11-18,5.85,5.9077,5.53,5.64
5548,2021-11-17,6.01,6.06,5.85,5.85
5547,2021-11-16,6.13,6.1828,5.81,5.95
5546,2021-11-15,6.35,6.425,6.1643,6.18
5545,2021-11-12,6.38,6.4341,6.215,6.25
5544,2021-11-11,6.12,6.48,6.08,6.44
5543,2021-11-10,6.55,6.55,6.11,6.17
5542,2021-11-09,6.55,6.63,6.33,6.48
5541,2021-11-08,6.54,6.88,6.42,6.6
5540,2021-11-05,6.97,6.98,6.44,6.47
5539,2021-11-04,7.86,7.98,6.9601,7.0
5538,2021-11-03,7.26,8.17,6.8,7.55
5537,2021-11-02,10.5,11.05,9.8,11.0
5536,2021-11-01,9.76,10.85,9.72,10.46
5535,2021-10-29,10.19,10.19,9.36,9.5
5534,2021-10-28,11.63,12.2,10.14,10.67
5533,2021-10-27,10.725,11.8699,10.5109,11.43
5532,2021-10-26,9.84,10.9399,9.49,10.59
5531,2021-10-25,9.6,10.3945,9.261,9.78
5530,2021-10-22,8.77,11.1699,8.646,9.53
5529,2021-10-21,8.66,9.0194,8.5,8.86
5528,2021-10-20,8.45,8.85,8.4112,8.74
5527,2021-10-19,8.52,8.5899,8.26,8.45
5526,2021-10-18,8.75,9.1594,8.47,8.49
5525,2021-10-15,8.57,8.8879,8.55,8.7
5524,2021-10-14,8.8,8.8,8.45,8.53
5523,2021-10-13,8.77,8.98,8.49,8.61
5522,2021-10-12,8.58,8.9499,8.5101,8.66
5521,2021-10-11,8.5,8.64,8.42,8.51
5520,2021-10-08,8.64,8.7597,8.4552,8.55
5519,2021-10-07,8.24,8.67,8.2302,8.58
5518,2021-10-06,8.22,8.3789,7.94,8.25
5517,2021-10-05,8.32,8.81,8.03,8.22
5516,2021-10-04,8.4,8.63,8.1,8.38
5515,2021-10-01,8.16,9.09,8.1,8.31
5514,2021-09-30,8.26,8.39,8.09,8.12
5513,2021-09-29,7.87,8.4,7.842,8.31
5512,2021-09-28,7.99,8.14,7.62,7.9
5511,2021-09-27,7.51,8.17,7.5,7.93
5510,2021-09-24,7.54,7.69,7.41,7.58
5509,2021-09-23,7.59,7.7899,7.517,7.53
5508,2021-09-22,7.44,7.7199,7.41,7.61
5507,2021-09-21,7.4,7.4999,7.28,7.28
5506,2021-09-20,7.47,7.5301,7.26,7.41
5505,2021-09-17,7.72,7.7399,7.53,7.65
5504,2021-09-16,7.52,7.79,7.4739,7.64
5503,2021-09-15,7.58,7.7,7.4793,7.56
5502,2021-09-14,7.87,7.91,7.5,7.58
5501,2021-09-13,7.9,8.0,7.6416,7.87
5500,2021-09-10,7.93,8.078,7.77,7.9
5499,2021-09-09,7.91,8.1308,7.81,7.97
5498,2021-09-08,8.37,8.41,7.8,7.95
5497,2021-09-07,7.84,8.53,7.84,8.33
5496,2021-09-03,7.8,7.87,7.53,7.84
5495,2021-09-02,7.86,8.0,7.59,7.85
5494,2021-09-01,8.0,8.3,7.7,7.75
5493,2021-08-31,7.8886,8.17,7.87,7.93
5492,2021-08-30,7.28,8.35,7.2,7.87
5491,2021-08-27,7.08,7.57,7.08,7.41
5490,2021-08-26,7.24,7.54,7.08,7.09
5489,2021-08-25,7.2,7.65,7.07,7.38
