,Date,Open,High,Low,Close
1800,2021-12-31,18.74,18.8,17.91,17.94
1799,2021-12-30,18.07,19.02,18.07,18.63
1798,2021-12-29,18.0,18.38,17.56,18.13
1797,2021-12-28,18.49,18.545,17.74,17.95
1796,2021-12-27,18.83,18.85,18.34,18.36
1795,2021-12-23,18.72,18.89,18.33,18.76
1794,2021-12-22,18.92,19.09,18.49,18.58
1793,2021-12-21,18.81,19.32,18.48,18.9
1792,2021-12-20,18.51,18.92,18.02,18.67
1791,2021-12-17,18.15,18.95,17.35,18.92
1790,2021-12-16,18.75,18.85,18.08,18.11
1789,2021-12-15,18.54,18.9,18.19,18.75
1788,2021-12-14,19.12,19.72,18.57,18.67
1787,2021-12-13,19.31,19.58,18.95,19.45
1786,2021-12-10,20.53,20.82,19.42,19.5
1785,2021-12-09,21.16,21.27,20.14,20.39
1784,2021-12-08,20.52,21.4,19.89,21.07
1783,2021-12-07,20.5,21.23,20.27,20.63
1782,2021-12-06,19.8,20.38,19.23,20.21
1781,2021-12-03,20.21,20.21,19.36,19.68
1780,2021-12-02,19.01,20.17,18.88,20.15
1779,2021-12-01,19.94,20.07,18.83,18.98
1778,2021-11-30,19.64,19.955,19.185,19.58
1777,2021-11-29,20.47,20.47,19.56,19.89
1776,2021-11-26,20.45,20.84,20.01,20.21
1775,2021-11-24,20.935,21.2,20.69,20.85
1774,2021-11-23,21.03,21.23,20.8514,21.02
1773,2021-11-22,22.01,22.225,20.93,21.25
1772,2021-11-19,21.62,22.23,21.62,22.0
1771,2021-11-18,23.07,23.18,21.47,21.87
1770,2021-11-17,23.88,24.195,22.95,23.07
1769,2021-11-16,23.51,24.01,23.09,23.9
1768,2021-11-15,23.87,23.98,23.07,23.68
1767,2021-11-12,24.03,24.26,23.07,23.76
1766,2021-11-11,24.46,24.8,23.65,24.03
1765,2021-11-10,26.0,26.08,24.28,24.36
1764,2021-11-09,25.76,26.35,25.6093,25.95
1763,2021-11-08,26.47,26.5,25.55,25.7
1762,2021-11-05,26.41,28.09,25.85,26.34
1761,2021-11-04,25.24,26.45,24.31,26.01
1760,2021-11-03,32.97,34.21,32.37,33.8
1759,2021-11-02,33.28,33.4086,32.8226,33.05
1758,2021-11-01,33.29,33.92,32.3,33.31
1757,2021-10-29,32.39,33.61,31.71,33.37
1756,2021-10-28,32.03,33.1,31.97,32.54
1755,2021-10-27,32.57,32.9,31.4101,31.96
1754,2021-10-26,33.53,33.53,32.51,32.74
1753,2021-10-25,33.62,34.0,33.22,33.31
1752,2021-10-22,32.96,33.97,32.89,33.5
1751,2021-10-21,33.37,33.94,32.85,33.14
1750,2021-10-20,33.78,33.87,33.39,33.49
1749,2021-10-19,33.86,34.04,33.56,33.7
1748,2021-10-18,33.83,33.83,33.35,33.64
1747,2021-10-15,34.38,34.62,34.07,34.13
1746,2021-10-14,34.04,34.695,33.75,34.03
1745,2021-10-13,34.181,34.181,33.251,33.69
1744,2021-10-12,32.55,33.61,32.5,33.22
1743,2021-10-11,31.86,32.95,31.52,32.55
1742,2021-10-08,32.73,33.01,31.94,32.05
1741,2021-10-07,32.08,33.07,31.8,32.63
1740,2021-10-06,31.47,31.86,30.64,31.81
1739,2021-10-05,32.76,33.32,31.63,31.85
1738,2021-10-04,33.69,33.98,32.21,32.66
1737,2021-10-01,33.7,33.91,33.28,33.71
1736,2021-09-30,34.28,34.5773,33.31,33.44
1735,2021-09-29,34.56,35.11,34.01,34.12
1734,2021-09-28,35.92,36.0,34.12,34.26
1733,2021-09-27,36.4,36.8,35.8,36.64
1732,2021-09-24,36.7,37.125,36.355,36.58
1731,2021-09-23,36.58,37.16,36.08,36.97
1730,2021-09-22,36.31,36.655,36.05,36.39
1729,2021-09-21,35.28,36.16,35.28,36.04
1728,2021-09-20,35.78,36.15,34.68,35.41
1727,2021-09-17,37.11,37.29,36.1,36.66
1726,2021-09-16,36.2,37.07,36.1,36.94
1725,2021-09-15,35.61,36.305,35.3994,36.26
1724,2021-09-14,35.85,35.96,35.5,35.61
1723,2021-09-13,36.5,36.5,34.59,35.66
1722,2021-09-10,37.65,38.035,36.3,36.48
1721,2021-09-09,38.23,39.05,37.39,37.39
1720,2021-09-08,38.53,38.5476,38.0601,38.4
1719,2021-09-07,38.93,38.95,37.8541,38.62
1718,2021-09-03,38.78,39.59,38.78,38.89
1717,2021-09-02,39.73,39.81,38.82,38.92
1716,2021-09-01,39.12,39.896,38.55,39.6
1715,2021-08-31,38.66,39.27,38.61,38.98
1714,2021-08-30,38.17,38.69,37.87,38.62
1713,2021-08-27,37.08,38.2131,37.08,38.13
1712,2021-08-26,36.34,37.2,36.3,36.93
1711,2021-08-25,36.96,37.25,36.25,36.26
1710,2021-08-24,37.02,37.42,36.89,36.96
1709,2021-08-23,36.78,37.13,36.395,37.03
1708,2021-08-20,35.55,36.74,35.28,36.66
1707,2021-08-19,36.33,36.49,35.7,35.75
1706,2021-08-18,36.92,37.2,36.2201,36.52
1705,2021-08-17,37.06,37.34,36.01,36.67
1704,2021-08-16,37.8,37.83,37.11,37.48
1703,2021-08-13,38.48,38.54,37.86,38.15
1702,2021-08-12,37.37,38.62,37.1811,38.39
1701,2021-08-11,38.21,38.55,37.2,37.57
1700,2021-08-10,37.33,38.73,37.24,37.96
1699,2021-08-09,36.67,37.3,36.28,37.09
1698,2021-08-06,35.43,36.72,35.021,36.51
1697,2021-08-05,35.23,36.89,35.21,35.56
1696,2021-08-04,34.91,35.1134,34.18,34.83
1695,2021-08-03,35.43,35.79,34.89,35.02
1694,2021-08-02,36.16,36.28,35.39,35.45
1693,2021-07-30,36.25,36.385,35.65,36.0
1692,2021-07-29,37.23,37.53,36.57,36.57
1691,2021-07-28,37.07,37.55,36.86,37.12
1690,2021-07-27,37.98,37.98,36.56,37.0
1689,2021-07-26,37.97,38.33,37.575,38.0
1688,2021-07-23,38.21,38.295,37.66,38.03
1687,2021-07-22,38.33,38.96,37.83,38.03
1686,2021-07-21,37.84,38.5,37.33,38.22
1685,2021-07-20,37.28,38.415,37.28,37.82
1684,2021-07-19,37.06,37.8299,36.51,37.31
1683,2021-07-16,38.18,38.73,37.64,37.73
1682,2021-07-15,38.77,38.9,37.41,37.86
1681,2021-07-14,41.12,41.24,38.73,38.94
1680,2021-07-13,40.16,41.273,40.16,40.88
1679,2021-07-12,41.22,41.25,39.9,40.35
1678,2021-07-09,40.35,41.27,39.88,41.02
1677,2021-07-08,40.5,41.02,39.72,40.36
1676,2021-07-07,41.79,41.98,40.43,41.04
1675,2021-07-06,41.57,41.83,40.31,41.67
1674,2021-07-02,41.82,42.07,41.11,41.57
1673,2021-07-01,41.17,41.81,41.06,41.68
1672,2021-06-30,41.61,41.76,40.9,41.17
1671,2021-06-29,42.1,42.52,41.55,41.73
1670,2021-06-28,40.93,42.21,40.93,42.03
1669,2021-06-25,42.31,42.51,40.71,40.89
1668,2021-06-24,41.5,42.4,41.5,41.88
1667,2021-06-23,41.31,41.87,41.1,41.38
1666,2021-06-22,41.02,41.61,40.88,41.3
1665,2021-06-21,41.1,41.95,40.3489,41.32
1664,2021-06-18,41.5,41.94,40.25,41.02
1663,2021-06-17,42.13,42.4299,41.52,41.95
1662,2021-06-16,41.94,42.42,41.11,42.26
1661,2021-06-15,41.79,42.12,41.11,42.06
1660,2021-06-14,42.22,42.41,41.52,41.75
1659,2021-06-11,42.19,42.3,41.51,42.01
1658,2021-06-10,41.46,42.17,41.36,42.0
1657,2021-06-09,42.04,42.1908,41.23,41.46
1656,2021-06-08,41.06,41.88,41.06,41.68
1655,2021-06-07,40.02,41.08,39.906,41.01
1654,2021-06-04,40.27,40.74,40.11,40.16
1653,2021-06-03,40.54,40.62,39.875,40.15
1652,2021-06-02,40.85,41.24,40.39,40.77
1651,2021-06-01,41.44,41.74,40.68,41.01
1650,2021-05-28,41.23,41.82,40.65,40.99
1649,2021-05-27,41.25,41.7,40.4,41.05
1648,2021-05-26,40.45,41.4,40.45,41.03
1647,2021-05-25,41.0,41.43,40.28,40.29
1646,2021-05-24,40.69,41.44,40.35,40.87
1645,2021-05-21,40.22,40.75,39.58,40.48
1644,2021-05-20,39.14,40.24,38.78,39.71
1643,2021-05-19,38.6,39.3694,38.17,38.95
1642,2021-05-18,39.53,40.77,38.84,39.36
1641,2021-05-17,40.73,41.5337,38.99,39.54
1640,2021-05-14,40.14,41.34,39.81,41.1
1639,2021-05-13,41.16,41.5824,38.88,39.67
1638,2021-05-12,41.08,41.9,39.805,40.65
1637,2021-05-11,40.8,42.58,40.37,41.89
1636,2021-05-10,43.81,43.96,41.39,41.86
1635,2021-05-07,41.53,44.33,41.11,44.2
1634,2021-05-06,47.5,47.5,39.5,40.93
1633,2021-05-05,47.55,47.873,46.26,46.61
1632,2021-05-04,48.61,48.61,47.0107,47.51
1631,2021-05-03,50.03,50.11,48.52,49.2
1630,2021-04-30,50.25,51.0497,49.46,49.56
1629,2021-04-29,51.34,51.34,49.81,50.49
1628,2021-04-28,50.97,51.11,50.3,50.91
1627,2021-04-27,51.23,51.99,50.11,50.49
1626,2021-04-26,50.5,53.0,50.31,51.09
1625,2021-04-23,49.44,50.49,49.19,50.24
1624,2021-04-22,47.25,49.33,46.91,49.11
1623,2021-04-21,48.08,48.43,46.95,47.25
1622,2021-04-20,49.59,50.03,48.27,48.64
1621,2021-04-19,50.38,51.215,49.565,49.93
1620,2021-04-16,49.33,50.77,48.73,50.69
1619,2021-04-15,48.31,49.035,48.12,48.72
1618,2021-04-14,48.6,49.83,48.17,48.17
1617,2021-04-13,47.96,48.94,47.65,48.59
1616,2021-04-12,46.3,47.91,45.35,47.66
1615,2021-04-09,47.03,47.08,45.45,46.22
1614,2021-04-08,46.71,47.67,46.31,47.46
1613,2021-04-07,46.75,47.19,45.86,46.19
1612,2021-04-06,47.22,47.29,46.31,47.11
1611,2021-04-05,48.13,48.29,47.1933,47.33
1610,2021-04-01,48.03,48.88,47.37,47.78
1609,2021-03-31,46.74,47.9,46.74,47.19
1608,2021-03-30,45.8,47.08,45.0,46.58
1607,2021-03-29,48.09,48.44,45.84,46.37
1606,2021-03-26,46.56,48.06,46.45,47.98
1605,2021-03-25,46.3341,46.9,45.36,46.61
1604,2021-03-24,48.06,48.15,46.5,46.79
1603,2021-03-23,48.94,49.4,47.78,47.92
1602,2021-03-22,48.9,49.476,48.21,48.87
1601,2021-03-19,47.24,48.97,47.14,48.63
1600,2021-03-18,48.13,48.31,47.22,47.25
1599,2021-03-17,47.67,48.94,47.1377,48.85
1598,2021-03-16,48.75,50.15,47.72,48.45
1597,2021-03-15,48.68,49.3868,48.12,48.65
1596,2021-03-12,48.72,49.53,47.91,48.69
1595,2021-03-11,47.94,49.5,47.5,49.44
1594,2021-03-10,48.2,48.2,45.49,46.68
1593,2021-03-09,45.0,47.7,44.94,47.22
