,Date,Open,High,Low,Close
5571,2021-12-31,213.14,215.42,211.7401,214.34
5570,2021-12-30,214.72,216.0,213.03,213.9
5569,2021-12-29,214.53,216.34,213.81,214.6
5568,2021-12-28,214.56,216.146,213.73,214.68
5567,2021-12-27,212.89,215.61,212.6,215.11
5566,2021-12-23,209.21,213.2176,209.21,212.19
5565,2021-12-22,207.32,208.57,206.54,208.44
5564,2021-12-21,204.26,208.0699,203.71,207.1
5563,2021-12-20,205.03,205.99,201.42,202.43
5562,2021-12-17,210.8,212.53,206.4,206.59
5561,2021-12-16,207.85,211.83,207.82,207.97
5560,2021-12-15,206.65,208.44,204.515,205.77
5559,2021-12-14,205.2,207.149,203.08,203.74
5558,2021-12-13,206.95,209.32,205.62,206.31
5557,2021-12-10,208.0,209.86,207.34,209.11
5556,2021-12-09,204.05,207.89,203.755,206.54
5555,2021-12-08,206.02,207.49,203.39,204.72
5554,2021-12-07,204.33,205.89,203.38,205.39
5553,2021-12-06,201.99,204.61,201.38,202.06
5552,2021-12-03,201.04,202.63,197.76,200.73
5551,2021-12-02,195.275,200.63,193.82,199.9
5550,2021-12-01,200.88,202.15,194.0,194.15
5549,2021-11-30,203.5,203.5,198.1009,198.37
5548,2021-11-29,204.16,206.0,201.5,204.64
5547,2021-11-26,206.148,209.53,204.78,205.3
5546,2021-11-24,210.6,212.0,208.26,208.47
5545,2021-11-23,211.03,213.3689,208.52,211.81
5544,2021-11-22,208.52,212.3,207.65,210.88
5543,2021-11-19,207.73,210.67,206.3,208.47
5542,2021-11-18,208.26,208.4699,205.45,207.47
5541,2021-11-17,211.99,212.26,207.49,207.85
5540,2021-11-16,211.58,213.91,211.51,211.87
5539,2021-11-15,212.86,213.4,210.83,211.52
5538,2021-11-12,212.67,215.0762,212.0,213.19
5537,2021-11-11,213.6,216.49,212.28,213.29
5536,2021-11-10,209.89,212.9478,209.45,211.64
5535,2021-11-09,209.59,210.13,208.01,209.96
5534,2021-11-08,208.76,209.885,207.2701,209.3
5533,2021-11-05,211.52,211.71,207.06,208.22
5532,2021-11-04,213.15,213.53,209.81,210.72
5531,2021-11-03,208.8,212.86,207.39,212.74
5530,2021-11-02,210.9,210.9,208.435,209.14
5529,2021-11-01,214.86,214.86,209.9001,210.9
5528,2021-10-29,212.74,216.07,212.25,213.47
5527,2021-10-28,213.29,214.04,210.95,213.9
5526,2021-10-27,217.12,217.48,210.49,212.21
5525,2021-10-26,214.01,220.24,213.66,218.07
5524,2021-10-25,203.02,205.5599,201.84,203.9
5523,2021-10-22,198.87,204.16,198.75,203.81
5522,2021-10-21,195.61,200.0,195.425,199.44
5521,2021-10-20,194.81,195.55,193.2,195.27
5520,2021-10-19,193.9,194.91,193.05,193.79
5519,2021-10-18,193.47,195.61,193.07,193.39
5518,2021-10-15,191.955,194.01,190.71,193.75
5517,2021-10-14,187.64,191.78,187.26,191.42
5516,2021-10-13,182.18,184.93,180.67,184.06
5515,2021-10-12,182.02,182.75,180.63,181.99
5514,2021-10-11,184.3,184.32,181.5334,181.74
5513,2021-10-08,180.7,184.5,179.68,183.49
5512,2021-10-07,182.98,184.02,181.17,181.6
5511,2021-10-06,178.4,181.17,177.83,180.7
5510,2021-10-05,178.48,181.04,177.63,179.67
