,Date,Open,High,Low,Close
817,2021-12-31,34.66,35.08,33.88,34.16
816,2021-12-30,33.77,35.09,33.71,34.51
815,2021-12-29,34.68,35.11,33.53,33.92
814,2021-12-28,35.75,35.82,34.42,34.48
813,2021-12-27,33.94,36.07,33.87,35.87
812,2021-12-23,34.25,34.25,33.445,33.64
811,2021-12-22,34.17,34.37,33.29,34.25
810,2021-12-21,33.61,34.26,33.18,34.2
809,2021-12-20,33.2,34.08,32.96,33.31
808,2021-12-17,31.95,34.69,31.3901,34.19
807,2021-12-16,34.0,34.175,31.31,31.73
806,2021-12-15,32.72,33.62,31.74,33.38
805,2021-12-14,33.01,33.8,32.12,32.84
804,2021-12-13,34.04,34.1365,32.41,33.43
803,2021-12-10,35.83,36.56,33.41,34.03
802,2021-12-09,37.82,37.89,35.74,35.9
801,2021-12-08,37.67,38.28,36.8,37.91
800,2021-12-07,37.37,38.87,37.14,37.78
799,2021-12-06,35.12,36.27,33.43,35.88
798,2021-12-03,37.42,37.595,34.63,35.45
797,2021-12-02,35.28,37.48,35.2,37.23
796,2021-12-01,38.0,38.6,35.73,35.89
795,2021-11-30,37.53,38.12,36.12,37.26
794,2021-11-29,37.8145,38.28,36.6,37.58
793,2021-11-26,39.11,39.42,36.95,37.61
792,2021-11-24,38.0657,38.7099,37.6,38.16
791,2021-11-23,39.12,39.77,37.91,38.35
790,2021-11-22,41.25,41.79,38.65,39.47
789,2021-11-19,42.7,42.79,40.81,40.96
788,2021-11-18,44.07,44.07,42.03,42.15
787,2021-11-17,45.28,45.99,43.78,44.0
786,2021-11-16,45.31,45.725,44.18,45.33
785,2021-11-15,47.83,47.83,45.61,45.99
784,2021-11-12,46.0,47.7,46.0,47.51
783,2021-11-11,45.2,45.6,44.61,45.51
782,2021-11-10,45.88,46.74,44.57,44.79
781,2021-11-09,47.05,48.1,45.3,45.87
780,2021-11-08,49.13,50.55,46.5,47.03
779,2021-11-05,50.7,50.82,48.22,49.04
778,2021-11-04,49.57,50.79,49.325,50.28
777,2021-11-03,48.74,49.31,48.2931,48.92
776,2021-11-02,48.97,49.0399,47.92,48.79
775,2021-11-01,47.87,49.34,46.9297,49.04
774,2021-10-29,48.47,49.19,46.82,47.12
773,2021-10-28,51.13,55.36,48.11,48.98
772,2021-10-27,57.99,58.5315,54.78,54.92
771,2021-10-26,60.19,61.87,57.33,57.98
770,2021-10-25,59.75,61.9,58.4,60.02
769,2021-10-22,59.24,59.27,57.57,58.7
768,2021-10-21,56.83,59.7,56.83,59.27
767,2021-10-20,59.03,59.18,56.41,56.94
766,2021-10-19,57.415,59.73,57.15,59.0
765,2021-10-18,58.61,58.95,55.87,57.35
764,2021-10-15,59.49,60.58,58.33,59.21
763,2021-10-14,57.15,59.075,56.818,58.57
