,Date,Open,High,Low,Close
5578,2021-12-31,30.02,30.18,29.23,29.36
5577,2021-12-30,29.25,30.51,29.18,30.05
5576,2021-12-29,29.35,29.87,29.19,29.74
5575,2021-12-28,29.3,29.71,29.08,29.17
5574,2021-12-27,29.2,29.5281,29.01,29.41
5573,2021-12-23,28.7,29.31,28.37,29.12
5572,2021-12-22,28.21,28.6696,28.19,28.41
5571,2021-12-21,27.65,28.355,27.65,28.26
5570,2021-12-20,27.63,27.8,26.75,27.2
5569,2021-12-17,27.89,28.51,27.25,28.43
5568,2021-12-16,29.5,29.64,27.86,27.88
5567,2021-12-15,29.24,29.36,28.18,29.12
5566,2021-12-14,28.78,29.89,28.65,29.33
5565,2021-12-13,30.22,30.6,28.61,29.02
5564,2021-12-10,31.76,31.76,30.13,30.54
5563,2021-12-09,32.02,32.5899,31.3,31.41
5562,2021-12-08,32.49,33.0,32.25,32.32
5561,2021-12-07,32.54,33.77,32.34,32.77
5560,2021-12-06,32.15,32.85,31.85,32.0
5559,2021-12-03,31.55,31.99,31.01,31.6
5558,2021-12-02,30.98,31.71,30.65,31.55
5557,2021-12-01,32.42,33.21,30.59,30.62
5556,2021-11-30,32.13,32.35,31.24,31.67
5555,2021-11-29,32.5,33.17,31.73,32.54
5554,2021-11-26,31.97,32.155,31.1416,31.85
5553,2021-11-24,33.01,33.24,32.22,33.04
5552,2021-11-23,32.0,34.0592,31.68,33.8
5551,2021-11-22,36.89,38.04,36.61,37.27
5550,2021-11-19,36.91,37.09,36.0,36.17
5549,2021-11-18,37.46,38.17,36.53,37.45
5548,2021-11-17,37.6,37.63,36.05,36.06
5547,2021-11-16,37.71,38.1,37.25,37.65
5546,2021-11-15,36.27,37.04,36.02,36.9
5545,2021-11-12,35.54,35.7,35.05,35.64
5544,2021-11-11,35.51,35.94,35.24,35.34
5543,2021-11-10,35.81,36.16,35.0378,35.25
5542,2021-11-09,34.75,35.61,34.75,35.61
5541,2021-11-08,35.45,35.7606,34.81,34.86
5540,2021-11-05,35.68,36.5,35.05,35.49
5539,2021-11-04,35.17,35.7,34.95,35.2
5538,2021-11-03,32.95,35.21,32.81,35.17
5537,2021-11-02,32.85,33.0,32.33,32.81
5536,2021-11-01,32.29,33.17,32.12,32.67
5535,2021-10-29,31.6,31.98,31.41,31.93
5534,2021-10-28,30.98,31.7879,30.95,31.72
5533,2021-10-27,31.1,31.1,30.37,30.85
5532,2021-10-26,31.73,32.1,31.18,31.2
5531,2021-10-25,30.83,32.11,30.83,31.57
5530,2021-10-22,31.35,31.5,30.5,30.83
5529,2021-10-21,30.49,31.115,30.22,30.38
5528,2021-10-20,30.41,31.24,30.22,30.44
5527,2021-10-19,30.8,30.8,30.17,30.56
5526,2021-10-18,29.74,30.73,29.6,30.63
5525,2021-10-15,30.61,31.03,30.0799,30.25
5524,2021-10-14,30.53,30.81,29.995,30.22
5523,2021-10-13,29.89,30.115,29.43,30.09
5522,2021-10-12,28.75,29.86,28.75,29.78
5521,2021-10-11,29.95,30.31,28.57,28.64
5520,2021-10-08,29.66,30.83,29.56,29.69
5519,2021-10-07,29.75,30.335,29.52,29.72
5518,2021-10-06,29.41,30.19,28.82,29.35
5517,2021-10-05,30.55,31.12,29.86,29.9
5516,2021-10-04,30.15,30.99,29.6453,30.59
5515,2021-10-01,29.79,30.73,29.37,30.44
5514,2021-09-30,30.51,31.24,29.57,29.69
5513,2021-09-29,31.96,32.358,31.24,31.36
5512,2021-09-28,31.88,32.05,31.4475,31.65
5511,2021-09-27,31.99,32.66,31.79,31.83
5510,2021-09-24,32.41,32.61,31.88,31.91
5509,2021-09-23,32.84,33.96,32.755,32.91
5508,2021-09-22,32.48,33.016,32.26,32.6
5507,2021-09-21,32.33,32.69,31.54,32.0
5506,2021-09-20,31.63,32.57,31.05,32.15
5505,2021-09-17,33.02,33.58,32.25,32.52
5504,2021-09-16,32.855,33.53,32.74,32.8
5503,2021-09-15,31.84,32.825,31.59,32.64
5502,2021-09-14,32.12,32.16,31.255,31.76
5501,2021-09-13,31.412,31.92,30.91,31.86
5500,2021-09-10,32.25,32.72,31.2,31.26
5499,2021-09-09,31.94,32.85,31.505,32.29
5498,2021-09-08,31.78,31.9099,30.89,31.79
5497,2021-09-07,32.22,32.81,31.77,31.83
5496,2021-09-03,32.88,32.9099,31.73,32.2
5495,2021-09-02,33.53,33.64,32.7353,32.87
