,Date,Open,High,Low,Close
1174,2021-12-31,9.91,9.98,9.3,9.51
1173,2021-12-30,9.47,10.0,9.4,9.9
1172,2021-12-29,9.46,9.62,8.86,9.53
1171,2021-12-28,9.02,9.65,8.75,9.6
1170,2021-12-27,9.64,9.64,9.01,9.08
1169,2021-12-23,9.18,9.69,8.95,9.49
1168,2021-12-22,9.23,9.24,8.6802,9.03
1167,2021-12-21,9.5,9.675,9.05,9.12
1166,2021-12-20,9.63,9.68,9.3093,9.46
1165,2021-12-17,9.48,9.78,9.36,9.71
1164,2021-12-16,10.17,10.33,9.375,9.41
1163,2021-12-15,9.82,10.265,9.45,10.15
1162,2021-12-14,10.07,10.39,9.88,9.92
1161,2021-12-13,11.18,11.415,9.88,10.26
1160,2021-12-10,11.47,11.47,10.81,10.99
1159,2021-12-09,11.66,12.1216,11.43,11.47
1158,2021-12-08,11.82,12.28,11.7,11.79
1157,2021-12-07,12.35,12.35,11.26,11.81
1156,2021-12-06,11.31,11.55,10.97,11.27
1155,2021-12-03,11.95,11.95,11.41,11.49
1154,2021-12-02,11.9,12.08,11.3266,11.94
1153,2021-12-01,12.27,12.5,11.92,11.92
1152,2021-11-30,11.78,12.13,11.44,12.09
1151,2021-11-29,12.42,12.47,11.66,11.92
1150,2021-11-26,12.5,12.62,12.02,12.14
1149,2021-11-24,11.89,13.15,11.89,12.76
1148,2021-11-23,12.27,12.56,11.92,12.04
1147,2021-11-22,12.1,12.69,11.81,12.29
1146,2021-11-19,12.52,12.61,11.67,12.06
1145,2021-11-18,13.14,13.21,12.16,12.52
1144,2021-11-17,13.54,14.45,13.02,13.06
1143,2021-11-16,14.51,14.845,13.225,13.64
1142,2021-11-15,18.41,18.93,14.72,14.74
1141,2021-11-12,18.81,19.37,18.81,19.13
1140,2021-11-11,18.59,19.195,18.34,18.81
1139,2021-11-10,18.7,19.3,18.3,18.5
1138,2021-11-09,18.54,19.66,18.071,18.65
1137,2021-11-08,18.51,19.0,18.06,18.49
1136,2021-11-05,19.24,19.24,17.38,18.21
1135,2021-11-04,19.0,19.4232,18.21,19.04
1134,2021-11-03,17.87,18.88,17.81,18.86
1133,2021-11-02,16.97,17.84,16.97,17.83
1132,2021-11-01,17.02,17.35,16.92,17.02
1131,2021-10-29,16.02,17.6,15.981,17.2
1130,2021-10-28,16.3527,16.61,16.03,16.26
1129,2021-10-27,16.32,17.03,16.03,16.27
1128,2021-10-26,16.62,16.62,16.426,16.46
1127,2021-10-25,17.02,17.02,16.35,16.53
1126,2021-10-22,16.01,17.215,16.01,17.08
1125,2021-10-21,16.56,16.94,16.34,16.67
1124,2021-10-20,17.14,17.295,16.39,16.56
1123,2021-10-19,16.45,17.31,16.19,17.17
1122,2021-10-18,17.04,17.16,16.27,16.46
1121,2021-10-15,17.46,17.46,16.52,17.02
1120,2021-10-14,17.14,17.73,16.94,17.15
1119,2021-10-13,16.97,17.33,16.865,17.24
1118,2021-10-12,15.9,17.07,15.87,16.94
1117,2021-10-11,15.98,16.24,15.55,15.9
1116,2021-10-08,17.09,17.09,15.825,15.88
1115,2021-10-07,17.015,17.24,16.58,17.12
1114,2021-10-06,16.76,17.158,16.424,16.94
1113,2021-10-05,16.81,17.25,16.665,16.97
1112,2021-10-04,16.92,17.08,16.4425,16.79
1111,2021-10-01,17.02,17.51,16.43,17.09
1110,2021-09-30,17.08,17.19,16.5201,16.82
1109,2021-09-29,17.07,17.3,16.8,17.01
1108,2021-09-28,17.73,17.73,16.84,17.07
1107,2021-09-27,16.92,18.25,16.26,17.94
1106,2021-09-24,16.92,17.34,16.75,16.95
1105,2021-09-23,16.96,17.26,16.6,17.14
1104,2021-09-22,16.2,17.55,16.0,16.98
1103,2021-09-21,16.24,16.48,15.97,16.14
1102,2021-09-20,16.37,17.15,15.871,15.94
1101,2021-09-17,16.13,16.84,15.98,16.68
1100,2021-09-16,15.23,16.11,15.11,16.04
1099,2021-09-15,15.19,15.52,15.06,15.23
1098,2021-09-14,15.75,15.89,15.02,15.14
1097,2021-09-13,16.07,16.32,15.48,15.77
1096,2021-09-10,16.3,16.65,15.87,15.98
1095,2021-09-09,16.42,16.94,16.15,16.39
1094,2021-09-08,16.65,17.17,16.38,16.47
1093,2021-09-07,17.92,17.99,16.72,17.05
1092,2021-09-03,18.26,18.49,17.69,17.92
1091,2021-09-02,18.2,18.63,18.19,18.39
1090,2021-09-01,17.55,18.16,17.55,18.11
1089,2021-08-31,17.75,18.205,17.41,17.62
1088,2021-08-30,17.05,17.77,17.01,17.67
1087,2021-08-27,15.25,17.3,15.2,16.99
1086,2021-08-26,15.18,15.55,15.175,15.21
1085,2021-08-25,15.14,15.59,15.01,15.22
1084,2021-08-24,15.01,15.365,14.68,15.13
1083,2021-08-23,14.38,14.99,14.38,14.95
1082,2021-08-20,14.33,14.49,14.19,14.31
1081,2021-08-19,14.52,14.68,14.37,14.42
1080,2021-08-18,14.78,14.92,14.63,14.63
1079,2021-08-17,14.81,15.1629,14.63,14.8
1078,2021-08-16,15.06,15.23,14.87,14.93
1077,2021-08-13,15.49,15.5099,15.0872,15.13
1076,2021-08-12,15.46,15.55,15.245,15.44
1075,2021-08-11,15.31,15.4679,15.16,15.4
1074,2021-08-10,15.43,15.51,15.1054,15.32
1073,2021-08-09,15.51,15.7472,15.32,15.43
1072,2021-08-06,15.66,15.66,15.245,15.43
1071,2021-08-05,15.57,15.91,15.31,15.54
1070,2021-08-04,15.41,16.86,15.2,15.3
1069,2021-08-03,15.5,15.72,15.17,15.71
1068,2021-08-02,15.44,15.74,15.18,15.63
1067,2021-07-30,15.48,15.9478,15.2,15.5
1066,2021-07-29,15.64,15.9099,15.2,15.49
1065,2021-07-28,15.33,15.71,15.225,15.63
1064,2021-07-27,15.21,15.47,15.06,15.23
1063,2021-07-26,15.21,15.98,15.21,15.33
1062,2021-07-23,16.0,16.01,15.28,15.3
1061,2021-07-22,15.88,16.18,15.83,16.0
1060,2021-07-21,15.75,16.0,15.41,15.95
1059,2021-07-20,15.64,15.75,15.23,15.67
1058,2021-07-19,15.26,15.77,15.13,15.64
1057,2021-07-16,15.5,15.6999,15.2597,15.41
1056,2021-07-15,15.43,15.5,14.94,15.4
1055,2021-07-14,15.9,16.0,14.67,15.47
1054,2021-07-13,14.82,15.19,14.68,15.07
1053,2021-07-12,14.84,14.95,14.61,14.87
1052,2021-07-09,15.0,15.035,14.74,14.95
1051,2021-07-08,14.81,15.17,14.75,15.0
1050,2021-07-07,14.83,15.22,14.7375,15.1
1049,2021-07-06,15.25,15.44,14.75,14.96
1048,2021-07-02,15.71,15.71,15.25,15.44
1047,2021-07-01,15.26,15.66,15.11,15.66
1046,2021-06-30,15.79,15.8,15.27,15.27
1045,2021-06-29,16.29,16.82,15.91,15.94
1044,2021-06-28,17.14,17.2245,16.05,16.09
1043,2021-06-25,17.15,17.485,16.771,16.94
1042,2021-06-24,17.405,17.51,16.82,17.24
1041,2021-06-23,16.35,16.86,16.35,16.76
1040,2021-06-22,16.48,16.48,16.19,16.45
1039,2021-06-21,16.56,16.79,16.38,16.65
1038,2021-06-18,16.21,16.8,16.0,16.45
1037,2021-06-17,17.03,17.25,16.69,16.78
1036,2021-06-16,17.0,17.5,16.91,17.22
1035,2021-06-15,17.35,17.35,17.0,17.09
1034,2021-06-14,17.31,17.54,17.06,17.36
1033,2021-06-11,17.0,17.83,17.0,17.31
1032,2021-06-10,17.63,17.795,16.92,17.34
1031,2021-06-09,18.53,19.03,17.33,17.52
1030,2021-06-08,18.13,18.94,18.03,18.52
1029,2021-06-07,17.8,18.23,17.61,17.98
1028,2021-06-04,18.35,18.42,17.77,17.98
1027,2021-06-03,18.37,18.81,17.79,18.33
1026,2021-06-02,18.165,19.15,17.955,18.4
