,Date,Open,High,Low,Close
3383,2021-12-31,1.23,1.27,1.21,1.22
3382,2021-12-30,1.21,1.27,1.2,1.22
3381,2021-12-29,1.28,1.31,1.21,1.22
3380,2021-12-28,1.41,1.42,1.27,1.28
3379,2021-12-27,1.32,1.4,1.29,1.38
3378,2021-12-23,1.33,1.36,1.291,1.33
3377,2021-12-22,1.31,1.35,1.29,1.33
3376,2021-12-21,1.21,1.33,1.205,1.33
3375,2021-12-20,1.25,1.25,1.16,1.21
3374,2021-12-17,1.31,1.348,1.26,1.29
3373,2021-12-16,1.42,1.45,1.29,1.33
3372,2021-12-15,1.29,1.41,1.23,1.41
3371,2021-12-14,1.27,1.31,1.25,1.27
3370,2021-12-13,1.38,1.4227,1.27,1.32
3369,2021-12-10,1.43,1.43,1.37,1.39
3368,2021-12-09,1.46,1.465,1.39,1.43
3367,2021-12-08,1.5,1.55,1.435,1.47
3366,2021-12-07,1.45,1.51,1.42,1.46
3365,2021-12-06,1.3,1.4,1.2209,1.38
3364,2021-12-03,1.4,1.44,1.28,1.3
3363,2021-12-02,1.35,1.4601,1.35,1.42
3362,2021-12-01,1.52,1.55,1.37,1.38
3361,2021-11-30,1.54,1.575,1.39,1.49
3360,2021-11-29,1.6,1.63,1.5101,1.55
3359,2021-11-26,1.59,1.6,1.5,1.57
3358,2021-11-24,1.65,1.66,1.58,1.64
3357,2021-11-23,1.6,1.72,1.57,1.63
3356,2021-11-22,1.67,1.7,1.55,1.56
3355,2021-11-19,1.83,1.84,1.67,1.69
3354,2021-11-18,1.84,1.8917,1.81,1.85
3353,2021-11-17,1.83,1.92,1.83,1.87
3352,2021-11-16,1.91,1.91,1.81,1.84
3351,2021-11-15,2.04,2.05,1.89,1.92
3350,2021-11-12,2.07,2.15,1.96,1.99
3349,2021-11-11,1.94,2.135,1.91,2.05
3348,2021-11-10,2.0,2.04,1.9,1.93
3347,2021-11-09,2.12,2.12,1.89,2.0
3346,2021-11-08,1.94,2.12,1.91,2.1
3345,2021-11-05,1.92,1.92,1.82,1.9
3344,2021-11-04,1.97,1.97,1.83,1.88
3343,2021-11-03,1.78,1.94,1.78,1.87
3342,2021-11-02,1.78,1.8077,1.7,1.78
3341,2021-11-01,1.79,1.85,1.75,1.8
3340,2021-10-29,1.83,1.85,1.66,1.74
