,Date,Open,High,Low,Close
5578,2021-12-31,46.37,46.74,45.64,45.99
5577,2021-12-30,46.23,46.98,46.03,46.47
5576,2021-12-29,45.67,46.36,45.19,46.35
5575,2021-12-28,45.29,45.67,45.21,45.42
5574,2021-12-27,45.06,45.42,44.44,45.41
5573,2021-12-23,45.36,45.39,44.89,45.05
5572,2021-12-22,44.64,45.29,44.5,45.27
5571,2021-12-21,45.48,45.84,44.6,44.75
5570,2021-12-20,44.71,45.27,44.2901,45.09
5569,2021-12-17,45.41,46.11,44.8086,45.29
5568,2021-12-16,45.67,46.468,45.3,45.55
5567,2021-12-15,44.45,45.73,44.28,45.52
5566,2021-12-14,44.43,44.8,44.16,44.63
5565,2021-12-13,44.11,44.42,43.73,44.17
5564,2021-12-10,44.5,44.5,43.86,44.38
5563,2021-12-09,44.02,44.43,43.73,44.06
5562,2021-12-08,44.2121,44.36,43.71,44.19
5561,2021-12-07,44.58,45.14,44.195,44.27
5560,2021-12-06,42.53,44.785,42.53,44.42
5559,2021-12-03,41.69,42.58,41.27,41.95
5558,2021-12-02,40.81,41.88,40.81,41.64
5557,2021-12-01,41.8,42.23,40.8,40.9
5556,2021-11-30,41.94,42.28,41.26,41.44
5555,2021-11-29,41.71,42.19,40.75,42.19
5554,2021-11-26,42.17,42.17,40.53,41.5
5553,2021-11-24,42.43,42.91,42.25,42.81
5552,2021-11-23,42.27,42.61,41.95,42.47
5551,2021-11-22,41.09,42.69,40.92,42.18
5550,2021-11-19,41.12,41.47,41.05,41.26
5549,2021-11-18,41.47,41.91,40.81,41.3
5548,2021-11-17,41.28,41.695,40.89,41.52
5547,2021-11-16,42.45,42.475,41.365,41.54
5546,2021-11-15,42.19,42.38,41.56,42.35
5545,2021-11-12,43.15,43.15,41.98,42.09
5544,2021-11-11,43.67,43.67,43.07,43.36
5543,2021-11-10,43.06,43.7063,43.06,43.5
5542,2021-11-09,42.83,43.5,42.56,43.23
5541,2021-11-08,43.5,43.5479,42.73,42.86
5540,2021-11-05,42.81,44.08,42.81,43.36
5539,2021-11-04,42.68,43.005,41.86,42.8
5538,2021-11-03,42.0,42.99,41.93,42.63
5537,2021-11-02,42.67,42.89,40.86,42.02
5536,2021-11-01,41.59,42.8,41.54,42.43
5535,2021-10-29,41.96,42.125,41.38,41.75
5534,2021-10-28,41.58,42.2726,41.58,41.87
5533,2021-10-27,41.9,42.0,41.35,41.73
5532,2021-10-26,42.22,42.6,41.84,41.89
5531,2021-10-25,42.63,42.9555,41.99,42.03
5530,2021-10-22,42.64,43.0681,42.3,42.49
5529,2021-10-21,43.14,43.14,42.55,42.79
5528,2021-10-20,43.01,43.63,42.82,43.09
5527,2021-10-19,43.2353,43.66,42.75,42.9
5526,2021-10-18,43.77,44.48,43.12,43.32
5525,2021-10-15,44.15,44.96,43.85,43.92
5524,2021-10-14,42.71,43.77,42.5892,43.46
5523,2021-10-13,42.97,42.97,42.55,42.6
5522,2021-10-12,43.03,43.54,42.945,43.12
5521,2021-10-11,43.545,43.545,42.55,43.04
5520,2021-10-08,44.0,44.0,43.29,43.4
5519,2021-10-07,44.74,45.17,43.96,44.08
