,Date,Open,High,Low,Close
5578,2021-12-31,99.94,100.5,99.635,100.0
5577,2021-12-30,100.1,101.71,99.67,100.4
5576,2021-12-29,100.98,102.1994,99.421,101.28
5575,2021-12-28,99.21,101.585,99.21,101.0
5574,2021-12-27,98.98,100.99,98.34,100.15
5573,2021-12-23,99.9509,101.89,97.88,97.88
5572,2021-12-22,94.26,99.75,93.17,99.58
5571,2021-12-21,90.71,95.98,90.71,94.0
5570,2021-12-20,95.55,96.09,90.22,90.22
5569,2021-12-17,99.37,102.0,94.75,94.75
5568,2021-12-16,102.17,103.96,98.0,98.02
5567,2021-12-15,108.0,109.01,101.17,101.62
5566,2021-12-14,110.09,111.34,105.7,107.68
5565,2021-12-13,109.725,113.52,109.35,111.01
5564,2021-12-10,109.17,111.065,107.2636,109.29
5563,2021-12-09,108.33,112.2299,105.37,108.14
5562,2021-12-08,104.26,108.86,102.866,108.15
5561,2021-12-07,116.596,116.596,102.1,104.1
5560,2021-12-06,111.25,113.45,110.0001,111.33
5559,2021-12-03,114.99,115.6,110.01,112.45
5558,2021-12-02,115.72,120.88,113.81,114.7
5557,2021-12-01,113.34,120.8431,113.34,114.66
5556,2021-11-30,110.78,113.97,108.79,111.56
5555,2021-11-29,119.31,120.91,111.0,111.26
5554,2021-11-26,124.25,124.415,117.1006,120.33
5553,2021-11-24,124.41,131.48,122.775,124.39
5552,2021-11-23,124.72,127.1099,121.125,123.05
5551,2021-11-22,115.62,133.87,115.62,124.71
5550,2021-11-19,111.95,117.2199,110.87,115.62
5549,2021-11-18,110.01,113.65,108.75,112.32
5548,2021-11-17,109.1056,111.5,108.5,110.57
5547,2021-11-16,110.16,112.1999,109.125,110.46
5546,2021-11-15,110.04,111.3081,107.564,110.69
5545,2021-11-12,105.6266,108.5,105.5701,108.5
5544,2021-11-11,104.0,105.7999,104.0,105.45
5543,2021-11-10,103.34,104.64,103.3,104.11
5542,2021-11-09,102.89,103.2,100.56,102.98
5541,2021-11-08,104.99,104.99,100.5,102.7
5540,2021-11-05,101.96,104.15,101.96,104.15
5539,2021-11-04,100.138,102.0,100.126,101.5
5538,2021-11-03,100.0,102.6,99.6,101.82
5537,2021-11-02,99.5,101.51,99.5,100.1
5536,2021-11-01,97.03,99.64,97.03,98.91
5535,2021-10-29,97.73,99.48,96.72,96.83
5534,2021-10-28,96.27,99.97,96.27,98.26
5533,2021-10-27,105.0,106.56,95.6101,99.62
5532,2021-10-26,95.42,103.81,95.0,99.58
5531,2021-10-25,93.65,95.17,93.65,95.17
5530,2021-10-22,91.4,94.23,91.4,94.23
5529,2021-10-21,89.6797,92.27,89.6797,91.38
5528,2021-10-20,90.005,90.658,89.21,89.4
5527,2021-10-19,89.2023,89.2023,88.45,88.84
5526,2021-10-18,89.75,90.1,88.29,89.08
5525,2021-10-15,90.13,90.67,89.9,90.02
5524,2021-10-14,90.35,90.39,90.04,90.04
5523,2021-10-13,90.735,90.735,90.0101,90.4
5522,2021-10-12,90.51,90.85,90.14,90.85
5521,2021-10-11,91.12,91.12,89.6601,90.23
5520,2021-10-08,92.8,92.8,90.0,91.38
5519,2021-10-07,93.01,93.25,89.5301,92.39
5518,2021-10-06,91.0,93.87,91.0,92.25
5517,2021-10-05,91.35,91.5,90.92,91.0
