,Date,Open,High,Low,Close
5493,2021-12-31,0.9,0.9199,0.85,0.87
5492,2021-12-30,0.86,0.9044,0.84,0.8637
5491,2021-12-29,0.82,0.8627,0.752,0.8237
5490,2021-12-28,0.89,0.9089,0.8199,0.8199
5489,2021-12-27,0.9,0.9499,0.85,0.885
5488,2021-12-23,0.8831,0.948,0.8621,0.9
5487,2021-12-22,0.92,0.93,0.87,0.921
5486,2021-12-21,0.879,0.928,0.86,0.928
5485,2021-12-20,0.91,0.95,0.861,0.8802
5484,2021-12-17,0.91,0.988,0.91,0.9116
5483,2021-12-16,0.9,0.9559,0.891,0.891
5482,2021-12-15,0.9117,0.95,0.91,0.95
5481,2021-12-14,0.9233,1.015,0.9205,0.96
5480,2021-12-13,0.9802,0.99,0.9,0.9264
5479,2021-12-10,0.99,1.042,0.97,0.97
5478,2021-12-09,1.0,1.1,0.99,0.9901
5477,2021-12-08,1.04,1.06,1.01,1.0101
5476,2021-12-07,1.05,1.095,1.01,1.03
5475,2021-12-06,0.9366,1.05,0.9366,1.01
5474,2021-12-03,1.01,1.0599,0.98,0.98
5473,2021-12-02,1.04,1.12,1.01,1.05
5472,2021-12-01,1.07,1.0899,1.05,1.0501
5471,2021-11-30,1.1,1.135,1.06,1.07
5470,2021-11-29,1.19,1.19,1.11,1.115
5469,2021-11-26,1.16,1.18,1.08,1.18
5468,2021-11-24,1.15,1.17,1.13,1.155
5467,2021-11-23,1.15,1.1999,1.13,1.1315
5466,2021-11-22,1.16,1.16,1.12,1.14
5465,2021-11-19,1.24,1.24,1.13,1.17
5464,2021-11-18,1.3,1.3,1.18,1.22
5463,2021-11-17,1.23,1.31,1.21,1.3
5462,2021-11-16,1.25,1.2672,1.2,1.22
5461,2021-11-15,1.25,1.27,1.22,1.25
5460,2021-11-12,1.25,1.27,1.23,1.26
5459,2021-11-11,1.3,1.3,1.23,1.26
5458,2021-11-10,1.2437,1.29,1.22,1.29
5457,2021-11-09,1.22,1.28,1.19,1.24
5456,2021-11-08,1.24,1.2821,1.21,1.24
5455,2021-11-05,1.25,1.2555,1.19,1.215
5454,2021-11-04,1.23,1.2484,1.22,1.22
5453,2021-11-03,1.22,1.25,1.2,1.24
5452,2021-11-02,1.21,1.2263,1.2,1.21
5451,2021-11-01,1.18,1.2284,1.18,1.22
5450,2021-10-29,1.31,1.34,1.1746,1.18
5449,2021-10-28,1.32,1.34,1.25,1.33
5448,2021-10-27,1.18,1.33,1.18,1.28
5447,2021-10-26,1.229,1.25,1.19,1.21
5446,2021-10-25,1.15,1.28,1.15,1.23
5445,2021-10-22,1.13,1.18,1.1201,1.16
5444,2021-10-21,1.16,1.24,1.12,1.13
5443,2021-10-20,1.12,1.17,1.12,1.14
5442,2021-10-19,1.1313,1.158,1.13,1.15
5441,2021-10-18,1.12,1.1852,1.12,1.13
5440,2021-10-15,1.162,1.181,1.12,1.13
5439,2021-10-14,1.15,1.175,1.12,1.1354
5438,2021-10-13,1.14,1.15,1.12,1.12
5437,2021-10-12,1.1,1.1383,1.1,1.13
5436,2021-10-11,1.13,1.17,1.105,1.105
5435,2021-10-08,1.13,1.1664,1.13,1.15
5434,2021-10-07,1.1,1.15,1.09,1.13
5433,2021-10-06,1.1,1.14,1.06,1.1101
5432,2021-10-05,1.13,1.135,1.08,1.09
5431,2021-10-04,1.13,1.16,1.13,1.1332
5430,2021-10-01,1.15,1.1832,1.14,1.142
5429,2021-09-30,1.17,1.21,1.14,1.15
5428,2021-09-29,1.11,1.2089,1.11,1.1518
5427,2021-09-28,1.16,1.2,1.12,1.1412
5426,2021-09-27,1.18,1.21,1.18,1.18
5425,2021-09-24,1.21,1.24,1.18,1.18
5424,2021-09-23,1.23,1.23,1.16,1.2
5423,2021-09-22,1.17,1.1978,1.16,1.1976
5422,2021-09-21,1.2,1.28,1.16,1.16
5421,2021-09-20,1.2051,1.25,1.19,1.21
5420,2021-09-17,1.29,1.29,1.22,1.24
5419,2021-09-16,1.18,1.3,1.16,1.3
5418,2021-09-15,1.17,1.25,1.17,1.21
5417,2021-09-14,1.17,1.2702,1.16,1.18
5416,2021-09-13,1.24,1.2986,1.16,1.19
5415,2021-09-10,1.27,1.3,1.25,1.25
5414,2021-09-09,1.2224,1.29,1.22,1.29
5413,2021-09-08,1.27,1.29,1.23,1.25
5412,2021-09-07,1.26,1.29,1.26,1.26
5411,2021-09-03,1.31,1.3199,1.26,1.27
5410,2021-09-02,1.33,1.35,1.3,1.31
5409,2021-09-01,1.2987,1.3155,1.28,1.2999
5408,2021-08-31,1.26,1.3,1.26,1.28
5407,2021-08-30,1.31,1.31,1.2501,1.29
5406,2021-08-27,1.28,1.32,1.27,1.29
5405,2021-08-26,1.25,1.34,1.23,1.27
5404,2021-08-25,1.2401,1.29,1.2,1.2893
5403,2021-08-24,1.2,1.27,1.2,1.24
5402,2021-08-23,1.19,1.27,1.17,1.19
5401,2021-08-20,1.24,1.2523,1.17,1.18
5400,2021-08-19,1.202,1.22,1.16,1.16
5399,2021-08-18,1.22,1.26,1.2,1.23
