,Date,Open,High,Low,Close
777,2021-12-31,15.89,16.21,15.72,15.95
776,2021-12-30,15.58,16.22,15.58,15.92
775,2021-12-29,16.13,16.13,15.56,15.58
774,2021-12-28,16.17,16.43,16.07,16.14
773,2021-12-27,16.38,16.45,16.04,16.28
772,2021-12-23,16.46,16.7325,16.35,16.38
771,2021-12-22,16.37,16.44,16.14,16.35
770,2021-12-21,16.47,16.62,16.31,16.44
769,2021-12-20,16.1,16.48,15.89,16.4
768,2021-12-17,16.49,16.9,16.37,16.45
767,2021-12-16,17.21,17.45,16.53,16.7
766,2021-12-15,16.52,17.45,16.2931,17.14
765,2021-12-14,16.87,17.14,16.59,16.59
764,2021-12-13,16.0,17.07,15.95,16.97
763,2021-12-10,15.84,15.97,15.67,15.94
762,2021-12-09,15.85,16.15,15.645,15.69
761,2021-12-08,15.68,16.05,15.63,16.0
760,2021-12-07,15.27,15.81,15.27,15.77
759,2021-12-06,14.7,15.21,14.5,15.04
758,2021-12-03,14.36,14.47,14.17,14.3
757,2021-12-02,13.79,14.49,13.735,14.32
756,2021-12-01,14.33,14.56,13.72,13.73
755,2021-11-30,14.98,14.99,14.01,14.11
754,2021-11-29,15.49,15.61,14.99,15.11
753,2021-11-26,15.6,15.86,15.3,15.37
752,2021-11-24,15.75,16.0806,15.59,15.89
751,2021-11-23,15.7,16.06,15.63,15.77
750,2021-11-22,16.27,16.29,15.5,15.77
749,2021-11-19,16.38,16.69,15.92,15.93
748,2021-11-18,16.54,16.65,16.3,16.55
747,2021-11-17,16.59,16.79,16.45,16.7
746,2021-11-16,16.92,16.94,15.9,16.59
745,2021-11-15,17.35,17.35,16.84,17.06
744,2021-11-12,17.2,17.44,17.035,17.29
743,2021-11-11,17.0,18.05,16.53,17.25
742,2021-11-10,15.99,16.31,15.94,16.19
741,2021-11-09,15.86,16.13,15.69,15.92
740,2021-11-08,15.725,15.87,15.64,15.85
739,2021-11-05,15.54,15.73,15.4506,15.71
738,2021-11-04,15.97,16.27,15.52,15.52
737,2021-11-03,15.97,16.17,15.86,16.01
736,2021-11-02,16.05,16.1,15.8,15.95
735,2021-11-01,15.65,16.265,15.62,16.08
734,2021-10-29,15.68,15.8302,15.47,15.59
733,2021-10-28,15.5,15.9,15.472,15.72
732,2021-10-27,15.51,15.7505,15.28,15.5
731,2021-10-26,15.15,15.645,15.055,15.51
730,2021-10-25,15.31,15.45,15.14,15.15
729,2021-10-22,15.73,15.79,15.375,15.4
728,2021-10-21,15.9,16.11,15.715,15.77
727,2021-10-20,16.1,16.27,15.95,15.95
726,2021-10-19,16.06,16.085,15.7,16.01
725,2021-10-18,15.93,16.09,15.74,15.75
724,2021-10-15,16.365,16.46,16.04,16.05
723,2021-10-14,16.0,16.18,15.9,16.17
722,2021-10-13,15.67,15.99,15.59,15.93
721,2021-10-12,15.48,15.98,15.33,15.58
720,2021-10-11,15.55,15.71,15.05,15.44
719,2021-10-08,16.24,16.41,15.57,15.57
718,2021-10-07,16.08,16.63,16.06,16.26
717,2021-10-06,15.85,16.099,15.51,16.06
716,2021-10-05,16.47,16.6152,15.89,15.99
715,2021-10-04,16.4,16.66,15.74,16.45
714,2021-10-01,17.21,17.27,16.34,16.35
713,2021-09-30,17.34,17.42,17.12,17.13
712,2021-09-29,17.27,17.69,17.22,17.41
711,2021-09-28,17.59,17.86,17.04,17.36
710,2021-09-27,17.63,17.81,17.34,17.6
709,2021-09-24,17.8,17.99,17.68,17.75
708,2021-09-23,17.83,18.04,17.73,17.93
707,2021-09-22,18.23,18.35,17.79,17.8
706,2021-09-21,17.96,18.225,17.7495,18.18
705,2021-09-20,18.03,18.1,17.635,17.89
704,2021-09-17,18.47,18.675,18.12,18.32
703,2021-09-16,18.49,18.67,18.17,18.53
702,2021-09-15,18.35,18.56,18.12,18.35
701,2021-09-14,19.05,19.06,18.27,18.45
700,2021-09-13,19.24,19.46,18.78,18.82
699,2021-09-10,20.07,20.07,19.32,19.33
698,2021-09-09,19.64,19.759,19.39,19.56
697,2021-09-08,20.32,20.41,19.48,19.61
696,2021-09-07,19.77,20.21,19.62,20.18
695,2021-09-03,19.8,19.92,19.7117,19.85
694,2021-09-02,19.8,20.09,19.7501,19.97
693,2021-09-01,19.4,19.83,19.3489,19.74
692,2021-08-31,18.67,19.46,18.6059,19.42
691,2021-08-30,19.05,19.15,18.59,18.63
690,2021-08-27,18.61,19.18,18.605,19.09
689,2021-08-26,18.4,18.79,18.36,18.61
688,2021-08-25,17.85,18.515,17.8,18.41
687,2021-08-24,18.16,18.26,17.43,17.9
686,2021-08-23,17.99,18.45,17.73,18.34
685,2021-08-20,17.64,18.11,17.55,18.02
684,2021-08-19,17.81,17.93,17.52,17.76
683,2021-08-18,17.77,18.29,17.619,17.63
682,2021-08-17,18.42,18.515,17.95,17.99
681,2021-08-16,18.59,18.97,18.31,18.6
680,2021-08-13,19.03,19.48,18.74,18.77
679,2021-08-12,18.88,20.44,18.82,19.27
678,2021-08-11,21.71,21.74,20.77,20.83
677,2021-08-10,21.54,22.25,21.3,21.58
676,2021-08-09,21.86,21.91,21.245,21.54
675,2021-08-06,22.12,22.28,21.79,21.82
674,2021-08-05,21.72,22.4,21.54,22.11
673,2021-08-04,22.16,22.43,21.72,21.75
672,2021-08-03,22.89,22.89,22.3,22.32
671,2021-08-02,22.74,22.98,22.52,22.86
670,2021-07-30,22.54,22.92,22.44,22.64
669,2021-07-29,22.45,22.58,22.28,22.43
668,2021-07-28,22.69,23.06,22.16,22.49
667,2021-07-27,23.13,23.35,22.5,22.74
666,2021-07-26,23.03,23.415,23.01,23.13
665,2021-07-23,23.14,23.14,22.75,22.95
664,2021-07-22,22.75,23.16,22.43,23.14
663,2021-07-21,23.28,23.51,22.6,22.61
662,2021-07-20,22.97,23.68,22.785,23.43
661,2021-07-19,22.4,22.85,22.27,22.82
660,2021-07-16,22.69,23.1,22.51,22.75
659,2021-07-15,22.56,22.98,22.48,22.67
658,2021-07-14,23.15,23.28,22.5,22.54
657,2021-07-13,22.84,23.79,22.79,23.09
656,2021-07-12,22.79,23.07,22.44,23.02
655,2021-07-09,22.66,23.01,22.55,22.85
654,2021-07-08,22.3,22.96,22.2807,22.56
653,2021-07-07,22.54,23.03,22.28,22.63
652,2021-07-06,22.34,22.56,21.87,22.53
651,2021-07-02,22.4,22.58,22.01,22.15
650,2021-07-01,21.76,22.39,21.44,22.27
649,2021-06-30,22.1,22.2,21.63,21.79
648,2021-06-29,22.03,22.66,21.71,22.2
647,2021-06-28,22.21,22.24,21.575,21.94
646,2021-06-25,22.75,22.76,21.96,22.23
645,2021-06-24,23.51,23.625,22.65,22.75
644,2021-06-23,23.09,23.92,23.09,23.68
643,2021-06-22,23.0,23.7,22.82,23.27
642,2021-06-21,22.72,22.73,22.07,22.6
641,2021-06-18,22.86,23.19,22.6,22.68
640,2021-06-17,22.66,23.315,22.58,23.05
639,2021-06-16,23.33,23.49,22.66,22.73
638,2021-06-15,23.74,23.85,23.17,23.36
637,2021-06-14,23.82,23.93,23.55,23.81
636,2021-06-11,23.77,23.77,23.21,23.7
635,2021-06-10,24.26,24.405,23.59,23.6
634,2021-06-09,25.0,25.19,24.245,24.27
633,2021-06-08,25.08,25.42,24.88,25.12
632,2021-06-07,24.17,25.16,24.15,25.02
631,2021-06-04,24.28,24.57,24.18,24.37
630,2021-06-03,23.57,24.375,23.52,24.24
629,2021-06-02,23.77,23.89,23.3,23.87
628,2021-06-01,23.17,23.87,23.1,23.79
627,2021-05-28,23.24,23.5899,22.85,23.1
626,2021-05-27,23.68,23.81,23.17,23.17
625,2021-05-26,23.79,23.92,23.485,23.6
624,2021-05-25,23.54,24.13,23.29,23.64
623,2021-05-24,23.47,23.62,23.31,23.47
622,2021-05-21,23.11,23.5,23.0017,23.5
621,2021-05-20,23.03,23.37,22.87,23.24
620,2021-05-19,22.86,23.11,22.69,23.04
619,2021-05-18,23.1,23.58,23.0,23.24
618,2021-05-17,23.5,23.62,22.67,23.07
617,2021-05-14,23.57,23.785,23.0101,23.52
616,2021-05-13,24.41,24.771,22.08,23.24
615,2021-05-12,26.36,26.8,25.25,25.31
614,2021-05-11,27.0,27.0,26.25,26.67
613,2021-05-10,29.16,29.16,27.04,27.12
612,2021-05-07,28.78,29.04,28.42,29.01
611,2021-05-06,29.89,29.89,28.35,28.67
610,2021-05-05,29.33,29.87,29.2192,29.8
609,2021-05-04,30.09,30.09,29.06,29.36
608,2021-05-03,29.21,30.05,28.98,30.03
607,2021-04-30,28.62,29.68,28.62,29.3
606,2021-04-29,28.5,29.05,28.34,28.75
605,2021-04-28,28.15,28.85,28.04,28.42
604,2021-04-27,27.48,28.08,27.47,28.01
603,2021-04-26,27.45,27.9587,27.41,27.69
602,2021-04-23,26.75,27.49,26.62,27.36
601,2021-04-22,26.41,26.79,26.11,26.25
600,2021-04-21,25.83,27.07,25.65,26.41
599,2021-04-20,24.9,25.215,24.36,24.63
598,2021-04-19,25.25,25.57,24.41,24.62
597,2021-04-16,25.68,25.81,25.01,25.65
596,2021-04-15,25.87,25.9786,25.23,25.54
595,2021-04-14,26.02,26.08,25.63,25.75
594,2021-04-13,26.0,26.29,25.29,26.05
593,2021-04-12,25.36,26.09,24.75,25.99
592,2021-04-09,25.5,25.63,25.2,25.25
591,2021-04-08,25.17,25.8,25.0,25.71
590,2021-04-07,25.96,26.153,25.18,25.28
589,2021-04-06,25.5,25.88,25.07,25.81
588,2021-04-05,25.09,25.55,24.875,25.51
587,2021-04-01,24.93,25.06,24.48,25.0
586,2021-03-31,24.75,24.98,24.63,24.79
585,2021-03-30,24.89,25.03,24.33,24.75
584,2021-03-29,24.34,25.31,24.33,25.01
583,2021-03-26,24.3,24.68,23.94,24.36
582,2021-03-25,24.65,24.65,23.31,24.15
581,2021-03-24,24.69,25.12,24.35,24.88
580,2021-03-23,26.09,26.1,24.53,24.71
579,2021-03-22,26.46,26.7211,25.61,25.94
578,2021-03-19,25.42,26.8,24.99,26.56
577,2021-03-18,25.56,25.96,24.34,25.24
576,2021-03-17,25.73,26.57,25.57,26.3
575,2021-03-16,25.63,26.11,25.63,25.9
