,Date,Open,High,Low,Close
3801,2021-12-31,7.72,7.78,7.56,7.63
3800,2021-12-30,7.85,7.93,7.6,7.6
3799,2021-12-29,8.08,8.19,7.83,7.92
3798,2021-12-28,8.5,8.55,7.985,8.15
3797,2021-12-27,7.97,8.5,7.83,8.5
3796,2021-12-23,7.91,8.0468,7.73,7.95
3795,2021-12-22,7.83,7.945,7.635,7.86
3794,2021-12-21,7.31,7.83,7.23,7.83
3793,2021-12-20,7.0,7.19,6.8,7.16
3792,2021-12-17,7.47,7.55,7.16,7.24
3791,2021-12-16,8.05,8.165,7.46,7.51
3790,2021-12-15,7.34,7.87,7.03,7.84
3789,2021-12-14,7.31,7.63,7.25,7.43
3788,2021-12-13,7.82,8.1,7.57,7.65
3787,2021-12-10,8.31,8.33,7.92,7.93
3786,2021-12-09,8.52,8.68,8.15,8.22
3785,2021-12-08,8.46,8.82,8.325,8.62
3784,2021-12-07,8.34,8.52,8.13,8.41
3783,2021-12-06,7.86,8.1463,7.42,8.0
3782,2021-12-03,8.8,8.92,7.82,8.0
3781,2021-12-02,8.41,8.83,8.28,8.71
3780,2021-12-01,9.01,9.235,8.425,8.47
3779,2021-11-30,9.01,9.3093,8.35,8.71
3778,2021-11-29,9.04,9.53,9.0,9.29
3777,2021-11-26,8.86,9.01,8.45,8.9
3776,2021-11-24,9.45,9.5,9.13,9.4
3775,2021-11-23,9.15,9.91,9.11,9.45
3774,2021-11-22,9.25,9.5,8.925,8.94
3773,2021-11-19,9.67,9.73,9.1227,9.18
3772,2021-11-18,9.97,10.33,9.83,10.05
3771,2021-11-17,9.6,10.31,9.51,9.89
3770,2021-11-16,10.3,10.37,9.74,9.85
3769,2021-11-15,11.1,11.14,10.11,10.27
3768,2021-11-12,11.0,11.39,10.675,10.99
3767,2021-11-11,10.64,11.3,10.3,10.98
3766,2021-11-10,10.76,11.27,10.24,10.44
3765,2021-11-09,10.86,11.0306,10.3158,10.97
3764,2021-11-08,10.5,11.09,10.32,10.86
3763,2021-11-05,10.2,10.3374,9.82,10.28
3762,2021-11-04,10.0,10.17,9.56,10.16
3761,2021-11-03,8.83,9.8578,8.75,9.77
3760,2021-11-02,8.5,8.58,8.24,8.55
3759,2021-11-01,7.81,8.46,7.81,8.41
3758,2021-10-29,8.09,8.13,7.39,7.84
3757,2021-10-28,8.34,8.42,8.1,8.18
3756,2021-10-27,8.65,8.925,8.1,8.13
3755,2021-10-26,8.87,9.03,8.58,8.8
3754,2021-10-25,8.59,9.085,8.5,8.77
3753,2021-10-22,8.55,8.6822,8.18,8.5
3752,2021-10-21,8.8,8.81,8.26,8.52
3751,2021-10-20,8.28,8.755,8.03,8.7
3750,2021-10-19,8.42,8.61,7.9,8.27
3749,2021-10-18,8.01,8.51,7.91,8.28
3748,2021-10-15,7.92,8.04,7.38,7.8
3747,2021-10-14,7.87,8.03,7.53,7.86
3746,2021-10-13,7.61,8.22,7.13,7.86
3745,2021-10-12,6.41,7.56,6.37,7.49
3744,2021-10-11,6.45,6.64,6.37,6.44
3743,2021-10-08,6.59,6.69,6.265,6.35
3742,2021-10-07,6.27,6.6,6.1527,6.54
3741,2021-10-06,6.6,6.72,6.11,6.26
3740,2021-10-05,7.0,7.101,6.74,7.03
3739,2021-10-04,6.86,7.44,6.75,6.8
3738,2021-10-01,7.01,7.14,6.6627,6.82
3737,2021-09-30,6.37,7.1,6.305,7.02
3736,2021-09-29,6.49,6.54,6.23,6.39
3735,2021-09-28,6.6,6.87,6.295,6.42
3734,2021-09-27,6.45,6.91,6.33,6.77
3733,2021-09-24,6.81,6.81,6.23,6.31
3732,2021-09-23,7.0,7.03,6.58,7.02
3731,2021-09-22,7.15,7.43,6.81,6.82
3730,2021-09-21,7.15,7.355,6.871,6.93
3729,2021-09-20,6.79,7.12,6.55,6.77
3728,2021-09-17,8.1,8.15,7.1711,7.31
3727,2021-09-16,8.34,8.39,7.81,8.16
3726,2021-09-15,7.5,8.34,7.5,8.33
3725,2021-09-14,7.36,8.04,7.03,7.48
3724,2021-09-13,7.23,7.62,7.005,7.25
3723,2021-09-10,6.46,7.18,6.3,6.92
3722,2021-09-09,6.27,6.51,6.15,6.4
3721,2021-09-08,6.7,6.755,6.13,6.35
3720,2021-09-07,6.4,6.61,6.2564,6.58
3719,2021-09-03,6.3,6.44,5.94,6.15
3718,2021-09-02,5.7,6.11,5.66,6.06
3717,2021-09-01,5.45,5.69,5.27,5.55
3716,2021-08-31,5.2,5.415,5.085,5.41
3715,2021-08-30,5.21,5.24,4.9946,5.12
3714,2021-08-27,4.88,5.215,4.88,5.14
3713,2021-08-26,4.92,5.11,4.8001,4.86
3712,2021-08-25,4.87,5.1,4.81,4.94
3711,2021-08-24,4.9,4.99,4.67,4.89
3710,2021-08-23,4.58,4.9486,4.57,4.83
3709,2021-08-20,4.49,4.56,4.32,4.53
3708,2021-08-19,4.6,4.68,4.48,4.58
3707,2021-08-18,4.68,4.9299,4.62,4.75
3706,2021-08-17,4.72,4.82,4.55,4.67
3705,2021-08-16,5.02,5.0538,4.7,4.77
3704,2021-08-13,5.27,5.31,5.1,5.1
3703,2021-08-12,5.36,5.405,5.19,5.27
3702,2021-08-11,5.51,5.53,5.2,5.41
3701,2021-08-10,5.3,5.55,5.2801,5.49
3700,2021-08-09,5.2,5.32,5.16,5.28
3699,2021-08-06,5.19,5.29,5.071,5.27
3698,2021-08-05,5.03,5.32,5.02,5.2
3697,2021-08-04,5.18,5.22,4.99,5.03
3696,2021-08-03,5.13,5.29,5.02,5.26
3695,2021-08-02,5.36,5.415,5.0415,5.15
3694,2021-07-30,5.4,5.47,5.2338,5.25
3693,2021-07-29,5.58,5.64,5.32,5.45
3692,2021-07-28,5.05,5.53,5.04,5.46
3691,2021-07-27,5.32,5.37,4.9,5.04
3690,2021-07-26,5.12,5.45,5.11,5.34
3689,2021-07-23,5.18,5.29,5.02,5.11
3688,2021-07-22,5.48,5.49,5.005,5.18
3687,2021-07-21,4.98,5.385,4.92,5.3
3686,2021-07-20,4.6,4.88,4.48,4.84
3685,2021-07-19,4.4,4.65,4.3508,4.59
3684,2021-07-16,5.05,5.12,4.62,4.64
3683,2021-07-15,5.0,5.15,4.86,4.99
3682,2021-07-14,5.1,5.26,5.0037,5.04
3681,2021-07-13,5.21,5.25,5.01,5.04
3680,2021-07-12,5.52,5.52,5.21,5.24
3679,2021-07-09,5.5,5.5,5.34,5.41
3678,2021-07-08,5.3,5.54,5.2,5.34
3677,2021-07-07,5.8,5.98,5.44,5.5
3676,2021-07-06,6.08,6.12,5.74,5.74
3675,2021-07-02,6.18,6.22,5.92,6.08
3674,2021-07-01,6.11,6.19,5.81,6.14
3673,2021-06-30,5.93,6.05,5.835,6.05
3672,2021-06-29,6.09,6.16,5.9,5.93
3671,2021-06-28,6.12,6.25,5.95,6.01
3670,2021-06-25,6.6,6.66,6.095,6.11
3669,2021-06-24,6.27,6.615,6.17,6.6
3668,2021-06-23,6.22,6.495,6.16,6.25
3667,2021-06-22,6.25,6.27,6.005,6.23
3666,2021-06-21,6.23,6.3,5.9,6.26
3665,2021-06-18,6.11,6.39,6.0702,6.23
3664,2021-06-17,6.68,6.85,6.18,6.37
3663,2021-06-16,6.57,6.86,6.4835,6.82
3662,2021-06-15,6.45,6.675,6.35,6.6
3661,2021-06-14,6.88,6.97,6.22,6.37
3660,2021-06-11,7.05,7.2,6.98,7.03
3659,2021-06-10,6.9,7.125,6.67,6.91
3658,2021-06-09,7.04,7.1772,6.78,6.79
3657,2021-06-08,7.31,7.35,6.89,6.99
3656,2021-06-07,7.1,7.49,6.99,7.29
3655,2021-06-04,6.91,7.09,6.79,7.03
3654,2021-06-03,6.98,7.11,6.71,6.9
3653,2021-06-02,7.19,7.22,6.82,7.12
3652,2021-06-01,6.7,7.22,6.64,7.18
3651,2021-05-28,6.92,7.12,6.325,6.49
3650,2021-05-27,6.45,6.94,6.31,6.81
3649,2021-05-26,6.02,6.435,5.98,6.38
3648,2021-05-25,5.93,6.09,5.8,5.82
3647,2021-05-24,6.04,6.13,5.8,5.91
3646,2021-05-21,6.07,6.19,6.0,6.07
3645,2021-05-20,5.95,6.1,5.78,6.07
3644,2021-05-19,5.62,5.98,5.62,5.95
3643,2021-05-18,5.99,6.08,5.73,5.89
3642,2021-05-17,5.7,5.96,5.6392,5.94
3641,2021-05-14,5.32,5.7,5.32,5.7
3640,2021-05-13,5.35,5.63,5.06,5.25
3639,2021-05-12,5.71,5.8,5.38,5.41
3638,2021-05-11,5.3,5.899,5.24,5.75
3637,2021-05-10,6.41,6.429,5.85,5.86
3636,2021-05-07,6.03,6.455,5.86,6.27
3635,2021-05-06,6.23,6.29,5.82,5.97
3634,2021-05-05,6.06,6.34,6.0,6.17
3633,2021-05-04,5.98,6.0,5.5426,5.88
3632,2021-05-03,5.69,6.14,5.6,6.12
3631,2021-04-30,5.61,5.7,5.41,5.51
3630,2021-04-29,5.85,5.87,5.45,5.57
3629,2021-04-28,5.37,5.74,5.31,5.69
3628,2021-04-27,5.45,5.56,5.315,5.41
3627,2021-04-26,5.64,5.65,5.33,5.44
3626,2021-04-23,5.27,5.6391,5.25,5.54
3625,2021-04-22,5.65,5.6999,5.23,5.27
3624,2021-04-21,5.25,5.59,5.0703,5.53
3623,2021-04-20,5.01,5.23,4.775,5.23
3622,2021-04-19,5.26,5.345,5.025,5.14
3621,2021-04-16,5.4,5.51,5.18,5.29
3620,2021-04-15,5.93,5.95,5.48,5.59
3619,2021-04-14,5.75,6.065,5.66,5.77
3618,2021-04-13,5.97,6.09,5.7,5.77
3617,2021-04-12,6.4,6.4,5.8,5.97
3616,2021-04-09,6.76,6.82,6.44,6.54
3615,2021-04-08,6.37,7.07,6.37,6.85
3614,2021-04-07,6.6,6.64,6.28,6.34
3613,2021-04-06,6.98,6.98,6.48,6.54
3612,2021-04-05,6.24,6.98,6.04,6.85
3611,2021-04-01,6.0,6.2,5.76,5.98
3610,2021-03-31,5.5,5.96,5.49,5.68
3609,2021-03-30,5.64,5.7,5.25,5.38
3608,2021-03-29,6.15,6.15,5.57,5.69
3607,2021-03-26,5.93,6.22,5.8,6.1
3606,2021-03-25,5.55,5.85,5.46,5.79
3605,2021-03-24,6.06,6.265,5.71,5.71
3604,2021-03-23,6.25,6.31,5.86,5.98
3603,2021-03-22,6.64,6.705,6.12,6.18
3602,2021-03-19,6.55,6.81,6.25,6.52
3601,2021-03-18,6.94,7.28,6.55,6.57
3600,2021-03-17,6.84,7.19,6.69,7.14
3599,2021-03-16,7.06,7.83,6.84,7.05
3598,2021-03-15,6.09,7.26,5.94,7.18
3597,2021-03-12,5.57,5.97,5.43,5.92
3596,2021-03-11,5.34,5.75,5.2,5.73
3595,2021-03-10,5.1,5.41,5.06,5.24
3594,2021-03-09,5.09,5.23,4.96,5.13
3593,2021-03-08,5.4,5.4,4.88,4.9
3592,2021-03-05,5.6,5.65,4.53,5.27
3591,2021-03-04,5.83,6.0,5.16,5.37
3590,2021-03-03,6.5,6.95,5.83,5.86
3589,2021-03-02,5.43,6.21,5.3,6.19
3588,2021-03-01,5.45,5.52,5.13,5.19
3587,2021-02-26,5.39,5.55,5.02,5.19
3586,2021-02-25,5.64,5.86,5.34,5.39
3585,2021-02-24,5.44,5.76,5.35,5.66
3584,2021-02-23,5.25,5.6,4.8,5.45
3583,2021-02-22,5.45,5.88,5.411,5.58
3582,2021-02-19,5.38,5.8,5.25,5.77
3581,2021-02-18,5.88,5.95,5.16,5.17
3580,2021-02-17,6.15,6.3,5.7,6.01
3579,2021-02-16,6.09,6.45,5.91,6.13
3578,2021-02-12,5.62,5.83,5.4,5.79
3577,2021-02-11,5.49,6.02,5.22,5.65
3576,2021-02-10,5.68,5.72,5.09,5.4
3575,2021-02-09,5.7,5.75,5.22,5.34
3574,2021-02-08,5.16,5.6,5.06,5.6
3573,2021-02-05,4.18,4.95,4.15,4.87
3572,2021-02-04,4.31,4.35,4.08,4.19
3571,2021-02-03,4.22,4.42,4.178,4.27
3570,2021-02-02,4.29,4.35,4.04,4.14
3569,2021-02-01,3.85,4.32,3.73,4.27
3568,2021-01-29,3.95,4.15,3.78,3.8
3567,2021-01-28,4.15,4.15,3.78,3.94
3566,2021-01-27,4.05,4.53,3.91,4.21
3565,2021-01-26,3.93,4.36,3.9,4.21
3564,2021-01-25,3.93,4.02,3.7,3.89
3563,2021-01-22,3.74,3.94,3.7,3.94
3562,2021-01-21,3.95,3.95,3.69,3.85
3561,2021-01-20,3.95,3.99,3.73,3.93
3560,2021-01-19,3.98,4.0679,3.85,3.93
