,Date,Open,High,Low,Close
5577,2021-12-31,3.39,3.4649,3.328,3.4
5576,2021-12-30,3.26,3.57,3.151,3.44
5575,2021-12-29,3.19,3.37,3.19,3.3
5574,2021-12-28,3.67,3.67,3.18,3.18
5573,2021-12-27,3.67,3.67,3.44,3.45
5572,2021-12-23,3.66,3.7236,3.5456,3.64
5571,2021-12-22,3.65,3.78,3.57,3.66
5570,2021-12-21,3.61,3.92,3.57,3.69
5569,2021-12-20,3.65,3.74,3.59,3.59
5568,2021-12-17,3.77,3.9,3.6529,3.75
5567,2021-12-16,4.24,4.24,3.79,3.79
5566,2021-12-15,3.75,4.2,3.69,4.12
5565,2021-12-14,3.77,3.845,3.7458,3.78
5564,2021-12-13,4.05,4.05,3.82,3.85
5563,2021-12-10,3.83,3.99,3.83,3.99
5562,2021-12-09,4.18,4.18,3.82,3.85
5561,2021-12-08,4.01,4.235,3.925,4.07
5560,2021-12-07,4.1,4.2354,3.93,3.93
5559,2021-12-06,3.78,3.98,3.62,3.98
5558,2021-12-03,3.8,3.81,3.6,3.64
5557,2021-12-02,3.84,3.9199,3.65,3.8058
5556,2021-12-01,3.82,4.03,3.72,3.83
5555,2021-11-30,4.13,4.13,3.81,3.81
5554,2021-11-29,4.27,4.27,4.031,4.14
5553,2021-11-26,4.34,4.34,4.04,4.15
5552,2021-11-24,4.24,4.3299,4.02,4.19
5551,2021-11-23,4.06,4.4,4.06,4.32
5550,2021-11-22,4.03,4.19,3.6071,4.12
5549,2021-11-19,4.05,4.1591,4.0005,4.07
5548,2021-11-18,4.01,4.18,3.9603,4.12
5547,2021-11-17,4.02,4.2847,3.97,4.04
5546,2021-11-16,4.25,4.3,4.0,4.07
5545,2021-11-15,4.45,4.5455,4.2198,4.3
5544,2021-11-12,4.44,4.5935,4.28,4.48
5543,2021-11-11,4.39,4.54,4.195,4.49
5542,2021-11-10,4.67,4.7985,4.39,4.39
5541,2021-11-09,4.84,4.94,4.6838,4.78
5540,2021-11-08,4.95,4.96,4.8507,4.89
5539,2021-11-05,5.02,5.15,4.8,4.83
5538,2021-11-04,5.12,5.2499,4.95,5.02
5537,2021-11-03,5.08,5.4,5.02,5.16
5536,2021-11-02,5.03,5.25,4.87,5.18
5535,2021-11-01,5.01,5.1,5.0076,5.09
5534,2021-10-29,4.92,5.06,4.92,5.01
5533,2021-10-28,4.97,5.1198,4.96,4.96
5532,2021-10-27,5.0,5.1899,4.95,5.0
5531,2021-10-26,5.23,5.23,4.97,5.05
5530,2021-10-25,5.02,5.42,4.91,5.17
5529,2021-10-22,4.99,5.09,4.84,5.09
5528,2021-10-21,5.06,5.18,4.82,5.06
5527,2021-10-20,5.1,5.17,4.98,5.01
5526,2021-10-19,5.04,5.25,4.9,5.16
5525,2021-10-18,4.8,5.04,4.8,5.0
5524,2021-10-15,5.0201,5.03,4.8,4.8
5523,2021-10-14,5.1199,5.18,4.99,5.01
5522,2021-10-13,4.99,5.19,4.93,5.05
5521,2021-10-12,5.16,5.16,4.94,4.99
5520,2021-10-11,5.02,5.22,5.01,5.11
5519,2021-10-08,5.13,5.2903,4.975,5.05
5518,2021-10-07,5.12,5.39,5.11,5.3
5517,2021-10-06,5.28,5.4,5.12,5.12
5516,2021-10-05,5.49,5.58,5.29,5.41
5515,2021-10-04,5.36,5.65,5.36,5.6
5514,2021-10-01,5.46,5.55,5.28,5.4
5513,2021-09-30,5.49,5.545,5.27,5.54
5512,2021-09-29,5.66,5.79,5.41,5.51
5511,2021-09-28,5.68,5.79,5.59,5.69
5510,2021-09-27,5.47,5.7911,5.36,5.64
5509,2021-09-24,5.3,5.66,5.3,5.59
5508,2021-09-23,5.33,5.65,5.33,5.5
5507,2021-09-22,5.16,5.65,5.16,5.38
5506,2021-09-21,5.35,5.48,5.1,5.18
5505,2021-09-20,5.48,5.63,5.3064,5.34
5504,2021-09-17,5.83,5.8468,5.68,5.72
5503,2021-09-16,5.69,6.05,5.58,5.9
5502,2021-09-15,5.72,5.82,5.64,5.68
5501,2021-09-14,5.86,5.9908,5.75,5.75
5500,2021-09-13,5.96,6.05,5.8,5.89
5499,2021-09-10,6.05,6.4,5.93,5.93
5498,2021-09-09,5.9,6.1,5.8001,6.1
5497,2021-09-08,6.02,6.19,5.9,5.99
5496,2021-09-07,6.3,6.3,6.02,6.11
5495,2021-09-03,6.28,6.3126,6.04,6.29
5494,2021-09-02,6.11,6.4599,6.0335,6.2
5493,2021-09-01,6.21,6.31,5.91,6.25
5492,2021-08-31,5.91,6.3899,5.91,6.34
5491,2021-08-30,6.11,6.2555,5.7857,5.91
5490,2021-08-27,6.31,6.6,6.1,6.4
5489,2021-08-26,7.69,8.1195,6.26,6.9
5488,2021-08-25,6.49,7.55,6.12,6.77
5487,2021-08-24,5.48,6.2,5.35,5.9
5486,2021-08-23,5.48,5.6,5.27,5.4
5485,2021-08-20,5.71,5.9,5.44,5.45
5484,2021-08-19,5.42,5.6,5.4001,5.48
5483,2021-08-18,5.69,5.7,5.43,5.61
5482,2021-08-17,5.35,5.8,5.35,5.69
5481,2021-08-16,5.5,5.5,5.2,5.36
5480,2021-08-13,5.8,6.0,5.45,5.55
5479,2021-08-12,5.76,6.29,5.62,5.81
5478,2021-08-11,6.05,7.18,5.8,5.8
5477,2021-08-10,6.15,6.18,5.82,5.91
5476,2021-08-09,6.2,6.49,6.03,6.18
5475,2021-08-06,6.1,6.22,5.81,6.21
5474,2021-08-05,6.73,6.9579,6.07,6.19
5473,2021-08-04,6.31,7.7,6.3,6.68
5472,2021-08-03,6.27,7.1299,6.05,6.44
5471,2021-08-02,6.19,6.32,6.0001,6.27
5470,2021-07-30,6.81,6.83,6.01,6.18
5469,2021-07-29,5.91,6.9,5.85,6.78
5468,2021-07-28,5.61,5.97,5.61,5.89
5467,2021-07-27,5.99,5.99,5.56,5.71
5466,2021-07-26,5.97,6.23,5.86,5.93
5465,2021-07-23,6.2,6.3799,5.97,5.97
5464,2021-07-22,6.24,6.42,6.045,6.23
5463,2021-07-21,5.75,6.34,5.75,6.25
5462,2021-07-20,5.66,5.9,5.66,5.78
5461,2021-07-19,5.49,5.71,5.3601,5.67
5460,2021-07-16,6.17,6.47,5.86,5.88
5459,2021-07-15,6.16,6.49,6.09,6.35
5458,2021-07-14,6.36,6.56,6.14,6.26
5457,2021-07-13,6.91,6.94,6.36,6.41
5456,2021-07-12,7.0,7.29,6.83,6.89
5455,2021-07-09,7.0,7.55,6.8007,6.9
5454,2021-07-08,8.05,9.05,8.04,9.0
5453,2021-07-07,9.5,9.545,8.9,9.4
5452,2021-07-06,8.86,9.24,8.63,9.0
5451,2021-07-02,8.41,8.62,8.4,8.46
5450,2021-07-01,8.27,8.79,8.2108,8.47
5449,2021-06-30,8.08,8.4,7.9,8.4
5448,2021-06-29,8.39,8.439,7.8296,8.08
5447,2021-06-28,8.8,8.94,8.43,8.57
5446,2021-06-25,9.2,9.3199,8.68,8.94
5445,2021-06-24,8.71,9.49,8.71,9.33
5444,2021-06-23,8.9,8.99,8.5501,8.88
5443,2021-06-22,7.84,8.87,7.712,8.86
5442,2021-06-21,7.56,7.88,7.49,7.88
5441,2021-06-18,7.54,7.81,7.51,7.81
5440,2021-06-17,7.68,7.9,7.18,7.72
5439,2021-06-16,7.36,7.65,7.255,7.65
5438,2021-06-15,7.75,7.84,7.16,7.36
5437,2021-06-14,7.49,8.0,7.39,7.74
5436,2021-06-11,7.42,7.505,7.2317,7.49
5435,2021-06-10,7.57,7.6731,7.11,7.29
5434,2021-06-09,7.2,7.92,7.145,7.52
5433,2021-06-08,6.91,7.604,6.9001,7.11
5432,2021-06-07,6.66,7.17,6.56,7.03
5431,2021-06-04,6.26,6.9599,6.24,6.68
5430,2021-06-03,6.91,6.98,6.15,6.21
5429,2021-06-02,6.67,8.6494,6.27,7.16
5428,2021-06-01,6.15,6.719,6.07,6.46
5427,2021-05-28,6.27,6.27,6.0,6.11
5426,2021-05-27,5.86,6.0386,5.77,6.0
5425,2021-05-26,5.7,6.1,5.65,5.86
5424,2021-05-25,5.7,5.83,5.58,5.67
5423,2021-05-24,6.19,6.19,5.63,5.67
5422,2021-05-21,5.97,6.17,5.78,5.93
5421,2021-05-20,5.69,5.98,5.57,5.87
5420,2021-05-19,5.66,5.75,5.41,5.69
5419,2021-05-18,5.52,6.25,5.49,5.88
5418,2021-05-17,5.19,5.68,5.06,5.52
5417,2021-05-14,4.94,5.37,4.94,5.21
5416,2021-05-13,4.97,5.1,4.72,4.88
5415,2021-05-12,4.85,5.15,4.772,4.92
5414,2021-05-11,4.92,5.19,4.51,5.01
5413,2021-05-10,5.59,5.77,5.02,5.12
5412,2021-05-07,5.42,6.1184,5.35,5.49
5411,2021-05-06,6.1,6.38,5.325,5.44
5410,2021-05-05,5.67,7.5,5.45,6.46
5409,2021-05-04,5.52,6.2,5.06,5.65
5408,2021-05-03,6.13,6.16,5.3,5.69
5407,2021-04-30,5.41,6.27,5.23,5.94
5406,2021-04-29,5.8,5.85,5.5,5.5
5405,2021-04-28,5.74,5.96,5.72,5.79
5404,2021-04-27,5.85,5.9172,5.62,5.75
5403,2021-04-26,5.57,5.94,5.56,5.74
5402,2021-04-23,5.28,5.71,5.28,5.56
5401,2021-04-22,5.35,5.58,5.3,5.33
5400,2021-04-21,5.46,5.47,5.2038,5.33
5399,2021-04-20,5.7,5.82,5.12,5.21
5398,2021-04-19,6.11,6.15,5.73,5.76
5397,2021-04-16,6.83,6.89,6.2,6.2
5396,2021-04-15,7.2,7.2,6.66,6.93
5395,2021-04-14,7.29,7.55,7.05,7.08
5394,2021-04-13,7.21,7.63,6.9507,7.46
5393,2021-04-12,7.32,7.87,7.09,7.26
5392,2021-04-09,7.65,7.99,7.3,7.36
5391,2021-04-08,7.17,7.66,7.03,7.65
5390,2021-04-07,7.05,7.48,6.9666,7.32
5389,2021-04-06,7.08,7.58,7.02,7.07
5388,2021-04-05,7.0,7.77,6.82,7.3
5387,2021-04-01,6.64,8.3,6.62,7.16
5386,2021-03-31,6.47,6.97,6.4,6.75
5385,2021-03-30,6.68,6.73,6.45,6.59
5384,2021-03-29,6.52,6.86,6.43,6.64
5383,2021-03-26,6.6,6.6801,6.2998,6.52
5382,2021-03-25,6.15,6.6786,6.125,6.4
5381,2021-03-24,6.84,7.1321,6.04,6.12
5380,2021-03-23,7.24,7.68,6.83,6.83
5379,2021-03-22,7.14,7.85,7.08,7.41
5378,2021-03-19,6.99,7.13,6.7,6.98
5377,2021-03-18,6.97,7.37,6.8,6.83
5376,2021-03-17,7.02,7.12,6.65,6.97
5375,2021-03-16,7.29,7.49,6.75,7.0
5374,2021-03-15,6.85,7.9896,6.75,7.49
5373,2021-03-12,7.05,7.29,6.92,6.97
5372,2021-03-11,6.91,7.43,6.75,7.12
5371,2021-03-10,6.6,6.9799,6.2,6.71
5370,2021-03-09,6.08,6.58,5.91,6.53
5369,2021-03-08,5.88,6.4,5.85,5.99
5368,2021-03-05,5.65,6.0,5.29,5.87
5367,2021-03-04,6.49,6.7,5.42,5.75
5366,2021-03-03,6.76,7.0,6.41,6.5
5365,2021-03-02,7.21,7.2595,6.62,6.67
5364,2021-03-01,7.31,7.42,6.97,7.28
5363,2021-02-26,6.95,7.48,6.75,6.97
5362,2021-02-25,7.84,8.1,6.9,6.91
5361,2021-02-24,7.05,8.13,6.83,7.84
5360,2021-02-23,8.5,8.52,6.62,6.67
5359,2021-02-22,9.02,9.88,8.8001,9.21
5358,2021-02-19,9.2,9.5,8.8001,9.24
5357,2021-02-18,8.71,9.8,8.65,9.29
5356,2021-02-17,10.1,10.1766,8.57,8.6
5355,2021-02-16,10.54,10.58,10.01,10.14
5354,2021-02-12,10.0,11.67,9.97,10.56
5353,2021-02-11,11.02,13.0,9.9,10.77
5352,2021-02-10,11.04,11.7999,9.62,11.1
5351,2021-02-09,9.34,10.38,9.12,9.42
5350,2021-02-08,8.8,9.6351,8.55,9.13
5349,2021-02-05,9.23,9.3,8.35,8.53
5348,2021-02-04,8.73,9.4,8.53,8.86
