,Date,Open,High,Low,Close
4676,2021-12-31,16.75,17.07,16.68,17.0
4675,2021-12-30,16.89,16.93,16.6,16.82
4674,2021-12-29,16.82,16.95,16.59,16.83
4673,2021-12-28,16.97,17.1,16.76,16.81
4672,2021-12-27,16.73,16.94,16.53,16.92
4671,2021-12-23,16.61,16.95,16.51,16.83
4670,2021-12-22,16.43,16.56,16.305,16.54
4669,2021-12-21,16.75,16.9182,16.36,16.45
4668,2021-12-20,16.69,16.87,16.07,16.5
4667,2021-12-17,16.88,17.13,16.65,16.91
4666,2021-12-16,17.12,17.47,16.71,16.85
4665,2021-12-15,16.68,17.34,16.54,17.07
4664,2021-12-14,16.53,16.88,16.2259,16.65
4663,2021-12-13,15.77,16.627,15.77,16.45
4662,2021-12-10,15.59,15.79,15.5569,15.77
4661,2021-12-09,15.69,15.95,15.55,15.57
4660,2021-12-08,15.93,16.0869,15.82,16.04
4659,2021-12-07,16.16,16.26,15.91,15.93
4658,2021-12-06,15.75,16.26,15.64,16.0
4657,2021-12-03,15.5,15.67,15.4,15.48
4656,2021-12-02,15.27,15.56,15.21,15.5
4655,2021-12-01,15.34,15.65,15.18,15.21
4654,2021-11-30,15.06,15.31,14.94,15.07
4653,2021-11-29,15.5,15.6,15.1138,15.22
4652,2021-11-26,15.52,15.52,14.99,15.38
4651,2021-11-24,15.65,15.83,15.62,15.7
4650,2021-11-23,15.58,15.8,15.53,15.61
4649,2021-11-22,15.31,15.55,15.19,15.5
4648,2021-11-19,15.26,15.44,15.09,15.3
4647,2021-11-18,15.42,15.42,15.0,15.38
4646,2021-11-17,15.43,15.4821,15.12,15.36
4645,2021-11-16,15.54,15.73,15.42,15.5
4644,2021-11-15,15.61,15.61,15.33,15.36
4643,2021-11-12,15.72,15.74,15.52,15.6
4642,2021-11-11,15.48,15.69,15.37,15.64
4641,2021-11-10,15.22,15.45,15.1,15.4
4640,2021-11-09,15.31,15.375,15.11,15.3
4639,2021-11-08,15.4,15.44,15.22,15.31
4638,2021-11-05,14.89,15.32,14.89,15.27
4637,2021-11-04,15.11,15.33,14.8,14.89
4636,2021-11-03,14.49,15.16,14.283,15.15
4635,2021-11-02,14.7,14.87,14.4594,14.58
4634,2021-11-01,14.89,14.9,14.64,14.71
4633,2021-10-29,14.63,15.07,14.48,14.77
4632,2021-10-28,13.83,14.72,13.8,14.59
4631,2021-10-27,13.54,13.63,13.42,13.5
4630,2021-10-26,13.68,13.75,13.54,13.56
4629,2021-10-25,13.51,13.74,13.395,13.69
