,Date,Open,High,Low,Close
5578,2021-12-31,30.06,30.16,29.83,29.92
5577,2021-12-30,30.19,30.46,29.955,30.06
5576,2021-12-29,30.14,30.37,29.91,30.06
5575,2021-12-28,30.0,30.42,29.42,30.15
5574,2021-12-27,29.83,30.275,29.42,30.08
5573,2021-12-23,29.7,30.03,29.16,29.74
5572,2021-12-22,28.91,29.48,28.869,29.46
5571,2021-12-21,28.61,29.13,28.61,29.09
5570,2021-12-20,28.44,28.59,27.78,28.26
5569,2021-12-17,28.83,29.115,27.89,28.87
5568,2021-12-16,28.68,29.17,28.61,28.85
5567,2021-12-15,28.58,28.94,28.0,28.34
5566,2021-12-14,28.34,29.07,27.96,28.35
5565,2021-12-13,28.57,28.61,28.11,28.31
5564,2021-12-10,28.95,29.19,28.371,28.76
5563,2021-12-09,28.58,28.76,28.47,28.75
5562,2021-12-08,28.86,28.91,28.51,28.83
5561,2021-12-07,28.69,29.0,28.69,28.84
5560,2021-12-06,28.37,28.84,28.14,28.45
5559,2021-12-03,28.51,28.51,27.73,27.9
5558,2021-12-02,27.86,28.62,27.6468,28.42
5557,2021-12-01,28.2,28.48,27.44,27.44
5556,2021-11-30,27.6,27.88,27.2989,27.57
5555,2021-11-29,28.95,29.13,27.95,28.05
5554,2021-11-26,29.01,29.655,27.93,28.44
5553,2021-11-24,30.25,30.37,30.0473,30.1
5552,2021-11-23,30.03,30.42,29.92,30.32
5551,2021-11-22,29.68,30.46,29.63,29.84
5550,2021-11-19,29.05,29.47,28.7788,29.35
5549,2021-11-18,29.38,29.6325,29.24,29.51
5548,2021-11-17,29.9,29.9,29.13,29.43
5547,2021-11-16,30.15,30.24,29.73,30.08
5546,2021-11-15,30.2,30.2,29.97,30.15
5545,2021-11-12,30.74,30.74,29.95,30.02
5544,2021-11-11,30.69,30.89,30.23,30.69
5543,2021-11-10,30.32,30.81,30.28,30.62
5542,2021-11-09,30.1,30.46,29.94,30.38
5541,2021-11-08,30.67,30.95,30.38,30.52
5540,2021-11-05,30.06,30.78,29.63,30.53
5539,2021-11-04,30.89,30.89,29.34,29.75
5538,2021-11-03,29.72,30.91,29.72,30.78
5537,2021-11-02,30.0,30.495,29.01,29.92
5536,2021-11-01,28.94,29.96,28.64,29.91
5535,2021-10-29,29.02,29.1,28.67,28.7
5534,2021-10-28,28.5,29.16,28.5,28.8
5533,2021-10-27,28.7,28.9,28.37,28.5
5532,2021-10-26,29.27,29.27,28.9,28.92
5531,2021-10-25,29.07,29.22,28.9,29.12
5530,2021-10-22,28.84,29.0,28.73,28.99
5529,2021-10-21,28.85,29.12,28.5583,28.67
5528,2021-10-20,28.39,28.95,28.25,28.88
5527,2021-10-19,28.56,28.56,28.09,28.3
5526,2021-10-18,28.26,28.57,28.26,28.36
5525,2021-10-15,29.25,29.26,28.28,28.36
5524,2021-10-14,28.55,28.82,28.24,28.71
5523,2021-10-13,28.58,28.65,27.92,28.19
5522,2021-10-12,28.34,28.635,28.21,28.61
5521,2021-10-11,28.75,28.85,28.36,28.41
