,Date,Open,High,Low,Close
5578,2021-12-31,54.5,54.97,54.1,54.92
5577,2021-12-30,54.77,54.97,54.15,54.61
5576,2021-12-29,54.59,54.86,54.199,54.5
5575,2021-12-28,54.22,54.9499,53.99,54.39
5574,2021-12-27,54.05,54.2,53.67,54.12
5573,2021-12-23,54.0,54.19,53.5,53.84
5572,2021-12-22,53.09,53.79,52.89,53.78
5571,2021-12-21,53.34,53.84,53.08,53.14
5570,2021-12-20,52.0,53.09,51.36,53.05
5569,2021-12-17,52.37,53.44,52.12,52.33
5568,2021-12-16,53.07,54.0,52.2,52.31
5567,2021-12-15,51.35,53.24,51.06,53.09
5566,2021-12-14,51.11,51.95,51.11,51.29
5565,2021-12-13,50.48,51.31,50.4,50.93
5564,2021-12-10,49.82,50.56,49.7433,50.48
5563,2021-12-09,49.28,49.49,48.9001,49.43
5562,2021-12-08,49.62,50.15,49.47,49.51
5561,2021-12-07,50.08,50.4624,49.34,49.42
5560,2021-12-06,49.13,50.49,49.13,49.99
5559,2021-12-03,48.26,48.65,47.94,48.54
5558,2021-12-02,47.28,48.59,47.03,47.92
5557,2021-12-01,47.11,47.9599,46.95,46.95
5556,2021-11-30,46.81,46.9,46.24,46.57
5555,2021-11-29,47.94,48.14,46.68,46.97
5554,2021-11-26,48.0,48.205,46.86,47.63
5553,2021-11-24,48.76,49.12,48.5,48.7
5552,2021-11-23,48.78,49.35,48.6,48.82
5551,2021-11-22,48.11,49.74,47.98,48.78
5550,2021-11-19,48.64,49.1045,48.0,48.09
5549,2021-11-18,49.57,49.77,48.67,48.98
5548,2021-11-17,48.77,49.65,48.54,49.53
5547,2021-11-16,49.94,50.02,48.705,48.77
5546,2021-11-15,49.49,49.76,49.2,49.74
5545,2021-11-12,49.51,49.5973,49.06,49.19
5544,2021-11-11,49.64,50.05,49.3,49.36
5543,2021-11-10,49.55,50.01,49.38,49.67
5542,2021-11-09,49.6,50.04,49.215,49.39
5541,2021-11-08,50.79,50.79,49.255,49.42
5540,2021-11-05,49.5,50.61,49.5,50.46
5539,2021-11-04,49.12,49.735,48.605,49.23
5538,2021-11-03,47.84,48.94,47.64,48.84
5537,2021-11-02,47.91,48.12,47.33,48.03
5536,2021-11-01,47.13,48.37,47.01,47.91
5535,2021-10-29,47.6,47.75,46.91,47.0
5534,2021-10-28,47.505,47.96,47.25,47.58
5533,2021-10-27,48.42,48.525,47.36,47.37
5532,2021-10-26,48.85,49.16,48.39,48.42
5531,2021-10-25,48.88,49.25,48.7,48.93
5530,2021-10-22,48.7,49.04,48.54,48.7
5529,2021-10-21,48.9,49.01,48.29,48.51
5528,2021-10-20,48.57,48.96,48.45,48.87
5527,2021-10-19,48.92,48.92,48.42,48.47
5526,2021-10-18,49.24,49.24,48.51,48.53
5525,2021-10-15,49.98,50.04,49.19,49.22
5524,2021-10-14,49.68,49.68,49.1,49.35
5523,2021-10-13,49.15,49.42,48.7941,49.4
5522,2021-10-12,49.11,49.48,49.0,49.22
5521,2021-10-11,49.65,49.92,48.93,48.93
5520,2021-10-08,49.22,49.53,49.1001,49.26
5519,2021-10-07,50.0,50.5065,49.29,49.3
5518,2021-10-06,50.12,50.7,49.85,50.61
5517,2021-10-05,50.56,50.61,50.04,50.52
5516,2021-10-04,49.15,50.28,49.12,50.18
5515,2021-10-01,48.47,49.38,48.37,49.01
5514,2021-09-30,49.34,49.34,48.31,48.33
5513,2021-09-29,48.34,49.17,48.13,49.14
5512,2021-09-28,48.56,48.83,48.2,48.35
5511,2021-09-27,47.76,48.99,47.76,48.59
5510,2021-09-24,47.9,48.2,47.56,47.59
5509,2021-09-23,47.5,48.36,47.5,47.8
5508,2021-09-22,47.52,48.1391,47.35,47.36
5507,2021-09-21,47.6,47.92,47.0089,47.28
5506,2021-09-20,47.5,47.71,46.77,47.49
5505,2021-09-17,48.2,48.475,47.85,47.92
5504,2021-09-16,49.05,49.05,48.23,48.3
5503,2021-09-15,48.22,49.89,48.22,48.94
5502,2021-09-14,49.1,49.1,48.22,48.36
5501,2021-09-13,49.25,49.48,48.36,48.78
5500,2021-09-10,49.29,49.5,48.88,49.04
5499,2021-09-09,50.39,50.39,49.3,49.32
5498,2021-09-08,50.9,51.01,49.9,50.5
5497,2021-09-07,50.96,51.64,50.87,51.06
5496,2021-09-03,50.5,51.11,50.315,50.95
5495,2021-09-02,50.45,50.93,50.435,50.7
5494,2021-09-01,50.86,50.96,49.7468,50.35
5493,2021-08-31,50.0,50.83,50.0,50.6
5492,2021-08-30,50.4,50.495,49.67,49.92
5491,2021-08-27,49.27,50.32,49.27,50.08
