,Date,Open,High,Low,Close
885,2021-12-31,1.42,1.64,1.42,1.58
884,2021-12-30,1.35,1.47,1.33,1.41
883,2021-12-29,1.36,1.388,1.32,1.33
882,2021-12-28,1.4,1.44,1.38,1.39
881,2021-12-27,1.45,1.4968,1.41,1.43
880,2021-12-23,1.49,1.5,1.42,1.47
879,2021-12-22,1.44,1.53,1.41,1.49
878,2021-12-21,1.41,1.5,1.41,1.46
877,2021-12-20,1.43,1.45,1.38,1.38
876,2021-12-17,1.56,1.575,1.47,1.55
875,2021-12-16,1.7,1.7,1.55,1.57
874,2021-12-15,1.79,1.79,1.57,1.68
873,2021-12-14,1.743,1.77,1.68,1.68
872,2021-12-13,1.76,1.77,1.66,1.71
871,2021-12-10,1.85,1.9,1.77,1.79
870,2021-12-09,1.85,1.87,1.795,1.83
869,2021-12-08,1.78,1.88,1.7213,1.83
868,2021-12-07,1.7,1.835,1.7,1.78
867,2021-12-06,1.56,1.7,1.54,1.68
866,2021-12-03,1.78,1.79,1.54,1.59
865,2021-12-02,1.85,1.9601,1.71,1.78
864,2021-12-01,2.24,2.24,1.89,1.95
863,2021-11-30,2.27,2.32,2.13,2.21
862,2021-11-29,2.27,2.27,2.18,2.25
861,2021-11-26,2.23,2.33,2.19,2.24
860,2021-11-24,2.21,2.37,2.21,2.34
859,2021-11-23,2.26,2.295,2.14,2.26
858,2021-11-22,2.28,2.44,2.21,2.24
857,2021-11-19,2.35,2.41,2.3,2.3
856,2021-11-18,2.51,2.51,2.35,2.37
855,2021-11-17,2.535,2.62,2.495,2.52
854,2021-11-16,2.58,2.62,2.46,2.55
853,2021-11-15,2.55,2.67,2.45,2.56
852,2021-11-12,2.29,2.57,2.26,2.54
851,2021-11-11,2.24,2.3,2.21,2.27
850,2021-11-10,2.23,2.29,2.21,2.22
849,2021-11-09,2.26,2.29,2.17,2.26
848,2021-11-08,2.23,2.3,2.21,2.25
847,2021-11-05,2.25,2.25,2.14,2.21
846,2021-11-04,2.325,2.325,2.18,2.23
845,2021-11-03,2.31,2.3499,2.245,2.28
844,2021-11-02,2.44,2.44,2.28,2.31
843,2021-11-01,2.43,2.46,2.39,2.44
842,2021-10-29,2.36,2.51,2.23,2.4
841,2021-10-28,2.26,2.56,2.25,2.33
840,2021-10-27,2.34,2.43,2.2735,2.3
839,2021-10-26,2.44,2.44,2.35,2.35
838,2021-10-25,2.41,2.46,2.38,2.43
837,2021-10-22,2.5,2.51,2.4,2.41
836,2021-10-21,2.59,2.66,2.49,2.5
835,2021-10-20,2.62,2.68,2.559,2.62
834,2021-10-19,2.47,2.585,2.43,2.57
833,2021-10-18,2.51,2.529,2.37,2.46
832,2021-10-15,2.56,2.59,2.49,2.51
831,2021-10-14,2.65,2.65,2.5,2.56
830,2021-10-13,2.65,2.66,2.55,2.63
829,2021-10-12,2.66,2.72,2.59,2.63
828,2021-10-11,2.75,2.78,2.62,2.66
827,2021-10-08,2.74,2.78,2.71,2.74
826,2021-10-07,2.62,2.73,2.62,2.69
825,2021-10-06,2.6,2.63,2.52,2.57
824,2021-10-05,2.64,2.69,2.59,2.65
823,2021-10-04,2.75,2.75,2.6,2.63
822,2021-10-01,2.79,2.84,2.71,2.77
821,2021-09-30,2.7,2.78,2.62,2.76
820,2021-09-29,2.65,2.74,2.615,2.67
819,2021-09-28,2.778,2.84,2.6,2.65
818,2021-09-27,2.87,2.881,2.7677,2.85
817,2021-09-24,3.09,3.18,2.8001,2.89
816,2021-09-23,2.885,3.05,2.85,2.96
815,2021-09-22,2.89,2.979,2.825,2.88
814,2021-09-21,2.73,2.925,2.67,2.87
813,2021-09-20,2.86,2.9,2.61,2.69
812,2021-09-17,2.965,3.02,2.91,2.99
811,2021-09-16,3.01,3.02,2.89,2.91
810,2021-09-15,3.1013,3.1013,2.96,3.01
809,2021-09-14,3.18,3.2,2.97,3.0
808,2021-09-13,3.26,3.3,3.14,3.2
807,2021-09-10,3.44,3.48,3.28,3.29
806,2021-09-09,3.295,3.48,3.235,3.39
805,2021-09-08,3.36,3.39,3.23,3.32
804,2021-09-07,3.4,3.4488,3.3,3.35
803,2021-09-03,3.44,3.47,3.28,3.32
802,2021-09-02,3.48,3.62,3.435,3.44
801,2021-09-01,3.47,3.63,3.43,3.45
800,2021-08-31,3.44,3.68,3.41,3.57
799,2021-08-30,3.58,3.6,3.31,3.35
798,2021-08-27,3.42,3.62,3.42,3.6
797,2021-08-26,3.38,3.59,3.33,3.43
796,2021-08-25,3.44,3.4978,3.375,3.41
795,2021-08-24,3.33,3.53,3.29,3.49
794,2021-08-23,3.28,3.35,3.1764,3.28
793,2021-08-20,3.08,3.15,3.03,3.09
792,2021-08-19,3.15,3.29,3.025,3.07
791,2021-08-18,3.03,3.33,3.03,3.2
790,2021-08-17,2.9,3.13,2.85,2.95
789,2021-08-16,3.16,3.2,3.02,3.03
788,2021-08-13,3.4,3.4199,3.16,3.21
787,2021-08-12,3.54,3.54,3.38,3.43
786,2021-08-11,3.59,3.6216,3.43,3.55
785,2021-08-10,3.53,3.79,3.53,3.56
784,2021-08-09,3.48,3.59,3.43,3.48
783,2021-08-06,3.64,3.64,3.43,3.46
782,2021-08-05,3.52,3.64,3.43,3.54
781,2021-08-04,3.69,3.7985,3.5,3.52
780,2021-08-03,3.96,3.96,3.66,3.71
779,2021-08-02,3.68,4.1,3.59,3.95
778,2021-07-30,3.57,3.74,3.3,3.68
777,2021-07-29,3.29,3.865,3.235,3.77
776,2021-07-28,3.11,3.29,3.11,3.25
775,2021-07-27,3.22,3.29,2.875,3.06
774,2021-07-26,3.1,3.37,3.05,3.275
773,2021-07-23,3.4,3.4,3.09,3.17
772,2021-07-22,3.56,3.56,3.38,3.44
771,2021-07-21,3.53,3.56,3.41,3.53
770,2021-07-20,3.34,3.44,3.155,3.4
769,2021-07-19,3.15,3.44,3.13,3.31
768,2021-07-16,3.572,3.6,3.29,3.32
767,2021-07-15,3.45,3.64,3.37,3.6
766,2021-07-14,3.76,3.82,3.48,3.51
765,2021-07-13,3.52,3.885,3.46,3.66
764,2021-07-12,3.48,3.5,3.32,3.36
763,2021-07-09,3.51,3.54,3.38,3.46
762,2021-07-08,3.11,3.5935,3.07,3.47
761,2021-07-07,3.58,3.67,3.2,3.31
760,2021-07-06,3.61,3.75,3.38,3.52
759,2021-07-02,3.75,3.7699,3.51,3.67
758,2021-07-01,3.85,3.94,3.64,3.8
757,2021-06-30,3.86,3.93,3.73,3.85
756,2021-06-29,4.16,4.19,3.75,3.83
755,2021-06-28,4.22,4.23,4.1,4.19
754,2021-06-25,4.055,4.32,4.0,4.15
753,2021-06-24,3.96,4.27,3.8,4.11
752,2021-06-23,3.6072,3.88,3.47,3.74
751,2021-06-22,3.74,3.75,3.402,3.48
750,2021-06-21,3.83,3.89,3.655,3.79
749,2021-06-18,4.0115,4.11,3.76,3.83
748,2021-06-17,3.79,4.45,3.78,4.01
747,2021-06-16,4.3,4.41,3.72,3.94
746,2021-06-15,5.82,5.82,4.05,4.51
745,2021-06-14,5.158,5.47,5.11,5.18
744,2021-06-11,4.94,5.155,4.7406,5.09
743,2021-06-10,4.59,4.97,4.52,4.88
742,2021-06-09,4.63,4.89,4.43,4.55
741,2021-06-08,5.0153,5.33,4.36,4.56
740,2021-06-07,4.41,5.06,4.41,4.8
739,2021-06-04,4.17,4.45,4.16,4.34
738,2021-06-03,4.25,4.37,4.02,4.16
737,2021-06-02,4.72,4.78,4.22,4.37
736,2021-06-01,3.92,4.865,3.8307,4.54
735,2021-05-28,3.792,4.15,3.65,3.7
734,2021-05-27,3.28,3.825,3.28,3.8
733,2021-05-26,3.24,3.35,3.11,3.28
732,2021-05-25,3.3,3.37,3.21,3.24
731,2021-05-24,3.46,3.47,3.14,3.25
730,2021-05-21,3.49,3.68,3.34,3.49
729,2021-05-20,3.4,3.5,3.18,3.42
728,2021-05-19,3.01,3.39,2.95,3.33
727,2021-05-18,2.84,3.27,2.76,3.18
726,2021-05-17,2.75,2.84,2.64,2.82
725,2021-05-14,2.5991,2.78,2.57,2.73
724,2021-05-13,2.61,2.83,2.5,2.57
723,2021-05-12,2.57,2.68,2.53,2.59
722,2021-05-11,2.42,2.98,2.32,2.56
721,2021-05-10,2.83,2.89,2.59,2.59
720,2021-05-07,2.82,2.9599,2.7,2.83
719,2021-05-06,2.66,2.94,2.61,2.8
718,2021-05-05,2.63,2.9399,2.57,2.64
717,2021-05-04,2.88,2.92,2.4,2.69
716,2021-05-03,3.05,3.6,2.87,2.93
715,2021-04-30,2.8,3.17,2.7,3.01
714,2021-04-29,3.02,3.39,2.66,2.83
713,2021-04-28,1.8839,3.26,1.88,2.95
712,2021-04-27,2.12,2.145,1.93,2.03
711,2021-04-26,2.01,2.2699,1.83,2.16
710,2021-04-23,1.3296,2.46,1.32,2.15
709,2021-04-22,1.45,1.46,1.3,1.36
708,2021-04-21,1.33,1.46,1.24,1.28
707,2021-04-20,1.23,1.25,1.19,1.22
706,2021-04-19,1.34,1.34,1.2,1.22
705,2021-04-16,1.22,1.36,1.19,1.31
704,2021-04-15,1.24,1.26,1.19,1.23
703,2021-04-14,1.25,1.3179,1.21,1.24
702,2021-04-13,1.26,1.35,1.25,1.26
701,2021-04-12,1.37,1.4,1.25,1.26
700,2021-04-09,1.37,1.45,1.32,1.4
699,2021-04-08,1.41,1.47,1.35,1.36
698,2021-04-07,1.54,1.66,1.39,1.43
697,2021-04-06,1.494,1.72,1.48,1.57
696,2021-04-05,1.73,1.915,1.46,1.5
695,2021-04-01,1.31,2.02,1.22,1.97
694,2021-03-31,1.05,1.17,1.04,1.17
693,2021-03-30,1.01,1.0499,0.9605,1.04
692,2021-03-29,1.03,1.04,1.0,1.02
691,2021-03-26,1.05,1.06,1.0,1.03
690,2021-03-25,1.01,1.07,1.0,1.03
689,2021-03-24,1.05,1.08,1.01,1.02
688,2021-03-23,1.1,1.1,1.04,1.07
687,2021-03-22,1.15,1.16,1.1,1.1
686,2021-03-19,1.18,1.2,1.08,1.14
685,2021-03-18,1.16,1.25,1.155,1.19
684,2021-03-17,1.14,1.185,1.13,1.18
683,2021-03-16,1.21,1.23,1.14,1.18
682,2021-03-15,1.2,1.23,1.17,1.2
681,2021-03-12,1.15,1.2,1.15,1.17
680,2021-03-11,1.18,1.21,1.13,1.2
679,2021-03-10,1.15,1.17,1.09,1.14
678,2021-03-09,1.15,1.21,1.08,1.12
677,2021-03-08,1.04,1.15,1.03,1.14
676,2021-03-05,1.06,1.11,0.95,1.07
675,2021-03-04,1.1,1.13,1.0,1.04
674,2021-03-03,1.21,1.21,1.11,1.12
673,2021-03-02,1.25,1.265,1.18,1.21
672,2021-03-01,1.2,1.25,1.17,1.25
671,2021-02-26,1.12,1.2,1.11,1.16
670,2021-02-25,1.28,1.3,1.14,1.19
669,2021-02-24,1.27,1.3283,1.24,1.27
668,2021-02-23,1.28,1.3,1.16,1.24
667,2021-02-22,1.45,1.45,1.34,1.38
666,2021-02-19,1.41,1.5,1.4,1.42
665,2021-02-18,1.43,1.485,1.35,1.43
664,2021-02-17,1.5875,1.59,1.49,1.51
663,2021-02-16,1.59,1.62,1.53,1.58
662,2021-02-12,1.45,1.57,1.4,1.54
661,2021-02-11,1.56,1.6,1.43,1.51
660,2021-02-10,1.56,1.75,1.515,1.6
659,2021-02-09,1.46,1.55,1.41,1.5
658,2021-02-08,1.47,1.53,1.36,1.41
657,2021-02-05,1.52,1.58,1.37,1.45
656,2021-02-04,1.27,1.46,1.23,1.39
655,2021-02-03,1.19,1.25,1.14,1.2
654,2021-02-02,1.2,1.21,1.12,1.15
653,2021-02-01,1.12,1.3,1.06,1.23
652,2021-01-29,1.1,1.13,1.08,1.1
651,2021-01-28,1.13,1.16,1.11,1.12
650,2021-01-27,1.2,1.24,1.13,1.17
649,2021-01-26,1.27,1.28,1.22,1.26
648,2021-01-25,1.32,1.33,1.22,1.24
647,2021-01-22,1.21,1.36,1.21,1.27
646,2021-01-21,1.15,1.36,1.13,1.31
645,2021-01-20,1.09,1.1,1.05,1.09
644,2021-01-19,1.0598,1.08,1.04,1.08
643,2021-01-15,1.062,1.09,1.04,1.05
642,2021-01-14,1.1,1.12,1.05,1.1
641,2021-01-13,1.13,1.15,1.05,1.09
640,2021-01-12,1.09,1.19,1.09,1.13
639,2021-01-11,1.17,1.17,1.01,1.06
638,2021-01-08,0.9781,1.1,0.96,1.1
637,2021-01-07,0.97,0.9799,0.93,0.96
636,2021-01-06,0.955,0.98,0.918,0.93
635,2021-01-05,0.888,0.96,0.888,0.9402
634,2021-01-04,0.89,0.9,0.8601,0.89
633,2020-12-31,0.902,0.94,0.8701,0.8725
632,2020-12-30,0.8822,0.96,0.88,0.906
631,2020-12-29,0.9247,0.9392,0.865,0.865
630,2020-12-28,0.96,0.96,0.9001,0.93
629,2020-12-24,0.9966,1.01,0.9513,0.9601
628,2020-12-23,0.9556,1.01,0.95,0.9924
627,2020-12-22,1.06,1.06,0.9511,0.9806
