,Date,Open,High,Low,Close
2591,2021-08-31,25.35,25.36,25.35,25.35
2590,2021-08-30,25.37,25.37,25.35,25.36
2589,2021-08-27,25.34,25.37,25.34,25.36
2588,2021-08-26,25.36,25.37,25.31,25.34
2587,2021-08-25,25.35,25.37,25.35,25.37
2586,2021-08-24,25.35,25.37,25.35,25.35
2585,2021-08-23,25.36,25.37,25.36,25.36
2584,2021-08-20,25.34,25.36,25.34,25.35
2583,2021-08-19,25.33,25.36,25.33,25.34
2582,2021-08-18,25.33,25.35,25.33,25.35
2581,2021-08-17,25.33,25.34,25.33,25.34
2580,2021-08-16,25.33,25.34,25.33,25.33
2579,2021-08-13,25.33,25.34,25.33,25.33
2578,2021-08-12,25.33,25.34,25.33,25.33
2577,2021-08-11,25.32,25.34,25.31,25.33
2576,2021-08-10,25.32,25.34,25.32,25.33
2575,2021-08-09,25.32,25.34,25.3,25.3
2574,2021-08-06,25.31,25.33,25.31,25.32
2573,2021-08-05,25.33,25.34,25.31,25.31
2572,2021-08-04,25.33,25.34,25.31,25.33
2571,2021-08-03,25.33,25.35,25.31,25.34
2570,2021-08-02,25.46,25.47,25.33,25.33
2569,2021-07-30,25.88,25.95,25.8791,25.92
2568,2021-07-29,25.83,25.95,25.83,25.95
2567,2021-07-28,25.7642,25.88,25.7642,25.88
2566,2021-07-27,25.83,25.88,25.78,25.84
2565,2021-07-26,25.88,25.89,25.82,25.84
2564,2021-07-23,25.85,25.91,25.83,25.86
2563,2021-07-22,25.77,25.84,25.77,25.84
2562,2021-07-21,25.82,25.8497,25.8,25.84
2561,2021-07-20,25.83,25.87,25.78,25.84
2560,2021-07-19,25.74,25.82,25.67,25.81
2559,2021-07-16,25.75,25.81,25.721,25.79
2558,2021-07-15,25.8,25.84,25.73,25.78
2557,2021-07-14,25.8,25.8652,25.72,25.74
2556,2021-07-13,25.84,25.89,25.78,25.8
2555,2021-07-12,25.84,25.8999,25.8,25.88
2554,2021-07-09,25.85,25.91,25.78,25.83
2553,2021-07-08,25.78,25.94,25.73,25.84
2552,2021-07-07,25.7,25.86,25.69,25.84
2551,2021-07-06,25.66,25.72,25.65,25.7
2550,2021-07-02,25.73,25.73,25.68,25.68
2549,2021-07-01,25.7,25.77,25.66,25.71
2548,2021-06-30,25.62,25.88,25.5701,25.78
2547,2021-06-29,25.51,25.63,25.503,25.63
2546,2021-06-28,25.45,25.53,25.45,25.51
2545,2021-06-25,25.46,25.5,25.46,25.5
2544,2021-06-24,25.46,25.46,25.445,25.46
2543,2021-06-23,25.46,25.46,25.45,25.46
2542,2021-06-22,25.39,25.46,25.39,25.46
2541,2021-06-21,25.45,25.45,25.4301,25.45
2540,2021-06-18,25.45,25.46,25.43,25.45
2539,2021-06-17,25.51,25.51,25.44,25.46
2538,2021-06-16,25.36,25.49,25.3565,25.49
