,Date,Open,High,Low,Close
1615,2021-05-11,25.33,25.34,25.33,25.34
1614,2021-05-10,25.32,25.34,25.32,25.33
1613,2021-05-07,25.32,25.34,25.32,25.34
1612,2021-05-06,25.32,25.34,25.32,25.32
1611,2021-05-05,25.32,25.34,25.32,25.32
1610,2021-05-04,25.32,25.34,25.32,25.33
1609,2021-05-03,25.32,25.34,25.32,25.32
1608,2021-04-30,25.31,25.33,25.31,25.32
1607,2021-04-29,25.31,25.33,25.31,25.315
1606,2021-04-28,25.32,25.34,25.31,25.333
1605,2021-04-27,25.31,25.33,25.31,25.33
1604,2021-04-26,25.32,25.331,25.31,25.31
1603,2021-04-23,25.31,25.33,25.31,25.33
1602,2021-04-22,25.31,25.32,25.31,25.32
1601,2021-04-21,25.31,25.33,25.31,25.315
1600,2021-04-20,25.31,25.32,25.31,25.311
1599,2021-04-19,25.3,25.32,25.3,25.32
1598,2021-04-16,25.3,25.32,25.3,25.32
1597,2021-04-15,25.3,25.32,25.3,25.3
1596,2021-04-14,25.3,25.32,25.3,25.3
1595,2021-04-13,25.31,25.32,25.3,25.3
1594,2021-04-12,25.39,25.4,25.31,25.32
1593,2021-04-09,25.6,25.62,25.581,25.6
1592,2021-04-08,25.5,25.62,25.5,25.56
1591,2021-04-07,25.58,25.6,25.5,25.53
1590,2021-04-06,25.572,25.58,25.51,25.55
1589,2021-04-05,25.55,25.58,25.44,25.57
1588,2021-04-01,25.44,25.55,25.44,25.55
1587,2021-03-31,25.43,25.58,25.43,25.48
1586,2021-03-30,25.48,25.54,25.45,25.54
1585,2021-03-29,25.45,25.48,25.39,25.48
1584,2021-03-26,25.46,25.48,25.46,25.47
1583,2021-03-25,25.48,25.48,25.45,25.48
1582,2021-03-24,25.45,25.48,25.41,25.48
1581,2021-03-23,25.33,25.45,25.33,25.45
1580,2021-03-22,25.44,25.45,25.35,25.44
1579,2021-03-19,25.39,25.45,25.37,25.44
1578,2021-03-18,25.4,25.42,25.32,25.42
1577,2021-03-17,25.37,25.401,25.32,25.4
1576,2021-03-16,25.43,25.48,25.39,25.39
1575,2021-03-15,25.39,25.5,25.36,25.48
1574,2021-03-12,25.43,25.43,25.32,25.39
1573,2021-03-11,25.29,25.43,25.25,25.43
1572,2021-03-10,25.29,25.38,25.28,25.35
1571,2021-03-09,25.25,25.37,25.25,25.35
1570,2021-03-08,25.31,25.33,25.18,25.33
1569,2021-03-05,25.29,25.34,25.23,25.31
1568,2021-03-04,25.22,25.29,25.22,25.29
1567,2021-03-03,25.18,25.245,25.18,25.245
1566,2021-03-02,25.2,25.223,25.16,25.19
1565,2021-03-01,25.21,25.25,25.14,25.15
1564,2021-02-26,25.2,25.23,25.13,25.23
1563,2021-02-25,25.2,25.236,25.13,25.2
1562,2021-02-24,25.6,25.6,25.55,25.6
1561,2021-02-23,25.64,25.64,25.54,25.574
1560,2021-02-22,25.62,25.666,25.62,25.62
1559,2021-02-19,25.63,25.65,25.6,25.61
1558,2021-02-18,25.56,25.623,25.56,25.62
1557,2021-02-17,25.57,25.67,25.57,25.61
1556,2021-02-16,25.64,25.689,25.55,25.604
1555,2021-02-12,25.53,25.64,25.53,25.64
1554,2021-02-11,25.57,25.62,25.56,25.58
1553,2021-02-10,25.648,25.687,25.58,25.58
1552,2021-02-09,25.57,25.71,25.57,25.69
1551,2021-02-08,25.71,25.71,25.57,25.57
1550,2021-02-05,25.67,25.702,25.67,25.69
1549,2021-02-04,25.67,25.705,25.595,25.67
1548,2021-02-03,25.67,25.67,25.551,25.67
1547,2021-02-02,25.47,25.64,25.47,25.6
1546,2021-02-01,25.475,25.63,25.44,25.531
1545,2021-01-29,25.55,25.59,25.44,25.49
1544,2021-01-28,25.6,25.6,25.41,25.55
1543,2021-01-27,25.64,25.64,25.4,25.4
1542,2021-01-26,25.52,25.635,25.5,25.52
1541,2021-01-25,25.6,25.6,25.501,25.52
1540,2021-01-22,25.585,25.6,25.56,25.6
1539,2021-01-21,25.54,25.59,25.5,25.5
1538,2021-01-20,25.49,25.56,25.49,25.56
1537,2021-01-19,25.51,25.54,25.5,25.54
1536,2021-01-15,25.5,25.55,25.5,25.5
1535,2021-01-14,25.57,25.57,25.41,25.56
1534,2021-01-13,25.37,25.57,25.37,25.57
1533,2021-01-12,25.53,25.53,25.35,25.37
1532,2021-01-11,25.45,25.56,25.37,25.37
1531,2021-01-08,25.37,25.53,25.36,25.53
1530,2021-01-07,25.45,25.62,25.45,25.46
1529,2021-01-06,25.46,25.49,25.3,25.49
1528,2021-01-05,25.42,25.46,25.41,25.43
1527,2021-01-04,25.36,25.42,25.3,25.36
1526,2020-12-31,25.31,25.54,25.27,25.3
1525,2020-12-30,25.62,25.62,25.3,25.3
1524,2020-12-29,25.55,25.61,25.5,25.5
1523,2020-12-28,25.68,25.68,25.6,25.64
1522,2020-12-24,25.69,25.69,25.55,25.68
1521,2020-12-23,25.6,25.69,25.55,25.55
1520,2020-12-22,25.87,25.89,25.6,25.6
1519,2020-12-21,25.73,25.81,25.61,25.755
1518,2020-12-18,25.81,25.81,25.736,25.8
1517,2020-12-17,25.72,25.79,25.63,25.79
1516,2020-12-16,25.69,25.766,25.69,25.72
1515,2020-12-15,25.62,25.7,25.6,25.693
1514,2020-12-14,25.6,25.65,25.6,25.65
1513,2020-12-11,25.62,25.66,25.6,25.6
1512,2020-12-10,25.75,25.752,25.57,25.62
1511,2020-12-09,25.8,25.82,25.74,25.75
1510,2020-12-08,25.71,25.82,25.71,25.8
1509,2020-12-07,25.61,25.82,25.59,25.82
1508,2020-12-04,25.69,25.79,25.69,25.69
1507,2020-12-03,25.55,25.73,25.54,25.69
1506,2020-12-02,25.56,25.6,25.49,25.55
1505,2020-12-01,25.52,25.55,25.402,25.49
1504,2020-11-30,25.34,25.433,25.3,25.38
1503,2020-11-27,25.57,25.63,25.55,25.63
1502,2020-11-25,26.09,26.11,25.98,26.01
1501,2020-11-24,25.99,26.11,25.99,26.09
1500,2020-11-23,25.99,26.064,25.91,25.965
1499,2020-11-20,25.95,25.95,25.9,25.91
1498,2020-11-19,25.98,26.07,25.98,26.07
1497,2020-11-18,26.04,26.14,25.96,25.98
1496,2020-11-17,26.04,26.12,26.03,26.1
1495,2020-11-16,26.0,26.05,25.9,26.05
1494,2020-11-13,25.72,25.945,25.72,25.91
1493,2020-11-12,25.8,25.8,25.622,25.715
1492,2020-11-11,25.94,25.95,25.79,25.8
1491,2020-11-10,25.9,25.98,25.79,25.94
1490,2020-11-09,25.88,26.04,25.73,26.04
1489,2020-11-06,25.69,25.78,25.6,25.615
1488,2020-11-05,25.81,25.95,25.78,25.89
1487,2020-11-04,25.65,25.84,25.65,25.82
1486,2020-11-03,25.73,25.73,25.59,25.59
1485,2020-11-02,25.71,25.81,25.71,25.71
1484,2020-10-30,25.48,25.74,25.48,25.74
1483,2020-10-29,25.49,25.593,25.48,25.48
1482,2020-10-28,25.49,25.54,25.44,25.48
1481,2020-10-27,25.81,25.86,25.59,25.615
1480,2020-10-26,25.83,25.83,25.64,25.821
1479,2020-10-23,25.62,25.86,25.62,25.86
1478,2020-10-22,25.44,25.6,25.44,25.6
1477,2020-10-21,25.57,25.57,25.42,25.44
1476,2020-10-20,25.58,25.598,25.51,25.51
1475,2020-10-19,25.75,25.75,25.63,25.68
1474,2020-10-16,25.9,25.9,25.73,25.74
1473,2020-10-15,25.79,25.9,25.79,25.895
1472,2020-10-14,25.96,26.02,25.95,25.95
1471,2020-10-13,25.91,26.07,25.91,26.06
1470,2020-10-12,26.02,26.08,25.96,26.07
1469,2020-10-09,26.04,26.08,25.9,26.08
1468,2020-10-08,25.98,26.09,25.98,26.08
1467,2020-10-07,25.87,26.1,25.87,26.1
1466,2020-10-06,25.87,25.99,25.815,25.96
1465,2020-10-05,25.97,26.09,25.82,25.87
1464,2020-10-02,25.85,26.02,25.685,25.95
1463,2020-10-01,25.9,26.0,25.82,25.88
1462,2020-09-30,25.671,26.0,25.58,26.0
1461,2020-09-29,25.65,25.79,25.412,25.79
1460,2020-09-28,25.48,25.65,25.458,25.65
1459,2020-09-25,25.29,25.43,25.29,25.35
1458,2020-09-24,25.21,25.29,25.21,25.29
1457,2020-09-23,25.41,25.41,25.23,25.26
1456,2020-09-22,25.33,25.38,25.32,25.32
1455,2020-09-21,25.39,25.39,25.23,25.319
1454,2020-09-18,25.33,25.39,25.28,25.38
1453,2020-09-17,25.39,25.41,25.29,25.38
1452,2020-09-16,25.34,25.386,25.31,25.31
1451,2020-09-15,25.34,25.38,25.3,25.302
1450,2020-09-14,25.32,25.4,25.32,25.37
1449,2020-09-11,25.39,25.39,25.32,25.32
1448,2020-09-10,25.32,25.39,25.32,25.39
1447,2020-09-09,25.22,25.32,25.22,25.26
1446,2020-09-08,25.27,25.275,25.23,25.25
1445,2020-09-04,25.3,25.3,25.23,25.23
1444,2020-09-03,25.27,25.334,25.25,25.3
1443,2020-09-02,25.3,25.37,25.22,25.26
1442,2020-09-01,25.26,25.34,25.21,25.3
1441,2020-08-31,25.31,25.4,25.16,25.16
1440,2020-08-28,25.45,25.54,25.4,25.4
1439,2020-08-27,25.73,25.88,25.73,25.84
1438,2020-08-26,25.85,25.875,25.702,25.73
1437,2020-08-25,25.73,25.87,25.712,25.75
1436,2020-08-24,25.71,25.73,25.7,25.73
1435,2020-08-21,25.61,25.7,25.61,25.68
1434,2020-08-20,25.61,25.73,25.61,25.61
1433,2020-08-19,25.65,25.74,25.6,25.65
1432,2020-08-18,25.74,25.74,25.64,25.74
1431,2020-08-17,25.74,25.74,25.66,25.69
1430,2020-08-14,25.56,25.7,25.56,25.7
1429,2020-08-13,25.73,25.73,25.54,25.621
1428,2020-08-12,25.65,25.73,25.555,25.69
1427,2020-08-11,25.55,25.61,25.5,25.5
1426,2020-08-10,25.81,25.83,25.48,25.48
1425,2020-08-07,25.9,26.15,25.82,25.82
1424,2020-08-06,25.88,26.08,25.76,26.0
1423,2020-08-05,25.89,25.93,25.71,25.9
1422,2020-08-04,25.68,25.7,25.567,25.63
