,Date,Open,High,Low,Close
1397,2021-06-15,25.06,25.07,25.06,25.06
1396,2021-06-14,25.06,25.08,25.06,25.07
1395,2021-06-11,25.06,25.07,25.06,25.07
1394,2021-06-10,25.06,25.0699,25.06,25.0699
1393,2021-06-09,25.05,25.06,25.05,25.06
1392,2021-06-08,25.05,25.06,25.05,25.05
1391,2021-06-07,25.05,25.06,25.05,25.05
1390,2021-06-04,25.05,25.06,25.05,25.05
1389,2021-06-03,25.05,25.07,25.05,25.06
1388,2021-06-02,25.05,25.07,25.05,25.07
1387,2021-06-01,25.06,25.07,25.05,25.06
1386,2021-05-28,25.05,25.08,25.05,25.06
1385,2021-05-27,25.08,25.08,25.04,25.05
1384,2021-05-26,25.5,25.5,25.49,25.5
1383,2021-05-25,25.49,25.51,25.49,25.51
1382,2021-05-24,25.49,25.5,25.49,25.49
1381,2021-05-21,25.48,25.5,25.48,25.49
1380,2021-05-20,25.47,25.5,25.47,25.4843
1379,2021-05-19,25.48,25.51,25.47,25.49
1378,2021-05-18,25.51,25.52,25.47,25.48
1377,2021-05-17,25.54,25.54,25.49,25.53
1376,2021-05-14,25.54,25.54,25.524,25.54
1375,2021-05-13,25.47,25.54,25.47,25.54
1374,2021-05-12,25.5,25.5,25.46,25.46
1373,2021-05-11,25.46,25.53,25.46,25.53
1372,2021-05-10,25.53,25.53,25.46,25.46
1371,2021-05-07,25.67,25.69,25.6166,25.68
1370,2021-05-06,25.55,25.66,25.55,25.66
1369,2021-05-05,25.65,25.65,25.54,25.59
1368,2021-05-04,25.56,25.65,25.54,25.65
1367,2021-05-03,25.57,25.6247,25.5646,25.5646
1366,2021-04-30,25.53,25.66,25.53,25.61
1365,2021-04-29,25.56,25.6,25.56,25.57
1364,2021-04-28,25.53,25.6,25.53,25.6
1363,2021-04-27,25.53,25.58,25.51,25.53
1362,2021-04-26,25.61,25.6515,25.5,25.575
1361,2021-04-23,25.58,25.66,25.5506,25.64
1360,2021-04-22,25.55,25.616,25.5473,25.58
1359,2021-04-21,25.5573,25.6,25.55,25.56
1358,2021-04-20,25.52,25.5612,25.52,25.5612
1357,2021-04-19,25.55,25.57,25.5,25.5
1356,2021-04-16,25.55,25.58,25.51,25.58
1355,2021-04-15,25.56,25.6008,25.53,25.579
1354,2021-04-14,25.6,25.6439,25.55,25.63
1353,2021-04-13,25.45,25.66,25.45,25.65
1352,2021-04-12,25.5,25.505,25.459,25.4979
1351,2021-04-09,25.53,25.55,25.5286,25.55
1350,2021-04-08,25.51,25.62,25.51,25.53
1349,2021-04-07,25.59,25.64,25.55,25.57
1348,2021-04-06,25.569,25.59,25.53,25.576
1347,2021-04-05,25.47,25.59,25.42,25.59
1346,2021-04-01,25.41,25.55,25.36,25.55
1345,2021-03-31,25.55,25.55,25.44,25.44
1344,2021-03-30,25.4,25.55,25.4,25.545
1343,2021-03-29,25.42,25.46,25.3,25.4
1342,2021-03-26,25.45,25.54,25.39,25.46
1341,2021-03-25,25.42,25.49,25.4134,25.48
1340,2021-03-24,25.35,25.43,25.35,25.42
1339,2021-03-23,25.42,25.43,25.395,25.43
1338,2021-03-22,25.37,25.44,25.3409,25.43
1337,2021-03-19,25.3,25.37,25.25,25.37
1336,2021-03-18,25.27,25.37,25.25,25.3
1335,2021-03-17,25.44,25.44,25.24,25.24
1334,2021-03-16,25.4227,25.44,25.4,25.44
1333,2021-03-15,25.32,25.44,25.32,25.435
1332,2021-03-12,25.35,25.3939,25.3401,25.35
1331,2021-03-11,25.32,25.4,25.3185,25.4
1330,2021-03-10,25.33,25.37,25.305,25.32
1329,2021-03-09,25.31,25.38,25.28,25.37
1328,2021-03-08,25.23,25.35,25.23,25.33
1327,2021-03-05,25.27,25.35,25.25,25.349
1326,2021-03-04,25.23,25.27,25.22,25.27
1325,2021-03-03,25.21,25.24,25.18,25.23
1324,2021-03-02,25.2,25.2267,25.17,25.17
1323,2021-03-01,25.15,25.205,25.14,25.1761
1322,2021-02-26,25.17,25.2014,25.055,25.15
1321,2021-02-25,25.2,25.23,25.12,25.17
1320,2021-02-24,25.64,25.64,25.55,25.62
1319,2021-02-23,25.55,25.655,25.55,25.63
1318,2021-02-22,25.56,25.67,25.56,25.6
1317,2021-02-19,25.56,25.63,25.56,25.63
1316,2021-02-18,25.65,25.65,25.56,25.63
1315,2021-02-17,25.53,25.68,25.53,25.65
1314,2021-02-16,25.54,25.71,25.53,25.68
1313,2021-02-12,25.54,25.63,25.5,25.62
1312,2021-02-11,25.63,25.63,25.56,25.56
1311,2021-02-10,25.74,25.74,25.58,25.6
1310,2021-02-09,25.55,25.65,25.55,25.65
1309,2021-02-08,25.72,25.735,25.54,25.6
1308,2021-02-05,25.72,25.72,25.68,25.7
1307,2021-02-04,25.6,25.73,25.55,25.72
1306,2021-02-03,25.6,25.68,25.5,25.67
1305,2021-02-02,25.5,25.65,25.5,25.58
1304,2021-02-01,25.49,25.67,25.48,25.51
1303,2021-01-29,25.59,25.59,25.44,25.52
1302,2021-01-28,25.4,25.6,25.4,25.59
1301,2021-01-27,25.52,25.62,25.3797,25.38
1300,2021-01-26,25.58,25.59,25.54,25.55
1299,2021-01-25,25.5,25.57,25.5,25.52
1298,2021-01-22,25.59,25.6,25.54,25.58
1297,2021-01-21,25.56,25.62,25.54,25.54
1296,2021-01-20,25.51,25.55,25.4999,25.54
1295,2021-01-19,25.43,25.48,25.43,25.48
1294,2021-01-15,25.38,25.451,25.38,25.42
1293,2021-01-14,25.42,25.43,25.3933,25.43
1292,2021-01-13,25.3,25.42,25.3,25.42
1291,2021-01-12,25.4,25.4,25.31,25.3402
1290,2021-01-11,25.42,25.44,25.36,25.44
1289,2021-01-08,25.39,25.44,25.36,25.44
1288,2021-01-07,25.38,25.4,25.35,25.39
1287,2021-01-06,25.35,25.42,25.31,25.4
1286,2021-01-05,25.32,25.38,25.3,25.37
1285,2021-01-04,25.32,25.37,25.26,25.27
1284,2020-12-31,25.31,25.3496,25.25,25.26
1283,2020-12-30,25.3,25.36,25.25,25.31
