,Date,Open,High,Low,Close
345,2021-12-31,26.96,27.185,26.9361,27.1
344,2021-12-30,26.98,27.1,26.84,27.07
343,2021-12-29,26.8,26.98,26.66,26.96
342,2021-12-28,26.79,26.9199,26.74,26.83
341,2021-12-27,26.73,26.778,26.7,26.77
340,2021-12-23,26.79,26.79,26.6273,26.73
339,2021-12-22,26.58,26.76,26.58,26.74
338,2021-12-21,26.57,26.68,26.52,26.58
337,2021-12-20,26.56,26.7093,26.5,26.54
336,2021-12-17,26.66,26.72,26.605,26.65
335,2021-12-16,26.49,26.76,26.47,26.66
334,2021-12-15,26.53,26.54,26.41,26.47
333,2021-12-14,26.63,26.6825,26.49,26.52
332,2021-12-13,26.62,26.7,26.4601,26.66
331,2021-12-10,26.63,26.7,26.55,26.59
330,2021-12-09,26.65,26.75,26.551,26.58
329,2021-12-08,26.7,26.7,26.54,26.65
328,2021-12-07,26.94,27.0,26.5805,26.72
327,2021-12-06,26.94,27.06,26.859,26.89
326,2021-12-03,26.92,27.05,26.75,26.94
325,2021-12-02,26.7,27.0275,26.66,26.92
324,2021-12-01,26.66,26.9658,26.65,26.79
323,2021-11-30,26.5,26.61,26.4,26.61
322,2021-11-29,26.45,26.56,26.29,26.4
321,2021-11-26,26.76,26.76,26.5,26.61
320,2021-11-24,26.87,26.95,26.78,26.85
319,2021-11-23,26.79,26.89,26.63,26.86
318,2021-11-22,26.84,26.92,26.8,26.83
317,2021-11-19,26.8,26.8799,26.7,26.8356
316,2021-11-18,26.75,26.75,26.6,26.67
315,2021-11-17,26.6,26.72,26.55,26.63
314,2021-11-16,26.6,26.79,26.6,26.6586
313,2021-11-15,26.9,26.91,26.5,26.64
312,2021-11-12,26.87,27.11,26.84,26.85
311,2021-11-11,27.02,27.21,26.85,26.85
310,2021-11-10,27.13,27.21,26.93,27.08
309,2021-11-09,27.33,27.33,27.21,27.215
308,2021-11-08,27.48,27.5,27.29,27.29
307,2021-11-05,27.45,27.5199,27.35,27.47
306,2021-11-04,27.42,27.4799,27.255,27.45
305,2021-11-03,27.39,27.44,27.34,27.4
304,2021-11-02,27.49,27.55,27.31,27.31
303,2021-11-01,27.43,27.44,27.32,27.44
302,2021-10-29,27.29,27.545,27.1818,27.46
301,2021-10-28,27.25,27.3338,27.19,27.27
300,2021-10-27,27.08,27.24,27.08,27.22
299,2021-10-26,27.2,27.21,27.0,27.12
298,2021-10-25,26.99,27.15,26.95,27.15
297,2021-10-22,27.05,27.05,26.9,26.9
296,2021-10-21,27.04,27.06,26.88,27.0
295,2021-10-20,26.89,27.04,26.87,27.04
294,2021-10-19,27.0,27.09,26.7,26.8
293,2021-10-18,26.95,27.05,26.82,27.0
292,2021-10-15,27.05,27.08,26.9,26.97
291,2021-10-14,27.02,27.17,26.9885,27.05
290,2021-10-13,26.86,27.02,26.85,26.94
289,2021-10-12,26.7,26.9186,26.7,26.87
288,2021-10-11,26.6,26.6932,26.6,26.68
287,2021-10-08,26.6,26.6892,26.515,26.53
286,2021-10-07,26.79,26.82,26.55,26.61
285,2021-10-06,26.73,26.79,26.57,26.79
284,2021-10-05,26.76,26.9099,26.65,26.73
283,2021-10-04,27.06,27.06,26.66,26.7
282,2021-10-01,27.18,27.18,27.04,27.05
281,2021-09-30,27.25,27.4275,26.99,27.1
280,2021-09-29,27.22,27.34,27.1499,27.33
279,2021-09-28,27.34,27.34,27.06,27.12
278,2021-09-27,27.38,27.47,27.38,27.45
277,2021-09-24,27.55,27.595,27.4,27.44
276,2021-09-23,27.77,27.98,27.56,27.69
275,2021-09-22,27.68,27.86,27.68,27.77
274,2021-09-21,27.82,27.825,27.59,27.65
273,2021-09-20,27.7,27.84,27.6717,27.7
272,2021-09-17,27.96,27.98,27.77,27.86
271,2021-09-16,27.82,28.08,27.7488,27.98
270,2021-09-15,27.66,27.91,27.5611,27.85
269,2021-09-14,27.74,27.82,27.635,27.67
268,2021-09-13,27.63,27.8525,27.62,27.73
267,2021-09-10,27.59,27.73,27.51,27.61
266,2021-09-09,27.46,27.6,27.37,27.59
265,2021-09-08,27.37,27.47,27.2463,27.46
264,2021-09-07,27.32,27.46,27.25,27.29
263,2021-09-03,27.46,27.49,27.33,27.49
262,2021-09-02,27.07,27.47,27.006,27.47
261,2021-09-01,26.82,27.06,26.82,27.02
260,2021-08-31,26.9,26.93,26.7,26.75
259,2021-08-30,26.81,26.97,26.795,26.9
258,2021-08-27,26.98,27.18,26.95,27.14
257,2021-08-26,27.0,27.0,26.85,26.92
256,2021-08-25,27.0,27.0,26.92,26.97
255,2021-08-24,26.99,27.02,26.91,27.0
254,2021-08-23,27.02,27.0575,26.93,26.955
253,2021-08-20,26.92,27.02,26.92,26.98
252,2021-08-19,26.85,26.89,26.74,26.88
251,2021-08-18,26.92,26.94,26.8,26.89
250,2021-08-17,26.94,26.9497,26.74,26.93
249,2021-08-16,26.93,26.97,26.87,26.94
248,2021-08-13,26.77,26.92,26.77,26.9
247,2021-08-12,26.73,26.85,26.7,26.76
246,2021-08-11,27.0,27.06,26.65,26.72
245,2021-08-10,27.2,27.2,26.8,26.9286
244,2021-08-09,27.45,27.45,27.11,27.13
243,2021-08-06,27.45,27.4904,27.32,27.45
242,2021-08-05,27.39,27.48,27.3109,27.37
241,2021-08-04,27.5,27.6289,27.32,27.39
240,2021-08-03,27.66,27.7195,27.5,27.59
