,Date,Open,High,Low,Close
493,2021-12-31,13.59,13.88,13.55,13.7
492,2021-12-30,13.7,13.9545,13.49,13.51
491,2021-12-29,13.43,14.0,13.42,13.64
490,2021-12-28,13.2,13.54,13.2,13.45
489,2021-12-27,13.25,13.5,13.1884,13.42
488,2021-12-23,13.4,13.4,13.24,13.32
487,2021-12-22,12.9,13.17,12.739,12.97
486,2021-12-21,12.67,13.16,12.67,12.91
485,2021-12-20,12.85,12.98,12.5,12.67
484,2021-12-17,13.04,13.3,12.74,13.0
483,2021-12-16,13.43,13.86,12.7238,13.01
482,2021-12-15,13.12,13.42,13.08,13.16
481,2021-12-14,13.53,13.53,13.1,13.13
480,2021-12-13,14.0,14.0,13.27,13.35
479,2021-12-10,13.44,13.58,13.2099,13.38
478,2021-12-09,13.17,13.4818,13.12,13.34
477,2021-12-08,13.07,13.45,13.03,13.15
476,2021-12-07,13.14,13.3,12.81,13.09
475,2021-12-06,12.82,13.185,12.745,12.93
474,2021-12-03,12.88,13.015,12.67,12.81
473,2021-12-02,12.5,13.04,12.48,12.83
472,2021-12-01,12.46,12.87,12.44,12.44
471,2021-11-30,12.81,12.88,12.08,12.08
470,2021-11-29,12.84,13.0,12.75,12.98
469,2021-11-26,12.58,13.06,12.5133,12.79
468,2021-11-24,12.92,13.05,12.84,13.0
467,2021-11-23,12.93,13.1544,12.74,13.0
466,2021-11-22,13.0364,13.19,12.9103,12.95
465,2021-11-19,12.84,13.21,12.84,13.0
464,2021-11-18,12.93,13.16,12.83,13.01
463,2021-11-17,13.03,13.13,12.95,13.01
462,2021-11-16,13.09,13.15,12.87,13.0
461,2021-11-15,12.9,13.28,12.87,13.01
460,2021-11-12,13.14,13.14,12.95,12.96
459,2021-11-11,13.16,13.28,12.922,13.07
458,2021-11-10,13.09,13.35,12.85,13.07
457,2021-11-09,13.15,13.435,12.82,13.27
456,2021-11-08,12.95,13.55,12.77,13.1
455,2021-11-05,13.24,13.6173,12.47,13.0
454,2021-11-04,13.26,13.31,12.9,13.2
453,2021-11-03,12.37,12.96,12.24,12.86
452,2021-11-02,12.67,13.12,12.29,12.56
451,2021-11-01,12.94,13.0799,12.25,12.53
450,2021-10-29,12.73,13.16,11.84,12.85
449,2021-10-28,12.05,13.1,12.04,12.7
448,2021-10-27,12.05,12.15,12.0,12.05
447,2021-10-26,12.16,12.24,12.0,12.06
446,2021-10-25,12.19,12.43,12.1,12.12
445,2021-10-22,12.22,12.446,12.0,12.26
444,2021-10-21,12.33,12.4915,12.0,12.0
443,2021-10-20,12.11,12.37,12.04,12.13
442,2021-10-19,12.34,12.44,12.0523,12.22
441,2021-10-18,12.37,12.7,12.05,12.09
440,2021-10-15,13.18,13.18,12.47,12.47
439,2021-10-14,13.03,13.09,12.63,12.63
438,2021-10-13,12.74,12.9728,12.68,12.7
437,2021-10-12,12.97,12.97,12.61,12.64
436,2021-10-11,12.93,13.105,12.86,12.86
435,2021-10-08,13.1,13.29,12.72,12.94
434,2021-10-07,13.02,13.4,12.87,13.02
433,2021-10-06,13.03,13.25,12.86,12.86
432,2021-10-05,13.19,13.41,13.12,13.25
431,2021-10-04,13.06,13.478,13.06,13.11
430,2021-10-01,13.2,13.48,13.02,13.24
429,2021-09-30,13.25,13.25,13.05,13.16
428,2021-09-29,13.0,13.41,13.0,13.27
427,2021-09-28,13.36,13.36,13.02,13.1
426,2021-09-27,13.21,13.46,13.1275,13.33
425,2021-09-24,13.2,13.31,12.8237,13.23
424,2021-09-23,12.88,13.44,12.63,13.44
423,2021-09-22,12.0,12.88,12.0,12.88
422,2021-09-21,11.82,12.64,11.805,12.0
421,2021-09-20,11.41,11.72,11.27,11.67
420,2021-09-17,12.47,12.7,11.16,11.65
419,2021-09-16,12.79,12.93,12.46,12.53
418,2021-09-15,12.62,13.18,12.54,12.9
417,2021-09-14,12.7516,13.09,12.7516,12.93
416,2021-09-13,13.05,13.195,12.655,12.99
415,2021-09-10,13.1,13.15,13.0,13.05
414,2021-09-09,13.248,13.28,12.74,12.96
