,Date,Open,High,Low,Close
268,2021-10-15,10.51,10.51,10.51,10.51
267,2021-10-14,10.75,10.75,10.21,10.51
266,2021-10-13,10.92,10.93,10.455,10.93
265,2021-10-12,10.65,10.65,10.65,10.65
264,2021-10-11,10.62,10.62,10.41,10.535
263,2021-10-08,10.74,10.74,10.01,10.01
262,2021-10-07,10.82,10.82,10.82,10.82
261,2021-10-06,10.82,10.82,10.82,10.82
260,2021-10-05,10.82,10.82,10.82,10.82
259,2021-10-04,10.83,10.83,10.82,10.82
258,2021-10-01,10.74,10.74,10.74,10.74
257,2021-09-30,10.74,10.74,10.74,10.74
256,2021-09-29,10.91,10.91,10.91,10.91
255,2021-09-28,10.99,10.99,10.95,10.95
254,2021-09-27,10.99,10.99,10.99,10.99
253,2021-09-24,10.9,10.99,10.9,10.99
252,2021-09-23,10.96,10.96,10.96,10.96
251,2021-09-22,11.05,11.05,11.05,11.05
250,2021-09-21,11.05,11.05,11.05,11.05
249,2021-09-20,11.05,11.05,11.05,11.05
248,2021-09-17,10.9601,10.9601,10.9,10.9
247,2021-09-16,11.55,11.55,11.0501,11.0501
246,2021-09-15,11.0101,11.0101,11.0101,11.0101
245,2021-09-14,11.48,11.48,10.8701,11.3
244,2021-09-13,11.75,11.89,10.852,10.91
243,2021-09-10,11.335,11.48,11.14,11.15
242,2021-09-09,11.44,11.52,11.44,11.52
241,2021-09-08,11.39,11.64,11.39,11.64
240,2021-09-07,12.58,14.3244,11.95,12.7
239,2021-09-03,11.42,12.52,11.4,12.26
238,2021-09-02,10.36,10.99,10.3512,10.99
237,2021-09-01,10.53,10.53,10.53,10.53
236,2021-08-31,10.54,10.54,10.54,10.54
235,2021-08-30,10.54,10.54,10.54,10.54
234,2021-08-27,10.54,10.54,10.54,10.54
233,2021-08-26,10.49,10.5,10.49,10.5
232,2021-08-25,10.3465,10.375,10.3465,10.375
231,2021-08-24,10.285,10.285,10.285,10.285
230,2021-08-23,10.1695,10.285,10.1695,10.285
229,2021-08-20,10.25,10.3,10.25,10.3
228,2021-08-19,10.25,10.25,10.25,10.25
227,2021-08-18,10.25,10.25,10.25,10.25
226,2021-08-17,10.3119,10.3119,10.3119,10.3119
225,2021-08-16,10.445,10.445,10.445,10.445
224,2021-08-13,10.445,10.445,10.445,10.445
223,2021-08-12,10.5,10.5,10.5,10.5
222,2021-08-11,10.5,10.5,10.5,10.5
221,2021-08-10,10.5,10.5,10.5,10.5
220,2021-08-09,10.5,10.5,10.41,10.5
219,2021-08-06,10.44,10.44,10.44,10.44
218,2021-08-05,10.44,10.44,10.44,10.44
217,2021-08-04,10.44,10.44,10.44,10.44
216,2021-08-03,10.5,10.5,10.41,10.44
215,2021-08-02,11.0,11.0,10.44,10.4411
214,2021-07-30,10.45,10.775,10.45,10.775
213,2021-07-29,10.35,10.35,10.35,10.35
212,2021-07-28,10.35,10.35,10.35,10.35
211,2021-07-27,10.5,10.5,10.5,10.5
210,2021-07-26,10.88,10.88,10.88,10.88
209,2021-07-23,10.88,10.88,10.88,10.88
208,2021-07-22,10.88,10.88,10.88,10.88
207,2021-07-21,11.09,11.68,10.88,10.88
206,2021-07-20,10.55,10.55,10.55,10.55
205,2021-07-19,10.52,10.61,10.52,10.55
204,2021-07-16,10.55,10.6001,10.55,10.6001
203,2021-07-15,10.7,10.7,10.7,10.7
202,2021-07-14,10.85,10.85,10.7,10.7
201,2021-07-13,10.57,10.64,10.57,10.64
200,2021-07-12,10.615,10.615,10.615,10.615
199,2021-07-09,10.74,10.74,10.74,10.74
198,2021-07-08,10.66,10.6695,10.515,10.665
197,2021-07-07,10.82,10.82,10.82,10.82
