,Date,Open,High,Low,Close
279,2021-12-31,2.55,2.67,2.4,2.44
278,2021-12-30,2.54,2.83,2.5,2.52
277,2021-12-29,2.69,2.84,2.5,2.54
276,2021-12-28,3.24,3.24,2.5778,2.66
275,2021-12-27,2.96,3.38,2.93,3.24
274,2021-12-23,3.27,3.48,2.87,3.2021
273,2021-12-22,3.36,3.36,2.919,3.0225
272,2021-12-21,3.09,3.44,3.09,3.23
271,2021-12-20,2.77,3.09,2.7,3.01
270,2021-12-17,2.79,3.07,2.65,3.06
269,2021-12-16,3.9,3.9,2.575,2.65
268,2021-12-15,4.0,4.45,3.6601,4.2
267,2021-12-14,3.75,4.42,3.75,4.0
266,2021-12-13,5.15,5.15,3.82,4.09
265,2021-12-10,5.43,5.7,4.73,4.812
264,2021-12-09,5.15,6.6284,4.55,5.93
263,2021-12-08,3.55,7.0,3.55,6.57
262,2021-12-07,3.56,4.08,3.53,3.85
261,2021-12-06,3.51,3.64,3.26,3.56
260,2021-12-03,4.06,4.2899,3.42,3.88
259,2021-12-02,4.24,4.6299,3.56,4.32
258,2021-12-01,5.19,5.55,3.86,3.94
257,2021-11-30,4.88,6.28,4.79,4.8669
256,2021-11-29,5.37,5.53,4.63,5.09
255,2021-11-26,5.5,5.52,5.05,5.35
254,2021-11-24,6.06,6.69,5.75,5.97
253,2021-11-23,6.36,7.38,5.5,5.87
252,2021-11-22,7.6,7.67,6.15,6.15
251,2021-11-19,7.0,10.5,6.6,8.2
250,2021-11-18,7.67,7.69,6.19,6.66
249,2021-11-17,8.49,8.97,7.25,7.67
248,2021-11-16,9.31,9.31,7.26,7.91
247,2021-11-15,9.97,11.42,8.99,9.92
246,2021-11-12,10.49,10.91,9.03,9.75
245,2021-11-11,10.0,10.94,9.38,10.265
244,2021-11-10,10.2988,10.81,8.99,9.295
243,2021-11-09,11.6,11.7999,9.0101,9.31
242,2021-11-08,11.15,12.5,9.8801,11.35
241,2021-11-05,11.07,12.12,10.21,10.56
240,2021-11-04,10.17,11.47,9.38,9.38
239,2021-11-03,11.07,12.22,10.1,10.37
238,2021-11-02,12.69,12.89,10.55,11.34
237,2021-11-01,14.88,18.64,12.3,12.3
236,2021-10-29,8.44,17.67,8.1106,17.67
235,2021-10-28,9.2,10.5,8.01,8.5
234,2021-10-27,5.34,9.3599,5.02,8.71
233,2021-10-26,10.38,11.2512,5.88,6.24
232,2021-10-25,3.4,11.0,2.35,10.48
231,2021-10-22,1.61,1.97,1.6,1.83
230,2021-10-21,1.6,1.74,1.6,1.61
229,2021-10-20,1.68,1.8499,1.5999,1.63
228,2021-10-19,1.64,1.66,1.51,1.62
227,2021-10-18,1.87,2.25,1.52,1.6
226,2021-10-15,1.7451,1.7599,1.62,1.6601
225,2021-10-14,1.81,1.9,1.52,1.56
224,2021-10-13,1.83,1.95,1.49,1.86
223,2021-10-12,1.52,1.7,1.52,1.7
222,2021-10-11,1.6299,1.6299,1.41,1.46
221,2021-10-08,1.79,1.8017,1.54,1.59
220,2021-10-07,1.6,1.7872,1.6,1.76
219,2021-10-06,1.615,1.65,1.615,1.635
218,2021-10-05,1.6599,1.6599,1.51,1.59
217,2021-10-04,1.5309,1.64,1.52,1.6
216,2021-10-01,1.6,1.63,1.52,1.55
215,2021-09-30,1.68,1.68,1.6,1.6101
214,2021-09-29,1.67,1.748,1.58,1.7015
213,2021-09-28,1.72,1.7299,1.65,1.68
212,2021-09-27,1.82,1.82,1.72,1.75
211,2021-09-24,1.75,1.77,1.701,1.73
210,2021-09-23,1.72,1.78,1.69,1.7501
209,2021-09-22,1.73,1.75,1.64,1.67
208,2021-09-21,1.76,1.8,1.67,1.7499
207,2021-09-20,1.7501,1.8,1.7,1.7306
206,2021-09-17,1.85,1.96,1.72,1.72
205,2021-09-16,1.89,1.89,1.71,1.76
204,2021-09-15,1.7899,1.8,1.68,1.8
203,2021-09-14,1.63,2.05,1.5,1.74
202,2021-09-13,1.87,1.99,1.45,1.6599
201,2021-09-10,1.86,2.04,1.75,1.75
200,2021-09-09,1.855,1.94,1.77,1.9
199,2021-09-08,2.0,2.05,1.8,1.8
198,2021-09-07,2.1,2.96,2.1,2.15
197,2021-09-03,1.8,2.2,1.71,2.04
196,2021-09-02,1.2999,1.67,1.29,1.63
195,2021-09-01,1.31,1.31,1.28,1.3
194,2021-08-31,1.33,1.39,1.26,1.315
193,2021-08-30,1.2501,1.47,1.25,1.32
192,2021-08-27,1.1599,1.33,1.11,1.27
191,2021-08-26,1.07,1.3699,1.07,1.2
190,2021-08-25,0.99,1.0399,0.9699,1.0099
189,2021-08-24,1.01,1.01,0.9399,0.975
188,2021-08-23,0.9598,1.0,0.926,0.96
187,2021-08-20,0.91,0.9639,0.84,0.93
186,2021-08-19,0.95,0.988,0.945,0.97
185,2021-08-18,1.0,1.0,0.92,0.95
184,2021-08-17,1.11,1.12,1.0,1.0008
183,2021-08-16,1.09,1.12,1.07,1.1057
182,2021-08-13,1.19,1.205,1.07,1.1
181,2021-08-12,1.18,1.26,1.09,1.135
180,2021-08-11,1.2299,1.26,1.2299,1.26
179,2021-08-10,1.2199,1.2769,1.2,1.25
178,2021-08-09,1.08,1.29,1.06,1.23
177,2021-08-06,1.13,1.13,1.04,1.08
176,2021-08-05,1.13,1.13,1.02,1.05
175,2021-08-04,1.16,1.28,1.08,1.1298
174,2021-08-03,1.2,1.21,1.1499,1.15
173,2021-08-02,1.36,1.36,1.17,1.19
172,2021-07-30,1.285,1.32,1.1999,1.21
171,2021-07-29,1.1701,1.2522,1.1701,1.245
170,2021-07-28,1.2481,1.2481,1.18,1.18
169,2021-07-27,1.27,1.325,1.15,1.17
168,2021-07-26,1.43,1.43,1.28,1.3
167,2021-07-23,1.4201,1.46,1.27,1.29
166,2021-07-22,1.49,1.51,1.42,1.42
165,2021-07-21,1.495,1.7,1.38,1.5
164,2021-07-20,1.43,1.5,1.38,1.3957
163,2021-07-19,1.51,1.53,1.37,1.465
162,2021-07-16,1.69,1.69,1.55,1.56
161,2021-07-15,1.62,1.62,1.56,1.6099
160,2021-07-14,1.63,1.6899,1.62,1.62
