,Date,Open,High,Low,Close
280,2021-12-31,8.76,8.99,8.46,8.51
279,2021-12-30,8.5,9.3,8.5,8.86
278,2021-12-29,8.88,9.15,8.4,8.54
277,2021-12-28,9.75,9.85,9.11,9.2
276,2021-12-27,10.01,10.52,9.15,9.96
275,2021-12-23,9.02,10.86,8.85,10.0
274,2021-12-22,9.01,9.49,8.68,9.3
273,2021-12-21,9.3,9.66,9.0214,9.18
272,2021-12-20,9.04,9.11,8.12,9.04
271,2021-12-17,9.71,9.94,8.5,9.51
270,2021-12-16,11.47,11.73,8.9,9.08
269,2021-12-15,13.1,13.77,12.16,13.76
268,2021-12-14,12.16,13.8,12.15,13.53
267,2021-12-13,14.13,14.6,12.55,12.58
266,2021-12-10,15.01,15.64,13.28,14.53
265,2021-12-09,15.25,17.29,14.2,14.68
264,2021-12-08,13.04,18.3185,13.04,17.14
263,2021-12-07,12.72,13.61,12.65,13.21
262,2021-12-06,12.21,12.69,11.9,12.57
261,2021-12-03,13.69,14.0992,12.5,13.03
260,2021-12-02,14.1,14.65,13.29,13.96
259,2021-12-01,15.89,16.28,14.0,14.0
258,2021-11-30,15.2,17.54,15.15,15.61
257,2021-11-29,16.17,16.35,14.75,15.32
256,2021-11-26,16.41,16.7,15.39,15.61
255,2021-11-24,16.74,17.95,16.7,17.28
254,2021-11-23,17.21,18.81,16.29,16.9
253,2021-11-22,18.77,19.15,16.65,17.02
252,2021-11-19,17.11,22.4,17.11,19.72
251,2021-11-18,19.21,19.256,16.58,17.33
250,2021-11-17,20.03,20.58,18.64,19.0
249,2021-11-16,21.0,21.0554,18.59,19.18
248,2021-11-15,23.36,24.25,20.3701,21.51
247,2021-11-12,24.29,26.49,23.58,24.27
246,2021-11-11,25.51,28.0,24.01,26.15
245,2021-11-10,25.71,28.4,25.01,25.45
244,2021-11-09,30.84,30.84,25.72,26.22
243,2021-11-08,33.15,33.44,30.61,31.07
242,2021-11-05,34.65,35.76,32.38,32.61
241,2021-11-04,35.39,37.85,32.0,32.36
240,2021-11-03,36.13,38.75,34.5,35.07
239,2021-11-02,36.8,39.75,33.33,36.6
238,2021-11-01,39.68,50.8,35.5,36.23
237,2021-10-29,25.7,42.88,25.61,42.52
236,2021-10-28,28.65,32.0,24.75,25.6
235,2021-10-27,21.17,30.45,20.32,29.4
234,2021-10-26,36.2,37.49,21.72,23.78
233,2021-10-25,13.86,31.57,10.95,30.6
232,2021-10-22,8.04,10.11,8.03,9.15
231,2021-10-21,8.24,8.49,8.0,8.03
230,2021-10-20,8.67,9.15,8.1,8.17
229,2021-10-19,9.09,9.17,8.4,8.49
228,2021-10-18,9.41,9.96,8.74,8.76
227,2021-10-15,9.6,9.79,9.21,9.36
226,2021-10-14,9.96,10.1226,9.27,9.46
225,2021-10-13,9.9,10.13,9.205,9.93
224,2021-10-12,9.8,10.2,9.68,9.86
223,2021-10-11,9.34,9.92,9.34,9.78
222,2021-10-08,9.99,9.99,9.07,9.57
221,2021-10-07,10.005,10.03,9.98,10.0
220,2021-10-06,10.03,10.07,9.995,10.0
219,2021-10-05,10.05,10.065,9.98,10.03
218,2021-10-04,10.02,10.13,10.01,10.05
217,2021-10-01,10.1,10.18,10.05,10.07
216,2021-09-30,10.09,10.21,10.09,10.11
215,2021-09-29,10.14,10.18,10.03,10.08
