,Date,Open,High,Low,Close
823,2021-12-31,2.41,2.5299,2.4,2.42
822,2021-12-30,2.27,2.53,2.27,2.43
821,2021-12-29,2.32,2.38,2.28,2.29
820,2021-12-28,2.39,2.48,2.3,2.32
819,2021-12-27,2.47,2.5,2.42,2.42
818,2021-12-23,2.36,2.47,2.32,2.45
817,2021-12-22,2.29,2.44,2.28,2.33
816,2021-12-21,2.3,2.38,2.26,2.29
815,2021-12-20,2.27,2.31,2.2,2.22
814,2021-12-17,2.16,2.38,2.16,2.38
813,2021-12-16,2.31,2.43,2.22,2.25
812,2021-12-15,2.44,2.51,2.3,2.33
811,2021-12-14,2.43,2.47,2.335,2.47
810,2021-12-13,3.17,3.18,2.28,2.3
809,2021-12-10,3.41,3.4499,3.31,3.33
808,2021-12-09,3.38,3.56,3.38,3.38
807,2021-12-08,3.31,3.575,3.15,3.44
806,2021-12-07,3.15,3.41,3.07,3.3
805,2021-12-06,2.88,3.22,2.75,3.13
804,2021-12-03,3.07,3.08,2.88,2.91
803,2021-12-02,3.14,3.25,3.08,3.13
802,2021-12-01,3.2,3.35,3.09,3.13
801,2021-11-30,3.31,3.31,3.03,3.03
800,2021-11-29,3.5,3.545,3.32,3.34
799,2021-11-26,3.45,3.65,3.45,3.51
798,2021-11-24,3.51,3.6,3.29,3.51
797,2021-11-23,4.24,4.27,4.05,4.08
796,2021-11-22,4.13,4.29,4.11,4.24
795,2021-11-19,4.34,4.3537,4.09,4.11
794,2021-11-18,4.5,4.5081,4.25,4.27
793,2021-11-17,4.54,4.54,4.38,4.49
792,2021-11-16,4.66,4.66,4.5,4.54
791,2021-11-15,4.7,4.75,4.62,4.63
790,2021-11-12,4.56,4.66,4.415,4.63
789,2021-11-11,4.67,4.715,4.36,4.46
788,2021-11-10,4.84,4.84,4.53,4.59
787,2021-11-09,4.7,4.83,4.61,4.79
786,2021-11-08,4.65,4.75,4.63,4.72
785,2021-11-05,4.91,4.91,4.55,4.63
784,2021-11-04,4.73,4.96,4.73,4.88
783,2021-11-03,4.62,4.7266,4.56,4.7
782,2021-11-02,4.72,4.72,4.48,4.6
781,2021-11-01,4.48,4.78,4.42,4.74
780,2021-10-29,4.32,4.42,4.3,4.41
779,2021-10-28,4.44,4.5,4.3,4.45
778,2021-10-27,4.55,4.57,4.335,4.37
777,2021-10-26,4.78,4.79,4.55,4.56
776,2021-10-25,4.84,4.96,4.7895,4.8
775,2021-10-22,4.91,4.995,4.85,4.88
774,2021-10-21,5.15,5.18,4.767,4.91
773,2021-10-20,4.96,5.28,4.95,5.16
772,2021-10-19,5.21,5.21,4.98,5.0
771,2021-10-18,5.14,5.25,4.84,5.12
770,2021-10-15,4.88,5.39,4.85,5.12
769,2021-10-14,4.36,4.93,4.3,4.84
768,2021-10-13,4.19,4.21,4.08,4.17
767,2021-10-12,4.23,4.25,4.1,4.1
766,2021-10-11,4.29,4.355,4.16,4.19
765,2021-10-08,4.23,4.33,4.2,4.26
764,2021-10-07,4.18,4.25,4.16,4.2
763,2021-10-06,4.05,4.16,4.01,4.06
762,2021-10-05,4.13,4.25,4.05,4.05
761,2021-10-04,4.37,4.38,4.09,4.13
760,2021-10-01,4.59,4.6432,4.36,4.39
759,2021-09-30,4.7,4.73,4.49,4.56
758,2021-09-29,4.77,4.845,4.64,4.64
757,2021-09-28,4.89,4.9434,4.78,4.81
756,2021-09-27,4.84,4.971,4.83,4.9
755,2021-09-24,4.78,4.88,4.7373,4.82
754,2021-09-23,4.85,4.909,4.77,4.86
753,2021-09-22,4.8,4.9561,4.8,4.8
752,2021-09-21,4.84,4.86,4.76,4.8
751,2021-09-20,4.69,4.84,4.62,4.83
750,2021-09-17,4.73,4.85,4.73,4.82
749,2021-09-16,4.78,4.81,4.67,4.71
748,2021-09-15,4.82,4.86,4.66,4.86
747,2021-09-14,4.92,4.96,4.82,4.85
746,2021-09-13,4.95,5.02,4.81,4.9
745,2021-09-10,5.03,5.055,4.88,4.88
744,2021-09-09,5.02,5.15,4.962,5.0
743,2021-09-08,5.32,5.32,5.06,5.06
742,2021-09-07,5.53,5.62,5.22,5.37
741,2021-09-03,5.3,5.55,5.16,5.4
740,2021-09-02,5.47,5.47,5.3,5.34
739,2021-09-01,5.15,5.49,5.13,5.44
738,2021-08-31,4.99,5.18,4.95,5.08
737,2021-08-30,4.95,5.02,4.7575,4.95
736,2021-08-27,4.9,5.07,4.85,4.93
735,2021-08-26,5.02,5.15,4.85,4.88
734,2021-08-25,5.25,5.32,5.0,5.07
733,2021-08-24,5.21,5.75,5.175,5.64
732,2021-08-23,5.05,5.19,4.865,5.03
731,2021-08-20,4.84,5.07,4.84,4.99
730,2021-08-19,4.97,5.02,4.82,4.85
729,2021-08-18,5.14,5.2199,4.96,5.07
728,2021-08-17,5.01,5.1899,4.91,5.12
727,2021-08-16,5.25,5.25,4.96,5.15
726,2021-08-13,5.46,5.46,5.165,5.28
725,2021-08-12,5.55,5.55,5.35,5.46
724,2021-08-11,5.91,5.91,5.5,5.57
723,2021-08-10,5.855,6.13,5.69,5.83
722,2021-08-09,5.65,5.9,5.56,5.82
721,2021-08-06,5.58,5.84,5.51,5.62
720,2021-08-05,5.63,5.7599,5.5,5.55
719,2021-08-04,5.82,5.86,5.61,5.64
718,2021-08-03,5.77,5.91,5.68,5.81
717,2021-08-02,5.7,5.98,5.69,5.85
716,2021-07-30,5.7,5.85,5.52,5.58
715,2021-07-29,5.69,5.97,5.65,5.85
714,2021-07-28,5.56,5.875,5.4,5.57
713,2021-07-27,5.76,5.81,5.325,5.37
712,2021-07-26,5.71,6.07,5.625,5.95
711,2021-07-23,6.59,6.59,5.92,6.01
710,2021-07-22,6.9,6.91,6.535,6.69
709,2021-07-21,6.63,6.93,6.63,6.84
708,2021-07-20,6.44,6.74,6.32,6.67
707,2021-07-19,6.61,6.75,6.32,6.42
706,2021-07-16,6.91,6.94,6.7,6.77
705,2021-07-15,6.875,6.95,6.8,6.9
704,2021-07-14,7.04,7.14,6.78,6.81
703,2021-07-13,7.09,7.24,7.02,7.02
702,2021-07-12,7.24,7.31,6.98,7.04
701,2021-07-09,7.18,7.3699,7.04,7.26
700,2021-07-08,6.9,7.09,6.61,7.0
699,2021-07-07,7.45,7.45,7.11,7.15
698,2021-07-06,7.49,7.5,7.08,7.36
697,2021-07-02,7.77,7.78,7.51,7.54
696,2021-07-01,8.46,8.51,7.66,7.82
695,2021-06-30,8.07,8.59,8.07,8.49
694,2021-06-29,8.11,8.2,7.86,8.2
693,2021-06-28,8.38,8.38,8.01,8.15
692,2021-06-25,8.39,8.5,8.17,8.23
691,2021-06-24,8.31,8.3833,8.12,8.28
690,2021-06-23,8.28,8.44,8.11,8.27
689,2021-06-22,8.16,8.35,8.04,8.2
688,2021-06-21,8.88,8.96,8.12,8.21
687,2021-06-18,9.3,9.5,8.9,8.96
686,2021-06-17,8.93,9.5,8.93,9.4
685,2021-06-16,8.88,9.19,8.65,8.97
684,2021-06-15,8.81,9.0,8.61,8.97
683,2021-06-14,8.2,9.0,8.2,8.81
682,2021-06-11,7.88,8.38,7.84,8.16
681,2021-06-10,7.95,8.1032,7.75,7.88
680,2021-06-09,8.28,8.29,7.89,7.9
679,2021-06-08,8.37,8.38,8.0301,8.28
678,2021-06-07,8.35,8.39,8.12,8.29
677,2021-06-04,8.14,8.58,7.95,8.46
676,2021-06-03,8.36,8.4,8.06,8.14
675,2021-06-02,8.41,8.41,8.13,8.4
674,2021-06-01,8.31,8.6,8.15,8.4
673,2021-05-28,7.86,8.24,7.8,8.15
672,2021-05-27,8.65,9.19,7.71,7.81
671,2021-05-26,7.9,8.35,7.9,8.16
670,2021-05-25,7.52,7.9,7.51,7.72
669,2021-05-24,7.67,7.67,7.26,7.3
668,2021-05-21,7.7,7.9647,7.58,7.62
667,2021-05-20,7.68,7.79,7.51,7.69
666,2021-05-19,7.42,7.73,7.33,7.64
665,2021-05-18,7.42,7.8,7.32,7.64
664,2021-05-17,7.2,7.44,7.11,7.38
663,2021-05-14,7.11,7.3,7.03,7.2
662,2021-05-13,7.04,7.17,6.64,6.9
661,2021-05-12,7.1,7.28,6.92,7.03
660,2021-05-11,6.54,7.28,6.54,7.22
659,2021-05-10,7.07,7.25,6.62,6.91
658,2021-05-07,7.28,7.44,7.07,7.11
657,2021-05-06,7.34,7.34,6.99,7.32
656,2021-05-05,7.55,7.66,7.24,7.3
655,2021-05-04,7.53,7.53,7.0,7.53
654,2021-05-03,7.89,7.89,7.46,7.53
653,2021-04-30,7.68,8.01,7.64,7.79
652,2021-04-29,8.24,8.24,7.65,7.75
651,2021-04-28,8.14,8.17,7.92,8.17
650,2021-04-27,8.22,8.27,7.99,8.07
649,2021-04-26,8.18,8.32,7.91,8.18
648,2021-04-23,7.71,8.19,7.71,8.14
647,2021-04-22,7.72,7.92,7.5,7.61
646,2021-04-21,7.41,7.79,7.23,7.66
645,2021-04-20,7.82,7.89,7.3,7.4
644,2021-04-19,7.92,8.29,7.65,7.82
643,2021-04-16,8.01,8.3,7.44,7.85
642,2021-04-15,8.96,8.965,7.4,7.99
641,2021-04-14,9.55,9.78,8.81,8.84
640,2021-04-13,9.19,9.54,9.0,9.5
639,2021-04-12,9.61,9.61,8.99,9.25
638,2021-04-09,9.5,9.61,9.05,9.61
637,2021-04-08,9.17,9.87,9.11,9.58
636,2021-04-07,9.3,9.38,9.02,9.25
635,2021-04-06,9.2,9.7,9.15,9.3
634,2021-04-05,9.52,9.76,8.92,9.22
633,2021-04-01,9.47,10.41,9.24,9.27
632,2021-03-31,9.3,9.57,8.9601,9.0
631,2021-03-30,9.15,9.489,8.71,9.27
630,2021-03-29,10.38,10.38,8.92,8.99
629,2021-03-26,10.55,10.6435,9.85,10.4
628,2021-03-25,10.0,11.5,9.92,10.5
627,2021-03-24,12.41,12.7,10.53,10.53
626,2021-03-23,12.58,12.9,12.16,12.3
625,2021-03-22,13.28,13.49,12.5,12.78
624,2021-03-19,13.36,13.55,12.94,13.11
623,2021-03-18,13.42,14.385,13.23,13.58
622,2021-03-17,13.77,14.12,12.93,13.56
621,2021-03-16,12.8,14.9157,12.76,14.38
620,2021-03-15,13.9022,13.9022,12.41,12.71
619,2021-03-12,12.3,14.2869,11.88,13.5
618,2021-03-11,11.1,13.43,10.77,13.29
617,2021-03-10,10.86,11.1099,10.08,10.82
616,2021-03-09,9.99,10.79,9.9401,10.55
615,2021-03-08,9.3,10.7,9.01,9.78
614,2021-03-05,10.31,10.46,8.71,9.73
613,2021-03-04,10.98,11.09,9.33,9.83
612,2021-03-03,11.61,11.98,11.077,11.15
611,2021-03-02,12.9035,13.34,11.31,11.33
610,2021-03-01,10.925,13.38,10.68,12.76
609,2021-02-26,10.95,11.17,10.15,10.38
608,2021-02-25,12.21,12.51,10.78,11.24
607,2021-02-24,14.165,14.94,12.0,12.25
606,2021-02-23,13.79,14.78,11.5,13.93
605,2021-02-22,18.81,18.99,13.91,14.3
604,2021-02-19,12.71,18.49,12.67,15.88
603,2021-02-18,8.99,12.1,8.88,10.63
602,2021-02-17,9.9,9.9,8.66,8.71
601,2021-02-16,9.03,9.78,8.71,9.09
600,2021-02-12,8.85,9.02,8.51,8.9
599,2021-02-11,9.21,9.21,8.7,8.94
598,2021-02-10,8.55,9.115,8.38,9.0
597,2021-02-09,8.58,8.85,8.3,8.58
596,2021-02-08,7.55,8.56,7.5,8.41
595,2021-02-05,7.5,7.6,7.19,7.5
594,2021-02-04,7.29,7.5,7.0201,7.49
593,2021-02-03,7.4,7.56,7.17,7.24
592,2021-02-02,7.21,7.5,6.99,7.47
591,2021-02-01,7.5,7.59,7.0,7.18
590,2021-01-29,7.65,7.83,7.3405,7.48
589,2021-01-28,7.94,7.98,7.64,7.66
588,2021-01-27,7.95,8.15,7.85,8.01
587,2021-01-26,7.8,8.25,7.67,8.16
586,2021-01-25,7.5,7.93,7.22,7.8
585,2021-01-22,7.45,7.66,7.06,7.4
584,2021-01-21,7.22,7.55,6.9215,7.46
583,2021-01-20,7.0,7.25,6.81,7.16
582,2021-01-19,6.38,7.04,6.25,6.88
581,2021-01-15,5.64,6.43,5.56,6.38
580,2021-01-14,5.75,5.8,5.62,5.67
579,2021-01-13,5.59,5.75,5.53,5.71
578,2021-01-12,5.56,5.64,5.52,5.63
577,2021-01-11,5.6,5.7188,5.5,5.53
576,2021-01-08,5.52,5.5999,5.5127,5.57
575,2021-01-07,5.55,5.59,5.45,5.52
574,2021-01-06,5.56,5.75,5.4644,5.52
