,Date,Open,High,Low,Close
1514,2021-12-31,5.36,5.5563,5.315,5.51
1513,2021-12-30,5.27,5.41,5.26,5.32
1512,2021-12-29,5.3,5.35,5.19,5.29
1511,2021-12-28,5.44,5.44,5.25,5.29
1510,2021-12-27,5.49,5.545,5.35,5.44
1509,2021-12-23,5.46,5.51,5.35,5.46
1508,2021-12-22,5.33,5.47,5.26,5.47
1507,2021-12-21,5.25,5.39,5.23,5.39
1506,2021-12-20,5.28,5.305,5.05,5.19
1505,2021-12-17,5.16,5.45,5.08,5.42
1504,2021-12-16,5.235,5.35,5.1,5.17
1503,2021-12-15,5.05,5.25,4.925,5.25
1502,2021-12-14,5.29,5.29,5.03,5.04
1501,2021-12-13,5.41,5.425,5.125,5.35
1500,2021-12-10,5.57,5.63,5.35,5.41
1499,2021-12-09,5.67,5.73,5.54,5.58
1498,2021-12-08,5.34,5.99,5.25,5.71
1497,2021-12-07,5.0,5.46,5.0,5.33
1496,2021-12-06,4.98,5.01,4.84,4.89
1495,2021-12-03,5.125,5.21,4.805,4.97
1494,2021-12-02,4.91,5.22,4.88,5.18
1493,2021-12-01,5.26,5.27,4.88,4.89
1492,2021-11-30,5.23,5.35,4.99,5.14
1491,2021-11-29,5.5,5.58,5.23,5.25
1490,2021-11-26,5.57,5.65,5.4,5.58
1489,2021-11-24,5.48,5.82,5.48,5.78
1488,2021-11-23,5.55,5.61,5.3301,5.58
1487,2021-11-22,5.76,5.91,5.585,5.59
1486,2021-11-19,5.47,5.9279,5.37,5.71
1485,2021-11-18,5.58,5.61,5.41,5.51
1484,2021-11-17,5.75,5.925,5.3,5.62
1483,2021-11-16,6.22,6.275,6.03,6.2
1482,2021-11-15,6.52,6.55,6.12,6.19
1481,2021-11-12,6.58,6.72,6.49,6.51
1480,2021-11-11,6.76,6.92,6.52,6.56
1479,2021-11-10,6.95,7.13,6.755,6.79
1478,2021-11-09,7.15,7.22,6.93,7.05
1477,2021-11-08,7.68,7.68,7.14,7.17
1476,2021-11-05,7.66,8.25,7.4,7.59
1475,2021-11-04,7.5,7.64,7.405,7.58
1474,2021-11-03,7.33,7.57,7.2052,7.53
1473,2021-11-02,7.44,7.45,7.28,7.41
1472,2021-11-01,7.33,7.63,7.25,7.45
1471,2021-10-29,7.15,7.345,7.08,7.31
1470,2021-10-28,6.92,7.2,6.868,7.15
1469,2021-10-27,6.9,6.9,6.71,6.82
1468,2021-10-26,7.03,7.03,6.84,6.94
1467,2021-10-25,6.85,7.145,6.85,7.0
1466,2021-10-22,6.75,6.82,6.64,6.81
1465,2021-10-21,6.89,6.91,6.705,6.73
1464,2021-10-20,6.71,7.0,6.662,6.88
1463,2021-10-19,6.04,6.82,6.0373,6.72
1462,2021-10-18,6.06,6.14,5.95,5.96
1461,2021-10-15,6.13,6.17,5.98,6.06
1460,2021-10-14,6.36,6.3932,6.0,6.02
1459,2021-10-13,6.55,6.6102,6.345,6.41
1458,2021-10-12,6.43,6.67,6.43,6.59
1457,2021-10-11,6.38,6.6,6.32,6.43
1456,2021-10-08,6.55,6.58,6.37,6.41
