,Date,Open,High,Low,Close
2818,2021-12-31,8.48,8.5999,8.45,8.51
2817,2021-12-30,8.51,8.705,8.44,8.48
2816,2021-12-29,8.4,8.56,8.39,8.52
2815,2021-12-28,8.43,8.61,8.35,8.38
2814,2021-12-27,8.56,8.67,8.44,8.49
2813,2021-12-23,8.47,8.62,8.42,8.54
2812,2021-12-22,8.39,8.555,8.3,8.46
2811,2021-12-21,8.12,8.4,8.12,8.4
2810,2021-12-20,8.09,8.23,7.76,7.96
2809,2021-12-17,8.26,8.38,8.07,8.2
2808,2021-12-16,8.73,8.81,8.24,8.27
2807,2021-12-15,8.535,8.71,8.29,8.69
2806,2021-12-14,8.43,8.79,8.31,8.55
2805,2021-12-13,8.26,8.61,8.26,8.49
2804,2021-12-10,8.34,8.49,8.1,8.31
2803,2021-12-09,8.15,8.59,8.15,8.26
2802,2021-12-08,8.19,8.8,8.01,8.21
2801,2021-12-07,9.86,10.32,9.57,10.11
2800,2021-12-06,9.45,10.12,9.435,9.73
2799,2021-12-03,9.65,9.74,9.1,9.27
2798,2021-12-02,9.51,9.76,9.37,9.65
2797,2021-12-01,9.78,10.04,9.41,9.41
2796,2021-11-30,9.77,9.91,9.47,9.51
2795,2021-11-29,10.12,10.38,9.74,9.84
2794,2021-11-26,9.99,10.2,9.71,9.97
2793,2021-11-24,10.32,10.52,10.225,10.25
2792,2021-11-23,10.61,10.8,10.5,10.58
2791,2021-11-22,10.55,10.84,10.54,10.64
2790,2021-11-19,10.68,10.82,10.49,10.5
2789,2021-11-18,10.65,10.87,10.52,10.8
2788,2021-11-17,10.59,10.62,10.47,10.51
2787,2021-11-16,10.7,10.8,10.585,10.66
2786,2021-11-15,10.88,10.98,10.685,10.7
2785,2021-11-12,10.84,10.87,10.68,10.83
2784,2021-11-11,10.86,11.13,10.79,10.79
2783,2021-11-10,10.7,10.93,10.69,10.7
2782,2021-11-09,10.39,10.79,10.39,10.78
2781,2021-11-08,10.66,10.73,10.36,10.4
2780,2021-11-05,10.65,10.94,10.53,10.6
2779,2021-11-04,10.39,10.76,10.25,10.5
2778,2021-11-03,10.0,10.47,10.0,10.36
2777,2021-11-02,10.2,10.3,9.95,9.98
2776,2021-11-01,9.9,10.23,9.9,10.15
2775,2021-10-29,9.84,10.0,9.78,9.81
2774,2021-10-28,9.62,9.88,9.62,9.81
2773,2021-10-27,9.81,9.88,9.56,9.6
2772,2021-10-26,10.15,10.46,9.83,9.84
2771,2021-10-25,10.14,10.3,9.96,10.11
2770,2021-10-22,10.38,10.43,10.13,10.16
2769,2021-10-21,10.09,10.37,10.03,10.37
2768,2021-10-20,10.14,10.19,9.985,10.07
2767,2021-10-19,10.11,10.195,9.99,10.11
2766,2021-10-18,9.8,10.14,9.74,10.05
2765,2021-10-15,10.07,10.225,9.89,9.89
2764,2021-10-14,9.89,9.93,9.76,9.85
2763,2021-10-13,9.68,9.79,9.58,9.75
2762,2021-10-12,9.6,9.73,9.51,9.7
2761,2021-10-11,9.63,9.72,9.48,9.49
2760,2021-10-08,9.58,9.675,9.5101,9.59
2759,2021-10-07,9.47,9.68,9.47,9.61
2758,2021-10-06,9.35,9.5,9.19,9.31
2757,2021-10-05,9.66,9.77,9.5,9.51
2756,2021-10-04,9.64,9.76,9.5,9.58
2755,2021-10-01,9.52,9.825,9.46,9.61
2754,2021-09-30,9.8,10.05,9.385,9.41
2753,2021-09-29,9.94,10.06,9.71,9.98
2752,2021-09-28,10.1,10.32,9.84,9.87
2751,2021-09-27,9.79,10.18,9.79,10.09
2750,2021-09-24,9.71,9.95,9.58,9.81
2749,2021-09-23,9.78,9.99,9.78,9.81
2748,2021-09-22,9.68,9.85,9.58,9.76
2747,2021-09-21,9.79,9.91,9.53,9.54
2746,2021-09-20,9.8,10.01,9.58,9.7
2745,2021-09-17,10.16,10.35,9.87,9.88
2744,2021-09-16,10.24,10.28,10.07,10.14
2743,2021-09-15,9.94,10.18,9.94,10.14
2742,2021-09-14,10.4,10.44,9.7098,9.78
2741,2021-09-13,10.6,10.75,10.36,10.37
2740,2021-09-10,10.72,10.81,10.48,10.49
2739,2021-09-09,10.3,10.89,10.3,10.66
2738,2021-09-08,10.22,10.45,10.14,10.33
2737,2021-09-07,10.22,10.5004,10.1,10.28
2736,2021-09-03,10.28,10.39,10.01,10.18
2735,2021-09-02,10.15,10.22,9.9,10.14
2734,2021-09-01,9.53,10.58,9.265,10.38
2733,2021-08-31,11.87,11.92,11.17,11.46
2732,2021-08-30,11.84,11.985,11.5,11.74
2731,2021-08-27,11.58,12.08,11.46,11.85
2730,2021-08-26,11.52,11.52,11.21,11.44
2729,2021-08-25,11.68,11.72,11.51,11.58
2728,2021-08-24,11.56,11.79,11.5,11.72
2727,2021-08-23,11.36,11.58,11.17,11.5
2726,2021-08-20,10.76,11.12,10.6608,11.12
2725,2021-08-19,10.81,11.05,10.67,10.79
2724,2021-08-18,11.05,11.33,10.98,11.02
2723,2021-08-17,11.38,11.38,10.85,11.15
2722,2021-08-16,11.55,11.58,11.34,11.51
2721,2021-08-13,11.93,12.07,11.58,11.64
2720,2021-08-12,12.16,12.22,11.83,11.98
2719,2021-08-11,12.12,12.18,11.86,12.1
2718,2021-08-10,11.38,12.17,11.38,12.11
2717,2021-08-09,11.25,11.59,11.08,11.38
2716,2021-08-06,11.46,11.5,11.26,11.36
2715,2021-08-05,11.02,11.33,10.95,11.23
2714,2021-08-04,11.05,11.435,10.9,10.94
2713,2021-08-03,11.37,11.61,11.2,11.27
2712,2021-08-02,11.17,11.73,11.17,11.31
2711,2021-07-30,11.12,11.28,10.88,11.01
2710,2021-07-29,11.15,11.337,11.02,11.12
2709,2021-07-28,11.01,11.14,10.74,10.93
2708,2021-07-27,11.14,11.15,10.83,10.95
2707,2021-07-26,10.94,11.39,10.94,11.27
2706,2021-07-23,11.12,11.12,10.72,10.89
2705,2021-07-22,11.29,11.44,10.91,10.97
2704,2021-07-21,11.34,11.76,11.18,11.33
2703,2021-07-20,10.49,11.2358,10.49,11.11
2702,2021-07-19,10.75,10.9,10.44,10.49
2701,2021-07-16,11.47,11.47,11.0,11.08
2700,2021-07-15,12.02,12.075,11.1879,11.32
2699,2021-07-14,11.8,12.02,11.58,11.63
2698,2021-07-13,11.92,12.21,11.68,11.73
2697,2021-07-12,11.75,12.14,11.5,12.01
2696,2021-07-09,11.34,11.82,11.34,11.75
2695,2021-07-08,10.94,11.4773,10.79,11.19
2694,2021-07-07,11.65,11.71,11.15,11.24
2693,2021-07-06,12.2,12.24,11.54,11.68
2692,2021-07-02,12.35,12.35,12.05,12.2
2691,2021-07-01,12.51,12.57,12.2,12.32
2690,2021-06-30,12.05,12.54,11.88,12.39
2689,2021-06-29,11.75,12.06,11.665,11.91
2688,2021-06-28,11.91,11.99,11.67,11.73
2687,2021-06-25,12.48,12.58,11.98,11.99
2686,2021-06-24,12.4,12.51,12.23,12.43
2685,2021-06-23,12.17,12.47,12.075,12.32
2684,2021-06-22,12.21,12.24,11.82,12.15
