,Date,Open,High,Low,Close
893,2021-12-31,9.55,9.73,8.95,9.16
892,2021-12-30,9.44,9.95,9.44,9.53
891,2021-12-29,9.3,9.53,8.74,9.53
890,2021-12-28,9.4,9.59,9.1642,9.25
889,2021-12-27,9.59,9.8428,9.26,9.49
888,2021-12-23,9.44,9.515,9.12,9.43
887,2021-12-22,8.99,9.55,8.9,9.3
886,2021-12-21,9.26,9.7237,8.95,9.13
885,2021-12-20,9.11,9.29,8.5226,9.22
884,2021-12-17,9.15,9.2867,8.79,9.1
883,2021-12-16,9.64,10.3199,9.12,9.26
882,2021-12-15,9.29,9.66,9.0,9.42
881,2021-12-14,9.53,9.68,9.18,9.21
880,2021-12-13,9.62,9.8839,9.33,9.63
879,2021-12-10,10.08,10.26,9.55,9.78
878,2021-12-09,10.35,10.3534,9.9,9.9
877,2021-12-08,10.47,10.65,10.135,10.47
876,2021-12-07,10.32,10.98,10.21,10.58
875,2021-12-06,9.48,10.08,9.26,9.97
874,2021-12-03,9.42,9.7555,9.02,9.26
873,2021-12-02,9.17,9.696,9.0,9.4
872,2021-12-01,10.57,10.57,9.19,9.19
871,2021-11-30,10.97,10.97,10.02,10.35
870,2021-11-29,10.55,11.08,8.51,10.54
869,2021-11-26,10.95,11.4,10.36,10.46
868,2021-11-24,10.77,11.59,10.56,11.11
867,2021-11-23,10.94,12.0298,10.57,10.93
866,2021-11-22,12.075,12.075,10.7989,11.02
865,2021-11-19,11.335,11.64,10.99,11.44
864,2021-11-18,12.03,12.5964,11.06,11.26
863,2021-11-17,11.88,12.12,11.66,11.83
862,2021-11-16,12.17,12.87,11.71,12.04
861,2021-11-15,12.25,12.77,10.48,12.04
860,2021-11-12,12.83,12.89,12.29,12.33
859,2021-11-11,12.8,12.8,12.475,12.57
858,2021-11-10,13.0,13.395,12.42,12.71
857,2021-11-09,13.24,13.305,12.73,13.01
856,2021-11-08,13.25,13.535,13.01,13.31
855,2021-11-05,13.2,13.34,12.9,13.17
854,2021-11-04,12.9,13.15,12.73,13.15
853,2021-11-03,12.95,13.18,12.78,12.88
852,2021-11-02,13.0,13.16,12.68,12.98
851,2021-11-01,12.66,13.14,12.4098,12.97
850,2021-10-29,12.44,12.66,12.2899,12.59
849,2021-10-28,12.86,12.86,12.2,12.34
848,2021-10-27,12.65,13.14,12.545,12.84
847,2021-10-26,12.35,13.0,12.15,12.83
846,2021-10-25,12.83,13.07,12.27,12.41
845,2021-10-22,12.52,12.83,12.3,12.77
844,2021-10-21,12.835,13.16,12.51,12.6
