,Date,Open,High,Low,Close
1246,2021-12-31,32.0,32.33,31.55,31.55
1245,2021-12-30,32.36,32.65,32.041,32.1
1244,2021-12-29,31.92,32.44,31.87,32.41
1243,2021-12-28,31.8,32.13,31.71,31.91
1242,2021-12-27,31.77,31.96,31.03,31.93
1241,2021-12-23,31.15,32.06,31.03,31.82
1240,2021-12-22,30.23,31.36,30.0345,31.15
1239,2021-12-21,30.19,30.47,29.46,30.08
1238,2021-12-20,28.85,29.87,28.6,29.76
1237,2021-12-17,27.85,29.69,27.57,29.39
1236,2021-12-16,28.43,28.6,27.3953,27.88
1235,2021-12-15,27.26,28.15,26.98,28.11
1234,2021-12-14,27.22,27.555,26.88,27.28
1233,2021-12-13,28.0,28.0,27.14,27.23
1232,2021-12-10,28.16,28.78,28.03,28.14
1231,2021-12-09,28.88,29.36,28.04,28.04
1230,2021-12-08,29.16,29.64,28.96,29.16
1229,2021-12-07,28.98,29.4,28.34,29.06
1228,2021-12-06,28.54,28.93,28.04,28.69
1227,2021-12-03,28.76,28.76,27.73,28.35
1226,2021-12-02,28.41,28.92,28.24,28.64
1225,2021-12-01,29.08,29.32,28.1,28.27
1224,2021-11-30,28.81,29.35,28.12,28.55
1223,2021-11-29,30.08,30.08,28.955,29.05
1222,2021-11-26,29.635,30.05,29.1424,29.47
1221,2021-11-24,29.9,30.5299,29.3479,30.2
1220,2021-11-23,29.63,30.17,29.51,29.93
1219,2021-11-22,29.64,30.09,29.235,29.62
1218,2021-11-19,28.565,29.93,28.09,29.52
1217,2021-11-18,30.05,30.47,29.13,29.2
1216,2021-11-17,29.0,30.56,28.7299,30.05
1215,2021-11-16,27.275,27.275,25.06,26.84
1214,2021-11-15,27.75,27.915,24.92,25.66
1213,2021-11-12,27.91,27.91,27.46,27.55
1212,2021-11-11,27.94,28.26,27.46,27.79
1211,2021-11-10,28.32,28.52,27.76,27.98
1210,2021-11-09,28.12,28.33,27.66,28.25
1209,2021-11-08,28.53,28.78,28.14,28.26
1208,2021-11-05,27.5,28.55,26.955,28.41
1207,2021-11-04,27.51,27.69,26.5958,27.22
1206,2021-11-03,26.91,27.66,26.4,27.4
1205,2021-11-02,27.06,27.315,26.72,27.06
1204,2021-11-01,26.84,27.49,26.77,27.03
1203,2021-10-29,26.95,26.95,26.7,26.85
1202,2021-10-28,26.76,27.195,26.27,26.92
1201,2021-10-27,26.23,26.68,25.915,26.42
1200,2021-10-26,27.11,27.57,26.35,26.36
1199,2021-10-25,26.84,27.27,26.68,27.05
1198,2021-10-22,27.14,27.15,26.7,26.87
1197,2021-10-21,27.13,27.65,26.4,26.89
1196,2021-10-20,27.03,27.5,26.99,27.07
1195,2021-10-19,26.8,27.29,26.62,27.06
1194,2021-10-18,26.47,26.64,25.96,26.57
1193,2021-10-15,28.07,28.2625,26.5,26.61
1192,2021-10-14,26.72,27.58,26.63,27.55
1191,2021-10-13,26.33,26.59,25.92,26.45
1190,2021-10-12,26.51,27.0,26.308,26.37
1189,2021-10-11,26.59,26.92,26.32,26.42
1188,2021-10-08,27.22,27.79,26.61,26.65
1187,2021-10-07,26.99,28.07,26.92,27.28
1186,2021-10-06,28.38,28.57,27.03,27.08
1185,2021-10-05,28.77,29.05,28.57,28.62
1184,2021-10-04,28.56,28.9,28.4,28.73
1183,2021-10-01,28.38,29.07,27.73,28.58
1182,2021-09-30,28.8,29.01,28.12,28.2
1181,2021-09-29,28.02,28.64,27.96,28.57
1180,2021-09-28,27.75,28.18,26.9401,28.06
1179,2021-09-27,27.77,28.16,27.63,27.9
1178,2021-09-24,27.27,28.27,27.2,27.82
1177,2021-09-23,26.79,27.52,26.54,27.35
1176,2021-09-22,26.94,27.46,26.7,26.75
1175,2021-09-21,28.49,28.49,26.8,26.9
1174,2021-09-20,28.44,28.7,27.84,28.23
1173,2021-09-17,29.51,29.84,28.435,28.92
1172,2021-09-16,29.02,29.78,29.02,29.5
1171,2021-09-15,28.29,29.5,28.12,29.09
1170,2021-09-14,28.84,29.0,28.07,28.21
1169,2021-09-13,28.62,28.96,28.08,28.6
1168,2021-09-10,29.15,29.38,28.49,28.53
1167,2021-09-09,28.74,29.55,28.74,28.95
1166,2021-09-08,29.07,29.265,28.72,28.89
1165,2021-09-07,29.22,29.435,28.85,29.03
1164,2021-09-03,29.76,29.94,29.2,29.31
1163,2021-09-02,29.52,29.95,29.32,29.69
1162,2021-09-01,29.18,29.46,28.9563,29.45
1161,2021-08-31,28.92,29.26,28.8101,29.17
1160,2021-08-30,28.65,29.05,28.6013,28.9
1159,2021-08-27,27.7,28.82,27.7,28.6
1158,2021-08-26,27.77,28.23,27.45,27.71
1157,2021-08-25,27.89,28.19,27.64,27.78
1156,2021-08-24,27.9,28.25,27.87,27.89
1155,2021-08-23,27.82,28.1323,27.69,27.88
1154,2021-08-20,26.96,27.85,26.8,27.57
1153,2021-08-19,27.31,27.53,26.51,27.09
1152,2021-08-18,27.5,28.08,27.1,27.49
1151,2021-08-17,27.46,27.68,26.86,27.53
1150,2021-08-16,27.59,27.95,27.22,27.5
1149,2021-08-13,27.8,28.7,27.37,27.58
1148,2021-08-12,27.85,27.96,27.505,27.8
1147,2021-08-11,28.03,28.89,27.34,27.81
1146,2021-08-10,28.64,29.06,27.91,28.03
1145,2021-08-09,28.83,28.97,28.42,28.67
1144,2021-08-06,29.13,29.175,28.57,28.92
1143,2021-08-05,27.7,29.5835,27.56,28.94
1142,2021-08-04,26.91,28.6472,26.55,27.47
1141,2021-08-03,27.11,27.19,26.52,27.0
1140,2021-08-02,27.43,27.775,26.84,26.95
1139,2021-07-30,27.53,27.8,26.7,27.3
1138,2021-07-29,27.11,27.73,26.97,27.52
1137,2021-07-28,26.69,27.43,26.2,27.04
1136,2021-07-27,26.75,27.05,25.89,26.67
1135,2021-07-26,26.87,26.95,26.44,26.79
1134,2021-07-23,26.44,26.76,26.09,26.69
1133,2021-07-22,26.75,26.75,26.02,26.29
1132,2021-07-21,26.14,26.73,26.07,26.66
1131,2021-07-20,25.0,26.32,24.63,25.9
1130,2021-07-19,25.42,26.19,24.83,25.84
1129,2021-07-16,26.68,27.24,25.75,25.94
1128,2021-07-15,26.44,26.87,26.04,26.38
1127,2021-07-14,27.16,27.29,26.58,26.64
1126,2021-07-13,27.54,27.9,26.62,26.92
1125,2021-07-12,26.89,27.91,26.61,27.51
1124,2021-07-09,26.73,27.02,26.55,26.83
1123,2021-07-08,26.58,26.7,25.91,26.55
1122,2021-07-07,27.41,27.91,26.825,27.09
1121,2021-07-06,27.66,27.66,26.83,27.3
1120,2021-07-02,27.39,28.0,27.175,27.66
1119,2021-07-01,26.93,27.27,26.4,27.21
1118,2021-06-30,26.96,27.01,26.4757,26.82
1117,2021-06-29,26.89,27.25,26.63,26.9
1116,2021-06-28,27.96,27.96,26.28,26.73
1115,2021-06-25,27.14,28.25,26.83,27.98
1114,2021-06-24,27.13,27.13,26.545,26.99
1113,2021-06-23,27.07,27.34,26.86,26.92
1112,2021-06-22,26.51,27.2,26.01,27.16
1111,2021-06-21,26.57,26.69,25.96,26.64
1110,2021-06-18,27.09,27.54,26.44,26.46
1109,2021-06-17,27.44,27.65,26.77,27.5
1108,2021-06-16,27.3,27.8,27.09,27.44
1107,2021-06-15,26.53,27.39,26.53,27.25
1106,2021-06-14,25.87,27.07,25.71,26.57
1105,2021-06-11,26.76,26.8494,25.78,25.82
1104,2021-06-10,26.8,26.84,26.39,26.72
1103,2021-06-09,25.9,26.69,25.78,26.61
1102,2021-06-08,25.4,26.08,25.26,25.75
1101,2021-06-07,25.27,25.625,25.0101,25.34
1100,2021-06-04,25.71,25.71,24.94,25.17
1099,2021-06-03,24.87,25.66,24.59,25.53
1098,2021-06-02,25.22,25.305,24.57,24.96
1097,2021-06-01,25.35,25.65,23.47,25.15
1096,2021-05-28,25.66,25.66,24.86,25.09
1095,2021-05-27,24.88,25.51,24.455,25.41
1094,2021-05-26,25.13,25.29,24.08,24.6
1093,2021-05-25,25.85,26.33,25.12,25.17
1092,2021-05-24,25.54,26.0,25.2,25.75
1091,2021-05-21,25.32,25.62,25.03,25.41
1090,2021-05-20,24.89,25.2,24.14,25.04
1089,2021-05-19,23.83,24.805,23.43,24.8
1088,2021-05-18,24.07,24.41,23.88,24.07
1087,2021-05-17,23.73,24.17,23.68,23.98
1086,2021-05-14,24.01,24.05,23.58,23.93
1085,2021-05-13,23.13,23.87,23.03,23.76
1084,2021-05-12,23.89,23.98,22.96,23.07
1083,2021-05-11,23.13,24.18,23.12,23.99
1082,2021-05-10,24.64,24.6644,23.24,23.65
1081,2021-05-07,24.41,24.91,23.88,24.52
1080,2021-05-06,24.83,24.89,23.11,24.52
1079,2021-05-05,24.83,26.14,24.39,24.66
1078,2021-05-04,23.81,24.13,23.53,23.98
1077,2021-05-03,23.98,24.37,23.82,24.03
1076,2021-04-30,23.38,24.11,23.345,23.74
1075,2021-04-29,23.61,23.69,23.325,23.63
1074,2021-04-28,22.79,23.58,22.79,23.4
1073,2021-04-27,23.31,23.36,22.66,23.21
1072,2021-04-26,22.93,23.67,22.71,23.35
1071,2021-04-23,22.69,23.32,22.64,22.87
1070,2021-04-22,23.01,23.16,22.64,22.67
1069,2021-04-21,22.4,23.1,22.4,22.88
1068,2021-04-20,22.44,22.69,22.18,22.41
1067,2021-04-19,22.55,22.96,22.24,22.65
1066,2021-04-16,23.18,23.23,22.68,22.73
1065,2021-04-15,22.49,23.05,22.3,22.95
1064,2021-04-14,22.02,22.67,22.02,22.35
1063,2021-04-13,22.15,22.35,21.8879,22.06
1062,2021-04-12,21.87,22.22,21.62,22.16
1061,2021-04-09,21.6,22.8,21.52,21.95
1060,2021-04-08,21.33,21.62,21.14,21.6
1059,2021-04-07,21.82,21.82,21.1,21.35
1058,2021-04-06,22.415,22.46,21.68,21.73
1057,2021-04-05,21.1,22.35,20.9,22.2
1056,2021-04-01,20.75,21.185,20.5,20.88
1055,2021-03-31,20.8,21.28,20.48,20.49
1054,2021-03-30,20.36,20.97,20.18,20.8
1053,2021-03-29,20.95,21.17,20.46,20.54
1052,2021-03-26,21.51,21.665,20.84,21.17
1051,2021-03-25,20.76,21.32,20.51,21.17
1050,2021-03-24,21.91,22.2,20.98,20.98
1049,2021-03-23,21.78,22.235,21.325,21.59
1048,2021-03-22,22.2,22.71,21.54,22.16
1047,2021-03-19,22.18,22.9,21.3,22.4
1046,2021-03-18,23.16,23.26,21.64,21.95
1045,2021-03-17,23.03,23.39,22.3104,23.27
1044,2021-03-16,23.25,23.42,22.91,23.22
1043,2021-03-15,23.31,23.46,22.52,23.36
1042,2021-03-12,23.7817,23.9,21.42,23.42
1041,2021-03-11,24.03,25.42,23.58,24.01
1040,2021-03-10,23.69,24.175,23.29,23.76
1039,2021-03-09,23.77,24.05,23.38,23.62
1038,2021-03-08,23.47,23.78,23.0,23.35
1037,2021-03-05,22.9,23.335,22.27,23.24
1036,2021-03-04,24.06,24.06,22.51,22.83
1035,2021-03-03,23.71,24.54,23.51,23.95
1034,2021-03-02,23.9,24.1493,23.45,23.63
1033,2021-03-01,23.48,24.05,22.98,24.05
1032,2021-02-26,23.04,23.37,22.36,22.93
