,Date,Open,High,Low,Close
3173,2021-12-31,3.24,3.3999,3.16,3.175
3172,2021-12-30,3.25,3.4,3.25,3.26
3171,2021-12-29,3.3961,3.49,3.36,3.36
3170,2021-12-28,3.24,3.42,3.24,3.31
3169,2021-12-27,3.37,3.4499,3.21,3.28
3168,2021-12-23,3.27,3.4,3.27,3.32
3167,2021-12-22,3.44,3.46,3.32,3.38
3166,2021-12-21,3.5,3.51,3.42,3.48
3165,2021-12-20,3.63,3.7,3.44,3.5
3164,2021-12-17,3.5,3.79,3.5,3.71
3163,2021-12-16,3.61,3.7,3.45,3.6
3162,2021-12-15,3.24,3.65,3.15,3.65
3161,2021-12-14,3.31,3.35,3.1591,3.21
3160,2021-12-13,3.35,3.4159,3.25,3.3
3159,2021-12-10,3.33,3.46,3.275,3.36
3158,2021-12-09,3.61,3.7264,3.29,3.3
3157,2021-12-08,3.5,3.7,3.43,3.68
3156,2021-12-07,3.32,3.8,3.25,3.55
3155,2021-12-06,3.1,3.2112,3.06,3.16
3154,2021-12-03,3.275,3.275,3.15,3.18
3153,2021-12-02,3.32,3.3441,3.23,3.26
3152,2021-12-01,3.31,3.3798,3.17,3.17
3151,2021-11-30,3.21,3.3153,3.21,3.29
3150,2021-11-29,3.37,3.51,3.2,3.26
3149,2021-11-26,3.4,3.41,3.31,3.3677
3148,2021-11-24,3.4,3.41,3.31,3.39
3147,2021-11-23,3.47,3.5,3.37,3.38
3146,2021-11-22,3.53,3.71,3.46,3.47
3145,2021-11-19,3.65,3.7301,3.56,3.56
3144,2021-11-18,3.98,4.09,3.591,3.62
3143,2021-11-17,3.91,4.27,3.71,3.98
3142,2021-11-16,3.85,4.05,3.81,3.9
3141,2021-11-15,3.84,3.89,3.6901,3.85
3140,2021-11-12,3.72,3.8,3.67,3.69
3139,2021-11-11,3.58,3.9,3.5325,3.8
3138,2021-11-10,3.81,4.28,3.54,3.66
3137,2021-11-09,3.48,3.48,3.3728,3.445
3136,2021-11-08,3.45,3.5114,3.38,3.48
3135,2021-11-05,3.54,3.5799,3.3901,3.46
3134,2021-11-04,3.47,3.65,3.3645,3.49
3133,2021-11-03,3.3701,3.4798,3.3701,3.45
3132,2021-11-02,3.35,3.44,3.33,3.43
3131,2021-11-01,3.26,3.47,3.0,3.37
3130,2021-10-29,3.38,3.47,3.36,3.36
3129,2021-10-28,3.26,3.38,3.25,3.38
3128,2021-10-27,3.36,3.5018,3.16,3.2
3127,2021-10-26,3.42,3.4484,3.3601,3.41
3126,2021-10-25,3.48,3.5,3.45,3.45
3125,2021-10-22,3.6,3.6,3.47,3.49
3124,2021-10-21,3.61,3.67,3.6,3.62
3123,2021-10-20,3.71,3.7549,3.58,3.6
3122,2021-10-19,3.7,3.8583,3.5404,3.58
3121,2021-10-18,3.88,3.905,3.6,3.78
3120,2021-10-15,4.03,4.03,3.78,3.83
3119,2021-10-14,3.83,4.0551,3.8175,3.87
3118,2021-10-13,3.7,3.8803,3.63,3.84
3117,2021-10-12,3.74,3.74,3.62,3.7
3116,2021-10-11,3.45,3.84,3.42,3.7359
3115,2021-10-08,3.47,3.49,3.38,3.48
3114,2021-10-07,3.4,3.5,3.4,3.45
3113,2021-10-06,3.43,3.43,3.26,3.39
3112,2021-10-05,3.23,3.3927,3.23,3.39
3111,2021-10-04,3.25,3.33,3.2,3.25
3110,2021-10-01,3.35,3.4,3.23,3.24
3109,2021-09-30,3.3172,3.4,3.16,3.4
3108,2021-09-29,3.35,3.4217,3.29,3.35
3107,2021-09-28,3.15,3.4099,3.065,3.4
3106,2021-09-27,3.2,3.27,3.11,3.19
3105,2021-09-24,3.23,3.29,3.17,3.1823
3104,2021-09-23,3.26,3.3,3.15,3.21
3103,2021-09-22,3.21,3.3,3.17,3.29
3102,2021-09-21,3.28,3.28,3.1401,3.19
3101,2021-09-20,3.44,3.52,3.14,3.23
3100,2021-09-17,3.1,3.62,3.1,3.44
3099,2021-09-16,3.3001,3.465,3.0,3.15
3098,2021-09-15,3.25,3.3821,3.2,3.37
3097,2021-09-14,3.46,3.48,3.21,3.2736
3096,2021-09-13,3.6,3.6,3.385,3.44
3095,2021-09-10,3.45,3.63,3.41,3.6
3094,2021-09-09,3.55,3.585,3.45,3.45
3093,2021-09-08,3.69,3.69,3.51,3.55
3092,2021-09-07,3.84,3.84,3.66,3.74
3091,2021-09-03,3.92,3.93,3.79,3.85
3090,2021-09-02,3.98,3.98,3.8,3.93
3089,2021-09-01,3.78,3.98,3.6,3.87
3088,2021-08-31,3.59,3.66,3.575,3.6
3087,2021-08-30,3.79,3.79,3.5101,3.57
3086,2021-08-27,3.81,3.81,3.61,3.61
3085,2021-08-26,3.75,3.7536,3.55,3.73
3084,2021-08-25,3.76,3.79,3.5877,3.73
3083,2021-08-24,3.5,3.6,3.39,3.5
3082,2021-08-23,3.39,3.545,3.35,3.51
3081,2021-08-20,3.38,3.54,3.35,3.44
3080,2021-08-19,3.305,3.57,3.25,3.36
3079,2021-08-18,3.265,3.44,3.15,3.4125
3078,2021-08-17,3.5149,3.565,3.19,3.19
3077,2021-08-16,3.63,3.74,3.51,3.51
3076,2021-08-13,3.81,3.81,3.7,3.7
3075,2021-08-12,3.92,3.92,3.73,3.775
3074,2021-08-11,3.99,4.01,3.84,3.89
3073,2021-08-10,3.97,4.02,3.9234,4.0
3072,2021-08-09,3.91,4.0,3.91,3.97
3071,2021-08-06,3.9,3.97,3.88,3.95
3070,2021-08-05,3.87,3.97,3.81,3.95
3069,2021-08-04,3.9409,3.98,3.87,3.87
3068,2021-08-03,3.88,3.97,3.88,3.95
3067,2021-08-02,3.87,4.01,3.8165,3.97
3066,2021-07-30,3.81,3.9,3.81,3.87
3065,2021-07-29,4.0,4.0,3.7901,3.86
3064,2021-07-28,3.94,4.0,3.83,4.0
3063,2021-07-27,3.93,3.97,3.83,3.89
3062,2021-07-26,3.82,3.97,3.78,3.91
3061,2021-07-23,3.95,3.99,3.86,3.86
3060,2021-07-22,3.96,3.96,3.89,3.96
3059,2021-07-21,3.93,4.02,3.7301,3.97
3058,2021-07-20,3.66,3.94,3.65,3.89
3057,2021-07-19,3.5,3.75,3.5,3.65
3056,2021-07-16,3.65,3.8138,3.55,3.59
3055,2021-07-15,3.77,3.77,3.6,3.61
3054,2021-07-14,3.94,3.97,3.7895,3.8
3053,2021-07-13,3.89,3.93,3.8,3.88
3052,2021-07-12,3.86,3.9,3.805,3.9
3051,2021-07-09,3.57,3.8882,3.57,3.81
