,Date,Open,High,Low,Close
395,2021-12-31,11.02,11.3527,10.7,10.79
394,2021-12-30,10.19,11.47,10.18,11.11
393,2021-12-29,10.5,10.585,10.13,10.2
392,2021-12-28,10.6233,10.97,10.48,10.54
391,2021-12-27,11.055,11.08,10.5,10.7
390,2021-12-23,10.94,11.22,10.6175,11.0
389,2021-12-22,11.23,11.43,10.62,10.84
388,2021-12-21,10.59,11.19,10.55,11.16
387,2021-12-20,11.18,11.46,10.21,10.36
386,2021-12-17,10.51,11.41,10.1187,11.33
385,2021-12-16,11.11,11.49,10.4,10.53
384,2021-12-15,10.81,11.06,10.18,10.93
383,2021-12-14,11.42,11.75,10.86,10.89
382,2021-12-13,12.1,12.25,11.215,11.64
381,2021-12-10,12.31,12.76,11.82,12.12
380,2021-12-09,13.5,13.81,12.09,12.22
379,2021-12-08,13.46,13.98,12.92,13.56
378,2021-12-07,13.2,13.97,13.17,13.4
377,2021-12-06,12.65,13.81,12.2,13.51
376,2021-12-03,13.57,13.57,12.28,12.65
375,2021-12-02,13.1927,13.9,13.07,13.57
374,2021-12-01,14.02,14.74,13.22,13.3
373,2021-11-30,14.65,14.71,13.46,13.83
372,2021-11-29,15.72,15.7799,14.71,14.74
371,2021-11-26,15.3,15.79,15.07,15.54
370,2021-11-24,15.57,16.04,15.3,15.71
369,2021-11-23,16.55,16.63,15.445,15.77
368,2021-11-22,16.76,16.93,16.15,16.61
367,2021-11-19,17.04,17.365,16.5,16.63
366,2021-11-18,18.5,18.52,16.6,17.18
365,2021-11-17,19.7,19.98,18.405,18.47
364,2021-11-16,19.83,20.02,19.52,19.77
363,2021-11-15,18.78,20.29,18.76,19.99
362,2021-11-12,18.59,19.19,18.22,18.59
361,2021-11-11,20.5,20.85,18.57,18.59
360,2021-11-10,18.43,21.15,17.55,20.62
359,2021-11-09,19.21,19.85,18.93,19.38
358,2021-11-08,19.3,19.37,18.9,19.13
357,2021-11-05,19.57,19.8,19.0887,19.16
356,2021-11-04,19.91,20.05,19.3,19.47
355,2021-11-03,20.03,20.4,19.62,19.88
354,2021-11-02,20.44,20.77,19.46,20.04
353,2021-11-01,19.34,20.6,19.09,20.44
352,2021-10-29,19.38,19.83,19.0,19.13
351,2021-10-28,19.17,19.77,18.71,19.54
350,2021-10-27,19.54,19.6547,19.0,19.11
349,2021-10-26,20.37,20.4692,19.4047,19.53
348,2021-10-25,20.5,20.81,20.18,20.23
347,2021-10-22,22.04,22.1124,20.51,20.54
346,2021-10-21,22.0,22.75,21.94,22.3
345,2021-10-20,22.77,22.82,21.85,21.95
344,2021-10-19,22.81,23.295,22.24,22.84
343,2021-10-18,22.36,22.62,21.725,22.55
342,2021-10-15,21.95,22.56,21.771,22.34
341,2021-10-14,21.45,22.02,21.32,21.73
340,2021-10-13,21.4,21.7,20.98,21.35
339,2021-10-12,21.27,21.39,20.78,21.07
338,2021-10-11,21.29,21.72,20.53,20.56
337,2021-10-08,21.29,22.18,21.26,21.3
336,2021-10-07,21.65,22.14,21.24,21.26
335,2021-10-06,20.15,21.4,19.8,21.17
