,Date,Open,High,Low,Close
283,2021-12-31,13.6,13.71,13.52,13.53
282,2021-12-30,13.51,13.75,13.51,13.55
281,2021-12-29,13.5617,13.66,13.5,13.56
280,2021-12-28,13.6,13.71,13.55,13.64
279,2021-12-27,13.62,13.795,13.56,13.67
278,2021-12-23,13.31,13.71,13.26,13.63
277,2021-12-22,13.04,13.325,13.005,13.25
276,2021-12-21,12.965,13.2,12.88,13.09
275,2021-12-20,12.87,12.91,12.54,12.76
274,2021-12-17,13.11,13.18,12.835,13.03
273,2021-12-16,12.8683,13.195,12.82,13.02
272,2021-12-15,12.765,12.82,12.585,12.69
271,2021-12-14,12.55,13.15,12.55,12.81
270,2021-12-13,12.6,12.73,12.4,12.55
269,2021-12-10,12.62,12.92,12.57,12.7
268,2021-12-09,12.41,12.77,12.4,12.59
267,2021-12-08,12.4681,12.52,12.38,12.43
266,2021-12-07,12.4,12.52,12.36,12.4
265,2021-12-06,12.3,12.61,12.259,12.44
264,2021-12-03,12.23,12.29,12.08,12.2
263,2021-12-02,12.12,12.36,11.96,12.2
262,2021-12-01,12.42,12.53,12.07,12.09
261,2021-11-30,12.47,12.59,12.23,12.31
260,2021-11-29,12.87,12.9,12.47,12.52
259,2021-11-26,12.85,12.89,12.57,12.75
258,2021-11-24,13.095,13.135,12.95,13.05
257,2021-11-23,13.19,13.29,13.09,13.16
256,2021-11-22,13.03,13.28,12.9,13.12
255,2021-11-19,13.33,13.37,13.08,13.08
254,2021-11-18,13.62,13.66,13.29,13.39
253,2021-11-17,13.89,13.965,13.64,13.65
252,2021-11-16,13.97,13.99,13.73,13.88
251,2021-11-15,14.16,14.17,13.87,13.9
250,2021-11-12,14.45,14.51,14.07,14.11
249,2021-11-11,14.54,14.65,14.415,14.46
248,2021-11-10,14.46,14.75,14.38,14.54
247,2021-11-09,14.72,14.74,14.41,14.57
246,2021-11-08,14.42,14.87,14.25,14.68
245,2021-11-05,13.75,13.99,13.48,13.73
244,2021-11-04,13.827,13.879,13.51,13.68
243,2021-11-03,13.8,13.96,13.72,13.9
242,2021-11-02,13.8426,13.94,13.62,13.83
241,2021-11-01,13.37,13.94,13.37,13.82
240,2021-10-29,13.33,13.39,13.23,13.35
239,2021-10-28,13.15,13.42,13.1,13.33
238,2021-10-27,13.47,13.48,13.085,13.1
237,2021-10-26,13.84,13.89,13.465,13.48
236,2021-10-25,13.93,13.94,13.68,13.8
235,2021-10-22,14.01,14.1,13.905,13.94
234,2021-10-21,13.9,14.05,13.81,14.01
233,2021-10-20,13.63,14.05,13.62,13.99
232,2021-10-19,13.55,13.63,13.44,13.57
231,2021-10-18,13.4539,13.52,13.21,13.49
230,2021-10-15,13.64,13.67,13.43,13.46
229,2021-10-14,13.45,13.66,13.45,13.48
228,2021-10-13,13.45,13.56,13.346,13.37
227,2021-10-12,13.62,13.69,13.36,13.46
226,2021-10-11,13.64,13.865,13.59,13.61
225,2021-10-08,13.69,13.8264,13.6,13.63
224,2021-10-07,13.55,13.81,13.54,13.63
223,2021-10-06,13.4,13.575,13.31,13.44
222,2021-10-05,13.345,13.665,13.32,13.5
221,2021-10-04,13.7596,13.775,13.31,13.43
220,2021-10-01,13.56,13.725,13.46,13.6
219,2021-09-30,13.92,13.9901,13.48,13.55
218,2021-09-29,13.68,13.95,13.61,13.86
217,2021-09-28,13.82,13.95,13.65,13.7
216,2021-09-27,13.47,13.88,13.43,13.82
215,2021-09-24,13.31,13.469,13.28,13.38
214,2021-09-23,13.3,13.5,13.215,13.34
213,2021-09-22,13.36,13.49,13.24,13.25
212,2021-09-21,13.41,13.55,13.22,13.28
211,2021-09-20,13.44,13.535,13.2,13.33
210,2021-09-17,13.55,13.705,13.51,13.57
209,2021-09-16,13.74,13.85,13.56,13.69
208,2021-09-15,13.62,13.78,13.6,13.73
207,2021-09-14,14.0,14.04,13.64,13.68
206,2021-09-13,13.85,14.06,13.78,13.92
205,2021-09-10,14.37,14.38,13.77,13.8
204,2021-09-09,14.515,14.52,14.205,14.29
203,2021-09-08,14.57,14.61,14.375,14.55
202,2021-09-07,14.86,14.91,14.545,14.66
201,2021-09-03,15.01,15.19,14.87,14.89
200,2021-09-02,14.55,15.14,14.55,15.13
199,2021-09-01,14.62,14.65,14.43,14.59
198,2021-08-31,14.35,14.64,14.32,14.63
197,2021-08-30,14.33,14.52,14.3,14.41
196,2021-08-27,14.32,14.47,14.29,14.37
195,2021-08-26,14.52,14.53,14.16,14.29
194,2021-08-25,14.58,14.58,14.395,14.52
193,2021-08-24,14.77,14.855,14.63,14.66
192,2021-08-23,14.63,14.89,14.555,14.76
191,2021-08-20,14.61,14.86,14.59,14.69
190,2021-08-19,14.6466,14.86,14.62,14.73
189,2021-08-18,14.73,15.06,14.71,14.79
188,2021-08-17,14.83,14.87,14.45,14.77
187,2021-08-16,14.92,15.0,14.7637,14.91
186,2021-08-13,14.97,15.05,14.85,14.95
185,2021-08-12,14.87,15.065,14.74,14.95
184,2021-08-11,15.16,15.16,14.75,14.82
183,2021-08-10,15.0493,15.25,14.765,15.11
182,2021-08-09,14.67,15.17,14.43,15.1
181,2021-08-06,14.0578,14.26,13.9,14.25
180,2021-08-05,13.78,13.94,13.7321,13.93
179,2021-08-04,14.01,14.18,13.675,13.76
178,2021-08-03,14.24,14.32,13.89,14.19
177,2021-08-02,14.13,14.37,14.0823,14.23
176,2021-07-30,14.33,14.43,13.98,14.07
175,2021-07-29,14.64,14.68,14.26,14.29
174,2021-07-28,13.87,14.38,13.8346,14.23
173,2021-07-27,13.81,13.945,13.695,13.91
172,2021-07-26,13.87,14.06,13.78,13.84
171,2021-07-23,13.99,13.99,13.8025,13.92
170,2021-07-22,13.96,13.98,13.77,13.85
169,2021-07-21,13.9635,14.12,13.895,14.06
168,2021-07-20,13.6249,13.97,13.6,13.89
167,2021-07-19,13.6,13.68,13.24,13.6
166,2021-07-16,13.87,13.91,13.74,13.76
165,2021-07-15,14.03,14.175,13.83,13.88
164,2021-07-14,13.93,14.16,13.89,14.07
163,2021-07-13,14.21,14.25,13.83,13.92
162,2021-07-12,14.19,14.27,14.05,14.18
161,2021-07-09,13.95,14.43,13.92,14.31
160,2021-07-08,13.92,14.0,13.75,13.78
159,2021-07-07,14.21,14.22,13.92,14.03
158,2021-07-06,14.71,14.75,14.17,14.19
157,2021-07-02,14.81,14.82,14.4531,14.71
156,2021-07-01,14.38,14.77,14.38,14.75
155,2021-06-30,14.52,14.54,14.27,14.29
154,2021-06-29,14.38,14.56,14.31,14.52
153,2021-06-28,14.56,14.6,14.3,14.38
152,2021-06-25,14.39,14.63,14.34,14.57
151,2021-06-24,14.25,14.42,14.13,14.36
150,2021-06-23,14.28,14.32,14.11,14.17
149,2021-06-22,14.4,14.4,14.11,14.22
148,2021-06-21,14.2407,14.38,14.11,14.35
147,2021-06-18,14.635,14.635,14.2,14.26
146,2021-06-17,15.13,15.1849,14.6,14.67
145,2021-06-16,15.44,15.4805,15.11,15.22
144,2021-06-15,15.61,15.68,15.12,15.3
143,2021-06-14,15.73,15.79,15.56,15.63
142,2021-06-11,15.76,15.79,15.63,15.73
141,2021-06-10,15.46,15.92,15.41,15.79
140,2021-06-09,15.48,15.555,15.4,15.45
139,2021-06-08,15.42,15.57,15.23,15.49
138,2021-06-07,15.39,15.46,15.27,15.39
137,2021-06-04,15.43,15.475,15.265,15.39
136,2021-06-03,15.44,15.535,15.365,15.41
135,2021-06-02,15.26,15.56,15.12,15.46
134,2021-06-01,15.255,15.3763,15.155,15.26
133,2021-05-28,15.2,15.33,15.11,15.24
132,2021-05-27,15.1747,15.27,15.08,15.14
131,2021-05-26,15.0078,15.18,14.87,15.16
130,2021-05-25,15.32,15.34,14.93,14.98
129,2021-05-24,15.3744,15.535,15.29,15.36
128,2021-05-21,15.5,15.6544,15.29,15.31
127,2021-05-20,15.54,15.71,15.37,15.59
126,2021-05-19,15.95,15.95,15.45,15.5
125,2021-05-18,16.1,16.15,15.8,16.05
124,2021-05-17,15.98,16.29,15.95,16.15
123,2021-05-14,16.03,16.1,15.75,16.0
122,2021-05-13,15.56,16.05,15.55,15.93
121,2021-05-12,15.2,15.855,15.17,15.72
120,2021-05-11,14.937,15.5,14.85,15.14
119,2021-05-10,14.98,15.475,14.8,15.04
118,2021-05-07,13.8217,14.1,13.78,14.08
117,2021-05-06,13.62,13.94,13.435,13.93
116,2021-05-05,13.4,13.7,13.3,13.64
115,2021-05-04,13.49,13.64,13.26,13.4
114,2021-05-03,13.26,13.55,13.19,13.5
113,2021-04-30,13.395,13.52,13.26,13.3
112,2021-04-29,13.55,13.66,13.23,13.36
111,2021-04-28,13.33,13.52,13.28,13.46
110,2021-04-27,13.52,13.59,13.19,13.28
109,2021-04-26,13.4,13.68,13.39,13.55
108,2021-04-23,13.38,13.455,13.215,13.36
107,2021-04-22,13.31,13.6,13.289,13.36
106,2021-04-21,13.0451,13.31,12.99,13.3
105,2021-04-20,13.16,13.21,12.97,13.11
104,2021-04-19,13.4,13.53,13.22,13.25
103,2021-04-16,13.39,13.47,13.13,13.4
102,2021-04-15,13.22,13.43,13.1529,13.28
101,2021-04-14,13.02,13.36,13.01,13.21
100,2021-04-13,13.24,13.295,12.94,12.97
99,2021-04-12,13.43,13.44,13.2,13.26
98,2021-04-09,13.3,13.405,13.21,13.395
97,2021-04-08,13.41,13.49,13.11,13.29
96,2021-04-07,13.87,13.88,13.36,13.39
95,2021-04-06,13.95,14.1,13.79,13.83
94,2021-04-05,13.92,14.16,13.86,14.05
93,2021-04-01,13.96,14.08,13.86,13.9
92,2021-03-31,14.095,14.28,13.89,13.97
91,2021-03-30,14.2874,14.32,13.945,14.15
90,2021-03-29,14.2674,14.42,14.17,14.32
89,2021-03-26,14.07,14.44,14.02,14.36
88,2021-03-25,14.15,14.15,13.9232,14.02
87,2021-03-24,14.15,14.22,13.9413,14.01
86,2021-03-23,14.75,14.75,14.115,14.17
85,2021-03-22,14.91,14.935,14.6301,14.79
84,2021-03-19,14.66,14.88,14.5273,14.78
83,2021-03-18,14.97,15.03,14.5,14.59
82,2021-03-17,14.43,15.1,14.42,15.08
81,2021-03-16,14.67,14.73,14.4435,14.53
80,2021-03-15,14.27,14.685,14.23,14.67
79,2021-03-12,14.07,14.385,13.9882,14.36
78,2021-03-11,14.13,14.22,13.92,14.1
77,2021-03-10,14.05,14.23,13.83,14.06
76,2021-03-09,13.93,14.215,13.71,13.91
75,2021-03-08,13.76,14.05,13.68,13.83
74,2021-03-05,13.69,13.99,13.36,13.91
73,2021-03-04,13.6707,13.8,13.31,13.59
72,2021-03-03,14.17,14.24,13.5308,13.88
71,2021-03-02,14.55,14.7,14.135,14.29
70,2021-03-01,15.049,15.3,14.615,14.72
69,2021-02-26,14.93,15.0,14.56,14.85
68,2021-02-25,15.29,15.38,14.855,15.05
67,2021-02-24,15.33,15.47,14.94,15.3
66,2021-02-23,15.74,15.77,14.93,15.22
65,2021-02-22,16.547,16.8,15.49,15.5
64,2021-02-19,18.22,18.48,18.16,18.21
63,2021-02-18,18.61,18.68,18.25,18.27
62,2021-02-17,18.2804,18.545,18.17,18.52
61,2021-02-16,18.35,18.39,18.09,18.335
60,2021-02-12,18.1,18.4,18.03,18.24
59,2021-02-11,18.22,18.44,18.07,18.24
58,2021-02-10,18.53,18.67,18.21,18.39
57,2021-02-09,17.85,18.55,17.84,18.47
56,2021-02-08,17.99,18.04,17.715,18.0
55,2021-02-05,18.02,18.075,17.64,17.895
54,2021-02-04,18.11,18.28,17.71,18.0
53,2021-02-03,17.3,18.38,17.3,18.09
52,2021-02-02,17.57,17.75,17.36,17.38
51,2021-02-01,17.15,17.58,17.03,17.445
50,2021-01-29,17.25,17.58,16.9,16.99
49,2021-01-28,16.9,17.445,16.84,17.19
48,2021-01-27,17.0,17.17,16.61,16.86
47,2021-01-26,17.2,17.36,17.08,17.09
46,2021-01-25,17.26,17.4,17.125,17.23
45,2021-01-22,17.244,17.52,17.1,17.43
44,2021-01-21,17.36,17.62,16.8,17.31
43,2021-01-20,17.45,17.71,17.31,17.69
42,2021-01-19,17.26,17.56,17.08,17.44
41,2021-01-15,17.11,17.2,16.7318,17.05
40,2021-01-14,18.3373,18.355,16.75,17.31
39,2021-01-13,18.27,18.71,18.2,18.4
38,2021-01-12,18.45,18.67,18.2,18.24
37,2021-01-11,18.2,18.66,18.12,18.47
36,2021-01-08,18.42,18.6,18.03,18.3
35,2021-01-07,18.52,18.69,18.36,18.52
34,2021-01-06,18.17,18.675,18.1,18.49
33,2021-01-05,18.49,18.605,17.81,18.1
32,2021-01-04,18.66,18.77,18.21,18.54
31,2020-12-31,18.22,18.86,18.03,18.74
30,2020-12-30,17.61,18.18,17.58,18.13
29,2020-12-29,17.6607,17.8,17.52,17.75
28,2020-12-28,17.8561,17.88,17.62,17.74
27,2020-12-24,17.8,17.92,17.67,17.77
26,2020-12-23,17.7467,18.04,17.66,17.88
25,2020-12-22,17.43,17.84,17.27,17.74
24,2020-12-21,17.4,17.55,17.25,17.39
23,2020-12-18,17.7,17.8,17.515,17.75
22,2020-12-17,17.75,17.89,17.55,17.72
21,2020-12-16,17.62,18.27,17.56,17.86
20,2020-12-15,17.4,17.87,17.2,17.73
19,2020-12-14,17.34,17.53,17.08,17.33
18,2020-12-11,17.5,17.75,17.08,17.34
17,2020-12-10,17.32,17.85,17.3,17.69
16,2020-12-09,17.85,17.975,17.5,17.52
15,2020-12-08,17.41,17.93,17.405,17.84
14,2020-12-07,17.61,18.0,17.52,17.57
13,2020-12-04,17.33,17.7,17.25,17.6
12,2020-12-03,17.1358,17.47,16.94,17.37
11,2020-12-02,16.9342,17.27,16.84,17.125
10,2020-12-01,16.88,17.15,16.74,17.01
9,2020-11-30,17.03,17.16,16.8,16.82
8,2020-11-27,17.1,17.37,16.9,17.05
7,2020-11-25,16.68,17.31,16.55,17.07
6,2020-11-24,16.735,17.0,16.29,16.9
5,2020-11-23,17.2355,17.25,16.5,16.77
4,2020-11-20,18.4,18.42,17.0,17.13
3,2020-11-19,16.0,18.2,15.99,18.11
2,2020-11-18,16.46,16.99,15.95,16.19
1,2020-11-17,15.39,17.93,15.3,16.34
0,2020-11-16,15.64,16.15,15.34,15.86
