,Date,Open,High,Low,Close
324,2021-12-31,14.1,14.1,14.1,14.1
323,2021-12-30,13.9,14.64,13.38,14.1
322,2021-12-29,13.27,13.79,12.8536,13.68
321,2021-12-28,13.63,13.65,13.03,13.65
320,2021-12-27,12.71,13.57,12.71,13.57
319,2021-12-23,13.38,13.59,12.64,13.33
318,2021-12-22,12.2644,13.4,12.2644,13.34
317,2021-12-21,12.2,13.7,12.2,13.3
316,2021-12-20,12.86,13.55,12.58,13.3
315,2021-12-17,12.96,13.23,12.74,13.0
314,2021-12-16,12.44,13.18,11.94,13.0
313,2021-12-15,11.99,12.0,11.76,12.0
312,2021-12-14,11.62,12.89,11.528,12.0
311,2021-12-13,11.34,12.0,11.335,12.0
310,2021-12-10,11.3,11.9865,11.3,11.49
309,2021-12-09,12.38,12.38,11.8,11.87
308,2021-12-08,12.49,12.49,12.0,12.49
307,2021-12-07,12.75,12.75,12.38,12.51
306,2021-12-06,13.055,13.84,12.6,13.0
305,2021-12-03,13.8,13.8,13.8,13.8
304,2021-12-02,13.8,13.8,13.8,13.8
303,2021-12-01,14.21,14.86,13.6,13.8
302,2021-11-30,12.73,14.02,12.41,14.02
301,2021-11-29,13.32,13.865,12.44,13.0701
300,2021-11-26,13.1,13.1,13.08,13.08
299,2021-11-24,12.62,13.49,12.5,13.49
298,2021-11-23,13.06,13.3,12.26,12.27
297,2021-11-22,13.3,14.0,13.04,13.32
296,2021-11-19,13.08,14.02,12.882,13.64
295,2021-11-18,13.1,13.95,13.1,13.53
294,2021-11-17,13.7616,14.37,13.62,13.75
293,2021-11-16,14.75,14.8,13.63,13.93
292,2021-11-15,14.05,15.3568,14.0049,14.94
291,2021-11-12,13.98,14.454,13.1193,13.72
290,2021-11-11,13.43,14.0,13.418,14.0
289,2021-11-10,13.89,14.0,13.83,14.0
288,2021-11-09,13.85,13.9,13.7,13.9
287,2021-11-08,13.84,13.86,12.83,13.495
286,2021-11-05,13.8,14.9,13.31,13.99
285,2021-11-04,14.04,14.04,12.5455,14.0
284,2021-11-03,12.75,14.03,12.75,12.9115
283,2021-11-02,12.81,12.81,12.81,12.81
282,2021-11-01,13.16,13.34,12.95,12.97
281,2021-10-29,13.5,14.42,12.55,13.3
280,2021-10-28,14.43,14.43,13.6,13.6
279,2021-10-27,14.46,14.46,13.7,13.97
278,2021-10-26,14.0,14.46,13.81,14.2
277,2021-10-25,13.98,14.49,13.98,14.245
276,2021-10-22,14.51,14.6,14.11,14.2
275,2021-10-21,15.01,15.75,14.75,14.75
274,2021-10-20,15.9,17.24,15.19,15.32
273,2021-10-19,15.61,15.98,14.53,15.93
272,2021-10-18,16.0,16.01,15.41,15.9973
271,2021-10-15,15.3,15.8,14.72,15.7175
270,2021-10-14,15.5,15.95,15.41,15.41
269,2021-10-13,15.75,16.42,15.5,15.51
268,2021-10-12,15.8,15.8747,15.21,15.8747
267,2021-10-11,16.0,16.0,16.0,16.0
266,2021-10-08,15.56,15.56,15.56,15.56
265,2021-10-07,15.47,15.6,15.47,15.6
264,2021-10-06,15.31,15.31,15.31,15.31
263,2021-10-05,15.47,15.47,15.35,15.35
262,2021-10-04,15.83,16.0,14.01,15.8
261,2021-10-01,15.92,17.0,15.4,15.91
260,2021-09-30,15.97,16.0,15.81,16.0
259,2021-09-29,16.16,16.18,15.51,15.92
258,2021-09-28,16.46,16.73,15.51,15.99
257,2021-09-27,16.55,16.67,14.97,16.01
256,2021-09-24,16.44,16.5879,15.95,16.5879
255,2021-09-23,16.03,16.39,15.375,16.17
254,2021-09-22,15.88,16.75,15.14,16.2
253,2021-09-21,15.96,16.75,15.2,15.99
252,2021-09-20,16.05,17.58,15.229,15.73
251,2021-09-17,16.82,16.98,16.0,16.0
250,2021-09-16,16.66,17.56,16.0,16.06
249,2021-09-15,16.37,17.0,15.95,16.8
248,2021-09-14,16.66,16.66,15.15,16.2
247,2021-09-13,16.1895,16.9,16.1895,16.77
246,2021-09-10,17.0,17.0,16.848,16.95
245,2021-09-09,17.0,17.0,16.78,16.8094
244,2021-09-08,17.0,17.0,17.0,17.0
243,2021-09-07,17.0,17.0,17.0,17.0
242,2021-09-03,16.63,17.01,16.11,17.0
241,2021-09-02,17.0,17.0,17.0,17.0
240,2021-09-01,16.1201,17.0,16.1201,17.0
