,Date,Open,High,Low,Close
5578,2021-12-31,50.87,51.52,50.785,51.12
5577,2021-12-30,50.63,51.685,50.62,51.36
5576,2021-12-29,50.33,50.97,49.57,50.67
5575,2021-12-28,49.82,50.24,49.54,50.12
5574,2021-12-27,49.05,49.89,48.56,49.87
5573,2021-12-23,49.25,49.45,48.99,49.2
5572,2021-12-22,49.33,49.55,48.9,49.08
5571,2021-12-21,48.59,49.65,48.59,49.22
5570,2021-12-20,48.28,48.59,47.5,48.11
5569,2021-12-17,49.3,49.95,48.6,49.5
5568,2021-12-16,49.02,49.82,48.69,49.14
5567,2021-12-15,48.0,49.18,47.8,48.88
5566,2021-12-14,48.55,48.88,47.54,47.72
5565,2021-12-13,48.31,48.56,47.95,48.35
5564,2021-12-10,50.2,50.2,48.17,48.37
5563,2021-12-09,50.13,50.36,49.55,49.75
5562,2021-12-08,49.27,50.82,49.19,50.5
5561,2021-12-07,48.99,49.87,48.79,49.42
5560,2021-12-06,47.76,49.32,47.6704,48.63
5559,2021-12-03,47.0,47.425,46.515,47.16
5558,2021-12-02,46.07,47.5038,46.02,47.0
5557,2021-12-01,47.72,48.61,45.44,45.69
5556,2021-11-30,48.78,48.845,46.91,46.92
5555,2021-11-29,49.7,49.75,49.05,49.12
5554,2021-11-26,49.88,50.293,48.87,49.5
5553,2021-11-24,50.89,51.9,50.83,51.33
5552,2021-11-23,50.57,51.56,49.9568,51.04
5551,2021-11-22,50.06,50.98,49.62,50.31
5550,2021-11-19,53.27,53.56,50.87,51.35
5549,2021-11-18,54.16,54.16,52.98,53.29
5548,2021-11-17,53.56,54.01,52.73,53.98
5547,2021-11-16,54.46,54.46,53.54,53.98
5546,2021-11-15,54.56,54.56,53.6,54.37
5545,2021-11-12,54.94,55.15,54.45,54.56
5544,2021-11-11,54.76,54.95,53.87,54.87
5543,2021-11-10,52.64,55.05,52.615,54.75
5542,2021-11-09,52.39,53.29,51.83,52.82
5541,2021-11-08,53.68,53.68,52.15,52.5
5540,2021-11-05,54.23,54.95,52.23,53.98
5539,2021-11-04,54.98,54.98,52.52,52.79
5538,2021-11-03,54.38,55.09,54.14,54.85
5537,2021-11-02,55.29,55.31,53.75,54.54
5536,2021-11-01,53.25,55.17,53.05,55.04
5535,2021-10-29,55.32,55.43,53.3,53.37
5534,2021-10-28,54.83,55.58,54.62,55.52
5533,2021-10-27,54.61,55.25,54.21,54.92
5532,2021-10-26,54.76,54.85,54.18,54.43
5531,2021-10-25,55.06,55.06,54.235,54.52
5530,2021-10-22,56.03,56.45,54.98,55.05
5529,2021-10-21,56.95,57.0,55.94,56.18
5528,2021-10-20,55.9,56.94,55.32,56.9
5527,2021-10-19,55.94,56.19,55.47,55.9
5526,2021-10-18,55.62,55.92,55.32,55.73
5525,2021-10-15,56.37,56.56,55.77,55.97
5524,2021-10-14,55.57,56.36,55.36,55.93
5523,2021-10-13,54.69,55.14,54.245,55.1
5522,2021-10-12,54.5,55.54,54.37,54.9
5521,2021-10-11,54.49,54.86,54.06,54.63
5520,2021-10-08,54.63,55.04,54.5,54.58
5519,2021-10-07,54.54,55.27,54.435,54.71
5518,2021-10-06,53.74,54.52,52.78,54.46
5517,2021-10-05,56.15,56.29,53.88,54.2
5516,2021-10-04,55.98,56.65,55.895,56.29
5515,2021-10-01,55.64,56.4,54.99,56.08
5514,2021-09-30,56.12,56.12,55.01,55.21
5513,2021-09-29,55.45,56.42,55.385,56.41
5512,2021-09-28,55.36,55.83,54.92,55.36
5511,2021-09-27,55.63,56.695,55.41,55.62
5510,2021-09-24,56.22,56.63,55.01,55.38
5509,2021-09-23,56.75,57.15,56.45,56.48
5508,2021-09-22,56.84,57.06,56.08,56.21
5507,2021-09-21,56.82,57.6,56.35,56.36
5506,2021-09-20,56.41,57.69,55.7,56.5
5505,2021-09-17,57.56,57.78,56.95,57.1
5504,2021-09-16,57.06,58.3,56.98,57.68
5503,2021-09-15,57.33,57.85,57.095,57.12
5502,2021-09-14,58.04,58.18,56.78,57.39
5501,2021-09-13,56.72,58.21,56.47,57.65
5500,2021-09-10,56.26,56.61,55.6,56.19
5499,2021-09-09,56.07,57.06,55.83,56.2
5498,2021-09-08,55.51,56.56,55.23,56.31
5497,2021-09-07,57.21,57.21,55.03,55.81
5496,2021-09-03,56.5,56.5,55.77,56.31
5495,2021-09-02,56.79,56.86,56.14,56.68
5494,2021-09-01,56.28,57.09,56.035,56.54
5493,2021-08-31,55.23,56.07,55.05,55.94
5492,2021-08-30,55.21,55.59,54.8,55.43
5491,2021-08-27,54.8,56.04,54.65,55.29
5490,2021-08-26,55.43,55.475,54.5,54.54
5489,2021-08-25,54.49,55.75,54.13,55.13
5488,2021-08-24,54.24,54.69,53.77,54.53
5487,2021-08-23,54.76,55.04,53.88,54.23
5486,2021-08-20,54.35,55.05,53.57,54.59
5485,2021-08-19,55.02,55.48,53.93,54.57
5484,2021-08-18,56.05,56.1,55.05,55.32
5483,2021-08-17,56.16,56.41,55.2,56.22
5482,2021-08-16,56.79,57.28,56.1638,56.56
5481,2021-08-13,56.84,57.13,56.29,57.09
5480,2021-08-12,56.95,57.18,56.223,56.56
5479,2021-08-11,57.24,57.42,56.52,56.91
5478,2021-08-10,57.33,57.74,56.79,56.83
5477,2021-08-09,58.0,58.19,57.01,57.42
5476,2021-08-06,59.5,60.7799,58.01,58.3
5475,2021-08-05,59.13,60.0,58.59,59.98
5474,2021-08-04,59.46,59.63,58.55,58.72
5473,2021-08-03,59.43,59.57,58.62,59.48
5472,2021-08-02,60.02,61.02,59.2,59.28
5471,2021-07-30,59.81,60.95,59.61,59.78
5470,2021-07-29,59.66,60.59,59.58,59.64
5469,2021-07-28,60.29,60.36,59.27,59.54
5468,2021-07-27,59.67,60.4,59.13,60.04
5467,2021-07-26,59.77,60.27,59.18,59.75
5466,2021-07-23,60.42,60.76,59.68,59.85
5465,2021-07-22,60.15,60.15,59.29,60.13
5464,2021-07-21,60.4,61.09,60.27,60.4
5463,2021-07-20,57.87,60.38,57.81,60.08
5462,2021-07-19,58.87,58.99,56.99,57.55
5461,2021-07-16,59.59,59.94,59.46,59.62
5460,2021-07-15,59.45,59.7,58.92,59.31
5459,2021-07-14,58.75,59.785,58.63,59.67
5458,2021-07-13,59.24,59.595,58.78,58.95
5457,2021-07-12,58.47,59.61,58.26,59.45
5456,2021-07-09,58.06,58.67,57.53,58.64
5455,2021-07-08,57.13,58.1,56.8,57.57
5454,2021-07-07,57.33,57.76,57.1,57.55
5453,2021-07-06,57.31,57.855,56.12,57.74
5452,2021-07-02,57.44,57.7,56.54,57.27
5451,2021-07-01,56.76,57.85,56.43,57.21
5450,2021-06-30,57.63,58.095,56.88,57.1
5449,2021-06-29,58.02,58.17,57.26,57.87
5448,2021-06-28,57.25,58.17,56.48,58.01
5447,2021-06-25,57.89,58.345,57.64,58.31
5446,2021-06-24,59.13,59.16,57.65,57.96
5445,2021-06-23,58.54,59.52,58.23,59.24
5444,2021-06-22,57.67,58.94,57.55,58.54
5443,2021-06-21,57.0,57.82,56.68,57.62
5442,2021-06-18,57.53,58.12,56.54,56.57
5441,2021-06-17,57.62,58.04,57.07,57.81
5440,2021-06-16,58.46,59.03,57.695,57.77
5439,2021-06-15,59.65,59.75,58.37,58.44
5438,2021-06-14,58.33,58.96,58.21,58.96
5437,2021-06-11,58.09,58.27,57.45,58.09
5436,2021-06-10,57.95,57.98,57.13,57.69
5435,2021-06-09,57.57,58.38,57.34,57.7
5434,2021-06-08,57.16,57.445,56.95,57.36
5433,2021-06-07,56.89,57.635,56.65,57.14
5432,2021-06-04,57.06,57.06,55.85,56.76
5431,2021-06-03,58.3,58.3,56.73,56.89
5430,2021-06-02,57.31,58.43,56.97,58.3
5429,2021-06-01,55.77,57.19,55.53,57.1
5428,2021-05-28,55.74,55.7843,54.875,55.45
5427,2021-05-27,55.91,56.01,55.15,55.15
5426,2021-05-26,55.62,56.31,55.04,55.63
5425,2021-05-25,55.08,55.59,54.81,55.4
5424,2021-05-24,54.63,55.42,54.47,55.17
5423,2021-05-21,54.38,54.74,53.94,54.15
5422,2021-05-20,54.03,54.6,53.74,54.37
5421,2021-05-19,53.46,54.15,52.69,54.13
5420,2021-05-18,54.03,54.97,53.64,54.02
5419,2021-05-17,54.49,55.03,54.04,54.27
5418,2021-05-14,53.71,54.77,53.71,54.64
5417,2021-05-13,52.52,54.23,52.5,53.63
5416,2021-05-12,53.65,53.82,52.04,52.18
5415,2021-05-11,54.41,54.41,52.89,53.61
5414,2021-05-10,54.97,56.59,54.66,54.93
5413,2021-05-07,53.26,55.2,53.26,54.77
5412,2021-05-06,53.68,54.17,53.22,54.01
5411,2021-05-05,55.13,55.14,52.91,53.31
5410,2021-05-04,56.0,56.41,54.97,55.36
5409,2021-05-03,55.68,56.47,55.36,55.94
5408,2021-04-30,55.57,55.84,55.28,55.46
5407,2021-04-29,55.75,56.72,55.45,55.8
5406,2021-04-28,55.65,56.08,55.11,55.26
5405,2021-04-27,55.67,56.065,55.37,55.65
5404,2021-04-26,55.2,56.09,55.09,55.61
5403,2021-04-23,55.33,55.33,54.45,54.77
5402,2021-04-22,55.95,56.24,55.26,55.29
5401,2021-04-21,55.51,55.95,55.06,55.71
5400,2021-04-20,54.57,55.6,54.57,55.48
5399,2021-04-19,55.37,55.42,54.68,54.8
5398,2021-04-16,55.96,56.18,55.39,55.41
5397,2021-04-15,54.83,55.73,54.51,55.64
5396,2021-04-14,55.32,55.69,54.52,54.54
5395,2021-04-13,55.17,55.5,54.8,55.2
5394,2021-04-12,54.86,55.13,54.1,55.09
5393,2021-04-09,54.99,55.34,54.41,54.74
5392,2021-04-08,54.84,55.18,54.24,54.91
5391,2021-04-07,54.78,54.91,53.94,54.5
5390,2021-04-06,53.69,54.73,53.52,54.56
5389,2021-04-05,54.75,54.93,53.01,53.69
5388,2021-04-01,53.34,54.69,53.05,54.4
5387,2021-03-31,54.05,54.27,53.28,53.34
5386,2021-03-30,54.02,55.52,54.02,54.72
5385,2021-03-29,54.53,54.68,53.25,54.15
5384,2021-03-26,53.94,54.93,53.43,54.87
5383,2021-03-25,53.49,53.81,51.97,53.58
5382,2021-03-24,53.68,54.95,53.41,53.62
5381,2021-03-23,53.61,54.2,53.24,53.76
5380,2021-03-22,54.48,54.61,53.26,53.81
5379,2021-03-19,54.87,56.02,54.245,54.48
5378,2021-03-18,56.7,56.92,54.9,55.04
5377,2021-03-17,56.02,57.16,55.78,57.14
5376,2021-03-16,56.74,56.76,55.012,55.89
5375,2021-03-15,56.62,57.11,55.99,56.74
5374,2021-03-12,56.36,56.9899,55.925,56.55
5373,2021-03-11,56.95,58.1,56.18,56.23
5372,2021-03-10,56.41,57.81,55.84,57.17
5371,2021-03-09,56.88,57.73,56.2,56.49
5370,2021-03-08,55.41,57.3,55.04,56.83
5369,2021-03-05,53.8,55.46,52.93,55.14
5368,2021-03-04,53.4,54.54,52.63,53.42
5367,2021-03-03,53.27,53.6979,52.47,53.19
5366,2021-03-02,52.4,53.265,51.95,53.01
5365,2021-03-01,53.79,54.46,52.73,52.75
5364,2021-02-26,54.26,54.86,52.9,52.9
