,Date,Open,High,Low,Close
1449,2021-12-31,7.04,7.1885,6.87,7.0
1448,2021-12-30,7.06,7.2192,6.92,7.03
1447,2021-12-29,7.11,7.11,6.86,7.06
1446,2021-12-28,7.29,7.29,6.8609,7.09
1445,2021-12-27,7.31,7.4,7.02,7.19
1444,2021-12-23,7.27,7.53,7.105,7.27
1443,2021-12-22,7.45,7.46,6.95,7.18
1442,2021-12-21,7.0,7.59,7.0,7.44
1441,2021-12-20,6.89,7.0,6.5159,6.98
1440,2021-12-17,7.25,7.39,6.81,6.96
1439,2021-12-16,6.66,7.3499,6.28,7.2
1438,2021-12-15,6.22,6.64,6.0,6.52
1437,2021-12-14,6.22,6.42,6.08,6.14
1436,2021-12-13,6.62,6.65,6.21,6.25
1435,2021-12-10,6.7,6.8,6.48,6.62
1434,2021-12-09,6.7,6.85,6.33,6.51
1433,2021-12-08,6.345,6.82,6.33,6.78
1432,2021-12-07,6.34,6.6,6.33,6.38
1431,2021-12-06,6.21,6.3999,5.69,6.31
1430,2021-12-03,6.4,6.48,6.0501,6.16
1429,2021-12-02,6.36,6.43,6.1601,6.39
1428,2021-12-01,6.55,6.71,6.13,6.15
1427,2021-11-30,6.4,6.88,6.15,6.47
1426,2021-11-29,6.9,6.9,6.41,6.43
1425,2021-11-26,6.57,6.97,6.44,6.92
1424,2021-11-24,6.75,6.9999,6.31,6.73
1423,2021-11-23,7.09,7.18,6.64,6.79
1422,2021-11-22,7.63,7.65,6.81,7.11
1421,2021-11-19,7.79,7.79,7.35,7.4
1420,2021-11-18,7.58,7.94,7.4595,7.86
1419,2021-11-17,7.66,7.7799,7.435,7.54
1418,2021-11-16,8.08,8.6,7.5,7.64
1417,2021-11-15,8.42,8.43,8.02,8.36
1416,2021-11-12,8.04,8.47,8.04,8.29
1415,2021-11-11,7.82,8.135,7.78,8.08
1414,2021-11-10,7.96,8.05,7.6,7.83
1413,2021-11-09,7.94,8.32,7.75,8.07
1412,2021-11-08,8.56,8.6999,7.81,7.86
1411,2021-11-05,8.15,8.56,8.1486,8.5
1410,2021-11-04,8.0,8.1999,7.97,8.03
1409,2021-11-03,8.225,8.225,7.95,8.06
1408,2021-11-02,8.19,8.19,7.865,8.16
1407,2021-11-01,7.88,8.29,7.73,8.19
1406,2021-10-29,8.0,8.2,7.8,7.88
1405,2021-10-28,7.79,8.05,7.72,8.04
1404,2021-10-27,7.3,8.14,7.3,7.68
1403,2021-10-26,8.27,8.2758,7.27,7.29
1402,2021-10-25,8.65,8.9,8.27,8.3
1401,2021-10-22,8.84,8.9199,8.6,8.65
1400,2021-10-21,8.45,9.1,8.45,8.92
1399,2021-10-20,9.05,9.1897,8.33,8.43
1398,2021-10-19,9.04,9.25,8.9,9.12
1397,2021-10-18,9.58,9.8638,8.84,9.13
1396,2021-10-15,9.35,10.0999,9.31,9.58
1395,2021-10-14,11.38,11.61,9.06,9.155
1394,2021-10-13,12.08,12.182,10.91,11.25
1393,2021-10-12,11.46,12.19,11.39,12.18
1392,2021-10-11,10.76,11.6099,10.68,11.38
1391,2021-10-08,11.23,11.24,10.41,10.67
1390,2021-10-07,10.57,11.2,10.5695,11.14
1389,2021-10-06,10.52,10.6556,10.32,10.51
1388,2021-10-05,10.16,10.86,10.091,10.55
1387,2021-10-04,10.18,10.33,9.715,10.01
1386,2021-10-01,10.07,10.38,9.78,10.18
1385,2021-09-30,10.27,10.4,10.0,10.14
1384,2021-09-29,9.99,10.3799,9.6453,10.17
1383,2021-09-28,10.33,10.34,9.61,9.9
1382,2021-09-27,10.33,10.4953,10.1,10.33
1381,2021-09-24,10.38,10.5,10.072,10.3
1380,2021-09-23,10.01,10.6,9.9801,10.47
1379,2021-09-22,9.62,10.0,9.3401,9.98
1378,2021-09-21,9.32,10.22,9.21,9.43
1377,2021-09-20,8.65,9.57,8.29,9.31
