,Date,Open,High,Low,Close
1618,2021-12-31,0.9853,1.02,0.9602,0.995
1617,2021-12-30,0.95,1.01,0.9318,1.0
1616,2021-12-29,0.95,0.98,0.9,0.9506
1615,2021-12-28,1.02,1.02,0.9465,0.9475
1614,2021-12-27,1.08,1.08,1.0,1.02
1613,2021-12-23,1.08,1.1,1.06,1.08
1612,2021-12-22,1.07,1.11,1.07,1.09
1611,2021-12-21,1.11,1.13,1.09,1.09
1610,2021-12-20,1.08,1.12,1.07,1.07
1609,2021-12-17,1.1,1.15,1.07,1.07
1608,2021-12-16,1.15,1.1698,1.11,1.11
1607,2021-12-15,1.07,1.17,1.06,1.12
1606,2021-12-14,1.12,1.12,1.05,1.06
1605,2021-12-13,1.16,1.16,1.1,1.11
1604,2021-12-10,1.22,1.25,1.14,1.14
1603,2021-12-09,1.18,1.265,1.18,1.21
1602,2021-12-08,1.16,1.21,1.14,1.19
1601,2021-12-07,1.14,1.185,1.14,1.15
1600,2021-12-06,1.13,1.18,1.11,1.13
1599,2021-12-03,1.21,1.25,1.13,1.14
1598,2021-12-02,1.23,1.24,1.2002,1.23
1597,2021-12-01,1.25,1.28,1.22,1.25
1596,2021-11-30,1.28,1.29,1.215,1.24
1595,2021-11-29,1.34,1.34,1.29,1.29
1594,2021-11-26,1.29,1.36,1.29,1.34
1593,2021-11-24,1.33,1.38,1.305,1.37
1592,2021-11-23,1.34,1.35,1.29,1.33
1591,2021-11-22,1.44,1.44,1.34,1.36
1590,2021-11-19,1.47,1.48,1.41,1.42
1589,2021-11-18,1.53,1.53,1.47,1.47
1588,2021-11-17,1.53,1.56,1.49,1.56
1587,2021-11-16,1.51,1.56,1.49,1.56
1586,2021-11-15,1.54,1.56,1.5,1.55
1585,2021-11-12,1.49,1.54,1.46,1.54
1584,2021-11-11,1.51,1.5193,1.46,1.5
1583,2021-11-10,1.44,1.51,1.44,1.51
1582,2021-11-09,1.43,1.51,1.4,1.5
1581,2021-11-08,1.43,1.52,1.41,1.5
1580,2021-11-05,1.45,1.47,1.4,1.43
1579,2021-11-04,1.51,1.59,1.43,1.45
1578,2021-11-03,1.43,1.54,1.42,1.51
1577,2021-11-02,1.42,1.49,1.4,1.45
1576,2021-11-01,1.42,1.44,1.41,1.43
1575,2021-10-29,1.41,1.43,1.39,1.43
1574,2021-10-28,1.39,1.42,1.37,1.41
1573,2021-10-27,1.41,1.42,1.38,1.39
1572,2021-10-26,1.4368,1.45,1.41,1.42
1571,2021-10-25,1.43,1.44,1.4,1.43
1570,2021-10-22,1.42,1.43,1.39,1.4
1569,2021-10-21,1.46,1.4788,1.405,1.44
1568,2021-10-20,1.47,1.4799,1.46,1.47
1567,2021-10-19,1.44,1.48,1.42,1.47
1566,2021-10-18,1.47,1.47,1.41,1.44
1565,2021-10-15,1.51,1.51,1.46,1.47
1564,2021-10-14,1.5,1.51,1.47,1.5
1563,2021-10-13,1.5,1.52,1.46,1.52
1562,2021-10-12,1.59,1.59,1.5,1.51
1561,2021-10-11,1.6,1.6,1.58,1.59
1560,2021-10-08,1.57,1.61,1.54,1.61
1559,2021-10-07,1.57,1.59,1.54,1.56
1558,2021-10-06,1.54,1.59,1.52,1.57
1557,2021-10-05,1.67,1.68,1.54,1.57
