,Date,Open,High,Low,Close
2958,2021-12-31,8.63,9.01,8.58,8.67
2957,2021-12-30,8.27,9.27,8.266,8.73
2956,2021-12-29,8.5785,8.5785,8.12,8.35
2955,2021-12-28,9.34,9.3444,8.48,8.6
2954,2021-12-27,9.195,10.2,8.94,9.3
2953,2021-12-23,9.24,9.46,9.07,9.26
2952,2021-12-22,9.19,9.44,9.0201,9.24
2951,2021-12-21,9.05,9.42,8.97,9.26
2950,2021-12-20,8.8627,8.97,8.56,8.69
2949,2021-12-17,8.9056,9.61,8.76,9.29
2948,2021-12-16,9.5265,9.67,8.91,9.05
2947,2021-12-15,9.11,9.475,8.65,9.4
2946,2021-12-14,9.04,9.3778,8.9,9.1
2945,2021-12-13,9.62,9.81,9.08,9.24
2944,2021-12-10,10.0,10.24,9.44,9.56
2943,2021-12-09,10.29,10.6,9.81,9.84
2942,2021-12-08,10.26,10.62,9.89,10.39
2941,2021-12-07,10.0,10.6299,9.75,10.22
2940,2021-12-06,9.31,9.75,8.83,9.69
2939,2021-12-03,10.45,10.45,9.18,9.49
2938,2021-12-02,10.0,10.66,9.83,10.41
2937,2021-12-01,11.1,11.44,10.145,10.19
2936,2021-11-30,11.0717,11.3,10.35,10.77
2935,2021-11-29,11.56,11.77,10.98,11.22
2934,2021-11-26,11.6225,12.04,11.3246,11.35
2933,2021-11-24,11.87,12.38,11.44,12.14
2932,2021-11-23,11.962,12.53,11.74,12.0
2931,2021-11-22,13.3186,13.3186,11.74,12.11
2930,2021-11-19,13.3,13.95,12.86,13.04
2929,2021-11-18,14.83,14.96,13.0,13.38
2928,2021-11-17,15.86,16.2,14.61,14.69
2927,2021-11-16,14.55,15.69,14.1,15.69
2926,2021-11-15,15.41,15.95,14.06,14.61
2925,2021-11-12,12.87,15.1,12.83,14.87
2924,2021-11-11,12.4,13.04,12.2,12.83
2923,2021-11-10,13.24,13.2899,12.0,12.31
2922,2021-11-09,12.17,14.3,12.17,13.73
2921,2021-11-08,12.5,12.8314,11.99,12.0
2920,2021-11-05,12.99,13.2,11.92,12.12
2919,2021-11-04,12.97,13.74,12.45,12.82
2918,2021-11-03,12.5,13.28,12.24,12.66
2917,2021-11-02,13.2335,13.4299,11.63,12.64
2916,2021-11-01,10.83,14.39,10.82,14.14
2915,2021-10-29,11.56,11.65,10.22,10.69
2914,2021-10-28,9.76,11.54,9.71,11.08
2913,2021-10-27,10.28,10.31,9.75,9.76
2912,2021-10-26,10.67,10.97,10.22,10.25
2911,2021-10-25,10.23,10.76,10.2,10.61
2910,2021-10-22,10.79,10.79,10.1301,10.25
2909,2021-10-21,10.62,11.16,10.58,10.88
2908,2021-10-20,10.24,10.79,10.2,10.61
2907,2021-10-19,9.88,10.3288,9.63,10.24
2906,2021-10-18,9.85,9.97,9.65,9.82
2905,2021-10-15,10.09,10.19,9.86,9.92
2904,2021-10-14,10.14,10.26,9.86,10.1
2903,2021-10-13,9.94,10.22,9.84,10.04
2902,2021-10-12,9.86,9.97,9.71,9.88
2901,2021-10-11,9.94,10.11,9.71,9.72
2900,2021-10-08,10.23,10.27,9.82,9.92
2899,2021-10-07,10.14,10.45,10.02,10.13
2898,2021-10-06,9.92,10.2,9.73,9.93
2897,2021-10-05,9.85,10.25,9.8,10.15
2896,2021-10-04,10.4,10.4,9.84,9.89
2895,2021-10-01,10.56,10.7,10.18,10.5
2894,2021-09-30,10.45,10.68,10.3,10.46
2893,2021-09-29,10.99,10.99,10.38,10.41
2892,2021-09-28,11.23,11.28,10.6199,10.64
2891,2021-09-27,11.29,11.54,11.08,11.37
2890,2021-09-24,11.46,11.57,11.18,11.29
2889,2021-09-23,11.5,11.77,11.36,11.57
2888,2021-09-22,11.3,11.59,11.2,11.46
2887,2021-09-21,11.11,11.5,11.05,11.17
2886,2021-09-20,11.25,11.34,10.75,11.03
2885,2021-09-17,12.06,12.109,11.6,11.73
2884,2021-09-16,11.66,11.99,11.325,11.83
2883,2021-09-15,11.4,11.7001,11.13,11.64
2882,2021-09-14,11.82,11.9499,11.2132,11.45
2881,2021-09-13,11.79,12.16,11.31,11.83
2880,2021-09-10,12.15,12.3,11.73,11.77
2879,2021-09-09,11.92,12.23,11.72,12.09
2878,2021-09-08,12.48,12.48,11.805,11.83
2877,2021-09-07,12.75,13.09,12.46,12.47
2876,2021-09-03,12.87,13.05,12.47,12.67
2875,2021-09-02,13.1035,13.29,12.6,12.65
2874,2021-09-01,13.14,13.31,12.85,13.08
2873,2021-08-31,12.63,13.4399,12.59,13.23
2872,2021-08-30,12.74,13.02,12.257,12.52
2871,2021-08-27,12.2,12.74,11.9611,12.6
2870,2021-08-26,12.3345,12.75,11.93,12.15
2869,2021-08-25,12.55,13.0057,12.42,12.49
2868,2021-08-24,12.1,12.66,12.05,12.6
2867,2021-08-23,11.99,12.14,11.79,11.99
2866,2021-08-20,11.41,12.08,11.38,11.72
2865,2021-08-19,11.665,11.96,11.34,11.42
2864,2021-08-18,11.7215,12.326,11.7215,11.84
2863,2021-08-17,11.91,12.135,11.45,11.75
2862,2021-08-16,12.14,12.77,11.75,12.28
2861,2021-08-13,13.27,13.27,12.18,12.22
2860,2021-08-12,13.24,13.5799,13.0601,13.36
2859,2021-08-11,12.73,13.27,12.53,13.23
2858,2021-08-10,11.55,13.07,11.2,12.73
2857,2021-08-09,13.62,14.215,13.22,13.72
2856,2021-08-06,14.22,14.3,13.37,13.54
2855,2021-08-05,13.72,14.48,13.56,14.0
2854,2021-08-04,14.06,14.615,13.6,13.68
2853,2021-08-03,14.82,14.82,13.97,14.18
2852,2021-08-02,14.93,15.15,14.73,14.79
2851,2021-07-30,14.78,15.43,14.5801,14.8
2850,2021-07-29,15.06,15.39,14.69,14.98
2849,2021-07-28,14.48,15.21,14.41,15.01
2848,2021-07-27,14.5,14.57,13.67,14.2
2847,2021-07-26,14.37,14.8566,14.21,14.56
2846,2021-07-23,14.76,14.9,14.17,14.37
2845,2021-07-22,15.61,15.65,14.6601,14.71
2844,2021-07-21,14.9622,15.72,14.9622,15.58
2843,2021-07-20,14.575,15.17,13.8,15.01
2842,2021-07-19,13.7,15.25,13.54,14.5
2841,2021-07-16,14.86,14.98,13.98,14.12
2840,2021-07-15,15.0,15.41,14.25,14.76
2839,2021-07-14,15.8,15.9,14.9,15.07
2838,2021-07-13,16.38,16.57,15.72,15.73
2837,2021-07-12,16.9,17.06,16.03,16.78
2836,2021-07-09,17.42,17.54,16.77,16.88
2835,2021-07-08,16.57,17.41,16.35,17.21
2834,2021-07-07,17.81,19.33,17.28,17.34
2833,2021-07-06,17.82,18.42,17.5,17.92
2832,2021-07-02,18.22,18.45,17.42,17.73
2831,2021-07-01,18.6,19.1,18.04,18.14
2830,2021-06-30,18.54,18.785,17.92,18.35
2829,2021-06-29,18.54,19.28,18.26,18.8
2828,2021-06-28,17.6968,18.8218,17.58,18.34
2827,2021-06-25,17.54,18.21,17.2,17.57
2826,2021-06-24,17.73,18.2,17.23,17.48
2825,2021-06-23,16.62,17.92,16.49,17.58
