,Date,Open,High,Low,Close
5578,2021-12-31,6.12,6.16,6.07,6.12
5577,2021-12-30,6.08,6.18,6.06,6.12
5576,2021-12-29,6.12,6.165,6.07,6.1
5575,2021-12-28,6.16,6.2,6.115,6.12
5574,2021-12-27,6.11,6.17,6.05,6.16
5573,2021-12-23,6.08,6.13,6.03,6.09
5572,2021-12-22,5.95,6.035,5.9,6.03
5571,2021-12-21,5.91,6.07,5.91,5.96
5570,2021-12-20,5.81,5.9,5.7,5.85
5569,2021-12-17,6.15,6.175,5.81,5.92
5568,2021-12-16,6.33,6.38,6.09,6.13
5567,2021-12-15,6.18,6.25,6.05,6.21
5566,2021-12-14,6.17,6.27,6.15,6.16
5565,2021-12-13,6.35,6.36,6.165,6.22
5564,2021-12-10,6.39,6.43,6.275,6.38
5563,2021-12-09,6.35,6.36,6.26,6.32
5562,2021-12-08,6.33,6.43,6.28,6.39
5561,2021-12-07,6.32,6.43,6.28,6.31
5560,2021-12-06,6.17,6.22,6.035,6.21
5559,2021-12-03,6.23,6.27,5.98,6.05
5558,2021-12-02,6.0,6.25,5.95,6.23
5557,2021-12-01,6.28,6.41,5.98,5.99
5556,2021-11-30,6.19,6.28,6.0,6.14
5555,2021-11-29,6.39,6.648,6.195,6.28
5554,2021-11-26,6.3,6.34,6.08,6.23
5553,2021-11-24,6.54,6.58,6.47,6.54
5552,2021-11-23,6.59,6.61,6.465,6.57
5551,2021-11-22,6.56,6.64,6.49,6.55
5550,2021-11-19,6.61,6.66,6.49,6.5
5549,2021-11-18,6.76,6.78,6.63,6.69
5548,2021-11-17,6.81,6.82,6.635,6.72
5547,2021-11-16,6.8,6.88,6.712,6.86
5546,2021-11-15,6.91,6.92,6.82,6.84
5545,2021-11-12,6.78,6.89,6.75,6.86
5544,2021-11-11,6.59,6.79,6.56,6.73
5543,2021-11-10,6.63,6.69,6.55,6.58
5542,2021-11-09,6.73,6.78,6.65,6.68
5541,2021-11-08,6.75,6.81,6.69,6.79
5540,2021-11-05,6.83,6.92,6.69,6.72
5539,2021-11-04,6.74,6.77,6.665,6.75
5538,2021-11-03,6.6,6.73,6.6,6.71
5537,2021-11-02,6.6,6.68,6.48,6.62
5536,2021-11-01,6.47,6.76,6.47,6.56
5535,2021-10-29,6.25,6.53,6.06,6.39
5534,2021-10-28,6.03,6.15,6.02,6.14
5533,2021-10-27,6.115,6.22,5.99,5.99
5532,2021-10-26,6.26,6.38,6.22,6.25
5531,2021-10-25,6.0,6.245,5.97,6.22
5530,2021-10-22,5.92,5.98,5.89,5.97
5529,2021-10-21,5.95,5.99,5.86,5.92
5528,2021-10-20,5.87,5.94,5.82,5.93
5527,2021-10-19,5.85,5.88,5.795,5.87
5526,2021-10-18,5.66,5.82,5.63,5.79
5525,2021-10-15,5.85,5.85,5.71,5.71
5524,2021-10-14,5.48,5.745,5.46,5.72
5523,2021-10-13,5.42,5.45,5.305,5.42
5522,2021-10-12,5.51,5.58,5.34,5.43
5521,2021-10-11,5.59,5.67,5.535,5.54
5520,2021-10-08,5.71,5.71,5.57,5.57
5519,2021-10-07,5.75,5.86,5.71,5.74
5518,2021-10-06,5.68,5.74,5.575,5.71
5517,2021-10-05,5.73,5.78,5.66,5.76
5516,2021-10-04,5.72,5.871,5.655,5.72
5515,2021-10-01,5.69,5.87,5.665,5.79
