,Date,Open,High,Low,Close
4248,2021-12-31,141.8,143.46,140.39,140.39
4247,2021-12-30,140.96,143.71,140.12,141.44
4246,2021-12-29,137.09,140.53,137.09,140.12
4245,2021-12-28,136.39,140.46,136.39,137.11
4244,2021-12-27,137.17,138.31,134.41,136.79
4243,2021-12-23,136.1,138.37,135.915,137.62
4242,2021-12-22,131.38,136.68,131.0452,136.49
4241,2021-12-21,128.23,132.46,128.0,131.44
4240,2021-12-20,125.55,126.65,123.54,126.13
4239,2021-12-17,126.52,129.98,123.99,128.66
4238,2021-12-16,129.17,131.53,126.315,126.87
4237,2021-12-15,125.81,128.39,123.01,127.69
4236,2021-12-14,129.34,133.04,125.76,125.98
4235,2021-12-13,130.9,132.08,128.69,130.36
4234,2021-12-10,133.5,134.47,130.53,131.91
4233,2021-12-09,133.31,135.0,130.7,132.42
4232,2021-12-08,133.64,135.145,132.185,134.48
4231,2021-12-07,132.09,137.16,131.35,132.51
4230,2021-12-06,128.12,132.93,126.39,130.37
4229,2021-12-03,129.85,129.85,124.05,125.44
4228,2021-12-02,124.85,129.67,124.05,129.18
4227,2021-12-01,130.95,132.1,123.58,123.68
4226,2021-11-30,129.09,131.79,125.15,126.42
4225,2021-11-29,133.99,133.99,129.76,130.46
4224,2021-11-26,130.99,132.325,126.8,131.93
4223,2021-11-24,133.04,138.175,132.39,137.11
4222,2021-11-23,133.93,135.11,131.875,134.25
4221,2021-11-22,136.46,137.3234,132.96,133.32
4220,2021-11-19,136.33,137.55,135.42,136.14
4219,2021-11-18,141.8,142.12,137.714,138.12
4218,2021-11-17,142.93,144.36,139.33,141.13
4217,2021-11-16,148.42,149.21,145.14,145.4
4216,2021-11-15,151.21,151.66,148.42,149.46
4215,2021-11-12,150.01,151.11,150.0,150.45
4214,2021-11-11,151.49,153.0536,149.11,150.01
4213,2021-11-10,151.56,155.63,150.52,151.13
4212,2021-11-09,155.32,157.37,149.61,151.9
4211,2021-11-08,156.24,158.36,154.42,156.39
4210,2021-11-05,154.76,158.145,154.52,155.95
4209,2021-11-04,150.7,157.0,150.64,152.02
