,Date,Open,High,Low,Close
5578,2021-12-31,23.32,23.94,23.32,23.94
5577,2021-12-30,22.97,23.61,22.88,23.17
5576,2021-12-29,22.999,23.5254,22.88,23.16
5575,2021-12-28,23.38,23.59,22.87,23.06
5574,2021-12-27,22.74,23.76,22.6001,23.48
5573,2021-12-23,22.8,23.115,22.4051,22.75
5572,2021-12-22,22.46,22.85,22.3356,22.62
5571,2021-12-21,22.175,22.5,21.8968,22.38
5570,2021-12-20,22.19,22.3895,21.85,21.98
5569,2021-12-17,23.1,23.4935,22.11,22.2
5568,2021-12-16,23.57,23.705,23.1,23.3
5567,2021-12-15,23.6,23.84,23.25,23.42
5566,2021-12-14,24.0,24.47,23.51,23.51
5565,2021-12-13,24.46,24.63,24.0,24.09
5564,2021-12-10,24.25,24.59,24.18,24.46
5563,2021-12-09,24.01,24.595,24.0,24.23
5562,2021-12-08,24.23,24.5,24.0,24.07
5561,2021-12-07,24.7,24.7,24.25,24.3
5560,2021-12-06,24.85,24.99,24.21,24.55
5559,2021-12-03,24.99,24.99,24.67,24.8
5558,2021-12-02,24.445,25.0,24.32,24.8
5557,2021-12-01,24.3708,24.6159,24.02,24.32
5556,2021-11-30,24.23,24.4416,24.0001,24.37
5555,2021-11-29,24.75,24.86,24.07,24.23
5554,2021-11-26,24.17,24.52,24.0,24.49
5553,2021-11-24,24.45,24.7,24.395,24.64
5552,2021-11-23,24.02,24.49,24.01,24.42
5551,2021-11-22,24.0,24.5,24.0,24.02
5550,2021-11-19,23.28,23.9803,23.05,23.98
5549,2021-11-18,23.3014,23.495,23.23,23.23
5548,2021-11-17,23.33,23.52,23.25,23.48
5547,2021-11-16,23.57,23.75,23.2929,23.33
5546,2021-11-15,23.22,23.5,23.05,23.5
5545,2021-11-12,23.11,23.34,23.09,23.3
5544,2021-11-11,22.87,23.4,22.8257,23.109
5543,2021-11-10,23.2,23.2,22.38,22.79
5542,2021-11-09,23.4566,23.4566,22.52,22.9
5541,2021-11-08,23.49,23.5,22.82,23.02
5540,2021-11-05,23.32,23.6997,23.1,23.45
5539,2021-11-04,23.6,23.6,23.0,23.3
5538,2021-11-03,23.03,23.7499,23.0001,23.71
5537,2021-11-02,22.61,23.12,22.38,22.78
5536,2021-11-01,22.96,23.07,22.33,22.81
5535,2021-10-29,22.76,23.0,22.595,22.82
5534,2021-10-28,22.8984,22.8984,22.2471,22.8849
5533,2021-10-27,23.06,23.06,22.52,22.66
5532,2021-10-26,23.04,23.5,22.63,23.0
5531,2021-10-25,23.27,23.41,22.86,23.02
5530,2021-10-22,23.48,23.5496,23.24,23.45
5529,2021-10-21,23.39,23.5,23.32,23.36
5528,2021-10-20,23.66,23.66,23.49,23.49
