,Date,Open,High,Low,Close
4595,2021-12-31,32.22,32.22,32.06,32.13
4594,2021-12-30,32.37,32.4631,32.12,32.19
4593,2021-12-29,32.98,33.24,32.91,33.21
4592,2021-12-28,33.32,33.54,33.1506,33.54
4591,2021-12-27,33.18,33.62,32.87,33.42
4590,2021-12-23,33.84,34.06,33.6546,33.9
4589,2021-12-22,33.67,33.93,33.62,33.93
4588,2021-12-21,33.53,33.8498,33.53,33.83
4587,2021-12-20,33.3071,33.34,33.08,33.29
4586,2021-12-17,33.61,33.88,33.61,33.83
4585,2021-12-16,33.74,33.74,32.79,32.79
4584,2021-12-15,33.32,33.44,32.93,33.39
4583,2021-12-14,33.24,33.27,32.66,32.95
4582,2021-12-13,33.09,33.18,32.91,33.05
4581,2021-12-10,33.1401,33.185,33.02,33.05
4580,2021-12-09,33.0751,33.08,32.93,32.97
4579,2021-12-08,33.23,33.44,33.12,33.44
4578,2021-12-07,33.48,33.52,33.24,33.37
4577,2021-12-06,32.68,33.1,32.6404,33.09
4576,2021-12-03,32.37,32.37,31.86,32.18
4575,2021-12-02,31.95,32.43,31.91,32.29
4574,2021-12-01,32.01,32.09,31.49,31.58
4573,2021-11-30,31.81,32.18,31.73,31.98
4572,2021-11-29,32.01,32.34,31.8,32.29
4571,2021-11-26,32.45,32.72,31.99,32.02
4570,2021-11-24,34.27,34.3,34.0,34.09
4569,2021-11-23,34.1,34.24,33.9,34.13
4568,2021-11-22,33.8,34.02,33.63,33.98
4567,2021-11-19,33.44,33.44,32.69,33.07
4566,2021-11-18,34.08,34.38,33.86,34.22
4565,2021-11-17,33.9,33.99,33.73,33.82
4564,2021-11-16,34.05,34.35,33.92,34.35
4563,2021-11-15,33.86,34.18,33.49,33.75
4562,2021-11-12,33.35,33.505,33.32,33.32
4561,2021-11-11,33.02,33.42,33.02,33.37
4560,2021-11-10,33.45,33.455,33.1902,33.4
4559,2021-11-09,33.79,33.79,33.39,33.58
4558,2021-11-08,33.75,34.03,33.74,33.74
4557,2021-11-05,33.97,33.97,33.53,33.79
4556,2021-11-04,34.21,34.3975,34.03,34.38
4555,2021-11-03,33.61,33.86,33.4161,33.85
4554,2021-11-02,34.03,34.24,33.97,34.21
4553,2021-11-01,33.82,33.9,33.73,33.87
4552,2021-10-29,33.54,33.6,33.24,33.58
4551,2021-10-28,33.74,33.855,33.62,33.62
4550,2021-10-27,34.0,34.2204,33.83,33.91
4549,2021-10-26,33.88,34.03,33.73,33.95
4548,2021-10-25,33.02,33.42,32.74,33.15
4547,2021-10-22,32.42,32.61,32.29,32.5
4546,2021-10-21,32.17,32.33,31.695,32.3
4545,2021-10-20,32.0,32.165,31.95,32.13
4544,2021-10-19,31.43,31.61,31.42,31.5
4543,2021-10-18,30.48,31.08,30.365,31.08
4542,2021-10-15,30.06,31.0,30.03,31.0
4541,2021-10-14,29.66,29.77,29.46,29.71
4540,2021-10-13,29.6555,29.665,29.42,29.63
4539,2021-10-12,29.06,29.3192,28.96,29.13
4538,2021-10-11,28.9,29.27,28.63,28.73
4537,2021-10-08,29.11,29.1768,28.913,28.98
4536,2021-10-07,29.28,29.5298,29.13,29.13
4535,2021-10-06,28.72,28.95,28.58,28.65
4534,2021-10-05,28.98,29.12,28.7038,29.1
4533,2021-10-04,29.13,29.13,28.69,29.07
4532,2021-10-01,28.95,29.4,28.87,29.4
4531,2021-09-30,29.28,29.3488,28.9,28.9
4530,2021-09-29,28.58,28.74,28.27,28.74
4529,2021-09-28,28.55,28.73,28.39,28.43
4528,2021-09-27,28.53,28.82,28.53,28.82
4527,2021-09-24,28.31,28.31,27.93,28.07
4526,2021-09-23,28.07,29.0,28.07,29.0
4525,2021-09-22,27.8,27.99,27.51,27.57
4524,2021-09-21,27.55,27.82,27.23,27.52
4523,2021-09-20,27.58,28.06,27.08,27.76
4522,2021-09-17,28.14,28.2683,27.6,27.63
