,Date,Open,High,Low,Close
5578,2021-12-31,74.92,75.98,74.085,74.92
5577,2021-12-30,75.4,76.7,74.62,75.05
5576,2021-12-29,74.69,75.55,74.14,75.55
5575,2021-12-28,71.85,75.97,71.8,75.0
5574,2021-12-27,71.58,73.27,71.49,71.85
5573,2021-12-23,69.2,71.6,69.2,71.15
5572,2021-12-22,67.34,70.37,67.1287,69.37
5571,2021-12-21,66.0,67.36,65.68,66.51
5570,2021-12-20,68.7,68.7,64.83,65.59
5569,2021-12-17,69.75,73.37,66.81,68.41
5568,2021-12-16,69.29,69.55,67.3,67.87
5567,2021-12-15,69.25,69.5599,67.03,69.0
5566,2021-12-14,69.14,71.94,69.11,69.69
5565,2021-12-13,68.46,70.34,67.73,69.46
5564,2021-12-10,69.37,69.6,66.75,68.25
5563,2021-12-09,71.1,72.03,69.31,69.33
5562,2021-12-08,73.54,74.4,71.25,71.27
5561,2021-12-07,75.45,75.5881,72.32,72.7
5560,2021-12-06,73.64,74.65,72.5,74.46
5559,2021-12-03,73.18,74.09,72.01,72.98
5558,2021-12-02,72.21,73.1997,70.53,72.84
5557,2021-12-01,73.52,75.455,71.77,71.81
5556,2021-11-30,70.99,72.83,70.24,72.22
5555,2021-11-29,74.41,74.42,70.76,71.25
5554,2021-11-26,70.76,74.62,70.61,74.26
5553,2021-11-24,72.57,73.69,72.1869,73.1
5552,2021-11-23,74.13,74.13,71.9,73.18
5551,2021-11-22,73.0,74.47,72.29,73.89
5550,2021-11-19,72.78,74.46,72.1,72.19
5549,2021-11-18,73.63,74.82,72.555,73.33
5548,2021-11-17,74.82,75.1,72.11,72.7
5547,2021-11-16,74.89,75.5799,74.33,74.89
5546,2021-11-15,74.96,75.45,74.03,74.93
5545,2021-11-12,74.18,75.18,73.68,74.76
5544,2021-11-11,73.41,75.31,73.19,74.08
5543,2021-11-10,70.71,73.64,70.6,73.17
5542,2021-11-09,72.0,72.525,70.05,71.09
5541,2021-11-08,72.84,73.37,71.65,72.31
5540,2021-11-05,73.1,74.31,72.01,72.66
5539,2021-11-04,73.35,75.18,71.77,72.32
5538,2021-11-03,70.83,73.8,70.19,72.69
5537,2021-11-02,70.24,70.61,69.19,69.88
5536,2021-11-01,68.75,71.05,68.27,70.64
5535,2021-10-29,67.76,68.9,66.52,67.69
5534,2021-10-28,65.96,67.92,65.42,67.76
5533,2021-10-27,65.19,66.25,64.5,65.35
5532,2021-10-26,65.73,66.13,63.36,65.26
5531,2021-10-25,67.6,69.11,65.87,66.04
5530,2021-10-22,69.14,70.15,67.19,67.3
5529,2021-10-21,70.99,71.1816,67.65,68.73
5528,2021-10-20,71.0,72.55,69.7115,69.99
5527,2021-10-19,72.37,72.8,70.84,72.24
5526,2021-10-18,69.39,72.52,68.67,72.37
5525,2021-10-15,71.41,72.65,69.98,69.99
5524,2021-10-14,78.02,78.86,70.01,70.73
5523,2021-10-13,75.36,76.59,75.07,75.75
5522,2021-10-12,76.18,76.98,75.42,75.59
5521,2021-10-11,77.16,77.52,76.0,76.01
5520,2021-10-08,77.08,77.76,76.5,76.67
5519,2021-10-07,76.77,77.99,76.66,76.99
5518,2021-10-06,76.45,76.96,74.36,75.78
5517,2021-10-05,78.34,79.145,76.901,77.25
5516,2021-10-04,77.78,80.3,77.54,78.55
5515,2021-10-01,74.08,78.67,74.0,78.0
5514,2021-09-30,73.71,74.2,70.62,72.45
5513,2021-09-29,73.6,74.8,72.61,73.86
5512,2021-09-28,69.91,73.04,69.91,72.89
5511,2021-09-27,66.88,68.94,66.88,68.46
5510,2021-09-24,66.71,68.04,66.47,66.86
5509,2021-09-23,67.25,68.26,67.0,67.02
5508,2021-09-22,65.77,68.17,65.68,66.85
5507,2021-09-21,67.7,68.3699,64.59,65.28
5506,2021-09-20,67.2,68.03,65.88,66.94
5505,2021-09-17,68.7,69.5999,67.76,69.04
5504,2021-09-16,69.51,70.11,68.93,69.11
5503,2021-09-15,69.31,70.5,68.5,69.66
5502,2021-09-14,71.86,71.98,68.91,69.17
5501,2021-09-13,71.13,71.82,69.29,71.61
5500,2021-09-10,70.62,71.985,70.13,70.63
5499,2021-09-09,69.83,70.87,68.585,69.98
5498,2021-09-08,70.51,71.61,68.56,68.99
