,Date,Open,High,Low,Close
981,2021-12-31,38.05,38.46,37.76,38.13
980,2021-12-30,37.87,38.36,37.47,38.09
979,2021-12-29,37.75,38.24,37.31,37.71
978,2021-12-28,38.15,38.58,37.71,37.92
977,2021-12-27,37.44,38.29,36.37,38.25
976,2021-12-23,37.83,38.145,37.25,37.32
975,2021-12-22,36.84,37.77,36.4,37.71
974,2021-12-21,36.33,36.92,36.19,36.66
973,2021-12-20,35.72,36.22,34.97,35.79
972,2021-12-17,36.74,37.22,35.715,36.83
971,2021-12-16,37.47,38.41,36.72,36.85
970,2021-12-15,36.87,37.23,35.85,36.84
969,2021-12-14,37.98,38.73,36.76,36.89
968,2021-12-13,39.12,39.27,37.81,38.22
967,2021-12-10,38.78,39.86,38.1,39.61
966,2021-12-09,37.77,38.43,37.24,38.18
965,2021-12-08,38.47,38.71,37.595,38.42
964,2021-12-07,38.41,39.56,38.1,38.27
963,2021-12-06,36.22,37.9,35.49,37.78
962,2021-12-03,37.34,37.62,35.1,35.4
961,2021-12-02,35.71,36.96,34.91,36.64
960,2021-12-01,37.78,37.79,34.88,35.51
959,2021-11-30,36.56,37.27,35.48,36.5
958,2021-11-29,37.49,37.715,36.41,37.22
957,2021-11-26,36.01,36.63,34.92,36.37
956,2021-11-24,38.61,39.47,38.42,38.51
955,2021-11-23,38.29,39.52,38.12,39.06
954,2021-11-22,37.94,38.9,37.62,37.66
953,2021-11-19,37.96,38.32,37.39,37.8
952,2021-11-18,40.03,40.39,38.53,39.06
951,2021-11-17,40.9,41.19,39.51,39.9
950,2021-11-16,41.48,42.42,41.1,41.44
949,2021-11-15,41.7,41.83,40.98,41.34
948,2021-11-12,42.04,42.5,41.4,41.71
947,2021-11-11,42.34,43.02,41.68,42.08
946,2021-11-10,43.16,43.82,41.5,41.77
945,2021-11-09,42.52,43.71,41.04,43.64
944,2021-11-08,41.675,44.05,41.66,42.6
943,2021-11-05,43.27,43.42,41.37,41.47
942,2021-11-04,44.49,45.35,41.7,42.21
941,2021-11-03,43.71,44.48,43.39,43.47
940,2021-11-02,44.1,44.28,43.39,44.14
939,2021-11-01,44.19,45.25,43.67,44.39
938,2021-10-29,44.65,44.875,43.1,43.5
937,2021-10-28,43.44,44.38,43.44,44.28
936,2021-10-27,44.8,45.565,43.4,43.59
935,2021-10-26,46.33,46.36,45.09,45.58
934,2021-10-25,45.58,46.94,45.47,46.02
933,2021-10-22,45.05,45.68,44.34,44.8
932,2021-10-21,44.66,45.18,43.78,44.88
931,2021-10-20,44.23,45.01,43.81,44.99
930,2021-10-19,44.16,44.52,43.41,44.48
929,2021-10-18,42.39,44.35,42.39,44.05
928,2021-10-15,43.19,43.45,41.92,42.03
927,2021-10-14,42.86,43.0,41.84,42.07
926,2021-10-13,42.01,42.42,41.53,42.22
925,2021-10-12,41.74,42.52,41.2,42.23
924,2021-10-11,42.57,43.14,41.8,41.8
923,2021-10-08,41.26,42.55,41.08,42.03
922,2021-10-07,39.58,40.93,39.39,40.67
921,2021-10-06,39.94,40.44,38.41,39.33
920,2021-10-05,41.35,41.36,39.65,40.65
919,2021-10-04,40.15,41.12,39.51,40.89
918,2021-10-01,37.85,40.28,37.83,39.24
917,2021-09-30,37.01,37.89,36.305,37.72
916,2021-09-29,37.52,38.23,36.77,36.82
915,2021-09-28,37.86,39.07,37.6,37.61
914,2021-09-27,36.01,37.57,35.83,37.41
913,2021-09-24,34.74,35.69,34.74,34.94
912,2021-09-23,33.81,35.55,33.56,35.14
911,2021-09-22,33.84,34.64,33.49,33.49
910,2021-09-21,33.96,33.96,32.7,33.37
909,2021-09-20,33.74,34.3,32.94,33.57
908,2021-09-17,35.76,35.91,34.4,34.66
907,2021-09-16,36.76,36.83,35.2,35.61
906,2021-09-15,35.61,37.03,35.61,36.89
905,2021-09-14,36.74,36.74,34.95,35.1
904,2021-09-13,35.68,36.57,35.5,36.28
903,2021-09-10,35.99,36.09,35.28,35.52
902,2021-09-09,34.83,35.9,34.8,35.21
901,2021-09-08,35.98,36.72,35.12,35.2
900,2021-09-07,36.24,37.2,36.0,36.12
899,2021-09-03,37.65,38.3,36.38,36.52
898,2021-09-02,38.31,38.875,37.28,37.8
897,2021-09-01,37.6,37.95,37.06,37.76
896,2021-08-31,37.63,38.34,37.26,37.51
895,2021-08-30,38.84,38.84,37.77,37.97
894,2021-08-27,37.09,39.05,37.09,38.84
893,2021-08-26,35.86,36.885,35.75,36.71
892,2021-08-25,35.37,36.46,35.14,36.28
891,2021-08-24,34.35,35.45,34.35,35.34
890,2021-08-23,33.38,34.15,33.38,34.03
889,2021-08-20,31.85,32.99,31.85,32.42
888,2021-08-19,32.26,32.8,31.65,32.32
887,2021-08-18,33.89,34.27,33.01,33.06
886,2021-08-17,33.55,34.61,33.02,33.61
885,2021-08-16,34.23,34.69,33.62,34.14
884,2021-08-13,35.68,36.02,34.74,34.95
883,2021-08-12,36.79,36.91,35.11,35.58
882,2021-08-11,35.48,36.72,35.355,36.68
881,2021-08-10,34.73,36.42,34.63,35.84
880,2021-08-09,34.21,34.85,33.62,34.55
879,2021-08-06,34.63,35.07,34.26,34.57
878,2021-08-05,34.31,35.055,33.99,34.14
877,2021-08-04,34.94,35.18,33.8,34.13
876,2021-08-03,36.57,36.77,35.2,35.92
875,2021-08-02,35.97,37.58,35.97,36.82
874,2021-07-30,37.09,37.09,35.8,36.04
873,2021-07-29,36.61,37.65,35.34,37.48
872,2021-07-28,37.22,37.29,36.16,36.43
871,2021-07-27,36.66,37.165,36.29,36.85
870,2021-07-26,37.01,37.56,36.67,36.87
869,2021-07-23,37.3,37.37,35.98,36.66
868,2021-07-22,37.09,37.29,36.18,36.86
867,2021-07-21,36.54,37.78,36.54,37.25
866,2021-07-20,34.42,36.11,34.28,35.41
865,2021-07-19,34.31,34.87,33.4,34.25
864,2021-07-16,36.93,37.15,35.43,35.91
863,2021-07-15,37.16,37.92,35.95,36.35
862,2021-07-14,39.6,40.31,37.5,37.73
861,2021-07-13,38.42,39.25,37.88,39.18
860,2021-07-12,37.85,39.08,37.6,38.93
859,2021-07-09,38.33,38.83,37.695,38.61
858,2021-07-08,36.1,37.78,36.1,37.51
857,2021-07-07,36.8,37.61,36.11,37.12
856,2021-07-06,38.75,39.23,36.5,36.98
855,2021-07-02,39.38,39.62,38.31,39.12
854,2021-07-01,37.92,39.3,37.6,39.23
853,2021-06-30,36.41,37.51,36.34,36.72
852,2021-06-29,36.6,37.55,36.35,36.4
851,2021-06-28,38.25,38.77,35.92,36.24
850,2021-06-25,38.67,39.33,38.16,38.56
849,2021-06-24,38.94,38.975,37.49,38.49
848,2021-06-23,39.75,40.09,38.65,38.67
847,2021-06-22,39.96,40.58,39.03,39.32
846,2021-06-21,38.88,40.97,38.74,40.43
845,2021-06-18,39.37,40.22,38.15,38.47
844,2021-06-17,43.53,44.02,38.78,40.43
843,2021-06-16,42.7,44.2,42.35,43.74
842,2021-06-15,41.15,43.17,41.15,42.91
841,2021-06-14,41.41,41.8,40.37,40.79
840,2021-06-11,41.5,41.67,40.16,41.03
839,2021-06-10,40.93,41.14,40.08,40.88
838,2021-06-09,41.18,41.24,40.29,40.45
837,2021-06-08,40.58,41.33,39.86,41.11
836,2021-06-07,40.93,41.42,40.44,40.72
835,2021-06-04,40.43,41.13,38.93,40.69
834,2021-06-03,38.93,40.44,38.53,40.29
833,2021-06-02,36.97,40.2,36.43,39.24
832,2021-06-01,36.0,36.9,35.36,36.77
831,2021-05-28,34.6,35.25,34.21,35.04
830,2021-05-27,34.7,35.29,34.31,34.66
829,2021-05-26,34.21,34.58,34.06,34.36
828,2021-05-25,34.7,35.11,34.16,34.25
827,2021-05-24,34.81,34.99,34.175,34.75
826,2021-05-21,34.87,35.15,34.26,34.48
825,2021-05-20,33.87,34.33,32.86,34.2
824,2021-05-19,33.62,34.16,33.13,33.89
823,2021-05-18,35.83,36.0,34.66,34.71
822,2021-05-17,34.97,35.83,34.57,35.78
821,2021-05-14,34.59,36.05,34.59,35.31
820,2021-05-13,34.2,34.71,33.5,34.19
819,2021-05-12,34.15,35.42,34.15,34.74
818,2021-05-11,33.48,34.64,33.2435,34.13
817,2021-05-10,36.43,37.18,34.41,34.42
816,2021-05-07,33.92,36.01,33.47,35.99
815,2021-05-06,33.29,34.12,32.13,34.05
814,2021-05-05,32.25,33.46,31.8,33.3
813,2021-05-04,31.32,32.21,31.0,32.01
812,2021-05-03,30.75,31.48,30.39,31.33
811,2021-04-30,30.15,30.6309,29.59,29.81
810,2021-04-29,30.77,31.26,30.175,30.62
809,2021-04-28,29.04,30.67,29.04,30.51
808,2021-04-27,29.26,29.54,28.21,28.98
807,2021-04-26,28.87,29.87,28.8,29.41
806,2021-04-23,28.13,29.0058,27.62,28.71
805,2021-04-22,28.42,28.74,27.445,28.08
804,2021-04-21,27.26,28.17,27.26,28.13
803,2021-04-20,28.65,28.75,27.65,27.72
802,2021-04-19,28.87,29.58,28.67,28.96
801,2021-04-16,29.46,29.46,28.55,29.13
800,2021-04-15,30.19,30.46,29.04,29.19
799,2021-04-14,29.04,30.64,28.955,30.12
