,Date,Open,High,Low,Close
766,2021-12-16,25.06,25.06,25.06,25.06
765,2021-12-15,25.05,25.06,25.04,25.05
764,2021-12-14,25.06,25.06,25.05,25.06
763,2021-12-13,25.06,25.06,25.05,25.05
762,2021-12-10,25.06,25.06,25.05,25.05
761,2021-12-09,25.05,25.07,25.04,25.04
760,2021-12-08,25.04,25.04,25.04,25.04
759,2021-12-07,25.04,25.08,25.04,25.05
758,2021-12-06,25.04,25.0602,25.04,25.0602
757,2021-12-03,25.05,25.0655,25.04,25.05
756,2021-12-02,25.05,25.17,25.05,25.08
755,2021-12-01,25.04,25.18,25.04,25.05
754,2021-11-30,25.03,25.04,25.03,25.04
753,2021-11-29,25.1,25.1,25.04,25.04
752,2021-11-26,25.07,25.09,25.07,25.09
751,2021-11-24,25.07,25.08,25.05,25.05
750,2021-11-23,25.12,25.12,25.1,25.1
749,2021-11-22,25.16,25.16,25.1,25.1
748,2021-11-19,25.1,25.2014,25.1,25.17
747,2021-11-18,25.18,25.18,25.18,25.18
746,2021-11-17,25.18,25.18,25.18,25.18
745,2021-11-16,25.15,25.15,25.1,25.1
744,2021-11-15,25.08,25.08,25.08,25.08
743,2021-11-12,25.42,25.42,25.07,25.08
742,2021-11-11,25.5,25.5,25.48,25.48
741,2021-11-10,25.475,25.5,25.45,25.45
740,2021-11-09,25.44,25.44,25.44,25.44
739,2021-11-08,25.5,25.5,25.44,25.44
738,2021-11-05,25.43,25.43,25.43,25.43
737,2021-11-04,25.54,25.63,25.49,25.49
736,2021-11-03,25.37,25.54,25.37,25.54
735,2021-11-02,25.455,25.55,25.41,25.55
734,2021-11-01,25.39,25.4,25.39,25.4
733,2021-10-29,25.57,25.57,25.4332,25.4332
732,2021-10-28,25.46,25.46,25.46,25.46
731,2021-10-27,25.47,25.47,25.39,25.46
730,2021-10-26,25.4,25.58,25.38,25.4999
729,2021-10-25,25.456,25.456,25.456,25.456
728,2021-10-22,25.485,25.59,25.485,25.59
727,2021-10-21,25.43,26.7,25.31,25.63
726,2021-10-20,25.406,25.43,25.35,25.4297
725,2021-10-19,25.3214,25.3214,25.3214,25.3214
724,2021-10-18,25.3214,25.3214,25.3214,25.3214
723,2021-10-15,25.3214,25.3214,25.3214,25.3214
722,2021-10-14,25.3214,25.3214,25.3214,25.3214
721,2021-10-13,25.29,25.41,25.27,25.38
720,2021-10-12,25.4,25.43,25.4,25.43
719,2021-10-11,25.3594,25.3594,25.3594,25.3594
718,2021-10-08,25.29,25.3594,25.29,25.3594
717,2021-10-07,25.26,25.26,25.26,25.26
716,2021-10-06,25.26,25.26,25.26,25.26
715,2021-10-05,25.35,25.35,25.26,25.26
714,2021-10-04,25.26,25.34,25.26,25.3395
713,2021-10-01,25.285,25.285,25.285,25.285
712,2021-09-30,25.285,25.285,25.285,25.285
711,2021-09-29,25.285,25.285,25.285,25.285
710,2021-09-28,25.37,25.37,25.2599,25.2599
709,2021-09-27,25.26,25.26,25.26,25.26
708,2021-09-24,25.24,25.24,25.24,25.24
707,2021-09-23,25.24,25.24,25.24,25.24
706,2021-09-22,25.26,25.26,25.21,25.21
705,2021-09-21,25.37,25.5299,25.25,25.35
704,2021-09-20,25.43,25.4501,25.43,25.4501
703,2021-09-17,25.41,25.41,25.4,25.4
702,2021-09-16,25.39,25.39,25.39,25.39
701,2021-09-15,25.35,25.35,25.35,25.35
700,2021-09-14,25.35,25.35,25.35,25.35
699,2021-09-13,25.3,25.3,25.3,25.3
698,2021-09-10,25.39,25.39,25.39,25.39
697,2021-09-09,25.356,25.39,25.356,25.39
696,2021-09-08,25.37,25.37,25.37,25.37
695,2021-09-07,25.31,25.37,25.31,25.37
