,Date,Open,High,Low,Close
2283,2021-12-31,15.53,15.59,15.405,15.5
2282,2021-12-30,15.19,15.57,15.19,15.43
2281,2021-12-29,15.5693,15.5693,15.21,15.32
2280,2021-12-28,15.5,15.63,15.4,15.46
2279,2021-12-27,15.54,15.54,15.305,15.39
2278,2021-12-23,15.24,15.5,15.2,15.46
2277,2021-12-22,15.1,15.25,15.0383,15.13
2276,2021-12-21,15.0,15.31,15.0,15.0
2275,2021-12-20,15.18,15.35,14.7,15.1
2274,2021-12-17,15.31,15.68,14.91,15.44
2273,2021-12-16,15.81,15.9,15.74,15.83
2272,2021-12-15,15.8,15.95,15.56,15.83
2271,2021-12-14,15.843,15.95,15.735,15.77
2270,2021-12-13,15.65,16.2,15.65,15.95
2269,2021-12-10,15.6,15.65,15.43,15.57
2268,2021-12-09,15.29,15.51,15.25,15.47
2267,2021-12-08,15.38,15.59,15.35,15.42
2266,2021-12-07,15.31,15.42,15.25,15.33
2265,2021-12-06,15.3,15.4036,15.02,15.17
2264,2021-12-03,15.42,15.4754,15.21,15.34
2263,2021-12-02,15.41,15.49,15.28,15.35
2262,2021-12-01,15.46,15.72,15.31,15.31
2261,2021-11-30,15.3,15.5,15.2,15.5
2260,2021-11-29,15.35,15.3899,15.21,15.3
2259,2021-11-26,15.2,15.3,14.92,15.3
2258,2021-11-24,15.34,15.39,15.25,15.25
2257,2021-11-23,15.31,15.34,15.25,15.29
2256,2021-11-22,15.36,15.4,15.2,15.21
2255,2021-11-19,15.17,15.36,15.15,15.3
2254,2021-11-18,15.4,15.4,15.21,15.27
2253,2021-11-17,15.42,15.44,15.28,15.4
2252,2021-11-16,15.43,15.455,15.26,15.42
2251,2021-11-15,15.31,15.5,15.31,15.36
2250,2021-11-12,15.51,15.569,15.29,15.35
2249,2021-11-11,15.47,15.595,15.46,15.5
2248,2021-11-10,15.33,15.55,15.25,15.47
2247,2021-11-09,15.26,15.47,15.21,15.21
2246,2021-11-08,15.5,15.52,15.35,15.36
2245,2021-11-05,15.41,15.6,15.39,15.51
2244,2021-11-04,15.34,15.37,15.2,15.33
2243,2021-11-03,15.14,15.45,14.9,15.26
2242,2021-11-02,15.28,15.3493,14.61,15.09
2241,2021-11-01,15.2,15.4,15.1858,15.23
2240,2021-10-29,15.35,15.5,15.16,15.23
2239,2021-10-28,15.34,15.4986,15.241,15.44
2238,2021-10-27,15.49,15.65,15.45,15.49
2237,2021-10-26,15.51,15.65,15.49,15.55
2236,2021-10-25,15.44,15.63,15.31,15.56
2235,2021-10-22,15.33,15.44,15.18,15.26
2234,2021-10-21,15.37,15.57,15.15,15.15
2233,2021-10-20,16.03,16.22,16.03,16.22
2232,2021-10-19,15.97,16.05,15.9,15.99
2231,2021-10-18,15.9,15.97,15.88,15.91
2230,2021-10-15,15.9,15.95,15.86,15.87
2229,2021-10-14,15.9,15.9596,15.82,15.83
2228,2021-10-13,15.87,15.95,15.85,15.9
