,Date,Open,High,Low,Close
909,2021-12-31,87.94,90.04,87.32,89.65
908,2021-12-30,90.01,90.895,88.33,88.34
907,2021-12-29,88.89,90.33,88.675,90.18
906,2021-12-28,88.25,89.65,88.25,89.22
905,2021-12-27,87.73,88.87,87.37,88.83
904,2021-12-23,87.92,88.85,87.555,88.31
903,2021-12-22,84.64,87.24,84.16,87.0
902,2021-12-21,82.14,84.61,82.12,84.31
901,2021-12-20,78.9,81.58,78.71,81.31
900,2021-12-17,79.79,81.91,79.06,81.21
899,2021-12-16,79.38,81.19,78.59,79.96
898,2021-12-15,79.48,79.99,77.33,79.4
897,2021-12-14,79.17,80.95,79.17,79.85
896,2021-12-13,81.84,82.14,79.32,79.92
895,2021-12-10,82.12,82.67,81.25,82.62
894,2021-12-09,81.93,82.45,81.62,81.65
893,2021-12-08,82.58,83.46,82.11,82.54
892,2021-12-07,82.17,83.16,81.31,81.82
891,2021-12-06,79.49,81.705,79.0,80.62
890,2021-12-03,80.0,80.41,77.87,78.14
889,2021-12-02,77.08,81.055,76.42,80.16
888,2021-12-01,81.25,81.715,76.19,76.42
887,2021-11-30,80.26,80.78,78.81,79.48
886,2021-11-29,83.24,83.47,80.85,81.05
885,2021-11-26,79.5,81.98,78.03,81.85
884,2021-11-24,85.44,86.18,84.61,85.6
883,2021-11-23,86.5,87.65,85.79,86.22
882,2021-11-22,88.0,88.2,85.565,86.23
881,2021-11-19,86.52,87.58,85.1401,87.46
880,2021-11-18,86.71,88.06,86.21,87.67
879,2021-11-17,85.08,86.42,84.675,86.3
878,2021-11-16,85.62,85.96,85.0,85.62
877,2021-11-15,85.94,86.34,85.39,85.64
876,2021-11-12,84.25,85.84,84.25,85.13
875,2021-11-11,85.26,85.795,84.2,84.24
874,2021-11-10,86.12,86.88,84.47,85.17
873,2021-11-09,85.8,86.88,84.9,86.84
872,2021-11-08,87.7,87.7,85.075,85.2
871,2021-11-05,87.07,89.477,86.94,86.94
870,2021-11-04,84.45,86.15,84.18,85.5
869,2021-11-03,83.53,85.41,83.26,84.24
868,2021-11-02,84.18,84.64,82.89,84.11
867,2021-11-01,85.31,85.775,84.62,84.7
866,2021-10-29,85.84,86.12,83.53,84.47
865,2021-10-28,83.0,86.055,82.5,85.84
864,2021-10-27,81.42,83.29,80.55,82.28
863,2021-10-26,81.32,81.67,80.44,81.22
862,2021-10-25,82.21,82.7,80.95,81.03
861,2021-10-22,81.5,82.33,81.37,81.99
860,2021-10-21,81.25,82.29,81.1,82.24
