,Date,Open,High,Low,Close
1870,2021-12-31,25.9,26.97,25.9,26.86
1869,2021-12-30,25.86,26.16,25.53,25.91
1868,2021-12-29,26.05,26.15,25.86,25.86
1867,2021-12-28,25.33,26.07,25.32,26.03
1866,2021-12-27,24.77,25.32,24.77,25.24
1865,2021-12-23,24.6,24.9,24.5849,24.86
1864,2021-12-22,24.0,24.7,23.916,24.46
1863,2021-12-21,23.85,24.14,23.85,24.01
1862,2021-12-20,24.06,24.06,23.34,23.85
1861,2021-12-17,24.23,24.3,23.89,24.06
1860,2021-12-16,24.25,24.28,23.958,24.1
1859,2021-12-15,23.2,24.0,23.2,23.8
1858,2021-12-14,23.11,23.6,23.11,23.37
1857,2021-12-13,23.96,24.0,23.5,23.5
1856,2021-12-10,23.9,24.095,23.7701,24.05
1855,2021-12-09,23.8172,23.8974,23.75,23.87
1854,2021-12-08,23.87,24.045,23.76,23.91
1853,2021-12-07,23.69,23.95,23.69,23.76
1852,2021-12-06,23.53,23.83,23.53,23.57
1851,2021-12-03,23.35,23.62,23.2799,23.48
1850,2021-12-02,22.8,23.43,22.7101,23.35
1849,2021-12-01,23.33,23.63,22.68,22.71
1848,2021-11-30,24.04,24.1,22.881,23.15
1847,2021-11-29,24.59,24.6578,23.94,23.94
1846,2021-11-26,23.86,24.23,23.7,24.23
1845,2021-11-24,23.95,24.0791,23.85,23.91
1844,2021-11-23,24.04,24.08,23.8607,23.87
1843,2021-11-22,24.08,24.469,24.02,24.02
1842,2021-11-19,24.05,24.265,23.8201,24.2
1841,2021-11-18,24.64,24.64,24.0,24.1
1840,2021-11-17,24.52,24.9376,24.4,24.49
1839,2021-11-16,24.82,24.82,24.63,24.65
1838,2021-11-15,24.86,25.0203,24.65,24.69
1837,2021-11-12,25.18,25.28,24.85,24.97
1836,2021-11-11,25.14,25.4092,25.0452,25.19
1835,2021-11-10,25.33,25.51,25.08,25.09
1834,2021-11-09,25.82,25.94,25.62,25.8
1833,2021-11-08,26.16,26.16,25.8,25.96
1832,2021-11-05,25.92,26.23,25.76,25.95
1831,2021-11-04,25.81,25.885,25.27,25.75
1830,2021-11-03,25.64,25.9894,25.62,25.85
1829,2021-11-02,25.95,25.95,25.0,25.78
1828,2021-11-01,25.61,26.1,25.61,25.97
1827,2021-10-29,25.73,25.7561,25.52,25.72
1826,2021-10-28,25.89,26.0431,25.55,25.7
1825,2021-10-27,25.9,25.93,25.72,25.89
1824,2021-10-26,25.8,26.0,25.71,25.88
1823,2021-10-25,25.69,26.035,25.5826,25.91
1822,2021-10-22,25.64,25.73,25.5,25.71
1821,2021-10-21,25.7,25.7299,25.49,25.53
1820,2021-10-20,25.87,25.9393,25.6655,25.76
