,Date,Open,High,Low,Close
4379,2021-12-31,97.01,97.95,96.78,97.13
4378,2021-12-30,97.71,98.67,97.16,97.25
4377,2021-12-29,96.39,97.64,96.21,97.25
4376,2021-12-28,95.32,97.53,95.32,96.72
4375,2021-12-27,94.87,95.49,93.74,95.31
4374,2021-12-23,92.88,94.96,92.433,94.27
4373,2021-12-22,90.38,92.81,89.495,92.42
4372,2021-12-21,90.11,91.72,90.04,90.38
4371,2021-12-20,89.81,90.5464,88.41,88.62
4370,2021-12-17,92.24,93.79,90.01,92.23
4369,2021-12-16,92.12,93.75,91.65,92.24
4368,2021-12-15,93.0,93.16,88.89,91.26
4367,2021-12-14,92.71,95.05,92.47,93.42
4366,2021-12-13,95.31,95.59,91.96,93.23
4365,2021-12-10,96.95,97.22,94.88,95.8
4364,2021-12-09,96.0,96.98,95.49,96.07
4363,2021-12-08,97.58,98.05,96.75,97.13
4362,2021-12-07,96.87,99.8121,96.55,96.91
4361,2021-12-06,95.16,96.98,94.5751,95.67
4360,2021-12-03,92.7,95.1,92.7,94.01
4359,2021-12-02,89.73,92.97,88.69,92.24
4358,2021-12-01,95.06,95.5,89.09,89.2
4357,2021-11-30,97.085,97.095,92.29,92.92
4356,2021-11-29,100.94,101.81,97.83,98.36
4355,2021-11-26,97.95,99.87,97.23,99.17
4354,2021-11-24,102.1,103.83,101.35,102.4
4353,2021-11-23,99.23,100.51,98.33,99.96
4352,2021-11-22,95.0,99.13,95.0,97.93
4351,2021-11-19,100.14,100.4,97.34,97.72
4350,2021-11-18,101.89,103.05,100.43,101.61
4349,2021-11-17,102.0,102.18,100.72,101.33
4348,2021-11-16,103.09,103.29,101.77,102.07
4347,2021-11-15,104.84,104.84,102.7,103.4
4346,2021-11-12,102.55,104.99,101.88,104.51
4345,2021-11-11,99.57,101.89,99.57,101.75
4344,2021-11-10,99.45,100.9069,98.65,99.14
4343,2021-11-09,99.08,100.4222,98.74,100.04
4342,2021-11-08,100.19,101.66,99.15,99.98
4341,2021-11-05,97.92,99.65,97.81,99.17
4340,2021-11-04,100.19,100.88,96.19,97.05
4339,2021-11-03,98.99,102.5,98.32,100.17
4338,2021-11-02,102.44,103.065,97.36,99.26
4337,2021-11-01,97.43,99.35,97.26,98.33
4336,2021-10-29,96.83,97.89,95.941,97.34
4335,2021-10-28,97.04,98.28,96.27,97.58
4334,2021-10-27,102.16,102.465,95.66,95.82
4333,2021-10-26,102.99,103.7,102.03,102.86
4332,2021-10-25,102.0,103.72,101.67,102.77
4331,2021-10-22,100.34,102.34,100.34,101.02
4330,2021-10-21,101.4,101.68,99.01,100.0
4329,2021-10-20,100.8,102.37,100.1,101.76
4328,2021-10-19,100.79,101.235,99.47,100.7
4327,2021-10-18,100.37,100.97,98.68,100.56
4326,2021-10-15,98.51,98.825,97.08,98.1
4325,2021-10-14,99.96,100.0,97.57,97.6
4324,2021-10-13,99.92,99.96,97.4,98.78
4323,2021-10-12,99.37,100.2243,98.94,99.66
4322,2021-10-11,99.57,101.42,99.365,99.52
4321,2021-10-08,100.0,100.0,97.68,98.47
4320,2021-10-07,99.01,101.07,98.215,99.01
4319,2021-10-06,96.75,97.7558,94.745,97.3
4318,2021-10-05,95.29,98.88,94.24,98.26
4317,2021-10-04,94.04,95.75,93.68,94.17
4316,2021-10-01,91.48,94.08,90.43,93.76
4315,2021-09-30,92.25,93.46,91.11,91.14
4314,2021-09-29,92.57,92.76,90.81,92.22
4313,2021-09-28,93.64,94.5,91.37,92.07
4312,2021-09-27,88.81,94.0,88.81,93.55
4311,2021-09-24,87.08,88.72,86.54,87.81
4310,2021-09-23,85.91,88.75,85.54,87.82
4309,2021-09-22,83.56,85.33,83.31,84.19
4308,2021-09-21,82.7,82.86,80.56,82.31
4307,2021-09-20,83.26,83.31,80.471,81.81
4306,2021-09-17,86.3,86.65,83.41,85.65
4305,2021-09-16,87.8,87.93,86.67,86.75
4304,2021-09-15,86.85,88.46,86.675,88.12
4303,2021-09-14,87.91,87.91,86.12,86.67
4302,2021-09-13,87.09,87.93,86.44,86.9
4301,2021-09-10,85.56,86.81,85.48,86.15
4300,2021-09-09,84.25,85.72,83.5,84.65
4299,2021-09-08,87.09,87.75,84.55,84.81
4298,2021-09-07,86.51,87.789,86.51,86.8
4297,2021-09-03,87.69,88.06,86.6,86.93
4296,2021-09-02,88.0,88.8,87.54,87.64
4295,2021-09-01,87.78,88.33,87.24,88.06
4294,2021-08-31,87.66,87.7,85.885,87.35
4293,2021-08-30,88.57,88.84,87.32,87.72
4292,2021-08-27,86.39,88.75,86.39,88.53
4291,2021-08-26,87.83,87.92,85.98,86.17
4290,2021-08-25,86.12,88.57,85.11,88.16
4289,2021-08-24,83.685,86.44,83.685,85.97
4288,2021-08-23,82.43,83.65,82.365,83.44
4287,2021-08-20,80.72,81.92,80.6,81.76
4286,2021-08-19,81.35,82.39,79.88,80.89
4285,2021-08-18,83.32,84.95,83.08,83.13
4284,2021-08-17,83.9,84.8199,82.5,83.83
4283,2021-08-16,83.61,85.25,81.91,84.95
4282,2021-08-13,85.01,85.98,84.2,84.59
4281,2021-08-12,85.96,86.215,84.0,84.88
4280,2021-08-11,85.52,86.44,84.61,86.0
4279,2021-08-10,82.54,85.14,82.54,84.94
4278,2021-08-09,81.8,82.52,81.02,82.02
4277,2021-08-06,82.6,83.2,81.68,82.24
4276,2021-08-05,81.61,82.7099,80.82,80.96
4275,2021-08-04,83.14,83.35,80.59,80.62
4274,2021-08-03,81.42,84.25,80.05,83.71
4273,2021-08-02,83.45,85.125,81.65,81.99
4272,2021-07-30,83.54,84.38,81.78,82.92
4271,2021-07-29,84.02,84.48,83.06,83.96
4270,2021-07-28,83.17,83.78,81.65,82.98
4269,2021-07-27,82.33,83.755,81.435,83.0
4268,2021-07-26,82.85,83.96,82.28,83.36
