,Date,Open,High,Low,Close
335,2021-12-31,64.46,65.3736,64.13,64.68
334,2021-12-30,66.98,67.8,64.72,64.85
333,2021-12-29,66.93,67.8328,65.83,66.36
332,2021-12-28,67.59,68.43,66.3,66.54
331,2021-12-27,64.3,67.59,63.34,67.55
330,2021-12-23,64.32,64.61,63.09,63.98
329,2021-12-22,63.73,64.79,63.04,63.77
328,2021-12-21,62.38,63.82,61.75,63.73
327,2021-12-20,59.82,61.09,58.11,61.03
326,2021-12-17,62.14,63.59,60.85,62.58
325,2021-12-16,65.3,66.91,62.93,62.99
324,2021-12-15,63.15,64.2981,60.78,64.04
323,2021-12-14,64.28,65.89,63.205,63.73
322,2021-12-13,67.09,67.11,64.94,65.22
321,2021-12-10,69.48,69.89,66.76,68.3
320,2021-12-09,68.66,70.09,68.0,68.49
319,2021-12-08,70.0,71.1,69.265,69.82
318,2021-12-07,68.505,70.25,68.505,69.22
317,2021-12-06,64.25,68.24,62.98,67.22
316,2021-12-03,65.0,65.0,61.24,62.91
315,2021-12-02,61.25,64.25,59.66,63.66
314,2021-12-01,67.03,68.4,61.47,61.59
313,2021-11-30,64.66,65.6296,63.05,64.69
312,2021-11-29,68.35,68.35,65.16,66.77
311,2021-11-26,65.56,66.68,62.3399,65.63
310,2021-11-24,68.64,70.66,68.6,70.18
309,2021-11-23,66.5,69.52,66.5,69.01
308,2021-11-22,66.3,67.67,65.4,65.64
307,2021-11-19,66.83,68.08,65.515,66.27
306,2021-11-18,68.35,70.05,66.97,69.16
305,2021-11-17,69.52,71.365,68.07,68.53
304,2021-11-16,69.4,71.61,68.27,69.83
303,2021-11-15,67.0,70.23,66.0,69.19
302,2021-11-12,66.07,68.125,65.95,67.56
301,2021-11-11,67.72,68.0,65.96,66.75
300,2021-11-10,69.49,69.92,64.99,66.33
299,2021-11-09,68.65,70.59,67.16,70.02
298,2021-11-08,69.14,69.9,67.37,68.59
297,2021-11-05,65.94,68.83,65.1566,67.78
296,2021-11-04,66.17,67.77,63.62,64.94
295,2021-11-03,64.82,66.34,64.1,64.71
294,2021-11-02,65.54,67.0999,65.0,65.69
293,2021-11-01,65.88,67.6916,65.8701,66.4
292,2021-10-29,65.4,66.0456,63.24,65.13
291,2021-10-28,64.27,65.82,64.13,65.45
290,2021-10-27,65.79,67.35,64.12,64.15
289,2021-10-26,68.78,69.2913,67.17,67.19
288,2021-10-25,67.91,69.09,66.52,68.71
287,2021-10-22,66.84,67.49,65.65,66.93
286,2021-10-21,68.59,68.861,65.7,66.29
285,2021-10-20,66.74,70.28,66.48,68.85
284,2021-10-19,68.83,68.83,66.56,67.59
283,2021-10-18,67.56,69.06,65.851,67.45
282,2021-10-15,65.62,67.71,64.83,66.37
281,2021-10-14,64.71,64.9,63.15,64.46
280,2021-10-13,61.44,63.105,59.8,62.87
279,2021-10-12,62.54,63.3,61.03,62.0
278,2021-10-11,63.275,63.89,61.9,62.45
277,2021-10-08,62.25,62.6692,60.95,62.21
276,2021-10-07,59.83,62.07,59.02,61.45
275,2021-10-06,58.72,60.17,57.47,59.43
274,2021-10-05,63.43,63.4963,58.38,59.65
273,2021-10-04,60.4,62.4687,59.96,62.09
272,2021-10-01,58.78,60.28,58.52,59.24
271,2021-09-30,58.86,59.4299,57.825,58.41
270,2021-09-29,59.0,59.03,57.21,58.96
269,2021-09-28,60.53,60.77,58.03,59.08
268,2021-09-27,57.78,60.59,57.7,59.49
267,2021-09-24,56.14,57.48,55.38,56.09
266,2021-09-23,55.67,56.74,55.11,56.5
265,2021-09-22,55.24,56.9,54.7829,55.21
264,2021-09-21,53.14,55.44,52.57,54.01
263,2021-09-20,52.62,54.64,51.52,52.33
262,2021-09-17,55.1,55.9,54.06,55.48
261,2021-09-16,54.66,55.8999,53.82,55.49
260,2021-09-15,53.81,56.1391,53.78,54.98
259,2021-09-14,53.57,54.35,51.68,52.76
258,2021-09-13,52.22,53.5,51.63,52.64
257,2021-09-10,51.73,52.46,50.83,51.02
256,2021-09-09,50.68,51.61,50.2,50.69
255,2021-09-08,51.59,52.66,50.45,51.36
254,2021-09-07,50.3,52.1175,49.55,51.22
253,2021-09-03,50.14,50.96,49.2,49.82
252,2021-09-02,47.74,50.9045,47.73,50.15
251,2021-09-01,46.5,47.65,45.57,47.09
250,2021-08-31,45.8,47.43,45.26,46.95
249,2021-08-30,47.35,47.35,45.33,45.81
248,2021-08-27,45.43,47.23,44.55,46.7
247,2021-08-26,45.4,46.34,44.67,44.77
246,2021-08-25,42.81,45.59,42.06,45.28
245,2021-08-24,41.93,43.12,41.5,43.01
244,2021-08-23,40.69,41.5,40.44,41.29
243,2021-08-20,39.26,39.97,38.44,39.42
242,2021-08-19,39.33,39.93,38.41,39.46
241,2021-08-18,42.52,43.2,40.31,40.41
240,2021-08-17,42.68,44.12,42.2723,42.49
239,2021-08-16,43.01,44.03,42.02,43.12
238,2021-08-13,45.2,45.445,43.94,43.99
237,2021-08-12,46.51,46.9,44.8,45.53
236,2021-08-11,45.39,46.48,44.11,46.47
235,2021-08-10,44.92,46.11,44.62,45.92
234,2021-08-09,44.61,44.92,43.665,44.45
233,2021-08-06,45.36,46.02,44.655,45.26
232,2021-08-05,43.3,46.05,43.02,44.69
231,2021-08-04,44.51,44.96,42.39,43.01
230,2021-08-03,45.08,46.7,43.81,45.77
229,2021-08-02,46.65,48.36,45.37,46.02
228,2021-07-30,47.8,48.0,45.64,46.9
227,2021-07-29,48.55,48.83,47.62,48.2
226,2021-07-28,47.23,48.565,46.32,47.97
225,2021-07-27,48.0,48.0,45.37,46.55
224,2021-07-26,48.16,49.49,48.07,48.66
223,2021-07-23,49.05,49.05,47.05,48.17
222,2021-07-22,49.77,49.89,47.42,48.52
221,2021-07-21,47.475,49.255,47.26,48.88
220,2021-07-20,44.38,46.7,43.515,46.54
219,2021-07-19,44.13,44.82,42.71,44.56
218,2021-07-16,49.28,49.3,46.0,46.37
217,2021-07-15,50.02,51.66,48.12,48.64
216,2021-07-14,55.08,55.08,50.321,50.55
215,2021-07-13,54.4,55.505,53.99,54.44
214,2021-07-12,54.63,55.33,54.0,54.53
213,2021-07-09,55.28,55.5,54.0,55.44
212,2021-07-08,53.0,55.18,52.9478,54.58
211,2021-07-07,55.09,56.35,53.4601,54.11
210,2021-07-06,57.35,57.5392,53.94,55.24
209,2021-07-02,56.29,57.5899,56.2,57.08
208,2021-07-01,56.55,57.0,54.4,56.88
207,2021-06-30,53.54,55.22,53.44,54.55
206,2021-06-29,53.72,54.75,53.15,53.61
205,2021-06-28,54.51,54.51,51.8,53.44
204,2021-06-25,54.3,55.01,53.5,54.85
203,2021-06-24,52.35,53.92,51.81,53.75
202,2021-06-23,52.64,53.27,51.37,51.89
201,2021-06-22,53.95,54.16,51.8375,52.6
200,2021-06-21,53.08,54.645,52.58,53.99
199,2021-06-18,49.99,52.9099,49.56,52.9
198,2021-06-17,51.01,51.88,48.75,51.1
197,2021-06-16,51.28,51.9094,50.7175,51.5
196,2021-06-15,51.59,52.43,50.66,51.63
195,2021-06-14,51.52,51.94,50.37,51.0
194,2021-06-11,50.28,51.53,50.15,51.05
193,2021-06-10,51.05,51.12,48.21,49.81
192,2021-06-09,51.18,51.4316,49.57,49.92
191,2021-06-08,50.89,51.825,49.7148,50.8
190,2021-06-07,50.06,52.17,50.06,51.02
189,2021-06-04,48.76,49.97,47.9,49.83
188,2021-06-03,48.46,49.69,47.77,48.45
187,2021-06-02,49.19,49.56,48.33,48.56
186,2021-06-01,47.0,49.355,46.55,49.23
185,2021-05-28,45.56,45.96,44.845,45.79
184,2021-05-27,44.16,45.36,43.75,45.26
183,2021-05-26,42.6,44.99,42.31,44.33
182,2021-05-25,42.61,43.54,42.16,42.6
181,2021-05-24,41.71,43.23,41.16,42.61
180,2021-05-21,40.91,42.24,40.46,41.23
179,2021-05-20,39.07,40.98,37.88,40.25
178,2021-05-19,37.81,39.07,36.811,38.89
177,2021-05-18,38.5,40.025,38.31,38.59
176,2021-05-17,38.01,38.86,37.56,38.69
175,2021-05-14,38.51,40.04,38.16,38.35
174,2021-05-13,39.62,40.9499,37.72,37.93
173,2021-05-12,39.37,42.2671,39.13,40.44
172,2021-05-11,39.67,40.93,38.15,38.95
171,2021-05-10,42.56,42.75,40.07,40.74
170,2021-05-07,41.0,42.41,40.51,41.83
169,2021-05-06,41.0,41.3499,39.74,40.9
168,2021-05-05,41.33,41.44,39.6,40.07
167,2021-05-04,41.05,41.36,39.7,40.75
166,2021-05-03,40.64,41.34,39.28,40.91
165,2021-04-30,39.56,41.13,39.19,40.07
164,2021-04-29,39.47,40.61,38.7,40.48
163,2021-04-28,37.78,38.91,37.33,38.58
162,2021-04-27,36.11,37.64,36.01,37.57
161,2021-04-26,35.27,36.2399,35.25,35.93
160,2021-04-23,33.82,35.6,33.55,35.48
159,2021-04-22,34.92,34.94,33.73,33.99
158,2021-04-21,33.54,34.72,33.13,34.66
157,2021-04-20,36.4,36.48,33.92,34.12
156,2021-04-19,35.17,36.79,35.03,36.65
155,2021-04-16,36.32,36.4129,35.28,35.28
154,2021-04-15,34.99,36.15,34.6,36.05
153,2021-04-14,35.5,36.45,34.69,34.81
152,2021-04-13,34.61,35.5271,34.2,35.04
151,2021-04-12,36.03,36.39,34.16,34.5
150,2021-04-09,34.14,36.45,34.14,35.66
149,2021-04-08,33.07,34.35,32.52,33.94
148,2021-04-07,32.93,33.52,32.39,33.45
147,2021-04-06,34.5,34.8397,32.66,32.97
146,2021-04-05,36.87,37.08,33.9,34.35
145,2021-04-01,35.8,37.1,35.59,36.98
144,2021-03-31,34.69,35.84,34.69,35.45
143,2021-03-30,34.01,35.38,33.86,34.72
142,2021-03-29,34.11,34.9,32.721,34.17
141,2021-03-26,34.82,35.03,33.8001,34.53
140,2021-03-25,32.14,33.85,31.26,33.8
139,2021-03-24,32.31,34.05,31.91,33.21
138,2021-03-23,33.84,34.74,31.41,31.77
