,Date,Open,High,Low,Close
1509,2021-12-31,237.63,239.15,236.92,237.49
1508,2021-12-30,238.3,239.58,236.95,237.12
1507,2021-12-29,238.32,239.8,235.66,238.43
1506,2021-12-28,239.17,240.51,238.53,238.72
1505,2021-12-27,236.6,239.11,235.27,239.06
1504,2021-12-23,237.19,239.115,235.98,236.46
1503,2021-12-22,236.04,238.695,233.72,237.01
1502,2021-12-21,234.47,238.42,232.08,236.25
1501,2021-12-20,231.44,232.735,229.0,231.95
1500,2021-12-17,233.0,235.89,230.47,232.88
1499,2021-12-16,234.65,236.87,231.83,233.16
1498,2021-12-15,231.45,234.84,228.43,234.65
1497,2021-12-14,231.11,232.88,229.34,232.17
1496,2021-12-13,234.0,234.76,231.545,231.94
1495,2021-12-10,234.89,234.89,230.8,233.77
1494,2021-12-09,234.71,234.71,231.26,232.35
1493,2021-12-08,232.72,235.43,231.38,235.0
1492,2021-12-07,233.67,235.74,230.575,231.61
1491,2021-12-06,232.0,235.18,231.08,232.5
1490,2021-12-03,233.41,233.93,228.57,230.84
1489,2021-12-02,227.17,232.64,226.525,231.97
1488,2021-12-01,228.01,231.11,226.2701,227.0
1487,2021-11-30,227.26,230.81,225.09,225.84
1486,2021-11-29,230.26,231.84,226.98,230.39
1485,2021-11-26,228.12,232.56,227.85,228.99
1484,2021-11-24,234.96,236.79,232.79,236.13
1483,2021-11-23,234.63,236.85,231.77,235.1
1482,2021-11-22,230.8,236.675,230.55,233.44
1481,2021-11-19,227.7907,233.24,225.38,232.8
1480,2021-11-18,231.15,232.55,227.08,228.44
1479,2021-11-17,229.84,231.6,229.11,229.7
1478,2021-11-16,229.95,232.595,229.1,230.72
1477,2021-11-15,230.91,231.885,228.31,229.36
1476,2021-11-12,231.52,231.92,229.39,230.91
1475,2021-11-11,231.52,232.01,228.41,230.3
1474,2021-11-10,234.17,236.85,230.67,231.35
1473,2021-11-09,231.45,233.675,229.81,233.38
1472,2021-11-08,231.57,233.86,230.86,232.7
1471,2021-11-05,231.22,233.96,228.8,231.31
1470,2021-11-04,233.99,235.58,230.12,231.06
1469,2021-11-03,237.23,237.23,233.44,234.85
1468,2021-11-02,238.53,239.62,235.24,237.04
1467,2021-11-01,242.23,244.78,233.495,237.62
1466,2021-10-29,246.99,248.81,239.69,242.28
1465,2021-10-28,240.26,249.45,240.21,248.52
1464,2021-10-27,243.27,244.99,239.54,240.26
1463,2021-10-26,244.92,245.64,243.14,244.01
1462,2021-10-25,248.46,249.22,244.48,244.81
1461,2021-10-22,247.72,249.145,245.97,247.76
1460,2021-10-21,243.47,248.0,241.21,246.87
1459,2021-10-20,245.8,247.37,243.45,244.14
1458,2021-10-19,246.0,248.54,246.0,248.1
1457,2021-10-18,245.63,246.4,244.01,244.9
1456,2021-10-15,249.55,249.7,245.71,246.91
1455,2021-10-14,245.13,248.58,244.97,248.15
1454,2021-10-13,242.17,244.61,239.84,243.95
1453,2021-10-12,243.06,244.2,241.3201,241.9
1452,2021-10-11,243.17,244.47,240.49,242.66
1451,2021-10-08,242.92,243.33,240.34,242.89
1450,2021-10-07,243.22,244.62,240.66,241.5
1449,2021-10-06,240.92,244.32,237.29,241.33
1448,2021-10-05,237.65,244.36,237.56,243.08
1447,2021-10-04,241.11,242.08,236.04,237.41
1446,2021-10-01,232.84,243.42,232.37,240.93
1445,2021-09-30,229.99,235.99,227.325,232.46
1444,2021-09-29,224.2368,230.31,224.2368,228.99
1443,2021-09-28,229.97,231.72,226.85,228.01
1442,2021-09-27,234.46,234.46,228.905,231.58
1441,2021-09-24,232.35,235.005,231.66,233.83
1440,2021-09-23,233.01,235.11,232.08,233.45
1439,2021-09-22,230.53,233.88,228.209,230.94
1438,2021-09-21,228.6,230.1,225.94,228.91
1437,2021-09-20,225.82,228.25,223.5,226.81
1436,2021-09-17,232.4,234.0,229.13,230.28
1435,2021-09-16,236.11,236.83,234.01,234.05
1434,2021-09-15,234.66,238.75,232.54,236.75
1433,2021-09-14,237.5,237.56,234.0,234.27
1432,2021-09-13,237.68,238.27,234.685,236.42
1431,2021-09-10,237.01,239.18,234.05,236.55
1430,2021-09-09,231.0,238.16,231.0,236.0
1429,2021-09-08,225.88,227.52,222.57,225.95
1428,2021-09-07,229.35,229.35,225.07,227.1
1427,2021-09-03,230.05,231.0,226.87,228.52
1426,2021-09-02,224.25,230.4599,223.93,230.06
1425,2021-09-01,221.63,224.22,219.96,223.7
1424,2021-08-31,215.6,222.07,215.28,220.72
1423,2021-08-30,219.56,219.89,215.2479,215.72
1422,2021-08-27,214.76,220.26,214.01,219.3
1421,2021-08-26,215.75,217.74,213.665,214.75
1420,2021-08-25,216.31,218.52,213.88,216.37
1419,2021-08-24,218.83,218.85,214.41,216.36
1418,2021-08-23,219.58,221.55,217.22,217.83
1417,2021-08-20,213.42,219.68,212.58,218.75
1416,2021-08-19,212.36,215.75,212.225,214.32
1415,2021-08-18,215.08,217.89,213.92,214.12
1414,2021-08-17,218.26,218.67,214.9,216.02
1413,2021-08-16,218.7,219.53,216.66,218.78
1412,2021-08-13,222.8,223.49,219.17,219.24
1411,2021-08-12,223.03,223.03,220.12,221.28
1410,2021-08-11,218.88,222.82,218.03,222.05
1409,2021-08-10,218.75,219.8,216.1,218.08
1408,2021-08-09,216.53,218.64,214.35,217.84
1407,2021-08-06,217.53,219.16,214.1,215.98
1406,2021-08-05,210.88,217.52,210.88,217.51
1405,2021-08-04,213.0,214.0,207.14,211.19
1404,2021-08-03,207.25,214.515,205.315,212.94
1403,2021-08-02,207.9,208.41,203.025,203.96
1402,2021-07-30,205.03,206.59,201.98,206.08
1401,2021-07-29,204.52,206.1,200.96,203.56
1400,2021-07-28,209.03,209.6,199.78,201.6
1399,2021-07-27,205.6378,210.2,203.0,206.0
1398,2021-07-26,215.0,215.79,204.0,206.07
1397,2021-07-23,227.49,227.99,226.03,226.41
1396,2021-07-22,224.95,227.25,224.23,226.34
1395,2021-07-21,220.44,231.13,219.93,224.62
1394,2021-07-20,217.02,221.43,217.02,219.7
1393,2021-07-19,220.19,220.19,213.36,216.09
1392,2021-07-16,222.29,224.48,221.19,222.36
1391,2021-07-15,222.64,225.01,221.485,221.91
1390,2021-07-14,224.0,224.0,221.2283,223.05
1389,2021-07-13,225.73,226.46,223.39,224.0
1388,2021-07-12,226.16,227.47,223.86,225.17
1387,2021-07-09,227.11,230.38,226.0401,228.21
1386,2021-07-08,229.22,230.7,223.41,224.15
1385,2021-07-07,230.52,232.04,229.33,230.77
1384,2021-07-06,230.83,231.84,228.86,229.95
1383,2021-07-02,230.42,233.71,230.42,231.7
1382,2021-07-01,230.25,233.55,230.1,231.0
1381,2021-06-30,232.09,233.03,229.485,230.02
1380,2021-06-29,231.54,234.26,231.54,232.19
1379,2021-06-28,234.77,235.17,230.61,231.37
1378,2021-06-25,231.86,236.67,231.86,235.5
1377,2021-06-24,230.01,233.7,229.89,232.55
1376,2021-06-23,229.22,231.76,229.22,230.15
1375,2021-06-22,228.71,232.085,228.71,230.41
1374,2021-06-21,226.35,230.49,224.97,230.18
1373,2021-06-18,230.63,230.63,224.39,225.2
1372,2021-06-17,239.4,240.62,231.43,232.19
1371,2021-06-16,255.79,256.08,234.35,237.14
