,Date,Open,High,Low,Close
5578,2021-12-31,25.87,26.15,25.8201,26.04
5577,2021-12-30,26.1,26.34,25.91,25.92
5576,2021-12-29,26.15,26.22,25.885,26.04
5575,2021-12-28,26.28,26.395,26.084,26.16
5574,2021-12-27,25.82,26.26,25.62,26.26
5573,2021-12-23,25.85,26.02,25.79,25.85
5572,2021-12-22,25.58,25.86,25.355,25.68
5571,2021-12-21,25.44,25.795,25.37,25.66
5570,2021-12-20,25.48,25.49,24.86,25.35
5569,2021-12-17,25.93,26.09,25.365,25.79
5568,2021-12-16,26.22,26.58,26.06,26.14
5567,2021-12-15,25.89,26.105,25.43,25.98
5566,2021-12-14,26.28,26.5,25.82,25.88
5565,2021-12-13,26.48,26.58,25.875,26.24
5564,2021-12-10,26.8,26.85,26.255,26.64
5563,2021-12-09,27.12,27.12,26.505,26.62
5562,2021-12-08,27.8,27.99,27.56,27.64
5561,2021-12-07,27.6,28.025,27.48,27.76
5560,2021-12-06,27.45,27.6001,27.025,27.32
5559,2021-12-03,27.48,27.64,26.8906,27.11
5558,2021-12-02,26.73,27.3498,26.54,27.25
5557,2021-12-01,27.31,27.775,26.63,26.64
5556,2021-11-30,27.63,27.73,26.73,26.79
5555,2021-11-29,28.58,28.66,28.01,28.01
5554,2021-11-26,27.52,28.42,27.5191,28.24
5553,2021-11-24,27.98,28.58,27.97,28.55
5552,2021-11-23,27.9,28.2191,27.73,28.08
5551,2021-11-22,27.4,27.98,27.34,27.6
5550,2021-11-19,27.65,27.775,27.37,27.42
5549,2021-11-18,28.24,28.4,27.915,27.97
5548,2021-11-17,28.15,28.72,28.14,28.21
5547,2021-11-16,28.71,28.71,28.125,28.22
5546,2021-11-15,28.64,28.82,28.4,28.61
5545,2021-11-12,28.74,28.96,28.615,28.64
5544,2021-11-11,28.24,29.0,28.15,28.89
5543,2021-11-10,28.48,28.69,28.01,28.15
5542,2021-11-09,28.44,28.59,28.15,28.53
5541,2021-11-08,28.72,28.72,28.3819,28.48
5540,2021-11-05,28.59,28.6,28.26,28.56
5539,2021-11-04,28.52,28.56,28.0,28.28
5538,2021-11-03,28.15,28.49,28.075,28.3
