,Date,Open,High,Low,Close
5578,2021-12-31,165.29,167.61,165.29,166.9
5577,2021-12-30,167.0,167.4346,165.44,165.73
5576,2021-12-29,165.61,166.86,164.94,166.38
5575,2021-12-28,164.05,165.27,163.84,165.14
5574,2021-12-27,162.49,163.89,162.06,163.79
5573,2021-12-23,160.71,162.61,160.67,161.94
5572,2021-12-22,160.19,161.01,159.53,160.66
5571,2021-12-21,161.62,162.49,158.995,160.03
5570,2021-12-20,160.02,160.94,157.61,160.59
5569,2021-12-17,165.87,166.1874,161.17,161.31
5568,2021-12-16,163.61,166.5,163.21,166.04
5567,2021-12-15,163.0,163.6,161.21,162.53
5566,2021-12-14,163.6,164.19,161.14,162.58
5565,2021-12-13,164.72,165.68,163.84,164.23
5564,2021-12-10,164.13,165.66,163.33,164.72
5563,2021-12-09,162.62,163.7097,162.21,162.79
5562,2021-12-08,164.25,164.48,162.18,163.53
5561,2021-12-07,165.1,166.76,163.5,164.25
5560,2021-12-06,164.795,165.74,163.2206,163.48
5559,2021-12-03,164.3,164.87,161.68,163.22
5558,2021-12-02,160.98,164.77,160.535,163.74
5557,2021-12-01,161.98,164.61,160.37,160.51
5556,2021-11-30,165.5,166.55,160.28,160.67
5555,2021-11-29,164.84,168.039,164.2197,166.83
5554,2021-11-26,164.105,165.775,163.09,163.47
5553,2021-11-24,164.4,165.92,163.82,165.72
5552,2021-11-23,162.82,165.0,162.29,164.84
5551,2021-11-22,163.54,164.25,162.71,163.02
5550,2021-11-19,164.83,165.52,162.59,163.39
5549,2021-11-18,165.41,166.35,164.28,164.49
5548,2021-11-17,165.0,165.91,164.2,165.41
5547,2021-11-16,163.35,164.705,163.23,164.63
5546,2021-11-15,163.0,164.0088,162.44,163.0
5545,2021-11-12,162.03,163.45,161.3983,162.98
5544,2021-11-11,161.8,162.29,160.66,161.24
5543,2021-11-10,158.94,162.47,158.65,162.08
5542,2021-11-09,159.61,160.29,159.1,159.58
5541,2021-11-08,160.68,161.855,159.5,160.05
5540,2021-11-05,161.1,161.68,159.27,159.89
5539,2021-11-04,159.608,161.505,159.608,160.71
5538,2021-11-03,161.03,161.81,158.56,159.72
5537,2021-11-02,159.42,161.815,159.0627,161.23
5536,2021-11-01,160.92,161.55,158.54,159.28
5535,2021-10-29,157.5,160.615,157.27,160.23
5534,2021-10-28,156.02,157.7,155.4,157.5
5533,2021-10-27,158.81,159.94,154.7,155.15
5532,2021-10-26,157.8,160.23,154.01,159.28
5531,2021-10-25,163.93,164.815,160.55,161.15
5530,2021-10-22,162.23,164.585,162.08,164.42
5529,2021-10-21,162.08,162.33,160.45,161.88
5528,2021-10-20,158.6,160.57,158.6,160.5
5527,2021-10-19,157.7,158.9,157.16,158.84
5526,2021-10-18,157.83,158.16,156.63,157.16
5525,2021-10-15,159.0,159.53,158.08,158.17
5524,2021-10-14,156.19,158.065,156.0354,157.96
5523,2021-10-13,154.66,155.65,152.0,154.97
5522,2021-10-12,154.71,155.8871,154.035,154.46
5521,2021-10-11,154.69,155.74,154.07,154.08
5520,2021-10-08,153.9,155.18,153.251,154.72
5519,2021-10-07,152.24,154.15,152.24,153.99
5518,2021-10-06,149.0,151.46,148.66,151.28
5517,2021-10-05,149.08,150.45,148.25,149.85
5516,2021-10-04,149.39,150.72,147.9,148.83
5515,2021-10-01,149.72,150.66,147.525,149.84
5514,2021-09-30,152.03,152.45,149.31,149.36
5513,2021-09-29,150.5,151.975,149.95,151.6
5512,2021-09-28,151.57,151.83,149.28,149.92
5511,2021-09-27,153.81,154.145,151.58,152.05
5510,2021-09-24,153.15,154.21,153.15,154.19
5509,2021-09-23,154.33,155.03,153.25,153.5
5508,2021-09-22,153.66,154.17,152.67,153.42
5507,2021-09-21,153.05,154.255,152.63,152.75
5506,2021-09-20,150.99,152.98,150.5104,152.73
5505,2021-09-17,153.11,153.6,152.24,152.68
5504,2021-09-16,155.89,156.09,153.82,153.89
5503,2021-09-15,154.55,156.34,154.17,155.63
5502,2021-09-14,155.52,156.12,154.2481,154.58
5501,2021-09-13,155.49,156.739,154.19,155.13
5500,2021-09-10,154.15,154.9,153.58,154.45
5499,2021-09-09,154.38,154.555,153.55,153.8
