,Date,Open,High,Low,Close
1159,2021-12-31,21.58,21.74,21.25,21.52
1158,2021-12-30,21.53,21.68,21.36,21.5
1157,2021-12-29,21.52,21.64,21.37,21.48
1156,2021-12-28,21.4,21.69,21.4,21.52
1155,2021-12-27,21.12,21.72,20.86,21.52
1154,2021-12-23,21.13,21.4,21.0,21.28
1153,2021-12-22,20.81,21.2,20.68,21.07
1152,2021-12-21,20.84,21.325,20.7,20.87
1151,2021-12-20,20.5,20.92,20.31,20.64
1150,2021-12-17,20.49,20.92,20.22,20.87
1149,2021-12-16,20.25,20.73,20.15,20.31
1148,2021-12-15,19.56,20.1,19.4,20.0
1147,2021-12-14,19.28,20.18,19.25,19.89
1146,2021-12-13,19.4,19.99,19.36,19.37
1145,2021-12-10,18.94,19.52,18.8,19.48
1144,2021-12-09,18.5,18.75,18.232,18.44
1143,2021-12-08,19.31,19.39,18.73,18.73
1142,2021-12-07,19.23,19.59,18.83,19.29
1141,2021-12-06,19.83,20.23,19.27,19.29
1140,2021-12-03,20.01,20.14,19.42,19.61
1139,2021-12-02,19.16,20.17,19.14,20.03
1138,2021-12-01,19.12,19.81,18.88,19.05
1137,2021-11-30,18.99,19.185,18.35,18.6
1136,2021-11-29,18.98,19.47,18.28,19.24
1135,2021-11-26,18.73,18.82,18.25,18.8
1134,2021-11-24,19.05,19.18,18.77,19.17
1133,2021-11-23,19.35,19.495,18.9,19.15
1132,2021-11-22,19.33,19.95,19.26,19.39
1131,2021-11-19,19.4,19.7,19.01,19.27
1130,2021-11-18,20.07,20.12,19.28,19.51
1129,2021-11-17,19.29,20.1,19.29,20.06
1128,2021-11-16,20.2,20.2,18.86,19.33
1127,2021-11-15,21.37,21.49,20.14,20.18
1126,2021-11-12,20.77,21.28,20.77,21.22
1125,2021-11-11,20.01,20.83,19.8828,20.6
1124,2021-11-10,19.19,20.06,19.19,19.95
1123,2021-11-09,19.1,19.39,18.81,19.21
1122,2021-11-08,19.82,20.12,18.81,19.34
1121,2021-11-05,19.88,20.06,19.63,19.99
1120,2021-11-04,19.72,20.025,19.123,19.38
1119,2021-11-03,19.2,19.71,19.13,19.67
1118,2021-11-02,19.81,19.89,19.26,19.33
1117,2021-11-01,19.2,19.86,19.05,19.64
1116,2021-10-29,19.61,20.06,18.71,19.05
1115,2021-10-28,20.0,20.19,19.49,19.65
1114,2021-10-27,20.02,20.33,19.74,20.0
1113,2021-10-26,20.32,20.32,19.81,20.09
1112,2021-10-25,20.53,20.5856,20.26,20.27
1111,2021-10-22,20.56,20.61,20.3768,20.52
1110,2021-10-21,20.61,20.7199,20.4,20.56
1109,2021-10-20,20.2,20.67,20.2,20.52
1108,2021-10-19,19.68,20.15,19.6382,20.13
1107,2021-10-18,19.76,19.93,19.48,19.69
1106,2021-10-15,20.47,20.47,19.89,19.9
1105,2021-10-14,19.85,20.22,19.71,20.18
1104,2021-10-13,19.78,19.83,19.475,19.79
1103,2021-10-12,19.49,19.79,19.37,19.64
1102,2021-10-11,19.41,19.79,19.41,19.42
1101,2021-10-08,19.7,19.9,19.41,19.5
1100,2021-10-07,19.67,19.99,19.52,19.72
1099,2021-10-06,19.88,19.89,19.42,19.52
1098,2021-10-05,19.96,20.4,19.94,20.09
1097,2021-10-04,19.92,20.36,19.67,19.86
1096,2021-10-01,19.6,20.29,19.58,19.89
1095,2021-09-30,19.9,20.07,19.59,19.65
1094,2021-09-29,19.58,19.95,19.455,19.82
1093,2021-09-28,19.62,19.775,19.39,19.53
1092,2021-09-27,19.99,20.44,19.71,19.87
1091,2021-09-24,19.8,19.96,19.43,19.84
1090,2021-09-23,20.21,20.65,19.89,19.95
1089,2021-09-22,19.64,20.4737,19.45,20.15
1088,2021-09-21,19.87,20.15,19.31,19.41
1087,2021-09-20,19.34,19.88,19.34,19.84
1086,2021-09-17,19.63,20.0,19.45,19.82
1085,2021-09-16,19.78,19.87,19.11,19.53
1084,2021-09-15,19.44,19.87,19.12,19.67
1083,2021-09-14,20.31,20.445,19.5,19.67
1082,2021-09-13,19.97,20.49,19.66,20.15
1081,2021-09-10,20.57,20.57,19.435,19.88
1080,2021-09-09,20.32,20.69,20.19,20.39
1079,2021-09-08,20.19,20.6,20.07,20.32
1078,2021-09-07,20.63,20.86,20.3,20.32
1077,2021-09-03,20.62,20.95,20.55,20.78
1076,2021-09-02,20.18,21.08,20.18,20.77
1075,2021-09-01,21.04,21.135,19.68,20.08
1074,2021-08-31,21.37,21.51,21.01,21.22
1073,2021-08-30,21.5,21.675,21.15,21.33
1072,2021-08-27,20.9,21.725,20.9,21.62
1071,2021-08-26,21.08,21.17,20.64,20.76
1070,2021-08-25,21.25,21.25,20.76,21.17
1069,2021-08-24,21.02,21.1,20.8,21.04
1068,2021-08-23,21.0,21.46,21.0,21.19
1067,2021-08-20,19.72,21.06,19.72,21.0
1066,2021-08-19,19.67,19.97,19.545,19.73
1065,2021-08-18,20.14,20.7732,19.93,19.95
1064,2021-08-17,20.0,20.49,19.9064,20.2
1063,2021-08-16,20.14,20.76,19.74,20.25
1062,2021-08-13,20.34,20.9,20.34,20.47
1061,2021-08-12,20.63,20.79,20.15,20.31
1060,2021-08-11,21.16,21.51,20.52,20.62
1059,2021-08-10,20.95,21.49,20.27,21.09
1058,2021-08-09,23.7,23.7,21.36,21.39
1057,2021-08-06,22.96,23.925,22.61,23.71
1056,2021-08-05,22.57,23.0919,22.29,22.49
1055,2021-08-04,22.81,23.065,22.11,22.53
1054,2021-08-03,23.09,23.1753,22.6101,23.02
1053,2021-08-02,22.48,23.3,22.31,23.02
1052,2021-07-30,22.18,22.46,21.9458,22.24
1051,2021-07-29,22.32,22.43,22.18,22.21
1050,2021-07-28,22.16,22.35,21.61,22.14
1049,2021-07-27,22.11,22.35,21.92,22.16
1048,2021-07-26,22.49,22.82,22.06,22.3
1047,2021-07-23,22.04,22.34,21.74,22.24
1046,2021-07-22,21.74,22.09,21.35,22.0
1045,2021-07-21,22.34,22.57,21.705,21.93
1044,2021-07-20,21.18,22.395,21.06,22.2
1043,2021-07-19,21.17,21.55,20.91,21.29
1042,2021-07-16,21.64,22.2,21.26,21.56
1041,2021-07-15,21.03,21.5858,20.91,21.49
1040,2021-07-14,21.1,21.4799,20.76,21.19
1039,2021-07-13,20.77,21.075,20.42,20.96
1038,2021-07-12,20.97,21.115,20.72,21.0
1037,2021-07-09,20.53,21.13,20.29,20.95
1036,2021-07-08,20.0,20.86,19.61,20.5
1035,2021-07-07,21.37,21.45,20.06,20.74
