,Date,Open,High,Low,Close
368,2021-12-31,10.89,10.99,10.75,10.81
367,2021-12-30,10.84,11.02,10.81,10.96
366,2021-12-29,10.94,10.95,10.81,10.81
365,2021-12-28,10.86,10.97,10.775,10.92
364,2021-12-27,10.74,10.93,10.68,10.88
363,2021-12-23,10.48,10.76,10.44,10.75
362,2021-12-22,10.47,10.5,10.27,10.48
361,2021-12-21,10.0,10.48,9.92,10.45
360,2021-12-20,10.15,10.195,9.9,9.95
359,2021-12-17,10.42,10.44,9.885,10.16
358,2021-12-16,10.52,10.68,10.41,10.53
357,2021-12-15,10.34,10.57,10.23,10.45
356,2021-12-14,10.33,10.56,10.16,10.36
355,2021-12-13,10.71,10.74,10.335,10.41
354,2021-12-10,10.51,10.58,10.17,10.43
353,2021-12-09,10.5,10.66,10.36,10.46
352,2021-12-08,10.525,10.83,10.52,10.6
351,2021-12-07,10.215,10.59,10.14,10.55
350,2021-12-06,9.92,10.135,9.76,10.1
349,2021-12-03,10.34,10.35,9.88,9.97
348,2021-12-02,10.0,10.34,9.97,10.32
347,2021-12-01,10.47,10.5,9.87,10.0
346,2021-11-30,10.63,10.68,10.29,10.4
345,2021-11-29,10.52,10.83,10.29,10.72
344,2021-11-26,10.4,10.485,10.2,10.39
343,2021-11-24,10.29,10.49,10.16,10.48
342,2021-11-23,10.17,10.385,10.1,10.29
341,2021-11-22,10.41,10.47,10.19,10.21
340,2021-11-19,10.52,10.59,10.42,10.45
339,2021-11-18,11.1,11.13,10.49,10.52
338,2021-11-17,11.16,11.175,10.96,11.03
337,2021-11-16,11.09,11.18,10.9,11.08
336,2021-11-15,11.15,11.17,10.97,11.0
335,2021-11-12,11.42,11.42,11.03,11.15
334,2021-11-11,11.95,11.96,11.33,11.4
333,2021-11-10,11.87,11.98,11.73,11.87
332,2021-11-09,11.21,12.0,10.99,11.98
331,2021-11-08,11.16,11.26,11.04,11.19
330,2021-11-05,11.34,11.36,10.991,11.13
329,2021-11-04,11.17,11.44,11.17,11.35
328,2021-11-03,10.95,11.23,10.86,11.17
327,2021-11-02,11.09,11.11,10.97,11.03
326,2021-11-01,10.88,11.12,10.88,11.09
325,2021-10-29,11.04,11.16,10.83,10.88
324,2021-10-28,11.0,11.17,10.955,11.1
323,2021-10-27,11.17,11.195,10.965,11.01
322,2021-10-26,11.33,11.36,11.12,11.21
321,2021-10-25,11.01,11.33,10.89,11.21
320,2021-10-22,11.03,11.06,10.8,11.0
319,2021-10-21,10.95,11.1,10.8,10.93
318,2021-10-20,11.06,11.1,10.78,11.0
317,2021-10-19,10.88,11.04,10.74,11.02
316,2021-10-18,11.45,11.46,10.82,10.85
315,2021-10-15,11.5,11.71,11.4,11.45
314,2021-10-14,11.7,11.73,11.41,11.48
313,2021-10-13,11.62,11.89,11.56,11.6
312,2021-10-12,11.23,11.59,11.155,11.56
311,2021-10-11,11.26,11.48,11.13,11.25
310,2021-10-08,11.21,11.29,11.01,11.26
309,2021-10-07,11.14,11.43,11.14,11.19
308,2021-10-06,10.75,11.105,10.65,11.09
307,2021-10-05,10.91,11.085,10.77,10.87
306,2021-10-04,11.32,11.32,10.9,10.95
305,2021-10-01,11.47,11.535,11.025,11.32
304,2021-09-30,11.61,11.61,11.29,11.48
303,2021-09-29,11.56,11.65,11.33,11.49
302,2021-09-28,11.57,11.62,11.41,11.55
301,2021-09-27,11.62,11.84,11.615,11.67
300,2021-09-24,11.47,11.865,11.365,11.71
299,2021-09-23,11.64,11.75,11.48,11.58
298,2021-09-22,11.88,11.99,11.44,11.52
297,2021-09-21,12.21,12.26,11.86,11.87
296,2021-09-20,12.09,12.44,12.01,12.11
295,2021-09-17,12.39,12.64,12.27,12.36
294,2021-09-16,12.53,12.85,12.39,12.48
293,2021-09-15,12.5,12.87,12.38,12.5
292,2021-09-14,12.3,13.12,12.23,12.52
291,2021-09-13,13.0,13.01,12.06,12.25
290,2021-09-10,12.26,13.34,12.26,13.01
289,2021-09-09,12.07,12.39,12.0,12.25
288,2021-09-08,11.81,12.29,11.68,12.22
287,2021-09-07,12.0,12.2,11.53,11.81
286,2021-09-03,11.66,11.94,11.52,11.79
285,2021-09-02,11.01,11.85,10.88,11.82
284,2021-09-01,10.98,11.14,10.96,11.02
283,2021-08-31,10.72,11.0,10.56,10.99
282,2021-08-30,10.7,11.21,10.59,10.75
281,2021-08-27,10.6,10.95,10.52,10.81
280,2021-08-26,10.04,10.8,9.89,10.6
279,2021-08-25,10.36,10.5,9.86,10.04
278,2021-08-24,10.51,10.7,10.0,10.5
277,2021-08-23,10.14,10.73,10.14,10.69
276,2021-08-20,9.87,10.08,9.82,10.0
275,2021-08-19,10.0,10.02,9.8,9.91
274,2021-08-18,10.58,10.69,9.85,10.04
273,2021-08-17,11.1,11.1,10.46,10.58
272,2021-08-16,11.21,11.34,10.89,11.19
271,2021-08-13,11.1,11.43,11.035,11.15
270,2021-08-12,10.6,11.1,10.6,11.01
269,2021-08-11,10.88,10.9,10.35,10.41
268,2021-08-10,10.49,10.68,10.18,10.5
267,2021-08-09,10.36,10.53,10.13,10.45
266,2021-08-06,9.93,10.4,9.83,10.35
265,2021-08-05,9.8,9.96,9.66,9.91
