,Date,Open,High,Low,Close
5578,2021-12-31,25.74,26.11,25.57,25.85
5577,2021-12-30,25.89,26.09,25.78,25.78
5576,2021-12-29,25.7,25.895,25.545,25.82
5575,2021-12-28,25.71,25.91,25.44,25.67
5574,2021-12-27,25.3,25.8,25.24,25.76
5573,2021-12-23,25.52,25.7,25.36,25.4
5572,2021-12-22,25.2,25.56,25.2,25.52
5571,2021-12-21,25.24,25.66,25.11,25.29
5570,2021-12-20,25.09,25.35,24.62,25.24
5569,2021-12-17,25.55,25.75,25.28,25.28
5568,2021-12-16,25.83,25.89,25.31,25.58
5567,2021-12-15,25.32,25.77,25.14,25.74
5566,2021-12-14,25.5,25.57,25.2,25.3
5565,2021-12-13,25.39,25.73,24.92,25.49
5564,2021-12-10,25.46,25.465,25.25,25.38
5563,2021-12-09,25.5,25.53,25.32,25.42
5562,2021-12-08,25.57,25.89,25.44,25.76
5561,2021-12-07,25.85,25.85,25.47,25.59
5560,2021-12-06,25.52,26.08,25.5,25.7
5559,2021-12-03,25.37,25.609,25.06,25.32
5558,2021-12-02,24.87,25.59,24.835,25.32
5557,2021-12-01,25.61,25.76,24.75,24.76
5556,2021-11-30,25.31,25.49,25.13,25.2
5555,2021-11-29,25.69,25.83,25.3,25.61
5554,2021-11-26,25.26,25.67,25.07,25.45
5553,2021-11-24,25.6,26.0,25.51,25.97
5552,2021-11-23,25.69,25.85,25.59,25.6
5551,2021-11-22,25.66,26.14,25.35,25.64
5550,2021-11-19,25.78,25.85,25.51,25.72
5549,2021-11-18,25.78,26.01,25.6,26.0
5548,2021-11-17,25.42,25.735,25.23,25.72
5547,2021-11-16,25.88,25.88,25.53,25.54
5546,2021-11-15,25.57,25.97,25.53,25.92
5545,2021-11-12,25.68,25.77,25.4,25.47
5544,2021-11-11,25.81,25.81,25.57,25.65
5543,2021-11-10,25.74,26.05,25.74,25.82
5542,2021-11-09,25.81,25.99,25.75,25.89
5541,2021-11-08,26.07,26.07,25.65,25.81
5540,2021-11-05,25.9,26.42,25.85,25.99
5539,2021-11-04,25.89,26.03,25.36,25.53
5538,2021-11-03,25.27,26.11,25.27,25.89
5537,2021-11-02,25.69,25.76,25.295,25.38
5536,2021-11-01,25.36,25.72,25.17,25.48
5535,2021-10-29,25.25,25.95,25.25,25.35
5534,2021-10-28,25.35,25.64,25.219,25.63
5533,2021-10-27,25.15,25.37,24.98,25.25
5532,2021-10-26,25.05,25.39,24.83,25.15
5531,2021-10-25,25.22,25.245,24.97,25.11
5530,2021-10-22,25.25,25.36,25.13,25.22
5529,2021-10-21,25.56,25.74,25.1,25.23
5528,2021-10-20,25.3,25.66,25.15,25.58
5527,2021-10-19,25.46,25.47,25.21,25.23
5526,2021-10-18,25.4,25.6,25.235,25.45
5525,2021-10-15,26.11,26.15,25.5,25.53
5524,2021-10-14,25.91,26.18,25.82,25.85
5523,2021-10-13,25.52,25.72,25.2,25.71
5522,2021-10-12,25.43,25.82,25.34,25.58
5521,2021-10-11,25.4,25.5,25.24,25.41
5520,2021-10-08,25.58,25.69,25.43,25.43
5519,2021-10-07,25.89,26.03,25.51,25.58
5518,2021-10-06,25.51,25.86,25.04,25.84
5517,2021-10-05,25.75,25.75,25.35,25.66
5516,2021-10-04,25.59,25.77,25.52,25.72
5515,2021-10-01,24.97,25.8,24.96,25.56
5514,2021-09-30,25.38,25.43,24.71,24.75
5513,2021-09-29,24.86,25.415,24.86,25.19
5512,2021-09-28,24.81,24.98,24.55,24.84
5511,2021-09-27,25.08,25.43,24.89,24.89
5510,2021-09-24,25.09,25.33,25.06,25.08
5509,2021-09-23,24.98,25.4669,24.98,25.23
5508,2021-09-22,24.83,25.211,24.8064,25.03
5507,2021-09-21,25.17,25.29,24.7,24.74
5506,2021-09-20,25.01,25.22,24.71,25.14
5505,2021-09-17,25.67,25.76,25.18,25.25
5504,2021-09-16,25.63,25.72,25.43,25.48
5503,2021-09-15,25.59,25.775,25.46,25.62
5502,2021-09-14,25.52,25.57,25.285,25.56
5501,2021-09-13,25.15,25.4,25.025,25.26
5500,2021-09-10,25.4,25.42,24.92,24.98
5499,2021-09-09,25.52,25.71,25.2,25.2
5498,2021-09-08,25.47,25.83,25.47,25.64
5497,2021-09-07,25.68,25.78,25.48,25.61
5496,2021-09-03,25.53,25.615,25.23,25.59
5495,2021-09-02,25.55,25.67,25.26,25.57
5494,2021-09-01,25.2,25.52,25.05,25.43
5493,2021-08-31,24.75,25.165,24.68,25.14
5492,2021-08-30,24.97,25.06,24.57,24.85
5491,2021-08-27,24.49,25.14,24.35,24.93
5490,2021-08-26,24.59,24.8499,24.3,24.38
5489,2021-08-25,24.32,24.7,24.05,24.5
5488,2021-08-24,24.48,24.51,24.0,24.19
5487,2021-08-23,24.68,24.72,24.32,24.48
5486,2021-08-20,24.26,24.63,24.0,24.55
5485,2021-08-19,24.07,24.41,24.05,24.31
5484,2021-08-18,24.28,24.46,24.09,24.23
5483,2021-08-17,24.31,24.53,24.02,24.38
5482,2021-08-16,24.57,24.91,24.45,24.55
5481,2021-08-13,24.26,24.59,24.08,24.58
5480,2021-08-12,24.14,24.3,24.0,24.27
5479,2021-08-11,23.8,24.22,23.57,24.15
5478,2021-08-10,23.49,23.79,23.47,23.68
5477,2021-08-09,23.89,23.89,23.48,23.49
5476,2021-08-06,23.8,24.09,23.75,24.0
5475,2021-08-05,23.61,23.84,23.51,23.64
5474,2021-08-04,23.5,23.67,23.18,23.38
5473,2021-08-03,23.92,24.06,23.54,23.58
5472,2021-08-02,24.25,24.63,23.89,24.0
5471,2021-07-30,24.6,24.96,24.15,24.29
5470,2021-07-29,24.59,24.99,24.53,24.69
5469,2021-07-28,24.72,24.84,24.39,24.43
5468,2021-07-27,24.72,24.83,24.45,24.67
5467,2021-07-26,24.66,25.01,24.5,24.73
5466,2021-07-23,24.6,24.71,24.3,24.64
5465,2021-07-22,24.92,24.9799,24.3,24.45
5464,2021-07-21,24.98,25.39,24.88,24.98
5463,2021-07-20,24.01,24.95,23.89,24.76
5462,2021-07-19,24.27,24.47,23.65,23.84
5461,2021-07-16,24.87,24.905,24.56,24.65
5460,2021-07-15,24.6,24.82,24.51,24.74
5459,2021-07-14,24.5,24.71,24.37,24.59
5458,2021-07-13,24.57,24.63,24.23,24.41
5457,2021-07-12,24.44,24.84,24.3,24.69
5456,2021-07-09,24.01,24.45,23.97,24.42
5455,2021-07-08,23.68,23.91,23.48,23.74
5454,2021-07-07,23.49,23.79,23.32,23.77
5453,2021-07-06,23.36,23.63,22.99,23.58
5452,2021-07-02,23.41,23.5,23.225,23.32
5451,2021-07-01,23.07,23.49,23.01,23.35
5450,2021-06-30,22.7,23.075,22.7,23.0
5449,2021-06-29,23.07,23.07,22.75,22.78
5448,2021-06-28,23.48,23.48,22.615,23.04
5447,2021-06-25,23.09,23.62,23.01,23.62
5446,2021-06-24,22.87,23.42,22.81,23.2
5445,2021-06-23,22.56,22.97,22.46,22.92
5444,2021-06-22,22.57,22.73,22.24,22.56
5443,2021-06-21,22.93,23.21,22.78,23.05
5442,2021-06-18,23.45,23.74,22.76,22.84
5441,2021-06-17,23.845,23.845,22.76,23.52
5440,2021-06-16,25.0,25.04,23.845,23.9
5439,2021-06-15,26.25,26.25,24.8,25.09
5438,2021-06-14,26.84,26.92,26.73,26.83
5437,2021-06-11,26.51,26.88,26.39,26.85
5436,2021-06-10,26.99,27.01,26.3,26.5
5435,2021-06-09,26.84,27.05,26.75,26.95
5434,2021-06-08,25.86,26.6,25.71,26.6
5433,2021-06-07,24.49,25.99,24.49,25.87
5432,2021-06-04,24.87,24.87,24.45,24.48
5431,2021-06-03,24.7,24.78,24.5,24.77
5430,2021-06-02,24.57,24.74,24.37,24.72
5429,2021-06-01,23.7,24.485,23.65,24.42
5428,2021-05-28,23.65,23.74,23.57,23.65
5427,2021-05-27,23.72,23.78,23.52,23.58
5426,2021-05-26,23.23,23.64,23.14,23.56
5425,2021-05-25,23.39,23.52,23.19,23.23
5424,2021-05-24,23.25,23.41,23.18,23.31
5423,2021-05-21,23.09,23.255,22.99,23.12
5422,2021-05-20,22.8,22.98,22.61,22.96
5421,2021-05-19,22.73,22.82,22.33,22.81
5420,2021-05-18,22.8,23.11,22.72,22.95
5419,2021-05-17,22.72,22.87,22.63,22.78
5418,2021-05-14,22.83,22.96,22.72,22.81
5417,2021-05-13,22.44,22.87,22.43,22.72
5416,2021-05-12,22.76,22.94,22.34,22.42
5415,2021-05-11,23.22,23.22,22.67,22.87
5414,2021-05-10,23.74,23.97,23.4,23.41
5413,2021-05-07,23.33,23.73,23.2401,23.71
5412,2021-05-06,23.04,23.565,22.92,23.5
5411,2021-05-05,23.24,23.24,22.73,23.0
5410,2021-05-04,23.23,23.41,23.16,23.34
5409,2021-05-03,23.3,23.44,23.08,23.2
5408,2021-04-30,22.78,23.31,22.62,23.22
5407,2021-04-29,23.35,23.66,22.74,22.85
5406,2021-04-28,23.12,23.36,22.94,23.17
5405,2021-04-27,23.16,23.22,22.845,23.03
5404,2021-04-26,22.92,23.18,22.75,23.01
5403,2021-04-23,22.93,23.0,22.68,22.83
5402,2021-04-22,23.25,23.25,22.84,22.88
5401,2021-04-21,22.92,23.25,22.8,23.1
5400,2021-04-20,22.81,23.08,22.63,22.84
5399,2021-04-19,23.05,23.09,22.68,22.95
5398,2021-04-16,23.08,23.12,22.77,23.03
5397,2021-04-15,22.97,22.97,22.67,22.9
5396,2021-04-14,22.78,23.07,22.69,22.88
5395,2021-04-13,22.53,22.74,22.38,22.73
5394,2021-04-12,22.53,22.67,22.33,22.6
5393,2021-04-09,22.82,22.83,22.535,22.56
5392,2021-04-08,23.02,23.21,22.75,22.81
5391,2021-04-07,23.09,23.21,22.65,22.89
5390,2021-04-06,22.92,23.3,22.86,23.1
5389,2021-04-05,23.43,23.49,22.735,22.91
5388,2021-04-01,22.19,23.2,22.09,23.2
5387,2021-03-31,22.81,22.82,22.1,22.1
5386,2021-03-30,22.69,22.94,22.63,22.91
5385,2021-03-29,23.09,23.46,22.68,22.78
5384,2021-03-26,22.93,23.5,22.89,23.23
5383,2021-03-25,22.85,22.98,22.35,22.82
5382,2021-03-24,23.05,23.62,22.85,22.91
5381,2021-03-23,22.95,23.3,22.73,22.93
5380,2021-03-22,23.19,23.36,22.79,23.14
5379,2021-03-19,24.09,24.31,23.29,23.36
5378,2021-03-18,24.44,24.78,24.27,24.43
5377,2021-03-17,24.5,24.71,24.09,24.56
5376,2021-03-16,24.64,24.75,24.25,24.51
5375,2021-03-15,24.57,24.97,24.32,24.82
5374,2021-03-12,24.06,24.71,24.06,24.68
5373,2021-03-11,24.03,24.23,23.76,23.94
5372,2021-03-10,23.75,24.14,23.43,23.95
5371,2021-03-09,24.27,24.345,23.67,23.72
5370,2021-03-08,23.44,24.32,23.24,24.2
5369,2021-03-05,23.54,23.55,22.84,23.35
5368,2021-03-04,23.44,23.84,22.99,23.19
5367,2021-03-03,23.07,23.99,23.07,23.4
