,Date,Open,High,Low,Close
5473,2021-08-03,32.18,32.46,31.4,31.44
5472,2021-08-02,32.48,33.13,32.1,32.1
5471,2021-07-30,32.08,32.73,31.99,32.19
5470,2021-07-29,31.48,32.98,31.48,32.03
5469,2021-07-28,31.59,31.72,31.06,31.37
5468,2021-07-27,31.54,31.71,31.08,31.32
5467,2021-07-26,32.06,32.55,31.85,32.1
5466,2021-07-23,31.95,32.3,31.62,32.04
5465,2021-07-22,32.48,32.51,31.57,31.74
5464,2021-07-21,32.48,33.06,32.42,32.65
5463,2021-07-20,30.43,32.33,30.31,32.06
5462,2021-07-19,31.79,31.8551,30.26,30.32
5461,2021-07-16,32.71,33.05,32.39,32.47
5460,2021-07-15,32.56,32.91,32.48,32.58
5459,2021-07-14,32.21,32.91,32.21,32.85
5458,2021-07-13,32.75,32.87,32.19,32.26
5457,2021-07-12,32.31,32.97,32.2,32.91
5456,2021-07-09,31.87,32.63,31.84,32.55
5455,2021-07-08,31.52,31.98,31.24,31.55
5454,2021-07-07,31.64,32.19,31.37,31.91
5453,2021-07-06,32.02,32.125,31.345,31.83
5452,2021-07-02,32.47,32.66,32.055,32.16
5451,2021-07-01,32.2,32.68,32.01,32.39
5450,2021-06-30,31.78,32.32,31.68,32.07
5449,2021-06-29,32.07,32.54,31.9,32.0
5448,2021-06-28,32.45,32.45,31.75,31.98
5447,2021-06-25,31.81,32.465,31.68,32.38
5446,2021-06-24,31.92,31.92,31.45,31.77
5445,2021-06-23,31.5,31.99,31.5,31.77
5444,2021-06-22,32.05,32.14,31.42,31.52
5443,2021-06-21,31.58,32.4,31.39,32.15
5442,2021-06-18,31.68,31.84,31.27,31.31
5441,2021-06-17,32.59,32.74,31.521,32.01
5440,2021-06-16,32.65,33.03,32.5,32.64
5439,2021-06-15,33.16,33.34,32.65,32.7
5438,2021-06-14,33.89,34.06,33.07,33.24
5437,2021-06-11,33.69,33.865,33.35,33.81
5436,2021-06-10,33.98,34.07,33.43,33.66
5435,2021-06-09,34.0,34.14,33.76,33.92
5434,2021-06-08,33.89,34.24,33.89,34.12
