,Date,Open,High,Low,Close
1643,2021-12-31,44.04,44.43,44.04,44.36
1642,2021-12-30,44.44,44.95,44.11,44.22
1641,2021-12-29,44.19,44.59,44.06,44.28
1640,2021-12-28,43.76,44.32,43.76,44.19
1639,2021-12-27,43.0,43.77,42.95,43.76
1638,2021-12-23,43.1,43.45,42.94,43.0
1637,2021-12-22,43.2,43.3893,42.76,42.86
1636,2021-12-21,43.0,43.51,42.78,43.32
1635,2021-12-20,42.97,43.39,41.849,42.48
1634,2021-12-17,45.09,45.23,43.83,43.94
1633,2021-12-16,44.07,45.47,44.07,45.02
1632,2021-12-15,43.49,43.6,42.91,43.56
1631,2021-12-14,43.1,43.96,43.0001,43.31
1630,2021-12-13,43.7,43.74,42.83,43.02
1629,2021-12-10,44.52,44.52,43.32,43.62
1628,2021-12-09,44.55,44.61,43.88,44.04
1627,2021-12-08,45.32,45.91,44.085,44.58
1626,2021-12-07,45.87,46.0,45.06,45.19
1625,2021-12-06,45.49,46.66,45.27,45.48
1624,2021-12-03,44.86,46.14,44.53,44.76
1623,2021-12-02,44.02,45.27,43.78,44.97
1622,2021-12-01,44.52,45.5,43.5,43.52
1621,2021-11-30,45.38,45.4,43.31,43.39
1620,2021-11-29,46.94,47.1,45.91,46.12
1619,2021-11-26,45.27,46.5,44.48,46.34
1618,2021-11-24,47.7,47.91,46.79,46.84
1617,2021-11-23,48.38,48.73,47.83,47.99
1616,2021-11-22,46.95,48.5,46.82,48.14
1615,2021-11-19,47.35,47.475,46.57,46.77
1614,2021-11-18,49.11,49.2893,47.8,48.0
1613,2021-11-17,48.86,49.41,48.565,49.01
1612,2021-11-16,49.28,49.989,49.06,49.19
1611,2021-11-15,49.1,49.49,48.41,49.13
1610,2021-11-12,49.62,49.84,48.96,49.0
1609,2021-11-11,49.04,49.94,48.77,49.69
1608,2021-11-10,48.06,49.78,48.06,49.03
1607,2021-11-09,47.9,49.3799,47.78,48.42
1606,2021-11-08,49.02,49.81,48.78,49.12
1605,2021-11-05,48.46,49.86,48.3,48.76
